is001:001	is001:001	is001:001	VERSE	Jes␣1:1␣
is001:011	7	(@)	-	olen␣
is001:011	7	@	-	kyllästynyt␣
is001:011	8 9	@	-	oinas-polttouhreihin␣
is001:011	10a	@	-	ja␣
is001:011	11	@	-	juottovasikkain␣
is001:011	10b	@	-	rasvaan
is001:011	(12a)	-	UNTRANSLATED	
is001:011	-	(.)	-	.␣
is001:011	13	@	-	Mullikkain
is001:011	(14a)	-	UNTRANSLATED	
is001:011	-	(,)	-	,␣
is001:011	14b	@	-	karitsain␣
is001:011	15a	@	-	ja␣
is001:011	15b	@	-	kauristen␣
is001:011	12b	@	-	vereen␣
is001:011	17	(@)	-	minä␣
is001:011	16	@	-	en␣
is001:011	17	@	-	mielisty
is001:011	-	(.)	-	.␣
is001:012	is001:012	is001:012	VERSE	Jes␣1:12␣
is001:012	1	@	-	Kun␣
is001:012	2	(@)	-	te␣
is001:012	2	@	-	tulette␣
is001:012	pers%4	@	-	minun␣
is001:012	4	@	-	kasvojeni␣
is001:012	3b	@	-	eteen
is001:012	3a	%case	LOC	
is001:012	-	(,)	-	,␣
is001:012	5	@	-	kuka␣
is001:012	7	@	-	sitä␣
is001:012	pro%8b	@	-	teiltä␣
is001:012	8a	%case	LOC	
is001:012	6	@	-	vaatii␣
is001:012	-	(-)	-	-␣
is001:012	pers%10	@	-	minun␣
is001:012	10	@	-	esikartanoitteni␣
is001:012	9	@	-	tallaamista
is001:012	-	(?)	-	?␣
is001:013	is001:013	is001:013	VERSE	Jes␣1:13␣
is001:013	1	@	-	Älkää␣
is001:013	2	@	-	enää␣
is001:013	3	@	-	tuoko␣
is001:013	-	(@)	-	minulle␣
is001:013	5	@	-	turhaa␣
is001:013	4	@	-	ruokauhria
is001:013	-	(;)	-	;␣
is001:013	6	@	-	suitsutus␣
is001:013	-	(@)	-	on␣
is001:013	9	@	-	minulle␣
is001:013	(8)	-	UNTRANSLATED	
is001:013	7	@	-	kauhistus
is001:013	-	(.)	-	.␣
is001:013	14	@	-	En␣
is001:013	15	@	-	kärsi␣
is001:013	10	@	-	uuttakuuta␣
is001:013	11a	@	-	enkä␣
is001:013	11b	@	-	sapattia
is001:013	-	(,)	-	,␣
is001:013	-	(@)	-	en␣
is001:013	13	@	-	kokouksen␣
is001:013	12	@	-	kuuluttamista
is001:013	-	(,)	-	,␣
is001:013	-	(@)	-	en␣
is001:013	16	@	-	vääryyttä␣
is001:013	17a	@	-	ynnä␣
is001:013	17b	@	-	juhlakokousta
is001:013	-	(.)	-	.␣
is001:014	is001:014	is001:014	VERSE	Jes␣1:14␣
is001:014	pers%4	@	-	Minun␣
is001:014	4	@	-	sieluni␣
is001:014	3	@	-	vihaa␣
is001:014	pers%1	@	-	teidän␣
is001:014	1	@	-	uusiakuitanne␣
is001:014	2a	@	-	ja␣
is001:014	2b	@	-	juhla-aikojanne
is001:014	-	(;)	-	;␣
is001:014	5	(@)	-	ne␣
is001:014	5	(@)	-	ovat␣
is001:014	5	@	-	käyneet␣
is001:014	6	@	-	minulle␣
is001:014	7b	@	-	kuormaksi
is001:014	7a	%case	TRA	
is001:014	-	(,)	-	,␣
is001:014	-	(@)	-	jota␣
is001:014	9	@	-	kantamaan␣
is001:014	8	(@)	-	olen␣
is001:014	8	@	-	väsynyt
is001:014	-	(.)	-	.␣
is001:015	is001:015	is001:015	VERSE	Jes␣1:15␣
is001:015	(1a)	-	UNTRANSLATED	
is001:015	1b	@	-	Kun␣
is001:015	pers%1c	@	-	te␣
is001:015	1c	@	-	ojennatte␣
is001:015	2	@	-	käsiänne
is001:015	-	(,)	-	,␣
is001:015	3	(@)	-	minä␣
is001:015	3	@	-	peitän␣
is001:015	4	@	-	silmäni␣
is001:015	5	@	-	teiltä
is001:015	-	(;)	-	;␣
is001:015	6 7	@	-	vaikka␣
is001:015	8	(@)	-	kuinka␣
is001:015	8	@	-	paljon␣
is001:015	9	@	-	rukoilisitte
is001:015	-	(,)	-	,␣
is001:015	pers%10	@	-	minä␣
is001:015	10	@	-	en␣
is001:015	11	@	-	kuule
is001:015	-	(:)	-	:␣
is001:015	pers%12	@	-	teidän␣
is001:015	12	@	-	kätenne␣
is001:015	14	@	-	ovat␣
is001:015	13	@	-	verta␣
is001:015	14	@	-	täynnä
is001:015	-	(.)	-	.␣
is001:016	is001:016	is001:016	VERSE	Jes␣1:16␣
is001:016	1	@	-	Peseytykää
is001:016	-	(,)	-	,␣
is001:016	2	@	-	puhdistautukaa
is001:016	-	(;)	-	;␣
is001:016	3	@	-	pankaa␣
is001:016	3	@	-	pois␣
is001:016	4	@	-	pahat␣
is001:016	5	@	-	tekonne␣
is001:016	pers%7	@	-	minun␣
is001:016	7	@	-	silmäini␣
is001:016	6b	@	-	edestä
is001:016	6a	%case	LOC	
is001:016	-	(,)	-	,␣
is001:016	8	@	-	lakatkaa␣
is001:016	9	@	-	pahaa␣
is001:016	9	@	-	tekemästä
is001:016	-	(.)	-	.␣
is001:017	is001:017	is001:017	VERSE	Jes␣1:17␣
is001:017	1	@	-	Oppikaa␣
is001:017	2	@	-	tekemään␣
is001:017	2	@	-	hyvää
is001:017	-	(;)	-	;␣
is001:017	3	@	-	harrastakaa␣
is001:017	4	@	-	oikeutta
is001:017	-	(,)	-	,␣
is001:017	5	@	-	ojentakaa␣
is001:017	6	@	-	väkivaltaista
is001:017	-	(,)	-	,␣
is001:017	7	@	-	hankkikaa␣
is001:017	8	@	-	orvolle␣
is001:017	7	@	-	oikeus
is001:017	-	(,)	-	,␣
is001:017	9	@	-	ajakaa␣
is001:017	10	@	-	lesken␣
is001:017	9	@	-	asiaa
is001:017	-	(.)	-	.␣
is001:018	is001:018	is001:018	VERSE	Jes␣1:18␣
is001:018	2	@	-	Niin␣
is001:018	1	@	-	tulkaa
is001:018	(3a)	-	UNTRANSLATED	
is001:018	-	(,)	-	,␣
is001:018	3b	@	-	käykäämme␣
is001:018	3b	@	-	oikeutta␣
is001:018	3b	@	-	keskenämme
is001:018	-	(,)	-	,␣
is001:018	4	@	-	sanoo␣
is001:018	5	@	-	Herra
is001:018	-	(.)	-	.␣
is001:018	6	@	-	Vaikka␣
is001:018	pers%8	@	-	teidän␣
is001:018	8	@	-	syntinne␣
is001:018	7	@	-	ovat␣
is001:018	(9a)	-	UNTRANSLATED	
is001:018	9b	@	-	veriruskeat
is001:018	-	(,)	-	,␣
is001:018	11	@	-	tulevat␣
is001:018	(10a)	-	UNTRANSLATED	
is001:018	-	(@)	-	ne␣
is001:018	11	@	-	lumivalkeiksi
is001:018	10b	%inflection	ADJ.PL.TRA	
is001:018	-	(;)	-	;␣
is001:018	12	@	-	vaikka␣
is001:018	13	(@)	-	ne␣
is001:018	13	(@)	-	ovat␣
is001:018	13	@	-	purppuranpunaiset
is001:018	-	(,)	-	,␣
is001:018	16	@	-	tulevat␣
is001:018	16	(@)	-	ne␣
is001:018	14b 15b	@	-	villanvalkoisiksi
is001:018	(14a)	-	UNTRANSLATED	
is001:018	(15a)	-	UNTRANSLATED	
is001:018	-	(.)	-	.␣
is001:019	is001:019	is001:019	VERSE	Jes␣1:19␣
is001:019	1	@	-	Jos␣
is001:019	2	@	-	suostutte␣
is001:019	3a	@	-	ja␣
is001:019	3b	@	-	olette␣
is001:019	3b	@	-	kuuliaiset
is001:019	-	(,)	-	,␣
is001:019	-	(@)	-	niin␣
is001:019	6	(@)	-	te␣
is001:019	6	(@)	-	saatte␣
is001:019	6	@	-	syödä␣
is001:019	(5a) 5b	@	-	maan␣
is001:019	4	@	-	hyvyyttä
is001:019	-	(;)	-	;␣
is001:020	is001:020	is001:020	VERSE	Jes␣1:20␣
is001:020	1a	@	-	mutta␣
is001:020	1b	@	-	jos␣
is001:020	2	@	-	vastustatte␣
is001:020	3a	@	-	ja␣
is001:020	3b	@	-	niskoittelette
is001:020	-	(,)	-	,␣
is001:020	-	(@)	-	niin␣
is001:020	4	@	-	miekka␣
is001:020	5	@	-	syö␣
is001:020	5	(@)	-	teidät
is001:020	-	(.)	-	.␣
is001:020	6	@	-	Sillä␣
is001:020	8	@	-	Herran␣
is001:020	7	@	-	suu␣
is001:020	9	(@)	-	on␣
is001:020	9	@	-	puhunut
is001:020	-	(.)	-	.␣
is001:021	is001:021	is001:021	VERSE	Jes␣1:21␣
is001:021	1	@	-	Voi
is001:021	-	(,)	-	,␣
is001:021	1	@	-	kuinka␣
is001:021	2	(@)	-	onkaan␣
is001:021	3b	@	-	portoksi␣
is001:021	3a	%case	TRA	
is001:021	2	@	-	tullut␣
is001:021	5	@	-	uskollinen␣
is001:021	4	@	-	kaupunki
is001:021	-	(!)	-	!␣
is001:021	-	(@)	-	Se␣
is001:021	-	(@)	-	oli␣
is001:021	6	@	-	täynnä␣
is001:021	7	@	-	oikeutta
is001:021	-	(,)	-	,␣
is001:021	10	@	-	siellä␣
is001:021	9	@	-	asui␣
is001:021	8	@	-	vanhurskaus
is001:021	-	(,)	-	,␣
is001:021	11a	@	-	mutta␣
is001:021	11b	@	-	nyt␣
is001:021	12	@	-	murhamiehet
is001:021	-	(.)	-	.␣
is001:022	is001:022	is001:022	VERSE	Jes␣1:22␣
is001:022	pers%1	@	-	Sinun␣
is001:022	1	@	-	hopeasi␣
is001:022	2	(@)	-	on␣
is001:022	3b	@	-	kuonaksi␣
is001:022	3a	%case	TRA	
is001:022	2	@	-	käynyt
is001:022	-	(,)	-	,␣
is001:022	4	@	-	jaloviinisi␣
is001:022	6b	@	-	vedellä␣
is001:022	6a	%case	LOC	
is001:022	5	@	-	laimennettu
is001:022	-	(.)	-	.␣
is001:023	is001:023	is001:023	VERSE	Jes␣1:23␣
is001:023	pers%1	@	-	Sinun␣
is001:023	1	@	-	päämiehesi␣
is001:023	2	(@)	-	ovat␣
is001:023	2	@	-	niskureita␣
is001:023	3a	@	-	ja␣
is001:023	4	@	-	varkaiden␣
is001:023	3b	@	-	tovereita
is001:023	-	(;)	-	;␣
is001:023	5	@	-	kaikki␣
is001:023	-	(@)	-	he␣
is001:023	7	@	-	lahjuksia␣
is001:023	6	@	-	rakastavat␣
is001:023	8a	@	-	ja␣
is001:023	9	@	-	palkkoja␣
is001:023	8b	@	-	tavoittelevat
is001:023	-	(;)	-	;␣
is001:023	11	@	-	eivät␣
is001:023	12	(@)	-	he␣
is001:023	12	@	-	hanki␣
is001:023	10	@	-	orvolle␣
is001:023	12	@	-	oikeutta
is001:023	(13a)	-	UNTRANSLATED	
is001:023	-	(,)	-	,␣
is001:023	14	@	-	lesken␣
is001:023	13b	@	-	asia␣
is001:023	15	@	-	ei␣
is001:023	16	@	-	pääse␣
is001:023	pers%17	@	-	heidän␣
is001:023	17	@	-	eteensä
is001:023	-	(.)	-	.␣
is001:024	is001:024	is001:024	VERSE	Jes␣1:24␣
is001:024	1b	@	-	Sentähden␣
is001:024	1a	%case	?	
is001:024	2	@	-	sanoo␣
is001:024	(3a) 3b	@	-	Herra
is001:024	-	(,)	-	,␣
is001:024	4	@	-	Herra␣
is001:024	5	@	-	Sebaot
is001:024	-	(,)	-	,␣
is001:024	7	@	-	Israelin␣
is001:024	6	@	-	Väkevä
is001:024	-	(:)	-	:␣
is001:024	8	@	-	Voi
is001:024	-	(!)	-	!␣
is001:024	9	(@)	-	Minä␣
is001:024	9	@	-	viihdytän␣
is001:024	9	@	-	vihani␣
is001:024	10b	@	-	vastustajissani
is001:024	10a	%case	LOC	
is001:024	(11a)	-	UNTRANSLATED	
is001:024	-	(,)	-	,␣
is001:024	11b	(@)	-	minä␣
is001:024	11b	@	-	kostan␣
is001:024	12b	@	-	vihollisilleni
is001:024	12a	%case	LOC	
is001:024	-	(;)	-	;␣
is001:025	is001:025	is001:025	VERSE	Jes␣1:25␣
is001:025	(1a)	-	UNTRANSLATED	
is001:025	1b	(@)	-	minä␣
is001:025	1b	@	-	käännän␣
is001:025	2	@	-	käteni␣
is001:025	pers%3	@	-	sinua␣
is001:025	3	@	-	vastaan␣
is001:025	4a	@	-	ja␣
is001:025	4b	@	-	puhdistan␣
is001:025	pers%6	@	-	sinusta␣
is001:025	6	@	-	kuonan␣
is001:025	5a	@	-	niinkuin␣
is001:025	5b	@	-	lipeällä␣
is001:025	7a	@	-	ja␣
is001:025	7b	@	-	poistan␣
is001:025	pers%9	@	-	sinusta␣
is001:025	8	@	-	kaiken␣
is001:025	9	@	-	lyijyn
is001:025	-	(.)	-	.␣
is001:026	is001:026	is001:026	VERSE	Jes␣1:26␣
is001:026	1a	@	-	Ja␣
is001:026	1b	(@)	-	minä␣
is001:026	1b	@	-	palautan␣
is001:026	pers%2	@	-	sinun␣
is001:026	2	@	-	tuomarisi␣
is001:026	(3a)	-	UNTRANSLATED	
is001:026	3c	@	-	muinaiselleen␣
is001:026	3b	%case	LOC	
is001:026	4a	@	-	ja␣
is001:026	pers%4b	@	-	sinun␣
is001:026	4b	@	-	neuvonantajasi␣
is001:026	5a	@	-	sellaisiksi
is001:026	-	(,)	-	,␣
is001:026	5a	@	-	kuin␣
is001:026	5c	@	-	alkuaan␣
is001:026	5b	%case	PTV	
is001:026	-	(@)	-	olivat
is001:026	-	(.)	-	.␣
is001:026	6 7	@	-	Sitten␣
is001:026	9	@	-	sinua␣
is001:026	8	@	-	kutsutaan␣
is001:026	-	(@)	-	"
is001:026	(11a) 11b	@	-	vanhurskauden␣
is001:026	10	@	-	linnaksi
is001:026	-	(@)	-	"
is001:026	-	(,)	-	,␣
is001:026	-	(@)	-	"
is001:026	13	@	-	uskolliseksi␣
is001:026	12	@	-	kaupungiksi
is001:026	-	(@)	-	"
is001:026	-	(.)	-	.␣
is001:027	is001:027	is001:027	VERSE	Jes␣1:27␣
is001:027	1	@	-	Siion␣
is001:027	3	@	-	lunastetaan␣
is001:027	2b	@	-	oikeudella␣
is001:027	2a	%case	LOC	
is001:027	4a	@	-	ja␣
is001:027	pers%4b	@	-	sen␣
is001:027	4b	@	-	kääntyneet␣
is001:027	5b	@	-	vanhurskaudella
is001:027	5a	%case	LOC	
is001:027	-	(.)	-	.␣
is001:028	is001:028	is001:028	VERSE	Jes␣1:28␣
is001:028	1a	@	-	Mutta␣
is001:028	2	@	-	luopiot␣
is001:028	3a	@	-	ja␣
is001:028	3b	@	-	syntiset␣
is001:028	-	(@)	-	saavat␣
is001:028	4	@	-	kaikki␣
is001:028	1b	@	-	turmion
is001:028	-	(,)	-	,␣
is001:028	5a	@	-	ja␣
is001:028	-	(@)	-	ne
is001:028	-	(,)	-	,␣
is001:028	-	(@)	-	jotka␣
is001:028	5b	@	-	hylkäävät␣
is001:028	6	@	-	Herran
is001:028	-	(,)	-	,␣
is001:028	7	@	-	hukkuvat
is001:028	-	(.)	-	.␣
is001:029	is001:029	is001:029	VERSE	Jes␣1:29␣
is001:029	1	@	-	Sillä␣
is001:029	2	(@)	-	he␣
is001:029	2	@	-	saavat␣
is001:029	2	@	-	häpeän␣
is001:029	-	(@)	-	niistä␣
is001:029	3b	@	-	tammista
is001:029	3a	%case	LOC	
is001:029	-	(,)	-	,␣
is001:029	4	@	-	joita␣
is001:029	5	(@)	-	te␣
is001:029	5	@	-	himoitsitte
is001:029	-	(,)	-	,␣
is001:029	6a	@	-	ja␣
is001:029	6b	@	-	pettymyksen␣
is001:029	(7b) 7c	@	-	puutarhoista
is001:029	7a	%case	LOC	
is001:029	-	(,)	-	,␣
is001:029	8	@	-	jotka␣
is001:029	9	(@)	-	te␣
is001:029	9	@	-	valitsitte
is001:029	-	(.)	-	.␣
is001:030	is001:030	is001:030	VERSE	Jes␣1:30␣
is001:030	1	@	-	Sillä␣
is001:030	2	(@)	-	teidän␣
is001:030	2	@	-	käy␣
is001:030	3a	@	-	kuin␣
is001:030	3b	@	-	tammen
is001:030	-	(,)	-	,␣
is001:030	pers%5	@	-	jonka␣
is001:030	5	@	-	lehdet␣
is001:030	4	@	-	lakastuvat
is001:030	-	(,)	-	,␣
is001:030	6a	@	-	ja␣
is001:030	6b	@	-	kuin␣
is001:030	6c	@	-	puutarhan
is001:030	-	(,)	-	,␣
is001:030	7	@	-	joka␣
is001:030	9	@	-	on␣
is001:030	9	@	-	vailla␣
is001:030	8	@	-	vettä
is001:030	(10)	-	UNTRANSLATED	
is001:030	-	(.)	-	.␣
is001:031	is001:031	is001:031	VERSE	Jes␣1:31␣
is001:031	1a	@	-	Ja␣
is001:031	(2a) 2b	@	-	mahtaja␣
is001:031	1b	@	-	tulee␣
is001:031	3b	@	-	rohtimeksi␣
is001:031	3a	%case	TRA	
is001:031	4a	@	-	ja␣
is001:031	pers%4b	@	-	hänen␣
is001:031	4b	@	-	tekonsa␣
is001:031	5b	@	-	kipinäksi
is001:031	5a	%case	TRA	
is001:031	-	(,)	-	,␣
is001:031	6a	@	-	ja␣
is001:031	7	@	-	molemmat␣
is001:031	6b	@	-	palavat␣
is001:031	8	@	-	yhdessä
is001:031	-	(,)	-	,␣
is001:031	9b	@	-	eikä␣
is001:031	9a	%clitic	kA	
is001:031	9b	@	-	ole␣
is001:031	10	@	-	sammuttajaa
is001:031	-	(.)	-	.␣
is002:001	is002:001	is002:001	VERSE	Jes␣2:1␣
is002:001	(1a) 1b	@	-	Sana
is002:001	-	(,)	-	,␣
is002:001	2	@	-	jonka␣
is002:001	4	@	-	Jesaja
is002:001	-	(,)	-	,␣
is002:001	6	@	-	Aamoksen␣
is002:001	5	@	-	poika
is002:001	-	(,)	-	,␣
is002:001	3	@	-	näki␣
is002:001	8	@	-	Juudasta␣
is002:001	7	%case	LOC	
is002:001	9a	@	-	ja␣
is002:001	9b	@	-	Jerusalemista
is002:001	-	(.)	-	.␣
is002:002	is002:002	is002:002	VERSE	Jes␣2:2␣
is002:002	(1a)	-	UNTRANSLATED	
is002:002	(3a) 3b	@	-	Aikojen␣
is002:002	2b	@	-	lopussa␣
is002:002	2a	%case	LOC	
is002:002	1b	@	-	on␣
