ga001:001	ga001:001	ga001:001	VERSE	Gal␣1:1␣
ga001:009	12	@	-	sitä
ga001:009	-	(,)	-	,␣
ga001:009	12	(@)	-	minkä␣
ga001:009	13a	(@)	-	te␣
ga001:009	13a	(@)	-	olette␣
ga001:009	13a	@	-	saaneet
ga001:009	13b	,	-	,␣
ga001:009	15a	(@)	-	hän␣
ga001:009	15a	@	-	olkoon␣
ga001:009	14	@	-	kirottu
ga001:009	15b	.	-	.␣
ga001:010	ga001:010	ga001:010	VERSE	Gal␣1:10␣
ga001:010	3	@	-	Ihmistenkö␣
ga001:010	2	%clitic	kO	
ga001:010	4	@	-	suosiota␣
ga001:010	4	(@)	-	minä␣
ga001:010	1	@	-	nyt␣
ga001:010	4	@	-	etsin␣
ga001:010	5	@	-	vai␣
ga001:010	(6) 7a	@	-	Jumalan
ga001:010	7b	?	-	?␣
ga001:010	8	@	-	Tai␣
ga001:010	10	@	-	ihmisillekö␣
ga001:010	9	@	-	pyydän␣
ga001:010	11a	@	-	olla␣
ga001:010	11a	@	-	mieliksi
ga001:010	11b	?	-	?␣
ga001:010	12	@	-	Jos␣
ga001:010	-	(@)	-	minä␣
ga001:010	13	@	-	vielä␣
ga001:010	tasp%15a	@	-	tahtoisin␣
ga001:010	15a	@	-	olla␣
ga001:010	14	@	-	ihmisille␣
ga001:010	15a	@	-	mieliksi
ga001:010	15b	,	-	,␣
ga001:010	18	@	-	en␣
ga001:010	20a	@	-	olisi␣
ga001:010	19	%modus	COND	
ga001:010	16	@	-	Kristuksen␣
ga001:010	17	@	-	palvelija
ga001:010	20b	.	-	.␣
ga001:011	ga001:011	ga001:011	VERSE	Gal␣1:11␣
ga001:011	2	@	-	Sillä␣
ga001:011	1	(@)	-	minä␣
ga001:011	1	@	-	teen␣
ga001:011	3a	@	-	teille␣
ga001:011	1	@	-	tiettäväksi
ga001:011	3b	,	-	,␣
ga001:011	4a	@	-	veljet
ga001:011	4b	,	-	,␣
ga001:011	11	@	-	että␣
ga001:011	10	@	-	minun␣
ga001:011	9	%case	GEN	
ga001:011	(7) 8	@	-	julistamani␣
ga001:011	(5) 6	@	-	evankeliumi␣
ga001:011	12	@	-	ei␣
ga001:011	13	@	-	ole␣
ga001:011	15a	@	-	ihmisten␣
ga001:011	14	@	-	mukaista
ga001:011	15b	;	-	;␣
ga001:012	ga001:012	ga001:012	VERSE	Gal␣1:12␣
ga001:012	1	@	-	enkä␣
ga001:012	3	@	-	minä␣
ga001:012	6	(@)	-	olekaan␣
ga001:012	2	%clitic	kAAn	
ga001:012	7	@	-	sitä␣
ga001:012	5	@	-	ihmisiltä␣
ga001:012	4	%case	LOC	
ga001:012	6	@	-	saanut
ga001:012	-	(,)	-	,␣
ga001:012	8	@	-	eikä␣
ga001:012	-	(@)	-	sitä␣
ga001:012	9	(@)	-	ole␣
ga001:012	9	(@)	-	minulle␣
ga001:012	9	@	-	opetettu
ga001:012	-	(,)	-	,␣
ga001:012	10	@	-	vaan␣
ga001:012	13	@	-	Jeesus␣
ga001:012	14a	@	-	Kristus␣
ga001:012	-	(@)	-	on␣
ga001:012	-	(@)	-	sen␣
ga001:012	-	(@)	-	minulle␣
ga001:012	12	@	-	ilmoittanut
ga001:012	11	%case	NOM	
ga001:012	14b	.	-	.␣
ga001:013	ga001:013	ga001:013	VERSE	Gal␣1:13␣
ga001:013	1	(@)	-	Olettehan␣
ga001:013	2	%clitic	hAn	
ga001:013	1	@	-	kuulleet␣
ga001:013	4	@	-	minun␣
ga001:013	6	@	-	entisestä␣
ga001:013	(3) 5	@	-	vaelluksestani␣
ga001:013	(8) 9a	@	-	juutalaisuudessa
ga001:013	7	%case	LOC	
ga001:013	9b	,	-	,␣
ga001:013	10	@	-	että␣
ga001:013	13	(@)	-	minä␣
ga001:013	12	@	-	ylenmäärin␣
ga001:013	11	%case	?	
ga001:013	13	@	-	vainosin␣
ga001:013	(16) 17	@	-	Jumalan␣
ga001:013	(14) 15	@	-	seurakuntaa␣
ga001:013	18	@	-	ja␣
ga001:013	20a	@	-	sitä␣
ga001:013	19	@	-	hävitin␣
ga001:014	ga001:014	ga001:014	VERSE	Gal␣1:14␣
ga001:014	1	@	-	ja␣
ga001:014	-	(@)	-	että␣
ga001:014	2	@	-	edistyin␣
ga001:014	(4) 5	@	-	juutalaisuudessa␣
ga001:014	3	%case	LOC	
ga001:014	6	@	-	pitemmälle␣
ga001:014	6	@	-	kuin␣
ga001:014	7	@	-	monet␣
ga001:014	8	@	-	samanikäiset␣
ga001:014	(10) 11	@	-	heimossani␣
ga001:014	12a	%pers	?	
ga001:014	9	%case	LOC	
ga001:014	-	(@)	-	ja␣
ga001:014	13	@	-	ylen␣
ga001:014	13	@	-	innokkaasti␣
ga001:014	14	@	-	kiivailin␣
ga001:014	15	%case	?	
ga001:014	(16) 17	@	-	isieni␣
ga001:014	18	%pers	?	
ga001:014	19a	@	-	perinnäissääntöjen␣
ga001:014	case%19a	@	-	puolesta
ga001:014	19b	.	-	.␣
ga001:015	ga001:015	ga001:015	VERSE	Gal␣1:15␣
ga001:015	2	@	-	Mutta␣
ga001:015	1	@	-	kun␣
ga001:015	6	@	-	hän
ga001:015	-	(,)	-	,␣
ga001:015	6	@	-	joka␣
ga001:015	(4) (5a)	-	UNTRANSLATED	
ga001:015	11	@	-	äitini␣
ga001:015	12	%pers	?	
ga001:015	10	@	-	kohdusta␣
ga001:015	9	@	-	saakka␣
ga001:015	7	(@)	-	on␣
ga001:015	8	@	-	minut␣
ga001:015	7	@	-	erottanut␣
ga001:015	13	@	-	ja␣
ga001:015	14	@	-	kutsunut␣
ga001:015	(16) 17	@	-	armonsa␣
ga001:015	18	%pers	3	
ga001:015	15	@	-	kautta
ga001:015	-	(,)	-	,␣
ga001:015	3a	@	-	näki␣
ga001:015	3a	@	-	hyväksi␣
ga001:016	ga001:016	ga001:016	VERSE	Gal␣1:16␣
ga001:016	1	@	-	ilmaista␣
ga001:016	6a	@	-	minussa␣
ga001:016	5	%case	LOC	
ga001:016	(2) 3	@	-	Poikansa
ga001:016	4	%pers	3	
ga001:016	6b	,	-	,␣
ga001:016	7	@	-	että␣
ga001:016	8	(@)	-	minä␣
ga001:016	8	@	-	julistaisin␣
ga001:016	8	@	-	evankeliumia␣
ga001:016	9	@	-	hänestä␣
ga001:016	(11) 12a	@	-	pakanain␣
ga001:016	10	@	-	seassa
ga001:016	-	(,)	-	,␣
ga001:016	-	(@)	-	niin␣
ga001:016	15	(@)	-	minä␣
ga001:016	13	@	-	heti␣
ga001:016	-	(@)	-	alunpitäenkään␣
ga001:016	14	@	-	en␣
ga001:016	15	@	-	kysynyt␣
ga001:016	15	@	-	neuvoa␣
ga001:016	16	@	-	lihalta␣
ga001:016	17	@	-	ja␣
ga001:016	18	@	-	vereltä
ga001:016	-	(,)	-	,␣
ga001:017	ga001:017	ga001:017	VERSE	Gal␣1:17␣
ga001:017	1	@	-	enkä␣
ga001:017	2	@	-	lähtenyt␣
ga001:017	2	@	-	ylös␣
ga001:017	4	@	-	Jerusalemiin␣
ga001:017	3	%case	LOC	
ga001:017	6	@	-	niiden␣
ga001:017	5	@	-	luo
ga001:017	-	(,)	-	,␣
ga001:017	6	@	-	jotka␣
ga001:017	7	@	-	ennen␣
ga001:017	8	@	-	minua␣
ga001:017	-	(@)	-	olivat␣
ga001:017	9a	@	-	apostoleja
ga001:017	9b	,	-	,␣
ga001:017	10	@	-	vaan␣
ga001:017	11	@	-	menin␣
ga001:017	11	@	-	pois␣
ga001:017	13	@	-	Arabiaan␣
ga001:017	12	%case	LOC	
ga001:017	14	@	-	ja␣
ga001:017	16	@	-	palasin␣
ga001:017	15	@	-	taas␣
ga001:017	16	@	-	takaisin␣
ga001:017	18a	@	-	Damaskoon
ga001:017	17	%case	LOC	
ga001:017	18b	.	-	.␣
ga001:018	ga001:018	ga001:018	VERSE	Gal␣1:18␣
ga001:018	1	@	-	Sitten
ga001:018	-	(,)	-	,␣
ga001:018	3	@	-	kolmen␣
ga001:018	2b	@	-	vuoden␣
ga001:018	2a	@	-	kuluttua
ga001:018	-	(,)	-	,␣
ga001:018	4	(@)	-	minä␣
ga001:018	4	@	-	menin␣
ga001:018	4	@	-	ylös␣
ga001:018	6	@	-	Jerusalemiin␣
ga001:018	5	%case	LOC	
ga001:018	7	@	-	tutustuakseni␣
ga001:018	8	@	-	Keefaaseen␣
ga001:018	9	@	-	ja␣
ga001:018	10	@	-	jäin␣
ga001:018	12	@	-	hänen␣
ga001:018	11	@	-	tykönsä␣
ga001:018	14a	@	-	viideksitoista␣
ga001:018	13	@	-	päiväksi
ga001:018	14b	.	-	.␣
ga001:019	ga001:019	ga001:019	VERSE	Gal␣1:19␣
ga001:019	2	@	-	Mutta␣
ga001:019	1	@	-	muita␣
ga001:019	(3) 4	@	-	apostoleja␣
ga001:019	6	(@)	-	minä␣
ga001:019	5	@	-	en␣
ga001:019	6	@	-	nähnyt
ga001:019	-	(;)	-	;␣
ga001:019	-	(@)	-	näin␣
ga001:019	7 8	@	-	ainoastaan␣
ga001:019	9	@	-	Jaakobin
ga001:019	-	(,)	-	,␣
ga001:019	(12) 13a	@	-	Herran␣
ga001:019	(10) 11	@	-	veljen
ga001:019	13b	.	-	.␣
ga001:020	ga001:020	ga001:020	VERSE	Gal␣1:20␣
ga001:020	2	@	-	Ja␣
ga001:020	1	@	-	mitä␣
ga001:020	3	@	-	kirjoitan␣
ga001:020	4a	@	-	teille
ga001:020	4b	,	-	,␣
ga001:020	5	@	-	katso
ga001:020	-	(,)	-	,␣
ga001:020	(7) 8	@	-	Jumalan␣
ga001:020	-	(@)	-	kasvojen␣
ga001:020	6	@	-	edessä␣
ga001:020	-	(@)	-	minä␣
ga001:020	-	(@)	-	sanon
ga001:020	-	(,)	-	,␣
ga001:020	10 9	@	-	etten␣
ga001:020	11a	@	-	valhettele
ga001:020	11b	.	-	.␣
ga001:021	ga001:021	ga001:021	VERSE	Gal␣1:21␣
ga001:021	1	@	-	Sitten␣
ga001:021	2	@	-	menin␣
ga001:021	(6) 7	@	-	Syyrian␣
ga001:021	8	@	-	ja␣
ga001:021	10a (9)	@	-	Kilikian␣
ga001:021	(4) 5	@	-	paikkakuntiin
ga001:021	3	%case	LOC	
ga001:021	10b	.	-	.␣
ga001:022	ga001:022	ga001:022	VERSE	Gal␣1:22␣
ga001:022	2	@	-	Mutta␣
ga001:022	1	@	-	olin␣
ga001:022	(4) 5	@	-	kasvoiltani␣
ga001:022	3	@	-	tuntematon␣
ga001:022	(8) 9	@	-	Juudean␣
ga001:022	(6) 7	@	-	seurakunnille
ga001:022	-	(,)	-	,␣
ga001:022	10	@	-	jotka␣
ga001:022	-	(@)	-	ovat␣
ga001:022	12a	@	-	Kristuksessa
ga001:022	11	%case	LOC	
ga001:022	12b	.	-	.␣
ga001:023	ga001:023	ga001:023	VERSE	Gal␣1:23␣
ga001:023	-	(@)	-	Heidän␣
ga001:023	3	@	-	kuuloonsa␣
ga001:023	(2)	-	UNTRANSLATED	
ga001:023	4	@	-	oli␣
ga001:023	1	@	-	vain␣
ga001:023	3	@	-	tullut
ga001:023	5	:	-	:␣
ga001:023	-	(@)	-	"
ga001:023	8	@	-	Meidän␣
ga001:023	9	@	-	entinen␣
ga001:023	(6) 7	@	-	vainoojamme␣
ga001:023	11	@	-	julistaa␣
ga001:023	10	@	-	nyt␣
ga001:023	12	@	-	sitä␣
ga001:023	13	@	-	uskoa
ga001:023	-	(,)	-	,␣
ga001:023	14	@	-	jota␣
ga001:023	16a	(@)	-	hän␣
ga001:023	15	@	-	ennen␣
ga001:023	16a	@	-	hävitti
ga001:023	16b	@	-	"
ga001:023	16b	;	-	;␣
ga001:024	ga001:024	ga001:024	VERSE	Gal␣1:24␣
ga001:024	1	@	-	ja␣
ga001:024	2	(@)	-	he␣
ga001:024	2	@	-	ylistivät␣
ga001:024	(5) 6a	@	-	Jumalaa␣
ga001:024	4	@	-	minun␣
ga001:024	3	@	-	tähteni
ga001:024	6b	.	-	.␣
ga002:001	ga002:001	ga002:001	VERSE	Gal␣2:1␣
ga002:001	1	@	-	Sitten
ga002:001	-	(,)	-	,␣
ga002:001	3	@	-	neljäntoista␣
ga002:001	4	@	-	vuoden␣
ga002:001	2	@	-	kuluttua
ga002:001	-	(,)	-	,␣
ga002:001	6	(@)	-	minä␣
ga002:001	5	@	-	taas␣
ga002:001	6	@	-	menin␣
ga002:001	6	@	-	ylös␣
ga002:001	8	@	-	Jerusalemiin␣
ga002:001	7	%case	LOC	
ga002:001	10	@	-	Barnabaan␣
ga002:001	9	@	-	kanssa␣
ga002:001	-	(@)	-	ja␣
ga002:001	11	@	-	otin␣
ga002:001	13a	@	-	Tiituksenkin␣
ga002:001	12	%clitic	kin	
ga002:001	11	@	-	mukaani
ga002:001	13b	.	-	.␣
ga002:002	ga002:002	ga002:002	VERSE	Gal␣2:2␣
ga002:002	2	@	-	Mutta␣
ga002:002	1	(@)	-	minä␣
ga002:002	1	@	-	menin␣
ga002:002	1	@	-	sinne␣
ga002:002	4a	@	-	ilmestyksen␣
ga002:002	3	@	-	johdosta␣
ga002:002	5	@	-	ja␣
ga002:002	6	@	-	esitin␣
ga002:002	7	@	-	heille␣
ga002:002	8	@	-	sen␣
ga002:002	9	@	-	evankeliumin
ga002:002	-	(,)	-	,␣
ga002:002	10	@	-	jota␣
ga002:002	11	@	-	julistan␣
ga002:002	(13) 14a	@	-	pakanain␣
ga002:002	12	@	-	keskuudessa
ga002:002	-	(;)	-	;␣
ga002:002	-	(@)	-	esitin␣
ga002:002	-	(@)	-	sen␣
ga002:002	16	@	-	yksityisesti␣
ga002:002	15	%case	MAN	
ga002:002	(17)	-	UNTRANSLATED	
ga002:002	(18) 19a	@	-	arvokkaimmille␣
ga002:002	-	(@)	-	heistä
ga002:002	19b	,	-	,␣
ga002:002	20	@	-	etten␣
ga002:002	21	@	-	ehkä␣
ga002:002	24	@	-	juoksisi␣
ga002:002	25	@	-	tai␣
ga002:002	26a	(@)	-	olisi␣
ga002:002	26a	@	-	juossut␣
ga002:002	23	@	-	turhaan
ga002:002	22	%case	LOC	
ga002:002	26b	.	-	.␣
ga002:003	ga002:003	ga002:003	VERSE	Gal␣2:3␣
ga002:003	1	@	-	Mutta␣
ga002:003	2	@	-	ei␣
ga002:003	2	@	-	edes␣
ga002:003	5	@	-	seuralaistani␣
ga002:003	4 6a	%case	PTV	
ga002:003	3	@	-	Tiitusta
ga002:003	6b	,	-	,␣
ga002:003	8a	(@)	-	joka␣
ga002:003	8a	@	-	oli␣
ga002:003	7	@	-	kreikkalainen
ga002:003	8b	,	-	,␣
ga002:003	9	@	-	pakotettu␣
ga002:003	10a	@	-	ympärileikkauttamaan␣
ga002:003	10a	@	-	itseänsä
ga002:003	10b	.	-	.␣
ga002:004	ga002:004	ga002:004	VERSE	Gal␣2:4␣
ga002:004	3	@	-	Noiden␣
ga002:004	(2)	-	UNTRANSLATED	
ga002:004	4	@	-	pariimme␣
ga002:004	4	@	-	luikertaneiden␣
ga002:004	5a	@	-	valheveljien␣
ga002:004	1	@	-	tähden
ga002:004	5b	,	-	,␣
ga002:004	6	@	-	jotka␣
ga002:004	19a	@	-	orjuuttaakseen␣
ga002:004	17	%case	TRA	
ga002:004	18	@	-	meitä␣
ga002:004	7	(@)	-	olivat␣
ga002:004	7	@	-	hiipineet␣
ga002:004	8	@	-	vakoilemaan␣
ga002:004	10 (9)	@	-	vapauttamme
ga002:004	11	%pers	?	
ga002:004	-	(,)	-	,␣
ga002:004	12	@	-	mikä␣
ga002:004	13	(@)	-	meillä␣
ga002:004	13	@	-	on␣
ga002:004	15	@	-	Kristuksessa␣
ga002:004	16a	@	-	Jeesuksessa
ga002:004	14	%case	LOC	
ga002:004	19b	,	-	,␣
ga002:005	ga002:005	ga002:005	VERSE	Gal␣2:5␣
ga002:005	5	(@)	-	me␣
ga002:005	2	@	-	emme␣
ga002:005	4	@	-	hetkeksikään␣
ga002:005	3	%case	TRA	
ga002:005	5	@	-	alistuneet␣
ga002:005	(6) 7a	@	-	antamaan␣
ga002:005	1	@	-	heille␣
ga002:005	(6) 7a	@	-	myöten
ga002:005	7b	,	-	,␣
ga002:005	8	@	-	että␣
ga002:005	(11) 12	@	-	evankeliumin␣
ga002:005	10 (9)	@	-	totuus␣
ga002:005	13	@	-	säilyisi␣
ga002:005	15a	@	-	teidän␣
ga002:005	14	@	-	keskuudessanne
ga002:005	15b	.	-	.␣
ga002:006	ga002:006	ga002:006	VERSE	Gal␣2:6␣
ga002:006	2	@	-	Ja␣
ga002:006	3	@	-	nuo
ga002:006	-	(,)	-	,␣
ga002:006	3	@	-	joita␣
ga002:006	1	%case	PTV	
ga002:006	6a	@	-	jonakin␣
ga002:006	5	%case	LOC	
ga002:006	4	@	-	pidettiin␣
ga002:006	6b 6c	-	-	-␣
ga002:006	7	@	-	millaisia␣
ga002:006	8	@	-	lienevät␣
ga002:006	9	@	-	olleet
ga002:006	-	(,)	-	,␣
ga002:006	10	@	-	ei␣
ga002:006	12a	@	-	kuulu␣
ga002:006	11	@	-	minuun
ga002:006	12b	;	-	;␣
ga002:006	(14a) 15	@	-	Jumala␣
ga002:006	17	@	-	ei␣
ga002:006	18a	@	-	katso␣
ga002:006	13a	@	-	henkilöön␣
ga002:006	16	%case	LOC	
ga002:006	18b	-	-	-␣
ga002:006	21	@	-	nuo␣
ga002:006	(20)	-	UNTRANSLATED	
ga002:006	22	@	-	arvossapidetyt␣
ga002:006	23	@	-	eivät␣
ga002:006	24a	@	-	velvoittaneet␣
ga002:006	19	@	-	minua␣
ga002:006	24a	@	-	mihinkään␣
ga002:006	24a	@	-	enempään
ga002:006	24b	,	-	,␣
ga002:007	ga002:007	ga002:007	VERSE	Gal␣2:7␣
ga002:007	1	@	-	vaan␣
ga002:007	3	@	-	päinvastoin
ga002:007	-	(,)	-	,␣
ga002:007	4	(@)	-	kun␣
ga002:007	4	@	-	näkivät
ga002:007	-	(,)	-	,␣
ga002:007	5	@	-	että␣
ga002:007	6	(@)	-	minulle␣
ga002:007	6	(@)	-	oli␣
ga002:007	6	@	-	uskottu␣
ga002:007	(7) 8	@	-	evankeliumin␣
ga002:007	(7) 8	(@)	-	julistaminen␣
ga002:007	10 (9)	@	-	ympärileikkaamattomille
ga002:007	-	(,)	-	,␣
ga002:007	11	@	-	samoin~kuin␣
ga002:007	12	@	-	Pietarille␣
ga002:007	-	(@)	-	sen␣
ga002:007	-	(@)	-	julistaminen␣
ga002:007	(13) 14a	@	-	ympärileikatuille␣
ga002:007	14b	-	-	-␣
ga002:008	ga002:008	ga002:008	VERSE	Gal␣2:8␣
ga002:008	2	@	-	sillä␣
ga002:008	1	@	-	hän
ga002:008	-	(,)	-	,␣
ga002:008	1	@	-	joka␣
ga002:008	3	@	-	antoi␣
ga002:008	4	@	-	Pietarille␣
ga002:008	3	@	-	voimaa␣
ga002:008	-	(@)	-	hänen␣
ga002:008	6	@	-	apostolintoimeensa␣
ga002:008	5	%case	LOC	
ga002:008	(7) 8	@	-	ympärileikattujen␣
ga002:008	case%8	@	-	keskuudessa
ga002:008	-	(,)	-	,␣
ga002:008	9	@	-	antoi␣
ga002:008	11	@	-	minullekin␣
ga002:008	10	%clitic	kin	
ga002:008	-	(@)	-	siihen␣
ga002:008	9	@	-	voimaa␣
ga002:008	(13) 14a	@	-	pakanain␣
ga002:008	12	@	-	keskuudessa␣
ga002:008	14b	-	-	-␣
ga002:009	ga002:009	ga002:009	VERSE	Gal␣2:9␣
ga002:009	1	@	-	ja␣
ga002:009	2	(@)	-	kun␣
ga002:009	2	(@)	-	olivat␣
ga002:009	2	(@)	-	tulleet␣
ga002:009	2	@	-	tuntemaan␣
ga002:009	3	@	-	sen␣
ga002:009	4	@	-	armon
ga002:009	-	(,)	-	,␣
ga002:009	5	@	-	mikä␣
ga002:009	6	(@)	-	oli␣
ga002:009	7a	@	-	minulle␣
ga002:009	6	@	-	annettu
ga002:009	-	(,)	-	,␣
ga002:009	-	(@)	-	niin␣
ga002:009	8	@	-	Jaakob␣
ga002:009	9	@	-	ja␣
ga002:009	10	@	-	Keefas␣
ga002:009	11	@	-	ja␣
ga002:009	12a	@	-	Johannes
ga002:009	12b	,	-	,␣
ga002:009	13	@	-	joita␣
ga002:009	14	@	-	pidettiin␣
ga002:009	16a	%case	?	
ga002:009	15	@	-	pylväinä
ga002:009	16b	,	-	,␣
ga002:009	18	@	-	antoivat␣
ga002:009	19	@	-	minulle␣
ga002:009	20	@	-	ja␣
