pp001:001	pp001:001	pp001:001	VERSE	Flp␣1:1␣
pp001:004	(11) 12 13a	@	-	rukoillen␣
pp001:004	8a	@	-	teidän␣
pp001:004	7	@	-	kaikkien␣
pp001:004	6	@	-	puolesta
pp001:004	13b	,	-	,␣
pp001:005	pp001:005	pp001:005	VERSE	Flp␣1:5␣
pp001:005	-	(@)	-	kiitän␣
pp001:005	-	(@)	-	siitä
pp001:005	-	(,)	-	,␣
pp001:005	-	(@)	-	että␣
pp001:005	(2) 3	(@)	-	olette␣
pp001:005	4	%pers	2P	
pp001:005	(2) 3	@	-	olleet␣
pp001:005	(2) 3	@	-	osallisia␣
pp001:005	1	%case	PTV	
pp001:005	(6) 7	@	-	evankeliumiin␣
pp001:005	5	%case	LOC	
pp001:005	10	@	-	ensi␣
pp001:005	11 (9)	@	-	päivästä␣
pp001:005	8	@	-	alkaen␣
pp001:005	(13) 14a	@	-	tähän␣
pp001:005	(13) 14a	@	-	päivään␣
pp001:005	12	@	-	saakka
pp001:005	14b	,	-	,␣
pp001:006	pp001:006	pp001:006	VERSE	Flp␣1:6␣
pp001:006	1	@	-	varmasti␣
pp001:006	1	@	-	luottaen␣
pp001:006	3a	@	-	siihen
pp001:006	2	%case	LOC	
pp001:006	3b	,	-	,␣
pp001:006	4	@	-	että␣
pp001:006	5	@	-	hän
pp001:006	-	(,)	-	,␣
pp001:006	5	@	-	joka␣
pp001:006	6	(@)	-	on␣
pp001:006	6	@	-	alkanut␣
pp001:006	8	@	-	teissä␣
pp001:006	7	%case	LOC	
pp001:006	10	@	-	hyvän␣
pp001:006	9	@	-	työn
pp001:006	-	(,)	-	,␣
pp001:006	11	(@)	-	on␣
pp001:006	-	(@)	-	sen␣
pp001:006	11	@	-	täyttävä␣
pp001:006	14	@	-	Kristuksen␣
pp001:006	15a	@	-	Jeesuksen␣
pp001:006	13	@	-	päivään␣
pp001:006	12	@	-	saakka
pp001:006	15b	.	-	.␣
pp001:007	pp001:007	pp001:007	VERSE	Flp␣1:7␣
pp001:007	1	@	-	Ja␣
pp001:007	3	@	-	oikein␣
pp001:007	2	@	-	onkin
pp001:007	-	(,)	-	,␣
pp001:007	-	(@)	-	että␣
pp001:007	4	@	-	minä␣
pp001:007	5	@	-	näin␣
pp001:007	6	@	-	ajattelen␣
pp001:007	9	@	-	teitä␣
pp001:007	8	@	-	kaikkia
pp001:007	7	%case	PTV	
pp001:007	-	(,)	-	,␣
pp001:007	10	@	-	koska␣
pp001:007	17a	@	-	te␣
pp001:007	(11) 12	@	-	olette␣
pp001:007	13	@	-	minun␣
pp001:007	(15) 16	@	-	sydämessäni
pp001:007	14	%case	LOC	
pp001:007	17b	,	-	,␣
pp001:007	36	@	-	te
pp001:007	-	(,)	-	,␣
pp001:007	37a	(@)	-	jotka␣
pp001:007	19	@	-	sekä␣
pp001:007	-	(@)	-	ollessani␣
pp001:007	22	%pers	?	
pp001:007	(20) 21	@	-	kahleissa␣
pp001:007	18	%case	LOC	
pp001:007	23	@	-	että␣
pp001:007	(29) 30	@	-	evankeliumia␣
pp001:007	(25) 26	@	-	puolustaessani␣
pp001:007	24	%case	LOC	
pp001:007	27	@	-	ja␣
pp001:007	28	@	-	vahvistaessani␣
pp001:007	37a	@	-	olette␣
pp001:007	35	@	-	kaikki␣
pp001:007	32	@	-	minun␣
pp001:007	31	@	-	kanssani␣
pp001:007	(33) 34	@	-	armosta␣
pp001:007	31	@	-	osalliset
pp001:007	37b	.	-	.␣
pp001:008	pp001:008	pp001:008	VERSE	Flp␣1:8␣
pp001:008	2	@	-	Sillä␣
pp001:008	(4) 5	@	-	Jumala␣
pp001:008	-	(@)	-	on␣
pp001:008	3	@	-	minun␣
pp001:008	1	@	-	todistajani
pp001:008	-	(,)	-	,␣
pp001:008	6	@	-	kuinka␣
pp001:008	7	(@)	-	minä␣
pp001:008	9	@	-	teitä␣
pp001:008	8	@	-	kaikkia␣
pp001:008	7	@	-	ikävöitsen␣
pp001:008	12	@	-	Kristuksen␣
pp001:008	13a	@	-	Jeesuksen␣
pp001:008	11	@	-	sydämellisellä␣
pp001:008	11	@	-	rakkaudella
pp001:008	10	%case	LOC	
pp001:008	13b	.	-	.␣
pp001:009	pp001:009	pp001:009	VERSE	Flp␣1:9␣
pp001:009	1	@	-	Ja␣
pp001:009	2	@	-	sitä␣
pp001:009	3a	(@)	-	minä␣
pp001:009	3a	@	-	rukoilen
pp001:009	3b	,	-	,␣
pp001:009	4	@	-	että␣
pp001:009	7	@	-	teidän␣
pp001:009	(5) 6	@	-	rakkautenne␣
pp001:009	12	@	-	tulisi␣
pp001:009	8	@	-	yhä␣
pp001:009	12	@	-	runsaammaksi␣
pp001:009	10 11 9	%case	TRA	
pp001:009	14	@	-	tiedossa␣
pp001:009	13	%case	LOC	
pp001:009	15	@	-	ja␣
pp001:009	16	@	-	kaikessa␣
pp001:009	17	@	-	käsittämisessä
pp001:009	-	(,)	-	,␣
pp001:010	pp001:010	pp001:010	VERSE	Flp␣1:10␣
pp001:010	tasp%3	@	-	voidaksenne␣
pp001:010	4	%pers	?	
pp001:010	1	%case	TRA	
pp001:010	(2) 3	@	-	tutkia
pp001:010	-	(,)	-	,␣
pp001:010	5	@	-	mikä␣
pp001:010	6a	@	-	paras␣
pp001:010	6a	@	-	on
pp001:010	6b	,	-	,␣
pp001:010	7	@	-	että␣
pp001:010	8	(@)	-	te␣
pp001:010	14a	@	-	Kristuksen␣
pp001:010	13	@	-	päivään␣
pp001:010	12	@	-	saakka␣
pp001:010	8	@	-	olisitte␣
pp001:010	9	@	-	puhtaat␣
pp001:010	11	@	-	ettekä␣
pp001:010	10	%clitic	kA	
pp001:010	-	(@)	-	kenellekään␣
pp001:010	11	@	-	loukkaukseksi
pp001:010	14b	,	-	,␣
pp001:011	pp001:011	pp001:011	VERSE	Flp␣1:11␣
pp001:011	1	@	-	täynnä␣
pp001:011	3	@	-	vanhurskauden␣
pp001:011	2	@	-	hedelmää
pp001:011	-	(,)	-	,␣
pp001:011	4	@	-	jonka␣
pp001:011	6	@	-	Jeesus␣
pp001:011	7	@	-	Kristus␣
pp001:011	5	@	-	saa␣
pp001:011	5	@	-	aikaan
pp001:011	-	(,)	-	,␣
pp001:011	12a	@	-	Jumalan␣
pp001:011	9	@	-	kunniaksi␣
pp001:011	8	%case	TRA	
pp001:011	10	@	-	ja␣
pp001:011	11	@	-	ylistykseksi
pp001:011	12b	.	-	.␣
pp001:012	pp001:012	pp001:012	VERSE	Flp␣1:12␣
pp001:012	2	@	-	Mutta␣
pp001:012	4a	(@)	-	minä␣
pp001:012	4a	@	-	tahdon
pp001:012	-	(,)	-	,␣
pp001:012	1	(@)	-	että␣
pp001:012	3	@	-	te
pp001:012	-	(,)	-	,␣
pp001:012	5a	@	-	veljet
pp001:012	-	(,)	-	,␣
pp001:012	1	@	-	tietäisitte
pp001:012	5b	,	-	,␣
pp001:012	6	@	-	että␣
pp001:012	7	@	-	se
pp001:012	-	(,)	-	,␣
pp001:012	7	@	-	mitä␣
pp001:012	9	@	-	minulle␣
pp001:012	8	%case	LOC	
pp001:012	-	(@)	-	on␣
pp001:012	-	(@)	-	tapahtunut
pp001:012	-	(,)	-	,␣
pp001:012	15a	(@)	-	on␣
pp001:012	15a	@	-	koitunutkin␣
pp001:012	10	%clitic	kin	
pp001:012	(13) 14	@	-	evankeliumin␣
pp001:012	12	@	-	menestykseksi
pp001:012	11	%case	TRA	
pp001:012	15b	,	-	,␣
pp001:013	pp001:013	pp001:013	VERSE	Flp␣1:13␣
pp001:013	1	@	-	niin␣
pp001:013	1	@	-	että␣
pp001:013	10	@	-	koko␣
pp001:013	(11) 12	@	-	henkivartioston␣
pp001:013	9	%case	GEN	
pp001:013	13	@	-	ja␣
pp001:013	16a	@	-	kaikkien␣
pp001:013	(14) 15	@	-	muiden␣
pp001:013	5	@	-	tietoon␣
pp001:013	8	(@)	-	on␣
pp001:013	8	@	-	tullut
pp001:013	-	(,)	-	,␣
pp001:013	-	(@)	-	että␣
pp001:013	4	@	-	minä␣
pp001:013	-	(@)	-	olen␣
pp001:013	(2) 3	@	-	kahleissa␣
pp001:013	7	@	-	Kristuksen␣
pp001:013	6	@	-	tähden
pp001:013	16b	,	-	,␣
pp001:014	pp001:014	pp001:014	VERSE	Flp␣1:14␣
pp001:014	1	@	-	ja␣
pp001:014	-	(@)	-	että␣
pp001:014	(2) 3	@	-	useimmat␣
pp001:014	(4) 5	@	-	veljistä
pp001:014	-	(,)	-	,␣
pp001:014	8	@	-	saaden␣
pp001:014	7	@	-	Herrassa␣
pp001:014	6	%case	LOC	
pp001:014	8	@	-	uskallusta␣
pp001:014	11	@	-	minun␣
pp001:014	10 (9)	@	-	kahleistani
pp001:014	-	(,)	-	,␣
pp001:014	12	@	-	yhä␣
pp001:014	12	@	-	enemmän␣
pp001:014	13	@	-	rohkenevat␣
pp001:014	14	@	-	pelkäämättä␣
pp001:014	19a	@	-	puhua␣
pp001:014	(17) 18	@	-	Jumalan␣
pp001:014	(15) 16	@	-	sanaa
pp001:014	19b	.	-	.␣
pp001:015	pp001:015	pp001:015	VERSE	Flp␣1:15␣
pp001:015	1	@	-	Muutamat␣
pp001:015	2	@	-	tosin␣
pp001:015	15a	@	-	julistavat␣
pp001:015	(13) 14	@	-	Kristusta␣
pp001:015	5	@	-	kateudestakin␣
pp001:015	4	%case	LOC	
pp001:015	3	%clitic	kin	
pp001:015	6	@	-	ja␣
pp001:015	7a	@	-	riidan␣
pp001:015	4	@	-	halusta
pp001:015	-	(,)	-	,␣
pp001:015	9	@	-	mutta␣
pp001:015	8	@	-	toiset␣
pp001:015	(10)	-	UNTRANSLATED	
pp001:015	12	@	-	hyvässä␣
pp001:015	12	@	-	tarkoituksessa
pp001:015	11	%case	LOC	
pp001:015	15b	:	-	:␣
pp001:016	pp001:016	pp001:016	VERSE	Flp␣1:16␣
pp001:016	1	@	-	nämä␣
pp001:016	2	%case	NOM	
pp001:016	-	(@)	-	tekevät␣
pp001:016	-	(@)	-	sitä␣
pp001:016	4a	@	-	rakkaudesta
pp001:016	3	%case	LOC	
pp001:016	4b	,	-	,␣
pp001:016	5	(@)	-	koska␣
pp001:016	5	@	-	tietävät
pp001:016	-	(,)	-	,␣
pp001:016	6	@	-	että␣
pp001:016	11a	(@)	-	minut␣
pp001:016	11a	(@)	-	on␣
pp001:016	11a	@	-	pantu␣
pp001:016	10 (9)	@	-	evankeliumia␣
pp001:016	8	@	-	puolustamaan
pp001:016	7	%case	LOC	
pp001:016	11b	,	-	,␣
pp001:017	pp001:017	pp001:017	VERSE	Flp␣1:17␣
pp001:017	1	@	-	nuo␣
pp001:017	1	@	-	toiset␣
pp001:017	2	@	-	taas␣
pp001:017	7a	@	-	julistavat␣
pp001:017	(5) 6	@	-	Kristusta␣
pp001:017	4	@	-	itsekkyydestä
pp001:017	3	%case	LOC	
pp001:017	7b	,	-	,␣
pp001:017	9a	@	-	epäpuhtaalla␣
pp001:017	9a	@	-	mielellä
pp001:017	8	%case	LOC	
pp001:017	9b	,	-	,␣
pp001:017	10	@	-	luullen␣
pp001:017	12	@	-	tuottavansa␣
pp001:017	-	(@)	-	minulle␣
pp001:017	11	@	-	murhetta␣
pp001:017	(13) 14	@	-	kahleissani
pp001:017	15a	%pers	?	
pp001:017	15b	.	-	.␣
pp001:018	pp001:018	pp001:018	VERSE	Flp␣1:18␣
pp001:018	2a	@	-	Vaan␣
pp001:018	1	@	-	mitäpä␣
pp001:018	1	@	-	tuosta
pp001:018	2b	,	-	,␣
pp001:018	3	@	-	kunhan␣
pp001:018	11	@	-	Kristusta␣
pp001:018	3	@	-	vain␣
pp001:018	(4)	-	UNTRANSLATED	
pp001:018	6a	@	-	tavalla␣
pp001:018	-	(@)	-	tai␣
pp001:018	5	@	-	toisella␣
pp001:018	12a	@	-	julistetaan
pp001:018	-	(,)	-	,␣
pp001:018	7	@	-	joko␣
pp001:018	8	@	-	näön␣
pp001:018	8	@	-	vuoksi␣
pp001:018	9	@	-	tai␣
pp001:018	10a	@	-	totuudessa
pp001:018	12b	!	-	!␣
pp001:018	13	@	-	Ja␣
pp001:018	15	@	-	siitä␣
pp001:018	14	%case	LOC	
pp001:018	16a	(@)	-	minä␣
pp001:018	16a	@	-	iloitsen
pp001:018	16b	,	-	,␣
pp001:018	18	@	-	ja␣
pp001:018	19a	(@)	-	olen␣
pp001:018	17	@	-	vastakin␣
pp001:018	19a	@	-	iloitseva
pp001:018	19b	.	-	.␣
pp001:019	pp001:019	pp001:019	VERSE	Flp␣1:19␣
pp001:019	2	@	-	Sillä␣
pp001:019	1	(@)	-	minä␣
pp001:019	1	@	-	tiedän
pp001:019	-	(,)	-	,␣
pp001:019	3	@	-	että␣
pp001:019	4	@	-	tämä␣
pp001:019	6	(@)	-	on␣
pp001:019	6	@	-	päättyvä␣
pp001:019	5	@	-	minulle␣
pp001:019	8	@	-	pelastukseksi␣
pp001:019	7	%case	TRA	
pp001:019	11	@	-	teidän␣
pp001:019	(10) 12	@	-	rukoustenne␣
pp001:019	9	@	-	kautta␣
pp001:019	13	@	-	ja␣
pp001:019	17	@	-	Jeesuksen␣
pp001:019	18	@	-	Kristuksen␣
pp001:019	(15) 16	@	-	Hengen␣
pp001:019	14	@	-	avulla
pp001:019	-	(,)	-	,␣
pp001:020	pp001:020	pp001:020	VERSE	Flp␣1:20␣
pp001:020	6a	@	-	minun␣
pp001:020	(2) 3	@	-	hartaan␣
pp001:020	(2) 3	@	-	odotukseni␣
pp001:020	4	@	-	ja␣
pp001:020	5	@	-	toivoni␣
pp001:020	1	@	-	mukaan
pp001:020	6b	,	-	,␣
pp001:020	7	@	-	etten␣
pp001:020	10	(@)	-	ole␣
pp001:020	9	@	-	missään␣
pp001:020	8	%case	LOC	
pp001:020	10	@	-	häpeään␣
pp001:020	10	@	-	joutuva
pp001:020	-	(,)	-	,␣
pp001:020	11	@	-	vaan␣
pp001:020	-	(@)	-	että␣
pp001:020	20	@	-	Kristus␣
pp001:020	18	@	-	nytkin
pp001:020	17	%clitic	kin	
pp001:020	-	(,)	-	,␣
pp001:020	15	@	-	niinkuin␣
pp001:020	16	@	-	aina
pp001:020	-	(,)	-	,␣
pp001:020	19	(@)	-	on␣
pp001:020	19	(@)	-	tuleva␣
pp001:020	19	@	-	ylistetyksi␣
pp001:020	24a	@	-	minun␣
pp001:020	(22) 23	@	-	ruumiissani␣
pp001:020	21	%case	LOC	
pp001:020	13	@	-	kaikella␣
pp001:020	14	@	-	rohkeudella
pp001:020	12	%case	LOC	
pp001:020	24b	,	-	,␣
pp001:020	25	@	-	joko␣
pp001:020	27	@	-	elämän␣
pp001:020	26	%case	GEN	
pp001:020	28	@	-	tai␣
pp001:020	30a	@	-	kuoleman␣
pp001:020	29	@	-	kautta
pp001:020	30b	.	-	.␣
pp001:021	pp001:021	pp001:021	VERSE	Flp␣1:21␣
pp001:021	2	@	-	Sillä␣
pp001:021	(3) 4	@	-	elämä␣
pp001:021	-	(@)	-	on␣
pp001:021	1	@	-	minulle␣
pp001:021	5	@	-	Kristus
pp001:021	-	(,)	-	,␣
pp001:021	6	@	-	ja␣
pp001:021	(7) 8	@	-	kuolema␣
pp001:021	-	(@)	-	on␣
pp001:021	9a	@	-	voitto
pp001:021	9b	.	-	.␣
pp001:022	pp001:022	pp001:022	VERSE	Flp␣1:22␣
pp001:022	2	@	-	Mutta␣
pp001:022	1	@	-	jos␣
pp001:022	-	(@)	-	minun␣
pp001:022	-	(@)	-	on␣
pp001:022	(3) 4	@	-	eläminen␣
pp001:022	-	(@)	-	täällä␣
pp001:022	6a	@	-	lihassa
pp001:022	5	%case	LOC	
pp001:022	6b	,	-	,␣
pp001:022	-	(@)	-	niin␣
pp001:022	7	@	-	siitä␣
pp001:022	-	(@)	-	koituu␣
pp001:022	9	@	-	hedelmää␣
pp001:022	10a	@	-	työlleni
pp001:022	8	%pers	?	
pp001:022	10b	,	-	,␣
pp001:022	11	@	-	ja␣
pp001:022	-	(@)	-	silloin␣
pp001:022	14	@	-	en␣
pp001:022	15a	@	-	tiedä
pp001:022	-	(,)	-	,␣
pp001:022	12	@	-	minkä␣
pp001:022	13	@	-	valitsisin
pp001:022	15b	.	-	.␣
pp001:023	pp001:023	pp001:023	VERSE	Flp␣1:23␣
pp001:023	1	@	-	Ahtaalla␣
pp001:023	1	(@)	-	minä␣
pp001:023	1	@	-	olen␣
pp001:023	(2)	-	UNTRANSLATED	
pp001:023	4	@	-	näiden␣
pp001:023	5a	@	-	kahden␣
pp001:023	3	@	-	välissä
pp001:023	5b	:	-	:␣
pp001:023	(6) 7	@	-	halu␣
pp001:023	8	(@)	-	minulla␣
pp001:023	8	@	-	on␣
pp001:023	-	(@)	-	täältä␣
pp001:023	(10) 11	@	-	eritä␣
pp001:023	9	%case	LAT	
pp001:023	12	@	-	ja␣
pp001:023	15a	@	-	olla␣
pp001:023	14	@	-	Kristuksen␣
pp001:023	13	@	-	kanssa
pp001:023	15b	,	-	,␣
pp001:023	17a	@	-	sillä␣
pp001:023	-	(@)	-	se␣
pp001:023	-	(@)	-	olisi␣
pp001:023	16a	@	-	monin␣
pp001:023	18	@	-	verroin␣
pp001:023	19a	@	-	parempi
pp001:023	19b	;	-	;␣
pp001:024	pp001:024	pp001:024	VERSE	Flp␣1:24␣
pp001:024	2	@	-	mutta␣
pp001:024	9a	@	-	teidän␣
pp001:024	8	@	-	tähtenne␣
pp001:024	-	(@)	-	on␣
pp001:024	(5) 6	@	-	lihassa␣
pp001:024	4a	%case	LOC	
pp001:024	(1) 3a	@	-	viipymiseni␣
pp001:024	7	@	-	tarpeellisempi
pp001:024	9b	.	-	.␣
pp001:025	pp001:025	pp001:025	VERSE	Flp␣1:25␣
pp001:025	1	@	-	Ja␣
pp001:025	3	(@)	-	kun␣
pp001:025	3	@	-	olen␣
pp001:025	2	@	-	tästä␣
pp001:025	3	@	-	varma
pp001:025	-	(,)	-	,␣
pp001:025	-	(@)	-	niin␣
pp001:025	4	(@)	-	minä␣
pp001:025	4	@	-	tiedän␣
pp001:025	(5)	-	UNTRANSLATED	
pp001:025	6	@	-	jääväni␣
pp001:025	-	(@)	-	eloon␣
pp001:025	7	@	-	ja␣
pp001:025	8	@	-	viipyväni␣
pp001:025	9	@	-	kaikkien␣
pp001:025	10	@	-	teidän␣
pp001:025	8	@	-	luonanne␣
pp001:025	13	@	-	teidän␣
pp001:025	(12) 14	@	-	edistymiseksenne␣
pp001:025	11	%case	TRA	
pp001:025	15	@	-	ja␣
pp001:025	16	@	-	iloksenne␣
pp001:025	(17) 18a	@	-	uskossa
pp001:025	18b	,	-	,␣
pp001:026	pp001:026	pp001:026	VERSE	Flp␣1:26␣
pp001:026	1	@	-	että␣
pp001:026	4	@	-	teidän␣
pp001:026	(2) 3	@	-	kerskaamisenne␣
pp001:026	10	@	-	minusta␣
pp001:026	9	%case	LOC	
pp001:026	5	@	-	olisi␣
pp001:026	5	@	-	yhä␣
pp001:026	5	@	-	runsaampi␣
pp001:026	7	@	-	Kristuksessa␣
pp001:026	8	@	-	Jeesuksessa
pp001:026	6	%case	LOC	
pp001:026	-	(,)	-	,␣
pp001:026	11	@	-	kun␣
pp001:026	13	@	-	minä␣
pp001:026	15	@	-	taas␣
pp001:026	(12) 14	@	-	tulen␣
pp001:026	17a	@	-	teidän␣
pp001:026	16	@	-	tykönne
pp001:026	17b	.	-	.␣
pp001:027	pp001:027	pp001:027	VERSE	Flp␣1:27␣
pp001:027	7a	@	-	Käyttäytykää␣
pp001:027	1	@	-	vain␣
pp001:027	(5) 6	@	-	Kristuksen␣
pp001:027	(3) 4	@	-	evankeliumin␣
pp001:027	2	@	-	arvon␣
pp001:027	pro%2	@	-	mukaisesti
pp001:027	7b	,	-	,␣
pp001:027	8	@	-	että␣
pp001:027	10	(@)	-	minä
pp001:027	-	(,)	-	,␣
pp001:027	10	@	-	tulinpa␣
pp001:027	9	%clitic	pA	
pp001:027	9	@	-	sitten␣
pp001:027	-	(@)	-	teidän␣
pp001:027	-	(@)	-	tykönne␣
pp001:027	11	@	-	ja␣
pp001:027	12	@	-	näin␣
pp001:027	13	@	-	teidät␣
pp001:027	14	@	-	tai␣
pp001:027	15	(@)	-	olin␣
pp001:027	15	@	-	tulematta
pp001:027	-	(,)	-	,␣
pp001:027	tasp%16	@	-	saan␣
pp001:027	16	@	-	kuulla␣
pp001:027	(17) 19a	@	-	teistä
pp001:027	18	%case	LOC	
pp001:027	19b	,	-	,␣
pp001:027	20	@	-	että␣
pp001:027	21	(@)	-	te␣
pp001:027	21	@	-	pysytte␣
pp001:027	23	@	-	samassa␣
pp001:027	24a	@	-	hengessä␣
pp001:027	22	%case	LOC	
pp001:027	-	(@)	-	ja␣
pp001:027	25 26	@	-	yksimielisinä␣
pp001:027	27	@	-	taistelette␣
pp001:027	-	(@)	-	minun␣
pp001:027	27	@	-	kanssani␣
pp001:027	(30) 31	@	-	evankeliumin␣
pp001:027	(28) 29	@	-	uskon␣
pp001:027	case%29	@	-	puolesta
pp001:027	-	(,)	-	,␣
pp001:028	pp001:028	pp001:028	VERSE	Flp␣1:28␣
pp001:028	(7) 8a	@	-	vastustajia␣
pp001:028	6	%case	PTV	
pp001:028	(1)	-	UNTRANSLATED	
pp001:028	5	@	-	missään␣
pp001:028	5	@	-	kohden␣
pp001:028	4	%case	?	
pp001:028	3	@	-	säikähtämättä
pp001:028	2	%case	ABE	
pp001:028	8b	;	-	;␣
pp001:028	-	(@)	-	ja␣
pp001:028	9	@	-	se␣
pp001:028	10	@	-	on␣
pp001:028	11	@	-	heille␣
pp001:028	13a	@	-	kadotuksen
pp001:028	-	(,)	-	,␣
pp001:028	15	@	-	mutta␣
pp001:028	14	@	-	teille␣
pp001:028	16a	@	-	pelastuksen␣
pp001:028	12	@	-	merkki
pp001:028	16b	,	-	,␣
pp001:028	(17)	-	UNTRANSLATED	
pp001:028	pro%18	@	-	merkki␣
pp001:028	20a	@	-	Jumalalta
pp001:028	19	%case	LOC	
pp001:028	20b	.	-	.␣
pp001:029	pp001:029	pp001:029	VERSE	Flp␣1:29␣
pp001:029	1	@	-	Sillä␣
pp001:029	2	@	-	teidän␣
pp001:029	3	(@)	-	on␣
pp001:029	3	@	-	suotu
pp001:029	-	(,)	-	,␣
pp001:029	(4)	-	UNTRANSLATED	
pp001:029	6a	@	-	Kristuksen␣
pp001:029	5	@	-	tähden
pp001:029	6b	,	-	,␣
pp001:029	7	@	-	ei␣
pp001:029	8	@	-	ainoastaan␣
pp001:029	12 (9)	@	-	uskoa␣
pp001:029	11	@	-	häneen
pp001:029	10	%case	LOC	
pp001:029	-	(,)	-	,␣
pp001:029	13	@	-	vaan␣
pp001:029	14	@	-	myös␣
pp001:029	(15) 18a	@	-	kärsiä␣
pp001:029	17	@	-	hänen␣
pp001:029	16	@	-	tähtensä
pp001:029	18b	,	-	,␣
pp001:030	pp001:030	pp001:030	VERSE	Flp␣1:30␣
pp001:030	4a	(@)	-	teidän
pp001:030	-	(,)	-	,␣
pp001:030	4a	(@)	-	joilla␣
pp001:030	4a	@	-	on␣
pp001:030	2	@	-	sama␣
pp001:030	(1) 3	@	-	taistelu
pp001:030	4b	,	-	,␣
pp001:030	5	@	-	mitä␣
pp001:030	6	@	-	näitte␣
pp001:030	(7) (8)	-	UNTRANSLATED	
pp001:030	9	@	-	ja␣
pp001:030	10	@	-	nyt␣
pp001:030	11	@	-	kuulette␣
pp001:030	13a	@	-	minun␣
pp001:030	pro%12	@	-	taistelevan
pp001:030	13b	.	-	.␣
pp002:001	pp002:001	pp002:001	VERSE	Flp␣2:1␣
pp002:001	1	@	-	Jos␣
pp002:001	3	@	-	siis␣
pp002:001	-	(@)	-	on␣
pp002:001	2	@	-	jotakin␣
pp002:001	4	@	-	kehoitusta␣
pp002:001	6a	@	-	Kristuksessa
pp002:001	5	%case	LOC	
pp002:001	6b	,	-	,␣
pp002:001	7	@	-	jos␣
pp002:001	8	@	-	jotakin␣
pp002:001	10a	@	-	rakkauden␣
pp002:001	9	@	-	lohdutusta
pp002:001	10b	,	-	,␣
pp002:001	11	@	-	jos␣
pp002:001	12	@	-	jotakin␣
pp002:001	14a	@	-	Hengen␣
pp002:001	13	@	-	yhteyttä
pp002:001	14b	,	-	,␣
pp002:001	15	@	-	jos␣
pp002:001	16	@	-	jotakin␣
pp002:001	17	@	-	sydämellisyyttä␣
pp002:001	18	@	-	ja␣
pp002:001	19a	@	-	laupeutta
pp002:001	19b	,	-	,␣
pp002:002	pp002:002	pp002:002	VERSE	Flp␣2:2␣
pp002:002	-	(@)	-	niin␣
pp002:002	1	@	-	tehkää␣
pp002:002	2	@	-	minun␣
pp002:002	(3) 4	@	-	iloni␣
pp002:002	1	@	-	täydelliseksi␣
pp002:002	-	(@)	-	siten
pp002:002	-	(,)	-	,␣
pp002:002	5	@	-	että␣
pp002:002	8a	@	-	olette␣
pp002:002	(6) 7	@	-	samaa␣
pp002:002	8a	@	-	mieltä
pp002:002	8b	,	-	,␣
pp002:002	-	(@)	-	että␣
pp002:002	12a	(@)	-	teillä␣
pp002:002	12a	@	-	on␣
pp002:002	10	@	-	sama␣
pp002:002	11 (9)	@	-	rakkaus
pp002:002	12b	,	-	,␣
