3j000:001	3j000:001	3j000:001	VERSE	3Jh␣0:1␣
3j000:010	(23) 24	@	-	veljiä␣
3j000:010	22	@	-	vastaan
3j000:010	-	(,)	-	,␣
3j000:010	25	@	-	vaan␣
3j000:010	28	@	-	estää␣
3j000:010	26	@	-	niitäkin
3j000:010	-	(,)	-	,␣
3j000:010	26	@	-	jotka␣
3j000:010	27	@	-	tahtovat␣
3j000:010	-	(@)	-	sen␣
3j000:010	-	(@)	-	tehdä
3j000:010	-	(,)	-	,␣
3j000:010	29	@	-	ja␣
3j000:010	33a	@	-	ajaa␣
3j000:010	-	(@)	-	heidät␣
3j000:010	33a	@	-	pois␣
3j000:010	(31) 32	@	-	seurakunnasta
3j000:010	30	%case	LOC	
3j000:010	33b	.	-	.␣
3j000:011	3j000:011	3j000:011	VERSE	3Jh␣0:11␣
3j000:011	1a	@	-	Rakkaani
3j000:011	1b	,	-	,␣
3j000:011	2	@	-	älä␣
3j000:011	3	@	-	seuraa␣
3j000:011	(4) 5	@	-	pahaa
3j000:011	-	(,)	-	,␣
3j000:011	6	@	-	vaan␣
3j000:011	(7) 8a	@	-	hyvää
3j000:011	8b	.	-	.␣
3j000:011	9	@	-	Joka␣
3j000:011	10	@	-	hyvin␣
3j000:011	10	@	-	tekee
3j000:011	-	(,)	-	,␣
3j000:011	14a	(@)	-	se␣
3j000:011	14a	@	-	on␣
3j000:011	(12) 13	@	-	Jumalasta
3j000:011	11	%case	LOC	
3j000:011	14b	;	-	;␣
3j000:011	15	@	-	joka␣
3j000:011	16	@	-	pahoin␣
3j000:011	16	@	-	tekee
3j000:011	-	(,)	-	,␣
3j000:011	18	(@)	-	se␣
3j000:011	17	@	-	ei␣
3j000:011	18	(@)	-	ole␣
3j000:011	(19) 20a	@	-	Jumalaa␣
3j000:011	18	@	-	nähnyt
3j000:011	20b	.	-	.␣
3j000:012	3j000:012	3j000:012	VERSE	3Jh␣0:12␣
3j000:012	1	@	-	Demetrius␣
3j000:012	2	(@)	-	on␣
3j000:012	4	@	-	kaikilta
3j000:012	3	%case	LOC	
3j000:012	-	(,)	-	,␣
3j000:012	5	@	-	jopa␣
3j000:012	7	@	-	itse␣
3j000:012	(8) 9a	@	-	totuudeltakin
3j000:012	6	%case	LOC	
3j000:012	-	(,)	-	,␣
3j000:012	2	@	-	saanut␣
3j000:012	2	(@)	-	hyvän␣
3j000:012	2	@	-	todistuksen
3j000:012	9b	;	-	;␣
3j000:012	12	@	-	ja␣
3j000:012	11	@	-	mekin␣
3j000:012	10	%clitic	kin	
3j000:012	13a	@	-	todistamme␣
3j000:012	-	(@)	-	hänestä␣
3j000:012	-	(@)	-	samaa
3j000:012	13b	,	-	,␣
3j000:012	14	@	-	ja␣
3j000:012	15	(@)	-	sinä␣
3j000:012	15	@	-	tiedät
3j000:012	-	(,)	-	,␣
3j000:012	16	@	-	että␣
3j000:012	19	@	-	meidän␣
3j000:012	(17) 18	@	-	todistuksemme␣
3j000:012	21a	@	-	on␣
3j000:012	20	@	-	tosi
3j000:012	21b	.	-	.␣
3j000:013	3j000:013	3j000:013	VERSE	3Jh␣0:13␣
3j000:013	2	(@)	-	Minulla␣
3j000:013	2	@	-	olisi␣
3j000:013	1	@	-	paljon␣
3j000:013	3	@	-	kirjoittamista␣
3j000:013	4	@	-	sinulle
3j000:013	-	(,)	-	,␣
3j000:013	5	@	-	mutta␣
3j000:013	6	@	-	en␣
3j000:013	7	@	-	tahdo␣
3j000:013	13a	@	-	kirjoittaa␣
3j000:013	12	@	-	sinulle␣
3j000:013	9	@	-	musteella␣
3j000:013	8	%case	LOC	
3j000:013	10	@	-	ja␣
3j000:013	11	@	-	kynällä
3j000:013	13b	,	-	,␣
3j000:014	3j000:014	3j000:014	VERSE	3Jh␣0:14␣
3j000:014	2	@	-	sillä␣
3j000:014	1	(@)	-	minä␣
3j000:014	1	@	-	toivon␣
3j000:014	3	@	-	pian␣
3j000:014	5a	@	-	näkeväni␣
3j000:014	4	@	-	sinut
3j000:014	5b	,	-	,␣
3j000:014	6	@	-	ja␣
3j000:014	-	(@)	-	silloin␣
3j000:014	tasp%10a	@	-	saamme␣
3j000:014	7	@	-	suullisesti␣
3j000:014	8 9	%case	MAN	
3j000:014	10a	@	-	puhella
3j000:014	10b	.	-	.␣
3j000:015	3j000:015	3j000:015	VERSE	3Jh␣0:15␣
3j000:015	1	@	-	Rauha␣
3j000:015	2a	@	-	sinulle
3j000:015	-	(!)	-	!␣
3j000:015	(5) 6a	@	-	Ystävät␣
3j000:015	3	@	-	tervehtivät␣
3j000:015	4	@	-	sinua
3j000:015	6b	.	-	.␣
3j000:015	7	@	-	Tervehdys␣
3j000:015	(8) 9	@	-	ystäville
3j000:015	-	(,)	-	,␣
3j000:015	11a	@	-	kullekin␣
3j000:015	10	@	-	erikseen
3j000:015	11b	.	-	.␣
