ep001:001	ep001:001	ep001:001	VERSE	Ef␣1:1␣
ep001:013	18	@	-	uskoviksi␣
ep001:013	18	@	-	tultuanne␣
ep001:013	19	@	-	pantu␣
ep001:013	(22) 23	@	-	luvatun␣
ep001:013	(24) 25a	@	-	Pyhän␣
ep001:013	(20) 21	@	-	Hengen␣
ep001:013	19	@	-	sinetti
ep001:013	25b	,	-	,␣
ep001:014	ep001:014	ep001:014	VERSE	Ef␣1:14␣
ep001:014	-	(@)	-	sen
ep001:014	-	(,)	-	,␣
ep001:014	1	@	-	joka␣
ep001:014	2	@	-	on␣
ep001:014	6a	@	-	meidän␣
ep001:014	(4) 5	@	-	perintömme␣
ep001:014	3	@	-	vakuutena
ep001:014	6b	,	-	,␣
ep001:014	-	(@)	-	hänen␣
ep001:014	10a (9)	@	-	omaisuutensa␣
ep001:014	8	@	-	lunastamiseksi␣
ep001:014	7	%case	TRA	
ep001:014	10b	-	-	-␣
ep001:014	15a	@	-	hänen␣
ep001:014	(13) 14	@	-	kirkkautensa␣
ep001:014	12	@	-	kiitokseksi
ep001:014	11	%case	TRA	
ep001:014	15b	.	-	.␣
ep001:015	ep001:015	ep001:015	VERSE	Ef␣1:15␣
ep001:015	1 2	@	-	Sentähden
ep001:015	-	(,)	-	,␣
ep001:015	(4=omit)	-	UNTRANSLATED	
ep001:015	5	(@)	-	kun␣
ep001:015	5	@	-	kuulin␣
ep001:015	6	@	-	siitä␣
ep001:015	9	@	-	uskosta
ep001:015	-	(,)	-	,␣
ep001:015	6	@	-	joka␣
ep001:015	8	@	-	teillä␣
ep001:015	7	%case	LOC	
ep001:015	-	(@)	-	on␣
ep001:015	(11) 12	@	-	Herrassa␣
ep001:015	13	@	-	Jeesuksessa
ep001:015	10	%case	LOC	
ep001:015	-	(,)	-	,␣
ep001:015	14	@	-	ja␣
ep001:015	-	(@)	-	teidän␣
ep001:015	(15) 16	@	-	rakkaudestanne␣
ep001:015	(17)	-	UNTRANSLATED	
ep001:015	19	@	-	kaikkia␣
ep001:015	(20) 21	@	-	pyhiä␣
ep001:015	18	@	-	kohtaan
ep001:015	-	(,)	-	,␣
ep001:016	ep001:016	ep001:016	VERSE	Ef␣1:16␣
ep001:016	1	@	-	en␣
ep001:016	2	(@)	-	minäkään␣
ep001:016	2	@	-	lakkaa␣
ep001:016	3	@	-	kiittämästä␣
ep001:016	5	@	-	teidän␣
ep001:016	4	@	-	tähtenne
ep001:016	-	(,)	-	,␣
ep001:016	6 7	(@)	-	kun␣
ep001:016	6 7	@	-	muistelen␣
ep001:016	-	(@)	-	teitä␣
ep001:016	10 (9)	@	-	rukouksissani
ep001:016	11a	%pers	?	
ep001:016	8	%case	LOC	
ep001:016	11b	,	-	,␣
ep001:017	ep001:017	ep001:017	VERSE	Ef␣1:17␣
ep001:017	-	(@)	-	anoen
ep001:017	-	(,)	-	,␣
ep001:017	1	@	-	että␣
ep001:017	6	@	-	meidän␣
ep001:017	(4) 5	@	-	Herramme␣
ep001:017	7	@	-	Jeesuksen␣
ep001:017	8a	@	-	Kristuksen␣
ep001:017	(2) 3	@	-	Jumala
ep001:017	8b	,	-	,␣
ep001:017	(11) 12a	@	-	kirkkauden␣
ep001:017	10 (9)	@	-	Isä
ep001:017	12b	,	-	,␣
ep001:017	13	@	-	antaisi␣
ep001:017	14	@	-	teille␣
ep001:017	16	@	-	viisauden␣
ep001:017	17	@	-	ja␣
ep001:017	18	@	-	ilmestyksen␣
ep001:017	15	@	-	Hengen␣
ep001:017	21a	@	-	hänen␣
ep001:017	20	@	-	tuntemisessaan␣
ep001:017	19	%case	LOC	
ep001:018	ep001:018	ep001:018	VERSE	Ef␣1:18␣
ep001:018	-	(@)	-	ja␣
ep001:018	1	@	-	valaisisi␣
ep001:018	6a	@	-	teidän␣
ep001:018	(4) 5a	@	-	sydämenne␣
ep001:018	(2) 3	@	-	silmät
ep001:018	-	(,)	-	,␣
ep001:018	7	@	-	että␣
ep001:018	(8) 9	@	-	tietäisitte
ep001:018	10	%pers	2P	
ep001:018	-	(,)	-	,␣
ep001:018	11	@	-	mikä␣
ep001:018	12	@	-	on␣
ep001:018	13	@	-	se␣
ep001:018	14	@	-	toivo
ep001:018	-	(,)	-	,␣
ep001:018	15	@	-	johon␣
ep001:018	17a	@	-	hän␣
ep001:018	16	(@)	-	on␣
ep001:018	-	(@)	-	teidät␣
ep001:018	16	@	-	kutsunut
ep001:018	17b	,	-	,␣
ep001:018	18	@	-	kuinka␣
ep001:018	(19) 20	@	-	suuri␣
ep001:018	25	@	-	hänen␣
ep001:018	(23) 24	@	-	perintönsä␣
ep001:018	(21) 22	@	-	kirkkaus␣
ep001:018	-	(@)	-	hänen␣
ep001:018	(27) 28a	@	-	pyhissään␣
ep001:018	26	%case	LOC	
ep001:019	ep001:019	ep001:019	VERSE	Ef␣1:19␣
ep001:019	1	@	-	ja␣
ep001:019	2	@	-	mikä␣
ep001:019	8	@	-	hänen␣
ep001:019	(6) 7	@	-	voimansa␣
ep001:019	4	@	-	ylenpalttinen␣
ep001:019	(3) 5	@	-	suuruus␣
ep001:019	10	@	-	meitä␣
ep001:019	9	@	-	kohtaan
ep001:019	-	(,)	-	,␣
ep001:019	11	@	-	jotka␣
ep001:019	12	@	-	uskomme␣
ep001:019	-	(-)	-	-␣
ep001:019	14	@	-	sen␣
ep001:019	20a	@	-	hänen␣
ep001:019	(18) 19	@	-	väkevyytensä␣
ep001:019	(16) 17	@	-	voiman␣
ep001:019	15	@	-	vaikutuksen␣
ep001:019	13	@	-	mukaan
ep001:019	20b	,	-	,␣
ep001:020	ep001:020	ep001:020	VERSE	Ef␣1:20␣
ep001:020	1	@	-	jonka␣
ep001:020	2	(@)	-	hän␣
ep001:020	2	@	-	vaikutti␣
ep001:020	(4) 5	@	-	Kristuksessa
ep001:020	3	%case	LOC	
ep001:020	-	(,)	-	,␣
ep001:020	6	(@)	-	kun␣
ep001:020	6	(@)	-	hän␣
ep001:020	6	@	-	herätti␣
ep001:020	7	@	-	hänet␣
ep001:020	9	@	-	kuolleista␣
ep001:020	8	%case	LOC	
ep001:020	10	@	-	ja␣
ep001:020	11	@	-	asetti␣
ep001:020	-	(@)	-	hänet␣
ep001:020	13	@	-	oikealle␣
ep001:020	13	@	-	puolellensa␣
ep001:020	14	%pers	3	
ep001:020	12	%case	LOC	
ep001:020	(16) 17	@	-	taivaissa
ep001:020	15	%case	LOC	
ep001:020	-	(,)	-	,␣
ep001:021	ep001:021	ep001:021	VERSE	Ef␣1:21␣
ep001:021	1	@	-	korkeammalle␣
ep001:021	2	@	-	kaikkea␣
ep001:021	3	@	-	hallitusta␣
ep001:021	4	@	-	ja␣
ep001:021	5	@	-	valtaa␣
ep001:021	6	@	-	ja␣
ep001:021	7	@	-	voimaa␣
ep001:021	8	@	-	ja␣
ep001:021	9	@	-	herrautta␣
ep001:021	10	@	-	ja␣
ep001:021	11	@	-	jokaista␣
ep001:021	12	@	-	nimeä
ep001:021	-	(,)	-	,␣
ep001:021	13a	(@)	-	mikä␣
ep001:021	13a	@	-	mainitaan
ep001:021	13b	,	-	,␣
ep001:021	14	@	-	ei␣
ep001:021	15	@	-	ainoastaan␣
ep001:021	19	@	-	tässä␣
ep001:021	(17) 18	@	-	maailmanajassa
ep001:021	16	%case	LOC	
ep001:021	-	(,)	-	,␣
ep001:021	20	@	-	vaan␣
ep001:021	21	@	-	myös␣
ep001:021	(23) 24a	@	-	tulevassa
ep001:021	22	%case	LOC	
ep001:021	24b	.	-	.␣
ep001:022	ep001:022	ep001:022	VERSE	Ef␣1:22␣
ep001:022	1	@	-	Ja␣
ep001:022	2	@	-	kaikki␣
ep001:022	3	(@)	-	hän␣
ep001:022	3	(@)	-	on␣
ep001:022	3	@	-	asettanut␣
ep001:022	7	@	-	hänen␣
ep001:022	(5) 6	@	-	jalkainsa␣
ep001:022	4	@	-	alle␣
ep001:022	8	@	-	ja␣
ep001:022	10	@	-	antanut␣
ep001:022	9	@	-	hänet␣
ep001:022	13	@	-	kaiken␣
ep001:022	12	%case	GEN	
ep001:022	11	@	-	pääksi␣
ep001:022	(14) 15a	@	-	seurakunnalle
ep001:022	15b	,	-	,␣
ep001:023	ep001:023	ep001:023	VERSE	Ef␣1:23␣
ep001:023	1	@	-	joka␣
ep001:023	2	@	-	on␣
ep001:023	5a	@	-	hänen␣
ep001:023	(3) 4	@	-	ruumiinsa
ep001:023	5b	,	-	,␣
ep001:023	-	(@)	-	hänen␣
ep001:023	(6) 7	@	-	täyteytensä
ep001:023	-	(,)	-	,␣
ep001:023	8	@	-	joka␣
ep001:023	10 (9)	@	-	kaikki␣
ep001:023	12	@	-	kaikissa␣
ep001:023	11	%case	LOC	
ep001:023	13a	@	-	täyttää
ep001:023	13b	.	-	.␣
ep002:001	ep002:001	ep002:001	VERSE	Ef␣2:1␣
ep002:001	1	@	-	Ja␣
ep002:001	-	(@)	-	Jumala␣
ep002:001	-	(@)	-	on␣
ep002:001	-	(@)	-	eläviksi␣
ep002:001	-	(@)	-	tehnyt␣
ep002:001	2	@	-	teidät
ep002:001	-	(,)	-	,␣
ep002:001	3	(@)	-	jotka␣
ep002:001	3	@	-	olitte␣
ep002:001	4	@	-	kuolleet␣
ep002:001	(5) 6	@	-	rikoksiinne␣
ep002:001	7	@	-	ja␣
ep002:001	(8) 9	@	-	synteihinne
ep002:001	10a	%pers	?	
ep002:001	10b	,	-	,␣
ep002:002	ep002:002	ep002:002	VERSE	Ef␣2:2␣
ep002:002	2	@	-	joissa␣
ep002:002	1	%case	LOC	
ep002:002	4	(@)	-	te␣
ep002:002	3	@	-	ennen␣
ep002:002	4	@	-	vaelsitte␣
ep002:002	10a	@	-	tämän␣
ep002:002	(8) 9	@	-	maailman␣
ep002:002	(6) 7	@	-	menon␣
ep002:002	5	@	-	mukaan
ep002:002	10b	,	-	,␣
ep002:002	(14) 15 (16) 17a	@	-	ilmavallan␣
ep002:002	(12) 13	@	-	hallitsijan
ep002:002	-	(,)	-	,␣
ep002:002	18	@	-	sen␣
ep002:002	19	@	-	hengen␣
ep002:002	-	(@)	-	hallitsijan
ep002:002	-	(,)	-	,␣
ep002:002	11	@	-	mukaan
ep002:002	-	(,)	-	,␣
ep002:002	20	@	-	joka␣
ep002:002	21	@	-	nyt␣
ep002:002	22	@	-	tekee␣
ep002:002	22	@	-	työtään␣
ep002:002	(26) 27a	@	-	tottelemattomuuden␣
ep002:002	(24) 25	@	-	lapsissa
ep002:002	23	%case	LOC	
ep002:002	27b	,	-	,␣
ep002:003	ep002:003	ep002:003	VERSE	Ef␣2:3␣
ep002:003	2	@	-	joiden␣
ep002:003	1	@	-	joukossa␣
ep002:003	4	@	-	mekin␣
ep002:003	3	%clitic	kin	
ep002:003	5	@	-	kaikki␣
ep002:003	7	@	-	ennen␣
ep002:003	6	@	-	vaelsimme␣
ep002:003	(11) 12	@	-	lihamme␣
ep002:003	13	%pers	?	
ep002:003	10 (9)	@	-	himoissa
ep002:003	8	%case	LOC	
ep002:003	-	(,)	-	,␣
ep002:003	14	@	-	noudattaen␣
ep002:003	(17) 18	@	-	lihan␣
ep002:003	19	@	-	ja␣
ep002:003	(20) 21a	@	-	ajatusten␣
ep002:003	(15) 16	@	-	mielitekoja
ep002:003	21b	,	-	,␣
ep002:003	22	@	-	ja␣
ep002:003	23	@	-	olimme␣
ep002:003	25	@	-	luonnostamme␣
ep002:003	26	@	-	vihan␣
ep002:003	24	@	-	lapsia␣
ep002:003	27	@	-	niinkuin␣
ep002:003	(29) 30a	@	-	muutkin
ep002:003	28	%clitic	kin	
ep002:003	30b	;	-	;␣
ep002:004	ep002:004	ep002:004	VERSE	Ef␣2:4␣
ep002:004	2	@	-	mutta␣
ep002:004	(1) 3	@	-	Jumala
ep002:004	-	(,)	-	,␣
ep002:004	5	(@)	-	joka␣
ep002:004	5	@	-	on␣
ep002:004	7a	@	-	laupeudesta␣
ep002:004	6	%case	LOC	
ep002:004	4	@	-	rikas
ep002:004	7b	,	-	,␣
ep002:004	10	@	-	suuren␣
ep002:004	11 (9)	@	-	rakkautensa␣
ep002:004	12	%pers	3	
ep002:004	8	@	-	tähden
ep002:004	-	(,)	-	,␣
ep002:004	13	@	-	jolla␣
ep002:004	14	(@)	-	hän␣
ep002:004	14	(@)	-	on␣
ep002:004	15a	@	-	meitä␣
ep002:004	14	@	-	rakastanut
ep002:004	15b	,	-	,␣
ep002:005	ep002:005	ep002:005	VERSE	Ef␣2:5␣
ep002:005	7	(@)	-	on␣
ep002:005	(1)	-	UNTRANSLATED	
ep002:005	7	@	-	tehnyt␣
ep002:005	3	@	-	meidät
ep002:005	-	(,)	-	,␣
ep002:005	2	(@)	-	jotka␣
ep002:005	2	@	-	olimme␣
ep002:005	4	@	-	kuolleet␣
ep002:005	(5) 6	@	-	rikoksiimme
ep002:005	-	(,)	-	,␣
ep002:005	7	@	-	eläviksi␣
ep002:005	(8) 9a	@	-	Kristuksen␣
ep002:005	case%9a	@	-	kanssa␣
ep002:005	9b 9c	-	-	-␣
ep002:005	10	@	-	armosta␣
ep002:005	11	(@)	-	te␣
ep002:005	11	@	-	olette␣
ep002:005	12a	@	-	pelastetut␣
ep002:005	12b	-	-	-␣
ep002:006	ep002:006	ep002:006	VERSE	Ef␣2:6␣
ep002:006	1	@	-	ja␣
ep002:006	2	@	-	yhdessä␣
ep002:006	-	(@)	-	hänen␣
ep002:006	2	@	-	kanssaan␣
ep002:006	2	@	-	herättänyt␣
ep002:006	3	@	-	ja␣
ep002:006	4	@	-	yhdessä␣
ep002:006	-	(@)	-	hänen␣
ep002:006	4	@	-	kanssaan␣
ep002:006	4	@	-	asettanut␣
ep002:006	-	(@)	-	meidät␣
ep002:006	(6) 7	@	-	taivaallisiin␣
ep002:006	5	%case	LOC	
ep002:006	9	@	-	Kristuksessa␣
ep002:006	10a	@	-	Jeesuksessa
ep002:006	8	%case	LOC	
ep002:006	10b	,	-	,␣
ep002:007	ep002:007	ep002:007	VERSE	Ef␣2:7␣
ep002:007	2	@	-	osoittaakseen␣
ep002:007	1	%case	TRA	
ep002:007	(6) 7	@	-	tulevina␣
ep002:007	(4) 5	@	-	maailmanaikoina␣
ep002:007	3	%case	ESS	
ep002:007	(11) 12	@	-	armonsa␣
ep002:007	13	%pers	3	
ep002:007	9	@	-	ylenpalttista␣
ep002:007	10 (8)	@	-	runsautta
ep002:007	-	(,)	-	,␣
ep002:007	15	@	-	hyvyydessään␣
ep002:007	14	%case	LOC	
ep002:007	17	@	-	meitä␣
ep002:007	16	@	-	kohtaan␣
ep002:007	19	@	-	Kristuksessa␣
ep002:007	20a	@	-	Jeesuksessa
ep002:007	18	%case	LOC	
ep002:007	20b	.	-	.␣
ep002:008	ep002:008	ep002:008	VERSE	Ef␣2:8␣
ep002:008	2	@	-	Sillä␣
ep002:008	(1) 3	@	-	armosta␣
ep002:008	4	(@)	-	te␣
ep002:008	4	@	-	olette␣
ep002:008	5	@	-	pelastetut␣
ep002:008	7a	@	-	uskon␣
ep002:008	6	@	-	kautta
ep002:008	-	(,)	-	,␣
ep002:008	(8) (9)	-	UNTRANSLATED	
ep002:008	10	@	-	ette␣
ep002:008	12a	@	-	itsenne␣
ep002:008	11	@	-	kautta␣
ep002:008	12b	-	-	-␣
ep002:008	-	(@)	-	se␣
ep002:008	-	(@)	-	on␣
ep002:008	13	@	-	Jumalan␣
ep002:008	(14) 15a	@	-	lahja␣
ep002:008	15b	-	-	-␣
ep002:009	ep002:009	ep002:009	VERSE	Ef␣2:9␣
ep002:009	1	@	-	ette␣
ep002:009	3a	@	-	tekojen␣
ep002:009	2	@	-	kautta
ep002:009	3b	,	-	,␣
ep002:009	4 5	@	-	ettei␣
ep002:009	6	@	-	kukaan␣
ep002:009	7a	@	-	kerskaisi
ep002:009	7b	.	-	.␣
ep002:010	ep002:010	ep002:010	VERSE	Ef␣2:10␣
ep002:010	2	@	-	Sillä␣
ep002:010	3	(@)	-	me␣
ep002:010	3	@	-	olemme␣
ep002:010	1	@	-	hänen␣
ep002:010	4a	@	-	tekonsa
ep002:010	4b	,	-	,␣
ep002:010	5	@	-	luodut␣
ep002:010	7	@	-	Kristuksessa␣
ep002:010	8	@	-	Jeesuksessa␣
ep002:010	6	%case	LOC	
ep002:010	11	@	-	hyviä␣
ep002:010	10	@	-	töitä␣
ep002:010	9	@	-	varten
ep002:010	-	(,)	-	,␣
ep002:010	12	@	-	jotka␣
ep002:010	(14) 15a	@	-	Jumala␣
ep002:010	13	(@)	-	on␣
ep002:010	13	@	-	edeltäpäin␣
ep002:010	13	@	-	valmistanut
ep002:010	15b	,	-	,␣
ep002:010	16	@	-	että␣
ep002:010	19a	(@)	-	me␣
ep002:010	18	@	-	niissä␣
ep002:010	17	%case	LOC	
ep002:010	19a	@	-	vaeltaisimme
ep002:010	19b	.	-	.␣
ep002:011	ep002:011	ep002:011	VERSE	Ef␣2:11␣
ep002:011	2	@	-	Muistakaa␣
ep002:011	1	@	-	sentähden
ep002:011	-	(,)	-	,␣
