2j000:001	2j000:001	2j000:001	VERSE	2Jh␣0:1␣
2j000:007	5	%case	LOC	
2j000:007	7b	,	-	,␣
2j000:007	8	@	-	jotka␣
2j000:007	9	@	-	eivät␣
2j000:007	10	@	-	tunnusta␣
2j000:007	11	@	-	Jeesusta␣
2j000:007	12	@	-	Kristukseksi
2j000:007	-	(,)	-	,␣
2j000:007	13	(@)	-	joka␣
2j000:007	13	(@)	-	oli␣
2j000:007	15a	@	-	lihaan␣
2j000:007	14	%case	LOC	
2j000:007	13	@	-	tuleva
2j000:007	15b	;	-	;␣
2j000:007	16	@	-	tämä␣
2j000:007	16	@	-	tämmöinen␣
2j000:007	17	@	-	on␣
2j000:007	(18) 19	@	-	villitsijä␣
2j000:007	20	@	-	ja␣
2j000:007	(21) 22a	@	-	antikristus
2j000:007	22b	.	-	.␣
2j000:008	2j000:008	2j000:008	VERSE	2Jh␣0:8␣
2j000:008	1	@	-	Ottakaa␣
2j000:008	1	@	-	vaari␣
2j000:008	2a	@	-	itsestänne
2j000:008	2b	,	-	,␣
2j000:008	3 4	@	-	ettette␣
2j000:008	5	@	-	menetä␣
2j000:008	6	@	-	sitä
2j000:008	-	(,)	-	,␣
2j000:008	6	@	-	minkä␣
2j000:008	7	(@)	-	me␣
2j000:008	7	(@)	-	olemme␣
2j000:008	7	@	-	työllämme␣
2j000:008	7	@	-	aikaansaaneet
2j000:008	-	(,)	-	,␣
2j000:008	8	@	-	vaan␣
2j000:008	-	(@)	-	että␣
2j000:008	11a	@	-	saatte␣
2j000:008	10	@	-	täyden␣
2j000:008	9	@	-	palkan
2j000:008	11b	.	-	.␣
2j000:009	2j000:009	2j000:009	VERSE	2Jh␣0:9␣
2j000:009	1	@	-	Kuka␣
2j000:009	1	@	-	ikinä␣
2j000:009	(2) 3	@	-	menee␣
2j000:009	(2) 3	@	-	edemmäksi␣
2j000:009	5	@	-	eikä␣
2j000:009	4	%clitic	kA	
2j000:009	6	@	-	pysy␣
2j000:009	(10) 11	@	-	Kristuksen␣
2j000:009	(8) 9	@	-	opissa
2j000:009	7	%case	LOC	
2j000:009	-	(,)	-	,␣
2j000:009	14a	(@)	-	hänellä␣
2j000:009	13	@	-	ei␣
2j000:009	14a	@	-	ole␣
2j000:009	12	@	-	Jumalaa
2j000:009	14b	;	-	;␣
2j000:009	15	@	-	joka␣
2j000:009	18	@	-	siinä␣
2j000:009	19a	@	-	opissa␣
2j000:009	17	%case	LOC	
2j000:009	16	@	-	pysyy
2j000:009	19b	,	-	,␣
2j000:009	20	@	-	hänellä␣
2j000:009	27a	@	-	on␣
2j000:009	21	@	-	sekä␣
2j000:009	(22) 23	@	-	Isä␣
2j000:009	24	@	-	että␣
2j000:009	(25) 26	@	-	Poika
2j000:009	27b	.	-	.␣
2j000:010	2j000:010	2j000:010	VERSE	2Jh␣0:10␣
2j000:010	1	@	-	Jos␣
2j000:010	2	@	-	joku␣
2j000:010	3	@	-	tulee␣
2j000:010	5	@	-	teidän␣
2j000:010	4	@	-	luoksenne␣
2j000:010	10	@	-	eikä␣
2j000:010	6	%clitic	kA	
2j000:010	11a	@	-	tuo␣
2j000:010	11a	@	-	mukanaan␣
2j000:010	7	@	-	tätä␣
2j000:010	(8) 9	@	-	oppia
2j000:010	-	(,)	-	,␣
2j000:010	-	(@)	-	niin␣
2j000:010	12	@	-	älkää␣
2j000:010	13	@	-	ottako␣
2j000:010	14	@	-	häntä␣
2j000:010	16	@	-	huoneeseenne␣
2j000:010	15	%case	LOC	
2j000:010	20	@	-	älkääkä␣
2j000:010	17	%clitic	kA	
2j000:010	21a	@	-	sanoko␣
2j000:010	19	@	-	häntä␣
2j000:010	18	@	-	tervetulleeksi
2j000:010	21b	;	-	;␣
2j000:011	2j000:011	2j000:011	VERSE	2Jh␣0:11␣
2j000:011	3	@	-	sillä␣
2j000:011	1	@	-	joka␣
2j000:011	2	@	-	sanoo␣
2j000:011	4	@	-	hänet␣
2j000:011	5	@	-	tervetulleeksi
2j000:011	-	(,)	-	,␣
2j000:011	6	@	-	joutuu␣
2j000:011	6	@	-	osalliseksi␣
2j000:011	9	@	-	hänen␣
2j000:011	(10) 11a	@	-	pahoihin␣
2j000:011	(7) 8	@	-	tekoihinsa
2j000:011	11b	.	-	.␣
2j000:012	2j000:012	2j000:012	VERSE	2Jh␣0:12␣
2j000:012	2	(@)	-	Minulla␣
2j000:012	2	@	-	olisi␣
2j000:012	1	@	-	paljon␣
2j000:012	4	@	-	kirjoittamista␣
2j000:012	3	@	-	teille
2j000:012	-	(,)	-	,␣
2j000:012	-	(@)	-	mutta␣
2j000:012	5	@	-	en␣
2j000:012	6	@	-	tahdo␣
2j000:012	-	(@)	-	tehdä␣
2j000:012	-	(@)	-	sitä␣
2j000:012	8	@	-	paperilla␣
2j000:012	7	%case	LOC	
2j000:012	9	@	-	ja␣
2j000:012	10a	@	-	musteella
2j000:012	10b	;	-	;␣
2j000:012	11	@	-	vaan␣
2j000:012	12	@	-	toivon␣
2j000:012	13	@	-	pääseväni␣
2j000:012	15	@	-	teidän␣
2j000:012	14	@	-	tykönne␣
2j000:012	16	@	-	ja␣
2j000:012	tasp%20a	@	-	saavani␣
2j000:012	20a	@	-	puhutella␣
2j000:012	-	(@)	-	teitä␣
2j000:012	17	@	-	suullisesti
2j000:012	18 19	%case	MAN	
2j000:012	20b	,	-	,␣
2j000:012	21	@	-	että␣
2j000:012	24	@	-	meidän␣
2j000:012	(22) 23	@	-	ilomme␣
2j000:012	26a	@	-	olisi␣
2j000:012	25	@	-	täydellinen
2j000:012	26b	.	-	.␣
2j000:013	2j000:013	2j000:013	VERSE	2Jh␣0:13␣
2j000:013	(8) 9a	@	-	Valitun␣
2j000:013	(5) 6	@	-	sisaresi␣
2j000:013	7	%pers	?	
2j000:013	(3) 4	@	-	lapset␣
2j000:013	1	@	-	lähettävät␣
2j000:013	2	@	-	sinulle␣
2j000:013	1	@	-	tervehdyksen
2j000:013	9b	.	-	.␣
