rm001:001	rm001:001	rm001:001	VERSE	Rm␣1:1␣
rm001:006	1	%case	LOC	
rm001:006	5	@	-	tekin
rm001:006	4	%clitic	kin	
rm001:006	-	(,)	-	,␣
rm001:006	7	@	-	Jeesuksen␣
rm001:006	8a	@	-	Kristuksen␣
rm001:006	6	@	-	kutsumat
rm001:006	-	(,)	-	,␣
rm001:006	3	@	-	kuulutte
rm001:006	8b	:	-	:␣
rm001:007	rm001:007	rm001:007	VERSE	Rm␣1:7␣
rm001:007	1	@	-	kaikille␣
rm001:007	5	@	-	Roomassa␣
rm001:007	4	%case	LOC	
rm001:007	(2) 3	@	-	oleville␣
rm001:007	7a	@	-	Jumalan␣
rm001:007	6	@	-	rakkaille
rm001:007	7b	,	-	,␣
rm001:007	8	@	-	kutsutuille␣
rm001:007	9a	@	-	pyhille
rm001:007	9b	.	-	.␣
rm001:007	10	@	-	Armo␣
rm001:007	11	@	-	teille␣
rm001:007	12	@	-	ja␣
rm001:007	13	@	-	rauha␣
rm001:007	15	@	-	Jumalalta
rm001:007	14	%case	LOC	
rm001:007	-	(,)	-	,␣
rm001:007	17	@	-	meidän␣
rm001:007	16	@	-	Isältämme
rm001:007	-	(,)	-	,␣
rm001:007	18	@	-	ja␣
rm001:007	19	@	-	Herralta␣
rm001:007	20	@	-	Jeesukselta␣
rm001:007	21a	@	-	Kristukselta
rm001:007	-	(!)	-	!␣
rm001:008	rm001:008	rm001:008	VERSE	Rm␣1:8␣
rm001:008	1	@	-	Ensiksikin␣
rm001:008	2	%clitic	kin	
rm001:008	3	(@)	-	minä␣
rm001:008	3	@	-	kiitän␣
rm001:008	(4) 5	@	-	Jumalaani␣
rm001:008	6	%pers	?	
rm001:008	8	@	-	Jeesuksen␣
rm001:008	9	@	-	Kristuksen␣
rm001:008	7	@	-	kautta␣
rm001:008	12	@	-	teidän␣
rm001:008	11	@	-	kaikkien␣
rm001:008	10	@	-	tähden
rm001:008	-	(,)	-	,␣
rm001:008	13	@	-	koska␣
rm001:008	16	@	-	teidän␣
rm001:008	(14) 15	@	-	uskoanne␣
rm001:008	17	@	-	mainitaan␣
rm001:008	19	@	-	kaikessa␣
rm001:008	(20) 21a	@	-	maailmassa
rm001:008	18	%case	LOC	
rm001:008	21b	.	-	.␣
rm001:009	rm001:009	rm001:009	VERSE	Rm␣1:9␣
rm001:009	2	@	-	Sillä␣
rm001:009	(5) 6a	@	-	Jumala
rm001:009	-	(,)	-	,␣
rm001:009	7	@	-	jota␣
rm001:009	8	(@)	-	minä␣
rm001:009	(10) 11	@	-	hengessäni␣
rm001:009	12	%pers	?	
rm001:009	9	%case	LOC	
rm001:009	8	@	-	palvelen␣
rm001:009	-	(@)	-	julistaen␣
rm001:009	18a	@	-	hänen␣
rm001:009	(16) 17	@	-	Poikansa␣
rm001:009	(14) 15	@	-	evankeliumia
rm001:009	13	%case	PTV	
rm001:009	-	(,)	-	,␣
rm001:009	4	@	-	on␣
rm001:009	3	@	-	minun␣
rm001:009	1	@	-	todistajani
rm001:009	18b	,	-	,␣
rm001:009	19	@	-	kuinka␣
rm001:009	21 23	(@)	-	minä␣
rm001:009	22	@	-	teitä␣
rm001:009	20	@	-	lakkaamatta␣
rm001:009	21 23	@	-	muistan
rm001:009	-	(,)	-	,␣
rm001:010	rm001:010	rm001:010	VERSE	Rm␣1:10␣
rm001:010	1	@	-	aina␣
rm001:010	(3) 4	@	-	rukouksissani␣
rm001:010	5	%pers	?	
rm001:010	2	%case	LOC	
rm001:010	6	@	-	anoen
rm001:010	-	(,)	-	,␣
rm001:010	-	(@)	-	että␣
rm001:010	11	(@)	-	minä␣
rm001:010	9	@	-	jo␣
rm001:010	10	@	-	vihdoinkin
rm001:010	-	(,)	-	,␣
rm001:010	7 8	@	-	jos␣
rm001:010	(15) 16	@	-	Jumala␣
rm001:010	(13) 14	@	-	tahtoo
rm001:010	12	%case	?	
rm001:010	-	(,)	-	,␣
rm001:010	11	@	-	pääsisin␣
rm001:010	17	@	-	tulemaan␣
rm001:010	19a	@	-	teidän␣
rm001:010	18	@	-	tykönne
rm001:010	19b	.	-	.␣
rm001:011	rm001:011	rm001:011	VERSE	Rm␣1:11␣
rm001:011	2	@	-	Sillä␣
rm001:011	1	(@)	-	minä␣
rm001:011	1	@	-	ikävöitsen␣
rm001:011	4a	@	-	teitä␣
rm001:011	3	@	-	nähdä
rm001:011	4b	,	-	,␣
rm001:011	tasp%7	@	-	voidakseni␣
rm001:011	5	%case	TRA	
rm001:011	7	@	-	antaa␣
rm001:011	9	@	-	teille␣
rm001:011	6	@	-	jonkun␣
rm001:011	10	@	-	hengellisen␣
rm001:011	8	@	-	lahjan
rm001:011	-	(,)	-	,␣
rm001:011	11	@	-	että␣
rm001:011	14a	@	-	te␣
rm001:011	(12) 13	@	-	vahvistuisitte
rm001:011	14b	,	-	,␣
rm001:012	rm001:012	rm001:012	VERSE	Rm␣1:12␣
rm001:012	1	@	-	se␣
rm001:012	(2)	-	UNTRANSLATED	
rm001:012	3	@	-	on
rm001:012	-	(,)	-	,␣
rm001:012	-	(@)	-	että␣
rm001:012	4	(@)	-	me␣
rm001:012	4	@	-	yhdessä␣
rm001:012	6	@	-	ollessamme␣
rm001:012	5	%case	LOC	
rm001:012	4	@	-	virkistyisimme␣
rm001:012	10	@	-	yhteisestä␣
rm001:012	9	%case	LOC	
rm001:012	11 (8)	@	-	uskostamme
rm001:012	7	%case	LOC	
rm001:012	-	(,)	-	,␣
rm001:012	12	@	-	teidän␣
rm001:012	13	%case	GEN	
rm001:012	14	@	-	ja␣
rm001:012	15a	@	-	minun
rm001:012	15b	.	-	.␣
rm001:013	rm001:013	rm001:013	VERSE	Rm␣1:13␣
rm001:013	3	@	-	Ja␣
rm001:013	2	(@)	-	minä␣
rm001:013	1	@	-	en␣
rm001:013	2	@	-	tahdo
rm001:013	-	(,)	-	,␣
rm001:013	6a	@	-	veljet
rm001:013	-	(,)	-	,␣
rm001:013	4	@	-	teiltä␣
rm001:013	5a	@	-	salata
rm001:013	6b	,	-	,␣
rm001:013	7	@	-	että␣
rm001:013	-	(@)	-	jo␣
rm001:013	8	@	-	monesti␣
rm001:013	9	(@)	-	olen␣
rm001:013	9	@	-	päättänyt␣
rm001:013	10	@	-	tulla␣
rm001:013	12a	@	-	teidän␣
rm001:013	11	@	-	tykönne␣
rm001:013	21	@	-	saadakseni␣
rm001:013	18	%case	TRA	
rm001:013	19	@	-	jonkin␣
rm001:013	20	@	-	hedelmän␣
rm001:013	24	@	-	teidänkin␣
rm001:013	22	%clitic	kin	
rm001:013	23	@	-	keskuudestanne
rm001:013	-	(,)	-	,␣
rm001:013	25	@	-	niinkuin␣
rm001:013	29	@	-	muidenkin␣
rm001:013	26	%clitic	kin	
rm001:013	(28) 30a	@	-	pakanain
rm001:013	27	%case	GEN	
rm001:013	-	(,)	-	,␣
rm001:013	13	@	-	mutta␣
rm001:013	14	(@)	-	olen␣
rm001:013	14	(@)	-	ollut␣
rm001:013	14	@	-	estetty␣
rm001:013	(16) 17a	@	-	tähän␣
rm001:013	15	@	-	saakka
rm001:013	30b	.	-	.␣
rm001:014	rm001:014	rm001:014	VERSE	Rm␣1:14␣
rm001:014	1	@	-	Kreikkalaisille␣
rm001:014	3	@	-	ja␣
rm001:014	2	%case	?	
rm001:014	4a	@	-	barbaareille
rm001:014	4b	,	-	,␣
rm001:014	5	@	-	viisaille␣
rm001:014	7	@	-	ja␣
rm001:014	6	%case	?	
rm001:014	8	@	-	tyhmille␣
rm001:014	10a	(@)	-	minä␣
rm001:014	10a	@	-	olen␣
rm001:014	9	@	-	velassa
rm001:014	10b	;	-	;␣
rm001:015	rm001:015	rm001:015	VERSE	Rm␣1:15␣
rm001:015	(2) 4	@	-	omasta␣
rm001:015	3	@	-	puolestani␣
rm001:015	-	(@)	-	minä␣
rm001:015	1	@	-	siis␣
rm001:015	-	(@)	-	olen␣
rm001:015	5	@	-	altis␣
rm001:015	7	@	-	teillekin
rm001:015	6	%clitic	kin	
rm001:015	-	(,)	-	,␣
rm001:015	10	@	-	Roomassa␣
rm001:015	9	%case	LOC	
rm001:015	pro%8	@	-	asuvaisille
rm001:015	-	(,)	-	,␣
rm001:015	11a	@	-	julistamaan␣
rm001:015	11a	@	-	evankeliumia
rm001:015	11b	.	-	.␣
rm001:016	rm001:016	rm001:016	VERSE	Rm␣1:16␣
rm001:016	2	@	-	Sillä␣
rm001:016	3	(@)	-	minä␣
rm001:016	1	@	-	en␣
rm001:016	3	@	-	häpeä␣
rm001:016	(4) 5a	@	-	evankeliumia
rm001:016	-	(;)	-	;␣
rm001:016	7	@	-	sillä␣
rm001:016	9	(@)	-	se␣
rm001:016	9	@	-	on␣
rm001:016	8	@	-	Jumalan␣
rm001:016	6	@	-	voima
rm001:016	-	(,)	-	,␣
rm001:016	12	@	-	itsekullekin␣
rm001:016	(13) 14a	@	-	uskovalle␣
rm001:016	11	@	-	pelastukseksi
rm001:016	10	%case	TRA	
rm001:016	14b	,	-	,␣
rm001:016	15	@	-	juutalaiselle␣
rm001:016	(16)	-	UNTRANSLATED	
rm001:016	17	@	-	ensin
rm001:016	-	(,)	-	,␣
rm001:016	18	@	-	sitten␣
rm001:016	18	@	-	myös␣
rm001:016	19a	@	-	kreikkalaiselle
rm001:016	19b	.	-	.␣
rm001:017	rm001:017	rm001:017	VERSE	Rm␣1:17␣
rm001:017	2	@	-	Sillä␣
rm001:017	5	@	-	siinä␣
rm001:017	4	%case	LOC	
rm001:017	3	@	-	Jumalan␣
rm001:017	1	@	-	vanhurskaus␣
rm001:017	6	@	-	ilmestyy␣
rm001:017	8	@	-	uskosta␣
rm001:017	7	%case	LOC	
rm001:017	10a	@	-	uskoon
rm001:017	9	%case	LOC	
rm001:017	10b	,	-	,␣
rm001:017	11	@	-	niinkuin␣
rm001:017	12a	@	-	kirjoitettu␣
rm001:017	12a	(@)	-	on
rm001:017	-	(:)	-	:␣
rm001:017	-	(@)	-	"
rm001:017	(14)	-	UNTRANSLATED	
rm001:017	(13) 15	@	-	Vanhurskas␣
rm001:017	18a	(@)	-	on␣
rm001:017	18a	@	-	elävä␣
rm001:017	17	@	-	uskosta
rm001:017	16	%case	LOC	
rm001:017	18b	@	-	"
rm001:017	18b	.	-	.␣
rm001:018	rm001:018	rm001:018	VERSE	Rm␣1:18␣
rm001:018	2	@	-	Sillä␣
rm001:018	4	@	-	Jumalan␣
rm001:018	3	@	-	viha␣
rm001:018	1	@	-	ilmestyy␣
rm001:018	6	@	-	taivaasta␣
rm001:018	5	%case	LOC	
rm001:018	8	@	-	kaikkea␣
rm001:018	12	@	-	ihmisten␣
rm001:018	9	@	-	jumalattomuutta␣
rm001:018	10	@	-	ja␣
rm001:018	11	@	-	vääryyttä␣
rm001:018	7	@	-	vastaan
rm001:018	-	(,)	-	,␣
rm001:018	13	@	-	niiden
rm001:018	-	(,)	-	,␣
rm001:018	13	@	-	jotka␣
rm001:018	18a	@	-	pitävät␣
rm001:018	(14) 15	@	-	totuutta␣
rm001:018	17	@	-	vääryyden␣
rm001:018	16	@	-	vallassa
rm001:018	18b	,	-	,␣
rm001:019	rm001:019	rm001:019	VERSE	Rm␣1:19␣
rm001:019	1	@	-	sentähden␣
rm001:019	1	@	-	että␣
rm001:019	2	@	-	se
rm001:019	-	(,)	-	,␣
rm001:019	2	@	-	mikä␣
rm001:019	(4) 5	@	-	Jumalasta␣
rm001:019	sem%3	@	-	voidaan␣
rm001:019	3	@	-	tietää
rm001:019	-	(,)	-	,␣
rm001:019	7	@	-	on␣
rm001:019	6	@	-	ilmeistä␣
rm001:019	9a	@	-	heidän␣
rm001:019	8	@	-	keskuudessaan
rm001:019	-	(;)	-	;␣
rm001:019	12	@	-	sillä␣
rm001:019	(10) 11	@	-	Jumala␣
rm001:019	14a	(@)	-	on␣
rm001:019	-	(@)	-	sen␣
rm001:019	13	@	-	heille␣
rm001:019	14a	@	-	ilmoittanut
rm001:019	14b	.	-	.␣
rm001:020	rm001:020	rm001:020	VERSE	Rm␣1:20␣
rm001:020	2	@	-	Sillä␣
rm001:020	4	@	-	hänen␣
rm001:020	(1) 3	@	-	näkymätön␣
rm001:020	(1) 3	(@)	-	olemuksensa
rm001:020	-	(,)	-	,␣
rm001:020	15	@	-	hänen␣
rm001:020	14	@	-	iankaikkinen␣
rm001:020	(13)	-	UNTRANSLATED	
rm001:020	(12) 16	@	-	voimansa␣
rm001:020	17	@	-	ja␣
rm001:020	18a	@	-	jumalallisuutensa
rm001:020	-	(,)	-	,␣
rm001:020	11a	(@)	-	ovat
rm001:020	-	(,)	-	,␣
rm001:020	10	(@)	-	kun␣
rm001:020	-	(@)	-	niitä␣
rm001:020	-	(@)	-	hänen␣
rm001:020	(8) 9	@	-	teoissansa␣
rm001:020	10	@	-	tarkataan
rm001:020	-	(,)	-	,␣
rm001:020	7	@	-	maailman␣
rm001:020	6	@	-	luomisesta␣
rm001:020	5	@	-	asti␣
rm001:020	11a	@	-	nähtävinä
rm001:020	-	(,)	-	,␣
rm001:020	-	(@)	-	niin␣
rm001:020	(20) 21	@	-	etteivät␣
rm001:020	19	%case	?	
rm001:020	22	@	-	he␣
rm001:020	sem%23a	@	-	voi␣
rm001:020	-	(@)	-	millään␣
rm001:020	22	@	-	itseänsä␣
rm001:020	23a	@	-	puolustaa
rm001:020	23b	,	-	,␣
rm001:021	rm001:021	rm001:021	VERSE	Rm␣1:21␣
rm001:021	1	@	-	koska␣
rm001:021	2	(@)	-	he
rm001:021	-	(,)	-	,␣
rm001:021	2	(@)	-	vaikka␣
rm001:021	2	(@)	-	ovat␣
rm001:021	2	@	-	tunteneet␣
rm001:021	(3) 4	@	-	Jumalan
rm001:021	-	(,)	-	,␣
rm001:021	5	@	-	eivät␣
rm001:021	8	(@)	-	ole␣
rm001:021	-	(@)	-	häntä␣
rm001:021	7	@	-	Jumalana␣
rm001:021	6	%inflection	SG.ESS	
rm001:021	8	@	-	kunnioittaneet␣
rm001:021	9	@	-	eivätkä␣
rm001:021	10a	@	-	kiittäneet
rm001:021	10b	,	-	,␣
rm001:021	11	@	-	vaan␣
rm001:021	12	(@)	-	ovat␣
rm001:021	(14) 15	@	-	ajatuksiltansa␣
rm001:021	16	%pers	3	
rm001:021	13	%case	LOC	
rm001:021	12	@	-	turhistuneet
rm001:021	-	(,)	-	,␣
rm001:021	17	@	-	ja␣
rm001:021	21	@	-	heidän␣
rm001:021	20	@	-	ymmärtämätön␣
rm001:021	(19) 22a	@	-	sydämensä␣
rm001:021	18	(@)	-	on␣
rm001:021	18	@	-	pimentynyt
rm001:021	22b	.	-	.␣
rm001:022	rm001:022	rm001:022	VERSE	Rm␣1:22␣
rm001:022	1	@	-	Kehuessaan␣
rm001:022	3	@	-	viisaita␣
rm001:022	2	@	-	olevansa␣
rm001:022	4	(@)	-	he␣
rm001:022	4	(@)	-	ovat␣
rm001:022	4	@	-	tyhmiksi␣
rm001:022	4	@	-	tulleet␣
rm001:023	rm001:023	rm001:023	VERSE	Rm␣1:23␣
rm001:023	1	@	-	ja␣
rm001:023	2	(@)	-	ovat␣
rm001:023	6	@	-	katoamattoman␣
rm001:023	(5) 7	@	-	Jumalan␣
rm001:023	(3) 4	@	-	kirkkauden␣
rm001:023	2	@	-	muuttaneet␣
rm001:023	11	@	-	katoavaisen␣
rm001:023	12	@	-	ihmisen␣
rm001:023	13	@	-	ja␣
rm001:023	14	@	-	lintujen␣
rm001:023	15	@	-	ja␣
rm001:023	16	@	-	nelijalkaisten␣
rm001:023	17	@	-	ja␣
rm001:023	18a	@	-	matelevaisten␣
rm001:023	10	@	-	kuvan␣
rm001:023	9	@	-	kaltaiseksi
rm001:023	8	%case	TRA	
rm001:023	18b	.	-	.␣
rm001:024	rm001:024	rm001:024	VERSE	Rm␣1:24␣
rm001:024	1	@	-	Sentähden␣
rm001:024	(4) 5	@	-	Jumala␣
rm001:024	2	(@)	-	on␣
rm001:024	3	@	-	heidät
rm001:024	-	(,)	-	,␣
rm001:024	11	@	-	heidän␣
rm001:024	10 (9)	@	-	sydämensä␣
rm001:024	(7) 8	@	-	himoissa
rm001:024	6	%case	LOC	
rm001:024	-	(,)	-	,␣
rm001:024	2	@	-	hyljännyt␣
rm001:024	13	@	-	saastaisuuteen
rm001:024	12	%case	LOC	
rm001:024	-	(,)	-	,␣
rm001:024	(14) 15	@	-	häpäisemään␣
rm001:024	20a	@	-	itse␣
rm001:024	19	%case	NOM	
rm001:024	18	@	-	omat␣
rm001:024	(16) 17	@	-	ruumiinsa
rm001:024	20b	,	-	,␣
rm001:025	rm001:025	rm001:025	VERSE	Rm␣1:25␣
rm001:025	1	@	-	nuo
rm001:025	-	(,)	-	,␣
rm001:025	1	@	-	jotka␣
rm001:025	2	(@)	-	ovat␣
rm001:025	2	@	-	vaihtaneet␣
rm001:025	(5) 6	@	-	Jumalan␣
rm001:025	(3) 4	@	-	totuuden␣
rm001:025	(8) 9	@	-	valheeseen␣
rm001:025	7	%case	LOC	
rm001:025	10	@	-	ja␣
rm001:025	11	@	-	kunnioittaneet␣
rm001:025	12	@	-	ja␣
rm001:025	13	@	-	palvelleet␣
rm001:025	(14) 15	@	-	luotua␣
rm001:025	16	@	-	enemmän␣
rm001:025	16	@	-	kuin␣
rm001:025	(17) 18a	@	-	Luojaa
rm001:025	18b	,	-	,␣
rm001:025	19	@	-	joka␣
rm001:025	20	@	-	on␣
rm001:025	21	@	-	ylistetty␣
rm001:025	(23) 24a	@	-	iankaikkisesti
rm001:025	22	%case	MAN	
rm001:025	24b	,	-	,␣
rm001:025	25a	@	-	amen
rm001:025	25b	.	-	.␣
rm001:026	rm001:026	rm001:026	VERSE	Rm␣1:26␣
rm001:026	1 2	@	-	Sentähden␣
rm001:026	(5) 6	@	-	Jumala␣
rm001:026	3	(@)	-	on␣
rm001:026	3	@	-	hyljännyt␣
rm001:026	4	@	-	heidät␣
rm001:026	9a	@	-	häpeällisiin␣
rm001:026	8	@	-	himoihin
rm001:026	7	%case	LOC	
rm001:026	-	(;)	-	;␣
rm001:026	(11)	-	UNTRANSLATED	
rm001:026	12	@	-	sillä␣
rm001:026	14	@	-	heidän␣
rm001:026	(10) 13	@	-	naispuolensa␣
rm001:026	15	(@)	-	ovat␣
rm001:026	15	@	-	vaihtaneet␣
rm001:026	(16) 17	@	-	luonnollisen␣
rm001:026	18	@	-	yhteyden␣
rm001:026	(19) (20)	-	UNTRANSLATED	
rm001:026	22a	@	-	luonnonvastaiseen
rm001:026	21	%case	LOC	
rm001:026	22b	;	-	;␣
rm001:027	rm001:027	rm001:027	VERSE	Rm␣1:27␣
rm001:027	1	@	-	samoin␣
rm001:027	(4) 5	@	-	miespuoletkin
rm001:027	2 3	%clitic	kin	
rm001:027	-	(,)	-	,␣
rm001:027	6	@	-	luopuen␣
rm001:027	8	@	-	luonnollisesta␣
rm001:027	(7) 9	@	-	yhteydestä␣
rm001:027	(10) 11	@	-	naispuolen␣
rm001:027	case%11	@	-	kanssa
rm001:027	-	(,)	-	,␣
rm001:027	12	(@)	-	ovat␣
rm001:027	(14) 15	@	-	kiimoissaan␣
rm001:027	16	%pers	3	
rm001:027	13	%case	LOC	
rm001:027	12	@	-	syttyneet␣
rm001:027	18a	@	-	toisiinsa␣
rm001:027	17	%case	LOC	
rm001:027	-	(@)	-	ja␣
rm001:027	24	@	-	harjoittaneet
rm001:027	-	(,)	-	,␣
rm001:027	19	@	-	miespuolet␣
rm001:027	21	@	-	miespuolten␣
rm001:027	20	@	-	kanssa
rm001:027	-	(,)	-	,␣
rm001:027	(22) 23	@	-	riettautta␣
rm001:027	25	@	-	ja␣
rm001:027	(30) 31	@	-	villiintymisestään␣
rm001:027	32	%pers	3	
rm001:027	35a	@	-	saaneet␣
rm001:027	34	@	-	itseensä␣
rm001:027	33	%case	LOC	
rm001:027	26	@	-	sen␣
rm001:027	27	@	-	palkan
rm001:027	-	(,)	-	,␣
rm001:027	28	@	-	mikä␣
rm001:027	tasp%29	@	-	saada␣
rm001:027	29	@	-	piti
rm001:027	-	(.)	-	.␣
rm001:028	rm001:028	rm001:028	VERSE	Rm␣1:28␣
rm001:028	1	@	-	Ja␣
rm001:028	2	@	-	niinkuin␣
rm001:028	4	(@)	-	heille␣
rm001:028	3	@	-	ei␣
rm001:028	4	@	-	kelvannut␣
rm001:028	7	@	-	pitää␣
rm001:028	7	@	-	kiinni␣
rm001:028	(5) 6	@	-	Jumalan␣
rm001:028	9a	@	-	tuntemisesta
rm001:028	8	%case	LOC	
rm001:028	-	(,)	-	,␣
rm001:028	-	(@)	-	niin␣
rm001:028	(12) 13	@	-	Jumala␣
rm001:028	10	@	-	hylkäsi␣
rm001:028	11	@	-	heidät␣
rm001:028	-	(@)	-	heidän␣
rm001:028	15	@	-	kelvottoman␣
rm001:028	16a	@	-	mielensä␣
rm001:028	14	@	-	valtaan
rm001:028	-	(,)	-	,␣
rm001:028	17	@	-	tekemään␣
rm001:028	(18) 19 20a	@	-	sopimattomia
rm001:028	-	(.)	-	.␣
rm001:029	rm001:029	rm001:029	VERSE	Rm␣1:29␣
rm001:029	1	(@)	-	He␣
rm001:029	1	@	-	ovat␣
rm001:029	1	@	-	täynnänsä␣
rm001:029	2	@	-	kaikkea␣
rm001:029	3	@	-	vääryyttä
rm001:029	-	(,)	-	,␣
rm001:029	4	@	-	pahuutta
rm001:029	-	(,)	-	,␣
rm001:029	5	@	-	ahneutta
rm001:029	-	(,)	-	,␣
rm001:029	6a	@	-	häijyyttä
rm001:029	6b	,	-	,␣
rm001:029	7	@	-	täynnä␣
rm001:029	8	@	-	kateutta
rm001:029	-	(,)	-	,␣
rm001:029	9	@	-	murhaa
rm001:029	-	(,)	-	,␣
rm001:029	10	@	-	riitaa
rm001:029	-	(,)	-	,␣
rm001:029	11	@	-	petosta
rm001:029	-	(,)	-	,␣
rm001:029	12a	@	-	pahanilkisyyttä
rm001:029	12b	;	-	;␣
rm001:030	rm001:030	rm001:030	VERSE	Rm␣1:30␣
rm001:030	-	(@)	-	ovat␣
rm001:030	13/29	@	-	korvaankuiskuttelijoita
rm001:030	-	(,)	-	,␣
rm001:030	1	@	-	panettelijoita
rm001:030	-	(,)	-	,␣
rm001:030	2	@	-	Jumalaa␣
rm001:030	2	@	-	vihaavaisia
rm001:030	-	(,)	-	,␣
rm001:030	3	@	-	väkivaltaisia
rm001:030	-	(,)	-	,␣
rm001:030	4	@	-	ylpeitä
rm001:030	-	(,)	-	,␣
rm001:030	5a	@	-	kerskailijoita
rm001:030	5b	,	-	,␣
rm001:030	6 7a	@	-	pahankeksijöitä
rm001:030	7b	,	-	,␣
rm001:030	8	@	-	vanhemmilleen␣
rm001:030	9a	@	-	tottelemattomia
rm001:030	9b	,	-	,␣
rm001:031	rm001:031	rm001:031	VERSE	Rm␣1:31␣
rm001:031	1	@	-	vailla␣
rm001:031	1	@	-	ymmärrystä
rm001:031	-	(,)	-	,␣
rm001:031	2	@	-	luotettavuutta
rm001:031	-	(,)	-	,␣
rm001:031	3	@	-	rakkautta␣
rm001:031	-	(@)	-	ja␣
rm001:031	4a	@	-	laupeutta
rm001:031	4b	;	-	;␣
rm001:032	rm001:032	rm001:032	VERSE	Rm␣1:32␣
rm001:032	1	@	-	jotka
rm001:032	-	(,)	-	,␣
rm001:032	6	(@)	-	vaikka␣
rm001:032	6	@	-	tuntevat␣
rm001:032	(4) 5	@	-	Jumalan␣
rm001:032	(2) 3	@	-	vanhurskaan␣
rm001:032	(2) 3	@	-	säädöksen
rm001:032	-	(,)	-	,␣
rm001:032	7	@	-	että␣
rm001:032	8	@	-	ne
rm001:032	-	(,)	-	,␣
rm001:032	8	@	-	jotka␣
rm001:032	10 (9)	@	-	senkaltaisia␣
rm001:032	11	@	-	tekevät
rm001:032	-	(,)	-	,␣
rm001:032	14a	@	-	ovat␣
rm001:032	13	@	-	kuoleman␣
rm001:032	12	@	-	ansainneet
rm001:032	-	(,)	-	,␣
rm001:032	15	@	-	eivät␣
rm001:032	16	@	-	ainoastaan␣
rm001:032	17	@	-	itse␣
rm001:032	-	(@)	-	niitä␣
rm001:032	18	@	-	tee
rm001:032	-	(,)	-	,␣
rm001:032	19	@	-	vaan␣
rm001:032	20	@	-	vieläpä␣
rm001:032	21	@	-	osoittavat␣
rm001:032	21	@	-	hyväksymistä␣
rm001:032	22	@	-	niille
rm001:032	-	(,)	-	,␣
