ex001:001	ex001:001	ex001:001	VERSE	2Ms␣1:1␣
ex001:009	-	(@)	-	"
ex001:009	4	@	-	Katso
ex001:009	-	(,)	-	,␣
ex001:009	6 7	@	-	israelilaisten␣
ex001:009	5	@	-	kansa␣
ex001:009	-	(@)	-	on␣
ex001:009	8	@	-	suurempi␣
ex001:009	9a	@	-	ja␣
ex001:009	9b	@	-	väkevämpi␣
ex001:009	10	@	-	kuin␣
ex001:009	pers%10	@	-	me
ex001:009	-	(.)	-	.␣
ex001:010	ex001:010	ex001:010	VERSE	2Ms␣1:10␣
ex001:010	1	@	-	Tulkaa
ex001:010	-	(,)	-	,␣
ex001:010	2	@	-	menetelkäämme␣
ex001:010	-	(@)	-	siis␣
ex001:010	2	@	-	viisaasti␣
ex001:010	pers%3	@	-	heitä␣
ex001:010	3	@	-	kohtaan
ex001:010	-	(,)	-	,␣
ex001:010	4	@	-	että␣
ex001:010	5	(@)	-	he␣
ex001:010	4	@	-	eivät␣
ex001:010	5	@	-	lisääntyisi␣
ex001:010	6a	@	-	eivätkä
ex001:010	(6b)	-	UNTRANSLATED	
ex001:010	-	(,)	-	,␣
ex001:010	7	@	-	jos␣
ex001:010	9	@	-	sota␣
ex001:010	8	@	-	syttyisi
ex001:010	(10a)	-	UNTRANSLATED	
ex001:010	-	(,)	-	,␣
ex001:010	10b	@	-	liittyisi␣
ex001:010	12	@	-	hekin␣
ex001:010	11	%clitic	kin	
ex001:010	14	@	-	vihollisiimme␣
ex001:010	13	%case	LOC	
ex001:010	15a	@	-	ja␣
ex001:010	15b	@	-	sotisi␣
ex001:010	pers%16	@	-	meitä␣
ex001:010	16	@	-	vastaan␣
ex001:010	17a	@	-	ja␣
ex001:010	17b	@	-	lähtisi␣
ex001:010	(19a) 19b	@	-	maasta␣
ex001:010	18	@	-	pois
ex001:010	-	(.)	-	.
ex001:010	-	(@)	-	"␣
ex001:011	ex001:011	ex001:011	VERSE	2Ms␣1:11␣
ex001:011	1a	@	-	Niin␣
ex001:011	2	@	-	heille␣
ex001:011	1b	@	-	asetettiin␣
ex001:011	3 4	@	-	työnjohtajia␣
ex001:011	6	@	-	rasittamaan␣
ex001:011	5	%inflection	INF3.ILL	
ex001:011	pers%6	@	-	heitä␣
ex001:011	7b	@	-	raskaalla␣
ex001:011	7b	@	-	työllä
ex001:011	7a	%case	LOC	
ex001:011	-	(.)	-	.␣
ex001:011	8a	@	-	Ja␣
ex001:011	8b	(@)	-	heidän␣
ex001:011	8b	(@)	-	täytyi␣
ex001:011	8b	@	-	rakentaa␣
ex001:011	11b	@	-	faraolle␣
ex001:011	11a	%case	LOC	
ex001:011	10 9	@	-	varastokaupungit␣
ex001:011	13	@	-	Piitom␣
ex001:011	12	%case	NOM	
ex001:011	14a	@	-	ja␣
ex001:011	15	@	-	Ramses
ex001:011	14b	%case	NOM	
ex001:011	-	(.)	-	.␣
ex001:012	ex001:012	ex001:012	VERSE	2Ms␣1:12␣
ex001:012	1a	@	-	Mutta␣
ex001:012	1b 1c	@	-	kuta␣
ex001:012	1b 1c	@	-	enemmän␣
ex001:012	pro%3	@	-	kansaa␣
ex001:012	2	@	-	rasitettiin
ex001:012	-	(,)	-	,␣
ex001:012	4	@	-	sitä␣
ex001:012	4	@	-	enemmän␣
ex001:012	5	(@)	-	se␣
ex001:012	5	@	-	lisääntyi
ex001:012	-	(,)	-	,␣
ex001:012	6a	@	-	ja␣
ex001:012	6b	@	-	sitä␣
ex001:012	6b	@	-	enemmän␣
ex001:012	7	(@)	-	se␣
ex001:012	7	@	-	levisi
ex001:012	-	(,)	-	,␣
ex001:012	8a	@	-	niin␣
ex001:012	8a	@	-	että␣
ex001:012	10 11	@	-	israelilaisia␣
ex001:012	9a 9b	%case	PTV	
ex001:012	asp%8b	@	-	ruvettiin␣
ex001:012	8b	@	-	pelkäämään
ex001:012	-	(.)	-	.␣
ex001:013	ex001:013	ex001:013	VERSE	2Ms␣1:13␣
ex001:013	1a	@	-	Niin␣
ex001:013	2	@	-	egyptiläiset␣
ex001:013	1b	(@)	-	pitivät␣
ex001:013	4 5	@	-	israelilaisia␣
ex001:013	3	%case	PTV	
ex001:013	1b	@	-	orjantyössä␣
ex001:013	6b	@	-	väkivalloin␣
ex001:013	6a	%case	INS	
ex001:014	ex001:014	ex001:014	VERSE	2Ms␣1:14␣
ex001:014	1a	@	-	ja␣
ex001:014	1b	@	-	katkeroittivat␣
ex001:014	pers%3	@	-	heidän␣
ex001:014	3	@	-	elämänsä␣
ex001:014	2	%case	NOM.GEN	
ex001:014	(4a)	-	UNTRANSLATED	
ex001:014	5	@	-	kovalla␣
ex001:014	6b	@	-	laasti-~/laastityöllä␣
ex001:014	6a	%case	LOC	
ex001:014	7a	@	-	ja␣
ex001:014	4b 7c	@	-	tiilityöllä␣
ex001:014	7b	%case	LOC	
ex001:014	8a	@	-	ja␣
ex001:014	8c	@	-	kaikenlaisella␣
ex001:014	8b	%case	LOC	
ex001:014	9	@	-	työllä␣
ex001:014	10b	@	-	ulkona␣
ex001:014	10a	%case	?	
ex001:014	10b	@	-	kedolla
ex001:014	-	(,)	-	,␣
ex001:014	12	@	-	kaikenlaisella␣
ex001:014	11	%case	LOC	
ex001:014	13	@	-	työllä
ex001:014	-	(,)	-	,␣
ex001:014	14	@	-	jota␣
ex001:014	15	(@)	-	he␣
ex001:014	15	@	-	teettivät␣
ex001:014	16	@	-	heillä␣
ex001:014	17b	@	-	väkivalloin
ex001:014	17a	%case	INS	
ex001:014	-	(.)	-	.␣
ex001:015	ex001:015	ex001:015	VERSE	2Ms␣1:15␣
ex001:015	1a	@	-	Ja␣
ex001:015	3	@	-	Egyptin␣
ex001:015	2	@	-	kuningas␣
ex001:015	1b	@	-	puhui␣
ex001:015	(5a) 5b	@	-	hebrealaisille␣
ex001:015	4b	@	-	kätilövaimoille
ex001:015	4a	%case	LOC	
ex001:015	-	(,)	-	,␣
ex001:015	6	@	-	joista␣
ex001:015	(8a) 8b	@	-	toisen␣
ex001:015	7	@	-	nimi␣
ex001:015	-	(@)	-	oli␣
ex001:015	9	@	-	Sifra␣
ex001:015	10a	@	-	ja␣
ex001:015	(10b)	-	UNTRANSLATED	
ex001:015	(11a) 11b	@	-	toisen␣
ex001:015	12	@	-	Puua
ex001:015	-	(;)	-	;␣
ex001:016	ex001:016	ex001:016	VERSE	2Ms␣1:16␣
ex001:016	1a	@	-	ja␣
ex001:016	1b	(@)	-	hän␣
ex001:016	1b	@	-	sanoi
ex001:016	-	(:)	-	:␣
ex001:016	-	(@)	-	"
ex001:016	2a	@	-	Kun␣
ex001:016	2b	(@)	-	te␣
ex001:016	2b	@	-	autatte␣
ex001:016	(4a) 4b	@	-	hebrealaisia␣
ex001:016	sem%4b	@	-	vaimoja␣
ex001:016	3	%case	PTV	
ex001:016	-	(@)	-	heidän␣
ex001:016	2b	@	-	synnyttäessänsä
ex001:016	-	(,)	-	,␣
ex001:016	5a	@	-	niin␣
ex001:016	5b	@	-	tarkastakaa␣
ex001:016	-	(@)	-	lapsen␣
ex001:016	(7a) 7b	@	-	sukupuoli
ex001:016	6	%case	NOM	
ex001:016	-	(:)	-	:␣
ex001:016	8	@	-	jos␣
ex001:016	10	@	-	se␣
ex001:016	-	(@)	-	on␣
ex001:016	9	@	-	poika
ex001:016	(11a)	-	UNTRANSLATED	
ex001:016	-	(,)	-	,␣
ex001:016	11b	@	-	surmatkaa␣
ex001:016	12	@	-	se
ex001:016	-	(,)	-	,␣
ex001:016	13a	@	-	mutta␣
ex001:016	13b	@	-	jos␣
ex001:016	15	@	-	se␣
ex001:016	-	(@)	-	on␣
ex001:016	14	@	-	tyttö
ex001:016	(16a)	-	UNTRANSLATED	
ex001:016	-	(,)	-	,␣
ex001:016	16b	@	-	jääköön␣
ex001:016	16b	@	-	eloon
ex001:016	-	(@)	-	"
ex001:016	-	(.)	-	.␣
ex001:017	ex001:017	ex001:017	VERSE	2Ms␣1:17␣
ex001:017	1a	@	-	Mutta␣
ex001:017	(2a) 2b	@	-	kätilövaimot␣
ex001:017	1b	@	-	pelkäsivät␣
ex001:017	(4a) 4b	@	-	Jumalaa␣
ex001:017	3	%case	PTV	
ex001:017	5b	@	-	eivätkä␣
ex001:017	5a	%clitic	kA	
ex001:017	6	@	-	tehneet
ex001:017	-	(,)	-	,␣
ex001:017	7a 7b	@	-	niinkuin␣
ex001:017	11	@	-	Egyptin␣
ex001:017	10	@	-	kuningas␣
ex001:017	8	(@)	-	oli␣
ex001:017	9	@	-	heille␣
ex001:017	8	@	-	sanonut
ex001:017	-	(,)	-	,␣
ex001:017	12a	@	-	vaan␣
ex001:017	12b	(@)	-	antoivat␣
ex001:017	(14a) 14b	@	-	poikalasten␣
ex001:017	13	%case	GEN	
ex001:017	12b	@	-	elää
ex001:017	-	(.)	-	.␣
ex001:018	ex001:018	ex001:018	VERSE	2Ms␣1:18␣
ex001:018	1a	@	-	Niin␣
ex001:018	3	@	-	Egyptin␣
ex001:018	2	@	-	kuningas␣
ex001:018	1b	@	-	kutsui␣
ex001:018	4b	@	-	kätilövaimot␣
ex001:018	4a	%case	NOM	
ex001:018	5a	@	-	ja␣
ex001:018	5b	@	-	sanoi␣
ex001:018	6	@	-	heille
ex001:018	-	(:)	-	:␣
ex001:018	-	(@)	-	"
ex001:018	7	@	-	Miksi␣
ex001:018	8	(@)	-	te␣
ex001:018	(10a) 10b (9a) 9b	@	-	näin␣
ex001:018	8	@	-	teette␣
ex001:018	11a	@	-	ja␣
ex001:018	11b	(@)	-	annatte␣
ex001:018	(13a) 13b	@	-	poikalasten␣
ex001:018	12	%case	GEN	
ex001:018	11b	@	-	elää
ex001:018	-	(?)	-	?
ex001:018	-	(@)	-	"␣
ex001:019	ex001:019	ex001:019	VERSE	2Ms␣1:19␣
ex001:019	(1a)	-	UNTRANSLATED	
ex001:019	(2a) 2b	@	-	Kätilövaimot␣
ex001:019	1b	@	-	vastasivat␣
ex001:019	4	@	-	faraolle
ex001:019	3	%case	LOC	
ex001:019	(5)	-	UNTRANSLATED	
ex001:019	-	(:)	-	:␣
ex001:019	-	(@)	-	"
ex001:019	(9a) 9b	@	-	Hebrealaiset␣
ex001:019	sem%9b	@	-	vaimot␣
ex001:019	6	@	-	eivät␣
ex001:019	-	(@)	-	ole␣
ex001:019	7a	@	-	niinkuin␣
ex001:019	(7b)	-	UNTRANSLATED	
ex001:019	(8a) 8b	@	-	egyptiläiset
ex001:019	(10)	-	UNTRANSLATED	
ex001:019	-	(.)	-	.␣
ex001:019	12	@	-	He␣
ex001:019	-	(@)	-	ovat␣
ex001:019	11	@	-	voimakkaita
ex001:019	-	(;)	-	;␣
ex001:019	13a 13b	@	-	ennenkuin␣
ex001:019	(16a) 16b	@	-	kätilövaimo␣
ex001:019	14	@	-	tulee␣
ex001:019	pers%15	@	-	heidän␣
ex001:019	15	@	-	luoksensa
ex001:019	(17a)	-	UNTRANSLATED	
ex001:019	-	(,)	-	,␣
ex001:019	17b	(@)	-	ovat␣
ex001:019	17b	(@)	-	he␣
ex001:019	-	(@)	-	jo␣
ex001:019	17b	@	-	synnyttäneet
ex001:019	-	(.)	-	.
ex001:019	-	(@)	-	"␣
ex001:020	ex001:020	ex001:020	VERSE	2Ms␣1:20␣
ex001:020	1a	@	-	Mutta␣
ex001:020	2	@	-	Jumala␣
ex001:020	1b	(@)	-	salli␣
ex001:020	3b	@	-	kätilövaimojen␣
ex001:020	3a	%case	GEN	
ex001:020	1b	@	-	menestyä
ex001:020	-	(,)	-	,␣
ex001:020	4a	@	-	ja␣
ex001:020	(5a) 5b	@	-	kansa␣
ex001:020	4b	@	-	lisääntyi␣
ex001:020	6a	@	-	ja␣
ex001:020	6b	@	-	eneni␣
ex001:020	7	@	-	suurilukuiseksi
ex001:020	-	(.)	-	.␣
ex001:021	ex001:021	ex001:021	VERSE	2Ms␣1:21␣
ex001:021	1a	@	-	Ja␣
ex001:021	(1b)	-	UNTRANSLATED	
ex001:021	2	@	-	koska␣
ex001:021	(4a) 4b	@	-	kätilövaimot␣
ex001:021	3	@	-	pelkäsivät␣
ex001:021	(6a) 6b	@	-	Jumalaa
ex001:021	5	%case	PTV	
ex001:021	-	(,)	-	,␣
ex001:021	7a	@	-	niin␣
ex001:021	7b	(@)	-	hän␣
ex001:021	7b	@	-	antoi␣
ex001:021	8	@	-	heille␣
ex001:021	-	(@)	-	runsaasti␣
ex001:021	9	@	-	perhettä
ex001:021	-	(.)	-	.␣
ex001:022	ex001:022	ex001:022	VERSE	2Ms␣1:22␣
ex001:022	1a	@	-	Niin␣
ex001:022	2	@	-	farao␣
ex001:022	1b	@	-	antoi␣
ex001:022	1b	@	-	käskyn␣
ex001:022	3b	@	-	kaikelle␣
ex001:022	3a	%case	LOC	
ex001:022	4	@	-	kansallensa
ex001:022	-	(,)	-	,␣
ex001:022	5a 5b	@	-	sanoen
ex001:022	-	(:)	-	:␣
ex001:022	-	(@)	-	"
ex001:022	6	@	-	Kaikki␣
ex001:022	(7a) 7b	@	-	poikalapset
ex001:022	-	(,)	-	,␣
ex001:022	-	(@)	-	jotka␣
ex001:022	(8a) 8b	@	-	syntyvät
ex001:022	-	(,)	-	,␣
ex001:022	10	@	-	heittäkää␣
ex001:022	(9a) 9b	@	-	Niilivirtaan
ex001:022	-	(,)	-	,␣
ex001:022	11a	@	-	mutta␣
ex001:022	11b	@	-	kaikkien␣
ex001:022	(12a) 12b	@	-	tyttölasten␣
ex001:022	13	(@)	-	antakaa␣
ex001:022	13	@	-	elää
ex001:022	-	(@)	-	"
ex001:022	-	(.)	-	.␣
ex002:001	ex002:001	ex002:001	VERSE	2Ms␣2:1␣
ex002:001	1a	@	-	Niin␣
ex002:001	-	(@)	-	eräs␣
ex002:001	2	@	-	mies
ex002:001	-	(,)	-	,␣
ex002:001	-	(@)	-	joka␣
ex002:001	-	(@)	-	oli␣
ex002:001	4	@	-	Leevin␣
ex002:001	3b	@	-	sukua
ex002:001	3a	%case	PTV	
ex002:001	-	(,)	-	,␣
ex002:001	1b	@	-	meni␣
ex002:001	5a	@	-	ja␣
ex002:001	5b	@	-	nai␣
ex002:001	8	@	-	leeviläisen␣
ex002:001	7	@	-	neidon
ex002:001	6	%case	GEN	
ex002:001	-	(.)	-	.␣
ex002:002	ex002:002	ex002:002	VERSE	2Ms␣2:2␣
ex002:002	1a	@	-	Ja␣
ex002:002	(2a) 2b	@	-	vaimo␣
ex002:002	1b	@	-	tuli␣
ex002:002	1b	@	-	raskaaksi␣
ex002:002	3a	@	-	ja␣
ex002:002	3b	@	-	synnytti␣
ex002:002	4	@	-	pojan
ex002:002	-	(.)	-	.␣
ex002:002	5a	@	-	Ja␣
ex002:002	-	(@)	-	kun␣
ex002:002	5b	(@)	-	hän␣
ex002:002	5b	@	-	näki
ex002:002	(6)	-	UNTRANSLATED	
ex002:002	-	(,)	-	,␣
ex002:002	7	@	-	että␣
ex002:002	9	@	-	se␣
ex002:002	-	(@)	-	oli␣
ex002:002	8	@	-	ihana␣
ex002:002	-	(@)	-	lapsi
ex002:002	(10a)	-	UNTRANSLATED	
ex002:002	-	(,)	-	,␣
ex002:002	10b	@	-	salasi␣
ex002:002	10b	(@)	-	hän␣
ex002:002	pers%10b	@	-	sitä␣
ex002:002	11	@	-	kolme␣
ex002:002	12	@	-	kuukautta
ex002:002	-	(.)	-	.␣
ex002:003	ex002:003	ex002:003	VERSE	2Ms␣2:3␣
ex002:003	1a	@	-	Mutta␣
ex002:003	-	(@)	-	kun␣
ex002:003	2	(@)	-	hän␣
ex002:003	1b	@	-	ei␣
ex002:003	2	@	-	voinut␣
ex002:003	pers%4	@	-	sitä␣
ex002:003	3	@	-	enää␣
ex002:003	4	@	-	salata
ex002:003	(5a)	-	UNTRANSLATED	
ex002:003	-	(,)	-	,␣
ex002:003	5b	@	-	otti␣
ex002:003	(6)	-	UNTRANSLATED	
ex002:003	5b	(@)	-	hän␣
ex002:003	7 8	@	-	kaisla-arkun
ex002:003	(9a)	-	UNTRANSLATED	
ex002:003	-	(,)	-	,␣
ex002:003	9b	@	-	siveli␣
ex002:003	pers%9b	@	-	sen␣
ex002:003	10b	@	-	maapihkalla␣
ex002:003	10a	%case	LOC	
ex002:003	11a	@	-	ja␣
ex002:003	11c	@	-	piellä
ex002:003	11b	%case	LOC	
ex002:003	(12a)	-	UNTRANSLATED	
ex002:003	-	(,)	-	,␣
ex002:003	12b	@	-	pani␣
ex002:003	(15a) 15b	@	-	lapsen␣
ex002:003	14	%case	GEN	
ex002:003	13	@	-	siihen␣
ex002:003	16a	@	-	ja␣
ex002:003	16b	@	-	laski␣
ex002:003	-	(@)	-	sen␣
ex002:003	17b	@	-	kaislikkoon␣
ex002:003	17a	%case	LOC	
ex002:003	(20a) 20b	@	-	Niilivirran␣
ex002:003	19	@	-	rantaan
ex002:003	18	%case	LOC	
ex002:003	-	(.)	-	.␣
ex002:004	ex002:004	ex002:004	VERSE	2Ms␣2:4␣
ex002:004	1a	@	-	Ja␣
ex002:004	pers%2	@	-	lapsen␣
ex002:004	2	@	-	sisar␣
ex002:004	1b	@	-	asettui␣
ex002:004	3b	@	-	taammaksi␣
ex002:004	3a	%case	TRA	
ex002:004	4b	@	-	nähdäksensä
ex002:004	4a	%case	TRA	
ex002:004	-	(,)	-	,␣
ex002:004	5	@	-	mitä␣
ex002:004	7	@	-	hänelle␣
ex002:004	6	@	-	tapahtuisi
ex002:004	-	(.)	-	.␣
ex002:005	ex002:005	ex002:005	VERSE	2Ms␣2:5␣
ex002:005	1a	@	-	Silloin␣
ex002:005	3	@	-	faraon␣
ex002:005	2	@	-	tytär␣
ex002:005	1b	@	-	tuli␣
ex002:005	1b	@	-	alas␣
ex002:005	4b	@	-	peseytymään␣
ex002:005	4a	%case	LOC	
ex002:005	(6a) 6b	@	-	virrassa
ex002:005	5	%case	LOC	
ex002:005	-	(,)	-	,␣
ex002:005	7a	@	-	ja␣
ex002:005	pers%7b	@	-	hänen␣
ex002:005	7b	@	-	seuranaisensa␣
ex002:005	8	@	-	kävelivät␣
ex002:005	(11a) 11b	@	-	virran␣
ex002:005	10	@	-	rannalla
ex002:005	9	%case	LOC	
ex002:005	-	(;)	-	;␣
ex002:005	12a	@	-	ja␣
ex002:005	-	(@)	-	kun␣
ex002:005	12b	(@)	-	hän␣
ex002:005	12b	@	-	näki␣
ex002:005	(14a) 14b	@	-	arkun␣
ex002:005	13	%case	GEN	
ex002:005	(16a) 16b	@	-	kaislikossa
ex002:005	15a 15b	%case	LOC	
ex002:005	(17a)	-	UNTRANSLATED	
ex002:005	-	(,)	-	,␣
ex002:005	17b	@	-	lähetti␣
ex002:005	17b	(@)	-	hän␣
ex002:005	19	@	-	palvelijattarensa␣
ex002:005	18	%case	NOM.GEN	
ex002:005	20a	@	-	ja␣
ex002:005	20b	@	-	otatti␣
ex002:005	pers%20b	@	-	sen␣
ex002:005	-	(@)	-	ylös
ex002:005	-	(.)	-	.␣
ex002:006	ex002:006	ex002:006	VERSE	2Ms␣2:6␣
ex002:006	1a	@	-	Ja␣
ex002:006	-	(@)	-	kun␣
ex002:006	1b	(@)	-	hän␣
ex002:006	1b	@	-	avasi␣
ex002:006	-	(@)	-	sen
ex002:006	(2a)	-	UNTRANSLATED	
ex002:006	-	(,)	-	,␣
ex002:006	2b	@	-	näki␣
ex002:006	2b	(@)	-	hän␣
ex002:006	(4a) 4b	@	-	lapsen
ex002:006	3	%case	GEN	
ex002:006	-	(;)	-	;␣
ex002:006	5a	@	-	ja␣
ex002:006	5b	@	-	katso
ex002:006	-	(,)	-	,␣
ex002:006	-	(@)	-	siinä␣
ex002:006	-	(@)	-	oli␣
ex002:006	6	@	-	poikanen
ex002:006	-	(,)	-	,␣
ex002:006	-	(@)	-	joka␣
ex002:006	7	@	-	itki
ex002:006	-	(.)	-	.␣
ex002:006	8a	@	-	Niin␣
ex002:006	8b	(@)	-	hänen␣
ex002:006	8b	@	-	tuli␣
ex002:006	9	@	-	sitä␣
ex002:006	8b	@	-	sääli
ex002:006	-	(,)	-	,␣
ex002:006	10a	@	-	ja␣
ex002:006	10b	(@)	-	hän␣
ex002:006	10b	@	-	sanoi
ex002:006	-	(:)	-	:␣
ex002:006	-	(@)	-	"
ex002:006	13	@	-	Tämä␣
ex002:006	-	(@)	-	on␣
ex002:006	(12a) 12b	@	-	hebrealaisten␣
ex002:006	11b	@	-	lapsia
ex002:006	11a	%case	PTV	
ex002:006	-	(@)	-	"
ex002:006	-	(.)	-	.␣
ex002:007	ex002:007	ex002:007	VERSE	2Ms␣2:7␣
ex002:007	1a	@	-	Niin␣
ex002:007	pers%2	@	-	lapsen␣
ex002:007	2	@	-	sisar␣
ex002:007	1b	@	-	sanoi␣
ex002:007	5	@	-	faraon␣
ex002:007	4	@	-	tyttärelle
ex002:007	3	%case	LOC	
ex002:007	-	(:)	-	:␣
ex002:007	-	(@)	-	"
ex002:007	6b	@	-	Menenkö␣
ex002:007	6a	%clitic	kO	
ex002:007	7b	@	-	kutsumaan␣
ex002:007	7a	%inflection	INF3.ILL	
ex002:007	8	@	-	sinulle␣
ex002:007	(12a) 12b	@	-	hebrealaisen␣
ex002:007	11	%case	GEN	
ex002:007	10 9	@	-	imettäjän
ex002:007	-	(,)	-	,␣
ex002:007	13a	@	-	joka␣
ex002:007	13b	(@)	-	voi␣
ex002:007	13b	@	-	imettää␣
ex002:007	-	(@)	-	sen␣
ex002:007	(16a) 16b	@	-	lapsen␣
ex002:007	15	%case	GEN	
ex002:007	14	@	-	sinulle
ex002:007	-	(?)	-	?
ex002:007	-	(@)	-	"␣
ex002:008	ex002:008	ex002:008	VERSE	2Ms␣2:8␣
ex002:008	(1a)	-	UNTRANSLATED	
ex002:008	4	@	-	Faraon␣
ex002:008	3	@	-	tytär␣
ex002:008	1b	@	-	vastasi␣
ex002:008	2	@	-	hänelle
ex002:008	-	(:)	-	:␣
ex002:008	-	(@)	-	"
ex002:008	5	@	-	Mene
ex002:008	-	(!)	-	!
ex002:008	-	(@)	-	"␣
ex002:008	6a	@	-	Niin␣
ex002:008	(7a) 7b	@	-	tyttö␣
ex002:008	6b	@	-	meni␣
ex002:008	8a	@	-	ja␣
ex002:008	8b	@	-	kutsui␣
ex002:008	(11a) 11b	@	-	lapsen␣
ex002:008	10	@	-	äidin
ex002:008	9	%case	GEN	
ex002:008	-	(.)	-	.␣
ex002:009	ex002:009	ex002:009	VERSE	2Ms␣2:9␣
ex002:009	1a	@	-	Ja␣
ex002:009	4	@	-	faraon␣
ex002:009	3	@	-	tytär␣
ex002:009	1b	@	-	sanoi␣
ex002:009	2	@	-	hänelle
ex002:009	-	(:)	-	:␣
