jn001:001	jn001:001	jn001:001	VERSE	Jh␣1:1␣
jn001:011	4a	(@)	-	Hän␣
jn001:011	4a	@	-	tuli␣
jn001:011	(2) 3	@	-	omiensa␣
jn001:011	1	@	-	tykö
jn001:011	-	(,)	-	,␣
jn001:011	5	@	-	ja␣
jn001:011	-	(@)	-	hänen␣
jn001:011	(6) 7	@	-	omansa␣
jn001:011	9	@	-	eivät␣
jn001:011	10a	@	-	ottaneet␣
jn001:011	8	@	-	häntä␣
jn001:011	10a	@	-	vastaan
jn001:011	-	(.)	-	.␣
jn001:012	jn001:012	jn001:012	VERSE	Jh␣1:12␣
jn001:012	2	@	-	Mutta␣
jn001:012	1	@	-	kaikille
jn001:012	-	(,)	-	,␣
jn001:012	1	@	-	jotka␣
jn001:012	3	@	-	ottivat␣
jn001:012	4a	@	-	hänet␣
jn001:012	3	@	-	vastaan
jn001:012	-	(,)	-	,␣
jn001:012	5	(@)	-	hän␣
jn001:012	5	@	-	antoi␣
jn001:012	(6)	-	UNTRANSLATED	
jn001:012	7	@	-	voiman␣
jn001:012	10a	@	-	tulla␣
jn001:012	9	@	-	Jumalan␣
jn001:012	8	@	-	lapsiksi
jn001:012	-	(,)	-	,␣
jn001:012	11	@	-	niille
jn001:012	-	(,)	-	,␣
jn001:012	11	@	-	jotka␣
jn001:012	12	@	-	uskovat␣
jn001:012	16a	@	-	hänen␣
jn001:012	(14) 15	@	-	nimeensä
jn001:012	13	%case	LOC	
jn001:012	-	(,)	-	,␣
jn001:013	jn001:013	jn001:013	VERSE	Jh␣1:13␣
jn001:013	1	@	-	jotka␣
jn001:013	2	@	-	eivät␣
jn001:013	16a	(@)	-	ole␣
jn001:013	16a	@	-	syntyneet␣
jn001:013	4	@	-	verestä␣
jn001:013	3	%case	LOC	
jn001:013	5	@	-	eikä␣
jn001:013	8	@	-	lihan␣
jn001:013	7	@	-	tahdosta␣
jn001:013	6	%case	LOC	
jn001:013	9	@	-	eikä␣
jn001:013	12	@	-	miehen␣
jn001:013	11	@	-	tahdosta
jn001:013	10	%case	LOC	
jn001:013	-	(,)	-	,␣
jn001:013	13	@	-	vaan␣
jn001:013	15	@	-	Jumalasta
jn001:013	14	%case	LOC	
jn001:013	-	(.)	-	.␣
jn001:014	jn001:014	jn001:014	VERSE	Jh␣1:14␣
jn001:014	1	@	-	Ja␣
jn001:014	(2) 3	@	-	Sana␣
jn001:014	5	@	-	tuli␣
jn001:014	4	@	-	lihaksi␣
jn001:014	6	@	-	ja␣
jn001:014	7	@	-	asui␣
jn001:014	9a	@	-	meidän␣
jn001:014	8	@	-	keskellämme
jn001:014	-	(,)	-	,␣
jn001:014	10	@	-	ja␣
jn001:014	11	(@)	-	me␣
jn001:014	11	@	-	katselimme␣
jn001:014	14a	@	-	hänen␣
jn001:014	(12) 13	@	-	kirkkauttansa
jn001:014	-	(,)	-	,␣
jn001:014	16	@	-	senkaltaista␣
jn001:014	15	@	-	kirkkautta
jn001:014	-	(,)	-	,␣
jn001:014	16	@	-	kuin␣
jn001:014	17	@	-	ainokaisella␣
jn001:014	17	(@)	-	Pojalla␣
jn001:014	-	(@)	-	on␣
jn001:014	19a	@	-	Isältä
jn001:014	18	%case	LOC	
jn001:014	-	(;)	-	;␣
jn001:014	-	(@)	-	ja␣
jn001:014	-	(@)	-	hän␣
jn001:014	-	(@)	-	oli␣
jn001:014	20	@	-	täynnä␣
jn001:014	22	@	-	armoa␣
jn001:014	23	@	-	ja␣
jn001:014	24a	@	-	totuutta
jn001:014	-	(.)	-	.␣
jn001:015	jn001:015	jn001:015	VERSE	Jh␣1:15␣
jn001:015	1	@	-	Johannes␣
jn001:015	2	@	-	todisti␣
jn001:015	4	@	-	hänestä␣
jn001:015	3	%case	LOC	
jn001:015	5	@	-	ja␣
jn001:015	6	@	-	huusi␣
jn001:015	7a	@	-	sanoen
jn001:015	-	(:)	-	:␣
jn001:015	-	(@)	-	"
jn001:015	8	@	-	Tämä␣
jn001:015	9	@	-	on␣
jn001:015	10	@	-	se
jn001:015	-	(,)	-	,␣
jn001:015	10	@	-	josta␣
jn001:015	11a	(@)	-	minä␣
jn001:015	11a	@	-	sanoin
jn001:015	-	(:)	-	:␣
jn001:015	12	@	-	se
jn001:015	-	(,)	-	,␣
jn001:015	12	@	-	joka␣
jn001:015	14	@	-	minun␣
jn001:015	13	@	-	jälkeeni␣
jn001:015	15	@	-	tulee
jn001:015	-	(,)	-	,␣
jn001:015	18a	(@)	-	on␣
jn001:015	18a	@	-	ollut␣
jn001:015	17	@	-	minun␣
jn001:015	16	@	-	edelläni
jn001:015	-	(,)	-	,␣
jn001:015	19	@	-	sillä␣
jn001:015	22a	(@)	-	hän␣
jn001:015	22a	(@)	-	on␣
jn001:015	22a	@	-	ollut␣
jn001:015	20	@	-	ennen~kuin␣
jn001:015	21	@	-	minä
jn001:015	-	(.)	-	.
jn001:015	-	(@)	-	"␣
jn001:016	jn001:016	jn001:016	VERSE	Jh␣1:16␣
jn001:016	1	@	-	Ja␣
jn001:016	5	@	-	hänen␣
jn001:016	(3) 4	@	-	täyteydestään␣
jn001:016	2	%case	LOC	
jn001:016	6	@	-	me␣
jn001:016	7	@	-	kaikki␣
jn001:016	8	(@)	-	olemme␣
jn001:016	8	@	-	saaneet
jn001:016	-	(,)	-	,␣
jn001:016	9	@	-	ja␣
jn001:016	10	@	-	armoa␣
jn001:016	12a	@	-	armon␣
jn001:016	11	@	-	päälle
jn001:016	-	(.)	-	.␣
jn001:017	jn001:017	jn001:017	VERSE	Jh␣1:17␣
jn001:017	1	@	-	Sillä␣
jn001:017	(2) 3	@	-	laki␣
jn001:017	6a	(@)	-	on␣
jn001:017	6a	@	-	annettu␣
jn001:017	5	@	-	Mooseksen␣
jn001:017	4	@	-	kautta
jn001:017	-	(;)	-	;␣
jn001:017	(7) 8	@	-	armo␣
jn001:017	9	@	-	ja␣
jn001:017	(10) 11	@	-	totuus␣
jn001:017	15a	(@)	-	on␣
jn001:017	15a	@	-	tullut␣
jn001:017	13	@	-	Jeesuksen␣
jn001:017	14	@	-	Kristuksen␣
jn001:017	12	@	-	kautta
jn001:017	-	(.)	-	.␣
jn001:018	jn001:018	jn001:018	VERSE	Jh␣1:18␣
jn001:018	2	@	-	Ei␣
jn001:018	2	@	-	kukaan␣
jn001:018	3	(@)	-	ole␣
jn001:018	1	@	-	Jumalaa␣
jn001:018	4a	@	-	milloinkaan␣
jn001:018	3	@	-	nähnyt
jn001:018	-	(;)	-	;␣
jn001:018	5	@	-	ainokainen␣
jn001:018	6b	@	-	Poika
jn001:018	-	(,)	-	,␣
jn001:018	7	@	-	joka␣
jn001:018	8	@	-	on␣
jn001:018	(12) 13	@	-	Isän␣
jn001:018	(10) 11	@	-	helmassa
jn001:018	9	%case	LOC	
jn001:018	-	(,)	-	,␣
jn001:018	(14)	-	UNTRANSLATED	
jn001:018	15a	(@)	-	on␣
jn001:018	-	(@)	-	hänet␣
jn001:018	15a	@	-	ilmoittanut
jn001:018	-	(.)	-	.␣
jn001:019	jn001:019	jn001:019	VERSE	Jh␣1:19␣
jn001:019	1	@	-	Ja␣
jn001:019	2	@	-	tämä␣
jn001:019	3	@	-	on␣
jn001:019	(6) 7a	@	-	Johanneksen␣
jn001:019	(4) 5	@	-	todistus
jn001:019	-	(,)	-	,␣
jn001:019	8	@	-	kun␣
jn001:019	(12) 13	@	-	juutalaiset␣
jn001:019	9a	@	-	lähettivät␣
jn001:019	11a	@	-	hänen␣
jn001:019	10	@	-	luoksensa␣
jn001:019	15	@	-	Jerusalemista␣
jn001:019	14	%case	LOC	
jn001:019	16	@	-	pappeja␣
jn001:019	17	@	-	ja␣
jn001:019	18	@	-	leeviläisiä␣
jn001:019	20	@	-	kysymään␣
jn001:019	19	%case	LOC	
jn001:019	21a	@	-	häneltä
jn001:019	-	(:)	-	:␣
jn001:019	-	(@)	-	"
jn001:019	23	@	-	Kuka␣
jn001:019	22	@	-	sinä␣
jn001:019	24a	@	-	olet
jn001:019	-	(?)	-	?
jn001:019	-	(@)	-	"␣
jn001:020	jn001:020	jn001:020	VERSE	Jh␣1:20␣
jn001:020	1	@	-	Ja␣
jn001:020	2	(@)	-	hän␣
jn001:020	2	@	-	tunnusti␣
jn001:020	4	@	-	eikä␣
jn001:020	3	%clitic	kA	
jn001:020	5a	@	-	kieltänyt
jn001:020	-	(;)	-	;␣
jn001:020	6	@	-	ja␣
jn001:020	7	(@)	-	hän␣
jn001:020	7	@	-	tunnusti
jn001:020	8	:	-	:␣
jn001:020	-	(@)	-	"
jn001:020	9	@	-	Minä␣
jn001:020	10	@	-	en␣
jn001:020	11	@	-	ole␣
jn001:020	(12) 13a	@	-	Kristus
jn001:020	-	(@)	-	"
jn001:020	-	(.)	-	.␣
jn001:021	jn001:021	jn001:021	VERSE	Jh␣1:21␣
jn001:021	1	@	-	Ja␣
jn001:021	2	(@)	-	he␣
jn001:021	2	@	-	kysyivät␣
jn001:021	3a	@	-	häneltä
jn001:021	-	(:)	-	:␣
jn001:021	-	(@)	-	"
jn001:021	4	@	-	Mikä␣
jn001:021	5a	@	-	sitten
jn001:021	-	(?)	-	?␣
jn001:021	8a	@	-	Oletko␣
jn001:021	6	@	-	sinä␣
jn001:021	7	@	-	Elias
jn001:021	-	(?)	-	?
jn001:021	-	(@)	-	"␣
jn001:021	(9)	-	UNTRANSLATED	
jn001:021	10a	(@)	-	Hän␣
jn001:021	10a	@	-	sanoi
jn001:021	-	(:)	-	:␣
jn001:021	-	(@)	-	"
jn001:021	11	@	-	En␣
jn001:021	12a	@	-	ole
jn001:021	-	(@)	-	"
jn001:021	-	(.)	-	.␣
jn001:021	-	(@)	-	"
jn001:021	13	@	-	Se␣
jn001:021	14	@	-	profeettako␣
jn001:021	15	@	-	olet
jn001:021	(16a)	-	UNTRANSLATED	
jn001:021	-	(?)	-	?
jn001:021	-	(@)	-	"␣
jn001:021	(17)	-	UNTRANSLATED	
jn001:021	18a	(@)	-	Hän␣
jn001:021	18a	@	-	vastasi
jn001:021	-	(:)	-	:␣
jn001:021	-	(@)	-	"
jn001:021	19a	@	-	En
jn001:021	-	(@)	-	"
jn001:021	-	(.)	-	.␣
jn001:022	jn001:022	jn001:022	VERSE	Jh␣1:22␣
jn001:022	2	@	-	Niin␣
jn001:022	1	(@)	-	he␣
jn001:022	1	@	-	sanoivat␣
jn001:022	3a	@	-	hänelle
jn001:022	-	(:)	-	:␣
jn001:022	-	(@)	-	"
jn001:022	4	@	-	Kuka␣
jn001:022	5a	@	-	olet
jn001:022	-	(,)	-	,␣
jn001:022	6	@	-	että␣
jn001:022	tasp%8	@	-	voisimme␣
jn001:022	8	@	-	antaa␣
jn001:022	7	@	-	vastauksen␣
jn001:022	9	@	-	niille
jn001:022	-	(,)	-	,␣
jn001:022	9	@	-	jotka␣
jn001:022	11a	@	-	meidät␣
jn001:022	10	@	-	lähettivät
jn001:022	11b	?	-	?␣
jn001:022	12	@	-	Mitä␣
jn001:022	13	@	-	sanot␣
jn001:022	15a	@	-	itsestäsi
jn001:022	14	%case	LOC	
jn001:022	15b	?	-	?
jn001:022	-	(@)	-	"␣
jn001:023	jn001:023	jn001:023	VERSE	Jh␣1:23␣
jn001:023	1a	(@)	-	Hän␣
jn001:023	1a	@	-	sanoi
jn001:023	-	(:)	-	:␣
jn001:023	-	(@)	-	"
jn001:023	2	@	-	Minä␣
jn001:023	-	(@)	-	olen␣
jn001:023	4	@	-	huutavan␣
jn001:023	3	@	-	ääni␣
jn001:023	(6) 7a	@	-	erämaassa
jn001:023	5	%case	LOC	
jn001:023	-	(:)	-	:␣
jn001:023	-	(@)	-	'
jn001:023	8	@	-	Tehkää␣
jn001:023	10 (9)	@	-	tie␣
jn001:023	8	@	-	tasaiseksi␣
jn001:023	11a	@	-	Herralle
jn001:023	-	(@)	-	'
jn001:023	-	(,)	-	,␣
jn001:023	12	@	-	niinkuin␣
jn001:023	(15) 16a	@	-	profeetta␣
jn001:023	14	@	-	Esaias␣
jn001:023	13	(@)	-	on␣
jn001:023	13	@	-	sanonut
jn001:023	-	(.)	-	.
jn001:023	-	(@)	-	"␣
jn001:024	jn001:024	jn001:024	VERSE	Jh␣1:24␣
jn001:024	1	@	-	Ja␣
jn001:024	2	@	-	lähetetyt␣
jn001:024	3	@	-	olivat␣
jn001:024	(5) 6a	@	-	fariseuksia
jn001:024	4	%case	PTV	
jn001:024	-	(;)	-	;␣
jn001:025	jn001:025	jn001:025	VERSE	Jh␣1:25␣
jn001:025	1	@	-	ja␣
jn001:025	2	(@)	-	he␣
jn001:025	2	@	-	kysyivät␣
jn001:025	3	@	-	häneltä␣
jn001:025	4	@	-	ja␣
jn001:025	5	@	-	sanoivat␣
jn001:025	6a	@	-	hänelle
jn001:025	-	(:)	-	:␣
jn001:025	-	(@)	-	"
jn001:025	7	@	-	Miksi␣
jn001:025	8	@	-	sitten␣
jn001:025	9	@	-	kastat
jn001:025	-	(,)	-	,␣
jn001:025	10	@	-	jos␣
jn001:025	(11)	-	UNTRANSLATED	
jn001:025	12	@	-	et␣
jn001:025	13	@	-	ole␣
jn001:025	(14) 15	@	-	Kristus␣
jn001:025	16	@	-	etkä␣
jn001:025	17	@	-	Elias␣
jn001:025	18	@	-	etkä␣
jn001:025	19	@	-	se␣
jn001:025	20a	@	-	profeetta
jn001:025	-	(?)	-	?
jn001:025	-	(@)	-	"␣
jn001:026	jn001:026	jn001:026	VERSE	Jh␣1:26␣
jn001:026	(3) 4	@	-	Johannes␣
jn001:026	1	@	-	vastasi␣
jn001:026	2	@	-	heille␣
jn001:026	5a	@	-	sanoen
jn001:026	-	(:)	-	:␣
jn001:026	-	(@)	-	"
jn001:026	6	@	-	Minä␣
jn001:026	7	@	-	kastan␣
jn001:026	9a	@	-	vedellä
jn001:026	8	%case	LOC	
jn001:026	-	(;)	-	;␣
jn001:026	-	(@)	-	mutta␣
jn001:026	11	@	-	teidän␣
jn001:026	10	@	-	keskellänne␣
jn001:026	12	@	-	seisoo␣
jn001:026	13	@	-	hän
jn001:026	-	(,)	-	,␣
jn001:026	13	@	-	jota␣
jn001:026	14	@	-	te␣
jn001:026	15	@	-	ette␣
jn001:026	16a	@	-	tunne
jn001:026	-	(.)	-	.␣
jn001:027	jn001:027	jn001:027	VERSE	Jh␣1:27␣
jn001:027	-	(@)	-	Hän␣
jn001:027	-	(@)	-	on␣
jn001:027	1	@	-	se
jn001:027	-	(,)	-	,␣
jn001:027	1	@	-	joka␣
jn001:027	4a	@	-	tulee␣
jn001:027	3	@	-	minun␣
jn001:027	2	@	-	jälkeeni␣
jn001:027	-	(@)	-	ja␣
jn001:027	(12) 5	@	-	jonka␣
jn001:027	(13) 14 (15) 16a	@	-	kengänpaulaa␣
jn001:027	8a	@	-	minä␣
jn001:027	6	@	-	en␣
jn001:027	7a	@	-	ole␣
jn001:027	9	@	-	arvollinen␣
jn001:027	11	@	-	päästämään
jn001:027	10	%case	LOC	
jn001:027	-	(.)	-	.
jn001:027	-	(@)	-	"␣
jn001:028	jn001:028	jn001:028	VERSE	Jh␣1:28␣
jn001:028	1	@	-	Tämä␣
jn001:028	4	@	-	tapahtui␣
jn001:028	3	@	-	Betaniassa
jn001:028	2	%case	LOC	
jn001:028	-	(,)	-	,␣
jn001:028	(6) 7a	@	-	Jordanin␣
jn001:028	5	@	-	tuolla␣
jn001:028	5	@	-	puolella
jn001:028	-	(,)	-	,␣
jn001:028	8	@	-	jossa␣
jn001:028	(10) 11	@	-	Johannes␣
jn001:028	9	@	-	oli␣
jn001:028	12a	@	-	kastamassa
jn001:028	-	(.)	-	.␣
jn001:029	jn001:029	jn001:029	VERSE	Jh␣1:29␣
jn001:029	(1) 2	@	-	Seuraavana␣
jn001:029	(1) 2	@	-	päivänä␣
jn001:029	3	(@)	-	hän␣
jn001:029	3	@	-	näki␣
jn001:029	(4) 5	@	-	Jeesuksen␣
jn001:029	6	@	-	tulevan␣
jn001:029	8	@	-	tykönsä␣
jn001:029	7	%case	?	
jn001:029	9	@	-	ja␣
jn001:029	10a	@	-	sanoi
jn001:029	-	(:)	-	:␣
jn001:029	-	(@)	-	"
jn001:029	11	@	-	Katso
jn001:029	-	(,)	-	,␣
jn001:029	(14) 15	@	-	Jumalan␣
jn001:029	(12) 13	@	-	Karitsa
jn001:029	-	(,)	-	,␣
jn001:029	16	@	-	joka␣
jn001:029	17	@	-	ottaa␣
jn001:029	17	@	-	pois␣
jn001:029	(20) 21a	@	-	maailman␣
jn001:029	(18) 19	@	-	synnin
jn001:029	-	(!)	-	!␣
jn001:030	jn001:030	jn001:030	VERSE	Jh␣1:30␣
jn001:030	1	@	-	Tämä␣
jn001:030	2	@	-	on␣
jn001:030	4	@	-	se
jn001:030	-	(,)	-	,␣
jn001:030	4	@	-	josta␣
jn001:030	3	%case	LOC	
jn001:030	5	@	-	minä␣
jn001:030	6a	@	-	sanoin
jn001:030	-	(:)	-	:␣
jn001:030	-	(@)	-	'
jn001:030	8	@	-	Minun␣
jn001:030	7	@	-	jälkeeni␣
jn001:030	9	@	-	tulee␣
jn001:030	10	@	-	mies
jn001:030	-	(,)	-	,␣
jn001:030	11	@	-	joka␣
jn001:030	14a	(@)	-	on␣
jn001:030	14a	@	-	ollut␣
jn001:030	13	@	-	minun␣
jn001:030	12	@	-	edelläni
jn001:030	-	(,)	-	,␣
jn001:030	15	@	-	sillä␣
jn001:030	18a	(@)	-	hän␣
jn001:030	18a	(@)	-	on␣
jn001:030	18a	@	-	ollut␣
jn001:030	16	@	-	ennen~kuin␣
jn001:030	17	@	-	minä
jn001:030	-	(@)	-	'
jn001:030	-	(.)	-	.␣
jn001:031	jn001:031	jn001:031	VERSE	Jh␣1:31␣
jn001:031	2	@	-	Ja␣
jn001:031	2	@	-	minä␣
jn001:031	3	@	-	en␣
jn001:031	4	@	-	tuntenut␣
jn001:031	5a	@	-	häntä
jn001:031	-	(;)	-	;␣
jn001:031	6	@	-	mutta␣
jn001:031	12	@	-	sitä␣
jn001:031	11	@	-	varten
jn001:031	-	(,)	-	,␣
jn001:031	7	@	-	että␣
jn001:031	8	(@)	-	hän␣
jn001:031	8	@	-	tulisi␣
jn001:031	8	@	-	julki␣
jn001:031	10 (9)	@	-	Israelille
jn001:031	-	(,)	-	,␣
jn001:031	14	@	-	minä␣
jn001:031	13	(@)	-	olen␣
jn001:031	13	@	-	tullut␣
jn001:031	16	@	-	vedellä␣
jn001:031	15	%case	LOC	
jn001:031	17a	@	-	kastamaan
jn001:031	-	(.)	-	.
jn001:031	-	(@)	-	"␣
jn001:032	jn001:032	jn001:032	VERSE	Jh␣1:32␣
jn001:032	1	@	-	Ja␣
jn001:032	3	@	-	Johannes␣
jn001:032	2	@	-	todisti␣
jn001:032	4	@	-	sanoen
jn001:032	5	:	-	:␣
jn001:032	-	(@)	-	"
jn001:032	6	(@)	-	Minä␣
jn001:032	6	@	-	näin␣
jn001:032	(7) 8	@	-	Hengen␣
jn001:032	9	@	-	laskeutuvan␣
jn001:032	13	@	-	taivaasta␣
jn001:032	12	%case	LOC	
jn001:032	9	@	-	alas␣
jn001:032	10	@	-	niinkuin␣
jn001:032	11	@	-	kyyhkysen
jn001:032	-	(,)	-	,␣
jn001:032	14	@	-	ja␣
jn001:032	15	(@)	-	se␣
jn001:032	15	@	-	jäi␣
jn001:032	17a	@	-	hänen␣
jn001:032	16	@	-	päällensä
jn001:032	-	(.)	-	.␣
jn001:033	jn001:033	jn001:033	VERSE	Jh␣1:33␣
jn001:033	2	@	-	Ja␣
jn001:033	2	@	-	minä␣
jn001:033	3	@	-	en␣
jn001:033	4	@	-	tuntenut␣
jn001:033	5a	@	-	häntä
jn001:033	-	(;)	-	;␣
jn001:033	6	@	-	mutta␣
jn001:033	13	@	-	hän
jn001:033	-	(,)	-	,␣
jn001:033	7	@	-	joka␣
jn001:033	8	@	-	lähetti␣
jn001:033	9	@	-	minut␣
jn001:033	12	@	-	vedellä␣
jn001:033	11	%case	LOC	
jn001:033	10	@	-	kastamaan
jn001:033	-	(,)	-	,␣
jn001:033	15a	@	-	sanoi␣
jn001:033	14	@	-	minulle
jn001:033	-	(:)	-	:␣
jn001:033	-	(@)	-	'
jn001:033	26a	@	-	Se
jn001:033	25	%case	NOM	
jn001:033	-	(,)	-	,␣
jn001:033	17	@	-	jonka␣
jn001:033	16	@	-	päälle␣
jn001:033	19	(@)	-	sinä␣
jn001:033	19	@	-	näet␣
jn001:033	(20) 21	@	-	Hengen␣
jn001:033	22	@	-	laskeutuvan␣
jn001:033	23	@	-	ja␣
jn001:033	24	@	-	jäävän
jn001:033	-	(,)	-	,␣
jn001:033	27	@	-	hän␣
jn001:033	28	@	-	on␣
jn001:033	29	@	-	se
jn001:033	-	(,)	-	,␣
jn001:033	29	@	-	joka␣
jn001:033	30	@	-	kastaa␣
jn001:033	33a	@	-	Pyhällä␣
jn001:033	32	@	-	Hengellä
jn001:033	31	%case	LOC	
jn001:033	-	(@)	-	'
jn001:033	-	(.)	-	.␣
jn001:034	jn001:034	jn001:034	VERSE	Jh␣1:34␣
jn001:034	2	@	-	Ja␣
jn001:034	2	@	-	minä␣
jn001:034	3	(@)	-	olen␣
jn001:034	-	(@)	-	sen␣
jn001:034	3	@	-	nähnyt␣
jn001:034	4	@	-	ja␣
jn001:034	5	(@)	-	olen␣
jn001:034	5	@	-	todistanut
jn001:034	-	(,)	-	,␣
jn001:034	6	@	-	että␣
jn001:034	7	@	-	tämä␣
jn001:034	8	@	-	on␣
jn001:034	(11) 12a	@	-	Jumalan␣
jn001:034	10 (9)	@	-	Poika
jn001:034	-	(.)	-	.
jn001:034	-	(@)	-	"␣
jn001:035	jn001:035	jn001:035	VERSE	Jh␣1:35␣
jn001:035	(1) 2	@	-	Seuraavana␣
jn001:035	(1) 2	@	-	päivänä␣
