mt001:001	mt001:001	mt001:001	VERSE	Mt␣1:1␣
mt001:008	(12)	-	UNTRANSLATED	
mt001:008	13	@	-	syntyi␣
mt001:008	(14) 15a	@	-	Ussia
mt001:008	15b	;	-	;␣
mt001:009	mt001:009	mt001:009	VERSE	Mt␣1:9␣
mt001:009	1	@	-	Ussialle␣
mt001:009	(2)	-	UNTRANSLATED	
mt001:009	3	@	-	syntyi␣
mt001:009	(4) 5a	@	-	Jootam
mt001:009	5b	,	-	,␣
mt001:009	6	@	-	Jootamille␣
mt001:009	(7)	-	UNTRANSLATED	
mt001:009	8	@	-	syntyi␣
mt001:009	10a (9)	@	-	Aahas
mt001:009	10b	,	-	,␣
mt001:009	11	@	-	Aahaalle␣
mt001:009	(12)	-	UNTRANSLATED	
mt001:009	13	@	-	syntyi␣
mt001:009	(14) 15a	@	-	Hiskia
mt001:009	15b	;	-	;␣
mt001:010	mt001:010	mt001:010	VERSE	Mt␣1:10␣
mt001:010	1	@	-	Hiskialle␣
mt001:010	(2)	-	UNTRANSLATED	
mt001:010	3	@	-	syntyi␣
mt001:010	(4) 5a	@	-	Manasse
mt001:010	5b	,	-	,␣
mt001:010	6	@	-	Manasselle␣
mt001:010	(7)	-	UNTRANSLATED	
mt001:010	8	@	-	syntyi␣
mt001:010	10a (9)	@	-	Aamon
mt001:010	10b	,	-	,␣
mt001:010	11	@	-	Aamonille␣
mt001:010	(12)	-	UNTRANSLATED	
mt001:010	13	@	-	syntyi␣
mt001:010	(14) 15a	@	-	Joosia
mt001:010	15b	;	-	;␣
mt001:011	mt001:011	mt001:011	VERSE	Mt␣1:11␣
mt001:011	1	@	-	Joosialle␣
mt001:011	(2)	-	UNTRANSLATED	
mt001:011	3	@	-	syntyi␣
mt001:011	(4) 5	@	-	Jekonja␣
mt001:011	6	@	-	ja␣
mt001:011	9	@	-	tämän␣
mt001:011	(7) 8	@	-	veljet␣
mt001:011	13a	@	-	Babyloniin␣
mt001:011	(11) 12	@	-	siirtämisen␣
mt001:011	10	@	-	aikoina
mt001:011	13b	.	-	.␣
mt001:012	mt001:012	mt001:012	VERSE	Mt␣1:12␣
mt001:012	5	@	-	Babyloniin␣
mt001:012	(2)	-	UNTRANSLATED	
mt001:012	(3) 4	@	-	siirtämisen␣
mt001:012	1	@	-	jälkeen␣
mt001:012	6	@	-	Jekonjalle␣
mt001:012	7	@	-	syntyi␣
mt001:012	(8) 9a	@	-	Sealtiel
mt001:012	9b	,	-	,␣
mt001:012	10	@	-	Sealtielille␣
mt001:012	(11)	-	UNTRANSLATED	
mt001:012	12	@	-	syntyi␣
mt001:012	(13) 14a	@	-	Serubbaabel
mt001:012	14b	;	-	;␣
mt001:013	mt001:013	mt001:013	VERSE	Mt␣1:13␣
mt001:013	1	@	-	Serubbaabelille␣
mt001:013	(2)	-	UNTRANSLATED	
mt001:013	3	@	-	syntyi␣
mt001:013	(4) 5a	@	-	Abiud
mt001:013	5b	,	-	,␣
mt001:013	6	@	-	Abiudille␣
mt001:013	(7)	-	UNTRANSLATED	
mt001:013	8	@	-	syntyi␣
mt001:013	10a (9)	@	-	Eljakim
mt001:013	10b	,	-	,␣
mt001:013	11	@	-	Eljakimille␣
mt001:013	(12)	-	UNTRANSLATED	
mt001:013	13	@	-	syntyi␣
mt001:013	(14) 15a	@	-	Asor
mt001:013	15b	;	-	;␣
mt001:014	mt001:014	mt001:014	VERSE	Mt␣1:14␣
mt001:014	1	@	-	Asorille␣
mt001:014	(2)	-	UNTRANSLATED	
mt001:014	3	@	-	syntyi␣
mt001:014	(4) 5a	@	-	Saadok
mt001:014	5b	,	-	,␣
mt001:014	6	@	-	Saadokille␣
mt001:014	(7)	-	UNTRANSLATED	
mt001:014	8	@	-	syntyi␣
mt001:014	10a (9)	@	-	Akim
mt001:014	10b	,	-	,␣
mt001:014	11	@	-	Akimille␣
mt001:014	(12)	-	UNTRANSLATED	
mt001:014	13	@	-	syntyi␣
mt001:014	(14) 15a	@	-	Eliud
mt001:014	15b	;	-	;␣
mt001:015	mt001:015	mt001:015	VERSE	Mt␣1:15␣
mt001:015	1	@	-	Eliudille␣
mt001:015	(2)	-	UNTRANSLATED	
mt001:015	3	@	-	syntyi␣
mt001:015	(4) 5a	@	-	Eleasar
mt001:015	5b	,	-	,␣
mt001:015	6	@	-	Eleasarille␣
mt001:015	(7)	-	UNTRANSLATED	
mt001:015	8	@	-	syntyi␣
mt001:015	10a (9)	@	-	Mattan
mt001:015	10b	,	-	,␣
mt001:015	11	@	-	Mattanille␣
mt001:015	(12)	-	UNTRANSLATED	
mt001:015	13	@	-	syntyi␣
mt001:015	(14) 15a	@	-	Jaakob
mt001:015	15b	;	-	;␣
mt001:016	mt001:016	mt001:016	VERSE	Mt␣1:16␣
mt001:016	1	@	-	Jaakobille␣
mt001:016	(2)	-	UNTRANSLATED	
mt001:016	3	@	-	syntyi␣
mt001:016	(4) 5	@	-	Joosef
mt001:016	-	(,)	-	,␣
mt001:016	8a	@	-	Marian␣
mt001:016	(6) 7	@	-	mies
mt001:016	-	(,)	-	,␣
mt001:016	-	(@)	-	hänen
mt001:016	8b	,	-	,␣
mt001:016	10	@	-	josta␣
mt001:016	9	%case	LOC	
mt001:016	11	@	-	syntyi␣
mt001:016	12	@	-	Jeesus
mt001:016	-	(,)	-	,␣
mt001:016	13	@	-	jota␣
mt001:016	14	@	-	kutsutaan␣
mt001:016	15a	@	-	Kristukseksi
mt001:016	15b	.	-	.␣
mt001:017	mt001:017	mt001:017	VERSE	Mt␣1:17␣
mt001:017	2	@	-	Näin␣
mt001:017	-	(@)	-	on␣
mt001:017	(3) 4	@	-	sukupolvia␣
mt001:017	6	@	-	Aabrahamista␣
mt001:017	5	%case	LOC	
mt001:017	8	@	-	Daavidiin␣
mt001:017	7	%case	LOC	
mt001:017	1	@	-	kaikkiaan␣
mt001:017	10a	@	-	neljätoista␣
mt001:017	9	@	-	polvea
mt001:017	10b	,	-	,␣
mt001:017	11	@	-	ja␣
mt001:017	13	@	-	Daavidista␣
mt001:017	12	%case	LOC	
mt001:017	17	@	-	Babyloniin␣
mt001:017	(15) 16	@	-	siirtämiseen␣
mt001:017	14	%case	LOC	
mt001:017	19a	@	-	neljätoista␣
mt001:017	18	@	-	polvea
mt001:017	19b	,	-	,␣
mt001:017	20	@	-	ja␣
mt001:017	24	@	-	Babyloniin␣
mt001:017	(22) 23	@	-	siirtämisestä␣
mt001:017	21	%case	LOC	
mt001:017	(26) 27	@	-	Kristukseen␣
mt001:017	25	@	-	asti␣
mt001:017	29a	@	-	neljätoista␣
mt001:017	28	@	-	polvea
mt001:017	29b	.	-	.␣
mt001:018	mt001:018	mt001:018	VERSE	Mt␣1:18␣
mt001:018	(1) 3	@	-	Jeesuksen␣
mt001:018	(2)	-	UNTRANSLATED	
mt001:018	4	@	-	Kristuksen␣
mt001:018	(5) 6	@	-	syntyminen␣
mt001:018	8a	@	-	oli␣
mt001:018	7	@	-	näin
mt001:018	8b	.	-	.␣
mt001:018	9	(@)	-	Kun␣
mt001:018	12	@	-	hänen␣
mt001:018	(10) 11	@	-	äitinsä␣
mt001:018	13	@	-	Maria␣
mt001:018	9	(@)	-	oli␣
mt001:018	9	@	-	kihlattu␣
mt001:018	(14) 15a	@	-	Joosefille
mt001:018	15b	,	-	,␣
mt001:018	20	@	-	huomattiin␣
mt001:018	20	(@)	-	hänen␣
mt001:018	16 17	@	-	ennen␣
mt001:018	19	@	-	heidän␣
mt001:018	18	@	-	yhteenmenoaan␣
mt001:018	23	@	-	olevan␣
mt001:018	22	@	-	raskaana␣
mt001:018	21	%case	ESS	
mt001:018	26a	@	-	Pyhästä␣
mt001:018	25	@	-	Hengestä
mt001:018	24	%case	LOC	
mt001:018	26b	.	-	.␣
mt001:019	mt001:019	mt001:019	VERSE	Mt␣1:19␣
mt001:019	2	@	-	Mutta␣
mt001:019	7	(@)	-	kun␣
mt001:019	1	@	-	Joosef
mt001:019	-	(,)	-	,␣
mt001:019	5a	@	-	hänen␣
mt001:019	(3) 4	@	-	miehensä
mt001:019	5b	,	-	,␣
mt001:019	7	@	-	oli␣
mt001:019	6	@	-	hurskas
mt001:019	-	(,)	-	,␣
mt001:019	8	@	-	ja␣
mt001:019	10	(@)	-	koska␣
mt001:019	10	(@)	-	hän␣
mt001:019	9	@	-	ei␣
mt001:019	10	@	-	tahtonut␣
mt001:019	12a	@	-	saattaa␣
mt001:019	11	@	-	häntä␣
mt001:019	12a	@	-	häpeään
mt001:019	12b	,	-	,␣
mt001:019	13	@	-	aikoi␣
mt001:019	13	(@)	-	hän␣
mt001:019	14	@	-	salaisesti␣
mt001:019	15	@	-	hyljätä␣
mt001:019	16a	@	-	hänet
mt001:019	16b	.	-	.␣
mt001:020	mt001:020	mt001:020	VERSE	Mt␣1:20␣
mt001:020	2	@	-	Mutta␣
mt001:020	4	(@)	-	kun␣
mt001:020	3	@	-	hän␣
mt001:020	1	@	-	tätä␣
mt001:020	4	@	-	ajatteli
mt001:020	-	(,)	-	,␣
mt001:020	-	(@)	-	niin␣
mt001:020	5	@	-	katso
mt001:020	-	(,)	-	,␣
mt001:020	11	@	-	hänelle␣
mt001:020	10	@	-	ilmestyi␣
mt001:020	9	@	-	unessa␣
mt001:020	8	%case	LOC	
mt001:020	7	@	-	Herran␣
mt001:020	6	@	-	enkeli
mt001:020	-	(,)	-	,␣
mt001:020	12a	(@)	-	joka␣
mt001:020	12a	@	-	sanoi
mt001:020	12b	:	-	:␣
mt001:020	12b	@	-	"
mt001:020	13	@	-	Joosef
mt001:020	-	(,)	-	,␣
mt001:020	15a	@	-	Daavidin␣
mt001:020	14	@	-	poika
mt001:020	15b	,	-	,␣
mt001:020	16	@	-	älä␣
mt001:020	17	@	-	pelkää␣
mt001:020	18	@	-	ottaa␣
mt001:020	18	@	-	tykösi␣
mt001:020	19	@	-	Mariaa
mt001:020	-	(,)	-	,␣
mt001:020	(20) 21	@	-	vaimoasi
mt001:020	22a	%pers	?	
mt001:020	22b	;	-	;␣
mt001:020	24	@	-	sillä␣
mt001:020	23	@	-	se
mt001:020	-	(,)	-	,␣
mt001:020	23	@	-	mikä␣
mt001:020	26	@	-	hänessä␣
mt001:020	25	%case	LOC	
mt001:020	27	(@)	-	on␣
mt001:020	27	@	-	siinnyt
mt001:020	-	(,)	-	,␣
mt001:020	30	@	-	on␣
mt001:020	31a	@	-	Pyhästä␣
mt001:020	29	@	-	Hengestä
mt001:020	28	%case	LOC	
mt001:020	31b	.	-	.␣
mt001:021	mt001:021	mt001:021	VERSE	Mt␣1:21␣
mt001:021	2	@	-	Ja␣
mt001:021	1	(@)	-	hän␣
mt001:021	1	(@)	-	on␣
mt001:021	1	@	-	synnyttävä␣
mt001:021	3a	@	-	pojan
mt001:021	3b	,	-	,␣
mt001:021	4	@	-	ja␣
mt001:021	5	(@)	-	sinun␣
mt001:021	5	(@)	-	on␣
mt001:021	5	@	-	annettava␣
mt001:021	8	@	-	hänelle␣
mt001:021	(6) 7	@	-	nimi␣
mt001:021	9a	@	-	Jeesus
mt001:021	9b	,	-	,␣
mt001:021	11	@	-	sillä␣
mt001:021	10	@	-	hän␣
mt001:021	12	(@)	-	on␣
mt001:021	12	@	-	vapahtava␣
mt001:021	(13) 14	@	-	kansansa␣
mt001:021	15	%pers	3	
mt001:021	19a	@	-	heidän␣
mt001:021	(17) 18	@	-	synneistänsä
mt001:021	16	%case	LOC	
mt001:021	19b	.	-	.
mt001:021	19b	@	-	"␣
mt001:022	mt001:022	mt001:022	VERSE	Mt␣1:22␣
mt001:022	1	@	-	Tämä␣
mt001:022	(2)	-	UNTRANSLATED	
mt001:022	3	@	-	kaikki␣
mt001:022	4	(@)	-	on␣
mt001:022	4	@	-	tapahtunut
mt001:022	-	(,)	-	,␣
mt001:022	5	@	-	että␣
mt001:022	6	@	-	kävisi␣
mt001:022	6	@	-	toteen
mt001:022	-	(,)	-	,␣
mt001:022	7	@	-	minkä␣
mt001:022	10	@	-	Herra␣
mt001:022	9	%case	NOM	
mt001:022	8	(@)	-	on␣
mt001:022	8	@	-	puhunut␣
mt001:022	(12) 13	@	-	profeetan␣
mt001:022	11	@	-	kautta
mt001:022	-	(,)	-	,␣
mt001:022	14a	(@)	-	joka␣
mt001:022	14a	@	-	sanoo
mt001:022	14b	:	-	:␣
mt001:023	mt001:023	mt001:023	VERSE	Mt␣1:23␣
mt001:023	-	(@)	-	"
mt001:023	1	@	-	Katso
mt001:023	-	(,)	-	,␣
mt001:023	(2) 3	@	-	neitsyt␣
mt001:023	6	@	-	tulee␣
mt001:023	5	@	-	raskaaksi␣
mt001:023	4	%case	TRA	
mt001:023	7	@	-	ja␣
mt001:023	8	@	-	synnyttää␣
mt001:023	9a	@	-	pojan
mt001:023	9b	,	-	,␣
mt001:023	10	@	-	ja␣
mt001:023	14	@	-	tälle␣
mt001:023	11	(@)	-	on␣
mt001:023	11	@	-	annettava␣
mt001:023	(12) 13	@	-	nimi␣
mt001:023	15a	@	-	Immanuel
mt001:023	15b	@	-	"
mt001:023	15b	,	-	,␣
mt001:023	16	@	-	mikä␣
mt001:023	18	@	-	käännettynä␣
mt001:023	17	@	-	on
mt001:023	-	(:)	-	:␣
mt001:023	(21) 22a	@	-	Jumala␣
mt001:023	20	@	-	meidän␣
mt001:023	19	@	-	kanssamme
mt001:023	22b	.	-	.␣
mt001:024	mt001:024	mt001:024	VERSE	Mt␣1:24␣
mt001:024	1	@	-	Herättyään␣
mt001:024	(2)	-	UNTRANSLATED	
mt001:024	(6) 7	@	-	unesta␣
mt001:024	5	%case	LOC	
mt001:024	(3) 4	@	-	Joosef␣
mt001:024	8	@	-	teki
mt001:024	-	(,)	-	,␣
mt001:024	9	@	-	niinkuin␣
mt001:024	14	@	-	Herran␣
mt001:024	(12) 13	@	-	enkeli␣
mt001:024	10	(@)	-	oli␣
mt001:024	10	@	-	käskenyt␣
mt001:024	11	@	-	hänen␣
mt001:024	-	(@)	-	tehdä
mt001:024	-	(,)	-	,␣
mt001:024	15	@	-	ja␣
mt001:024	16	@	-	otti␣
mt001:024	(17) 18	@	-	vaimonsa␣
mt001:024	19a	%pers	3	
mt001:024	16	@	-	tykönsä␣
mt001:025	mt001:025	mt001:025	VERSE	Mt␣1:25␣
mt001:025	2	@	-	eikä␣
mt001:025	1	%clitic	kA	
mt001:025	3	@	-	yhtynyt␣
mt001:025	4	@	-	häneen
mt001:025	-	(,)	-	,␣
mt001:025	5 6	@	-	ennenkuin␣
mt001:025	7	(@)	-	hän␣
mt001:025	7	(@)	-	oli␣
mt001:025	7	@	-	synnyttänyt␣
mt001:025	8a	@	-	pojan
mt001:025	8b	.	-	.␣
mt001:025	9	@	-	Ja␣
mt001:025	10	(@)	-	hän␣
mt001:025	10	@	-	antoi␣
mt001:025	13	@	-	hänelle␣
mt001:025	(11) 12	@	-	nimen␣
mt001:025	14a	@	-	Jeesus
mt001:025	14b	.	-	.␣
mt002:001	mt002:001	mt002:001	VERSE	Mt␣2:1␣
mt002:001	4	(@)	-	Kun␣
mt002:001	(2)	-	UNTRANSLATED	
mt002:001	(1) 3	@	-	Jeesus␣
mt002:001	4	(@)	-	oli␣
mt002:001	4	@	-	syntynyt␣
mt002:001	(7) 8	@	-	Juudean␣
mt002:001	6	@	-	Beetlehemissä␣
mt002:001	5	%case	LOC	
mt002:001	(12) 13a	@	-	kuningas␣
mt002:001	11	@	-	Herodeksen␣
mt002:001	10	@	-	aikana
mt002:001	9	%case	ESS	
mt002:001	-	(,)	-	,␣
mt002:001	-	(@)	-	niin␣
mt002:001	14	@	-	katso
mt002:001	-	(,)	-	,␣
mt002:001	15	@	-	tietäjiä␣
mt002:001	18	@	-	tuli␣
mt002:001	17	@	-	itäisiltä␣
mt002:001	17	@	-	mailta␣
mt002:001	16	%case	LOC	
mt002:001	20	@	-	Jerusalemiin
mt002:001	19	%case	LOC	
mt002:001	-	(,)	-	,␣
mt002:002	mt002:002	mt002:002	VERSE	Mt␣2:2␣
mt002:002	1a	(@)	-	ja␣
mt002:002	1a	(@)	-	he␣
mt002:002	1a	@	-	sanoivat
mt002:002	1b	:	-	:␣
mt002:002	1b	@	-	"
mt002:002	2	@	-	Missä␣
mt002:002	3	@	-	on␣
mt002:002	4	@	-	se␣
mt002:002	5	(@)	-	äsken␣
mt002:002	5	@	-	syntynyt␣
mt002:002	(7) 8a	@	-	juutalaisten␣
mt002:002	6	@	-	kuningas
mt002:002	-	(?)	-	?␣
mt002:002	10	@	-	Sillä␣
mt002:002	9	(@)	-	me␣
mt002:002	9	@	-	näimme␣
mt002:002	11	@	-	hänen␣
mt002:002	(12) 13	@	-	tähtensä␣
mt002:002	(15) 16	@	-	itäisillä␣
mt002:002	(15) 16	@	-	mailla␣
mt002:002	14	%case	LOC	
mt002:002	17	@	-	ja␣
mt002:002	18	(@)	-	olemme␣
mt002:002	18	@	-	tulleet␣
mt002:002	20a	@	-	häntä␣
mt002:002	19	@	-	kumartamaan
mt002:002	20b	.	-	.
mt002:002	20b	@	-	"␣
mt002:003	mt002:003	mt002:003	VERSE	Mt␣2:3␣
mt002:003	1	(@)	-	Kun␣
mt002:003	(2)	-	UNTRANSLATED	
mt002:003	(3) 4	@	-	kuningas␣
mt002:003	5	@	-	Herodes␣
mt002:003	-	(@)	-	sen␣
mt002:003	1	@	-	kuuli
mt002:003	-	(,)	-	,␣
mt002:003	6	@	-	hämmästyi␣
mt002:003	6	(@)	-	hän␣
mt002:003	7	@	-	ja␣
mt002:003	8	@	-	koko␣
mt002:003	9	@	-	Jerusalem␣
mt002:003	11a	@	-	hänen␣
mt002:003	10	@	-	kanssaan
mt002:003	11b	.	-	.␣
mt002:004	mt002:004	mt002:004	VERSE	Mt␣2:4␣
mt002:004	1	@	-	Ja␣
mt002:004	2	(@)	-	hän␣
mt002:004	2	@	-	kokosi␣
mt002:004	3	@	-	kaikki␣
mt002:004	(8) 9	@	-	kansan␣
mt002:004	(4) 5	@	-	ylipapit␣
mt002:004	6	@	-	ja␣
mt002:004	7	@	-	kirjanoppineet␣
mt002:004	-	(@)	-	ja␣
mt002:004	10	@	-	kyseli␣
mt002:004	12	@	-	heiltä
mt002:004	11	%case	LOC	
mt002:004	-	(,)	-	,␣
mt002:004	13	@	-	missä␣
mt002:004	(14) 15	@	-	Kristus␣
mt002:004	16a	(@)	-	oli␣
mt002:004	16a	@	-	syntyvä
mt002:004	16b	.	-	.␣
mt002:005	mt002:005	mt002:005	VERSE	Mt␣2:5␣
mt002:005	1	@	-	He␣
mt002:005	(2)	-	UNTRANSLATED	
mt002:005	3	@	-	sanoivat␣
mt002:005	4a	@	-	hänelle
mt002:005	4b	:	-	:␣
mt002:005	4b	@	-	"
mt002:005	(7) 8a	@	-	Juudean␣
mt002:005	6	@	-	Beetlehemissä
mt002:005	5	%case	LOC	
mt002:005	8b	;	-	;␣
mt002:005	10	@	-	sillä␣
mt002:005	9	@	-	näin␣
mt002:005	11	(@)	-	on␣
mt002:005	11	@	-	kirjoitettu␣
mt002:005	(13) 14a	@	-	profeetan␣
mt002:005	12	@	-	kautta
mt002:005	14b	:	-	:␣
mt002:006	mt002:006	mt002:006	VERSE	Mt␣2:6␣
mt002:006	-	(@)	-	'
mt002:006	1	@	-	Ja␣
mt002:006	2	@	-	sinä␣
mt002:006	3a	@	-	Beetlehem
mt002:006	-	(,)	-	,␣
mt002:006	case%4	@	-	sinä␣
mt002:006	5a	@	-	Juudan␣
mt002:006	4	@	-	seutu
mt002:006	5b	,	-	,␣
mt002:006	6	@	-	et␣
mt002:006	6	@	-	suinkaan␣
mt002:006	8	@	-	ole␣
mt002:006	7	@	-	vähäisin␣
mt002:006	12a	@	-	Juudan␣
mt002:006	(10) 11	@	-	ruhtinasten␣
mt002:006	9	@	-	joukossa
mt002:006	12b	,	-	,␣
mt002:006	15	@	-	sillä␣
mt002:006	14	@	-	sinusta␣
mt002:006	13	%case	LOC	
mt002:006	16	(@)	-	on␣
mt002:006	16	@	-	lähtevä␣
mt002:006	17a	@	-	hallitsija
mt002:006	17b	,	-	,␣
mt002:006	18	@	-	joka␣
mt002:006	19	@	-	kaitsee␣
mt002:006	22	@	-	minun␣
mt002:006	(20) 21	@	-	kansaani␣
mt002:006	(23) 24a	@	-	Israelia
mt002:006	24b	@	-	'
mt002:006	24b	.	-	.
mt002:006	24b	@	-	"␣
mt002:007	mt002:007	mt002:007	VERSE	Mt␣2:7␣
mt002:007	1	@	-	Silloin␣
mt002:007	2	@	-	Herodes␣
mt002:007	4	@	-	kutsui␣
mt002:007	3	@	-	salaa␣
mt002:007	(5) 6	@	-	tietäjät␣
mt002:007	4	@	-	tykönsä␣
mt002:007	-	(@)	-	ja␣
mt002:007	7	@	-	tutkiskeli␣
mt002:007	9	@	-	heiltä␣
mt002:007	8	%case	LOC	
mt002:007	7	@	-	tarkoin
mt002:007	-	(,)	-	,␣
mt002:007	-	(@)	-	mihin␣
mt002:007	(10) 11	@	-	aikaan␣
mt002:007	(12) 14a	@	-	tähti␣
mt002:007	13	(@)	-	oli␣
mt002:007	13	@	-	ilmestynyt
mt002:007	14b	.	-	.␣
mt002:008	mt002:008	mt002:008	VERSE	Mt␣2:8␣
mt002:008	1	@	-	Ja␣
mt002:008	2	(@)	-	hän␣
mt002:008	2	@	-	lähetti␣
mt002:008	3	@	-	heidät␣
mt002:008	5	@	-	Beetlehemiin␣
mt002:008	4	%case	LOC	
mt002:008	6a	@	-	sanoen
mt002:008	6b	:	-	:␣
mt002:008	6b	@	-	"
mt002:008	7	@	-	Menkää␣
mt002:008	-	(@)	-	ja␣
mt002:008	8	@	-	tiedustelkaa␣
mt002:008	9	@	-	tarkasti␣
mt002:008	(11) 12a	@	-	lasta
mt002:008	10	%case	PTV	
mt002:008	-	(;)	-	;␣
mt002:008	14	@	-	ja␣
mt002:008	13	@	-	kun␣
mt002:008	-	(@)	-	sen␣
mt002:008	15a	@	-	löydätte
mt002:008	-	(,)	-	,␣
mt002:008	-	(@)	-	niin␣
mt002:008	16	@	-	ilmoittakaa␣
mt002:008	17a	@	-	minulle
mt002:008	-	(,)	-	,␣
mt002:008	18	@	-	että␣
mt002:008	20	@	-	minäkin␣
mt002:008	21	@	-	tulisin␣
mt002:008	23a	@	-	häntä␣
mt002:008	22	@	-	kumartamaan
mt002:008	23b	@	-	"
mt002:008	23b	.	-	.␣
