lk001:001	lk001:001	lk001:001	VERSE	Lk␣1:1␣
lk001:004	2	@	-	oppisit␣
lk001:004	2	@	-	tuntemaan
lk001:004	-	(,)	-	,␣
lk001:004	-	(@)	-	kuinka␣
lk001:004	(7) 8a	@	-	varmat␣
lk001:004	-	(@)	-	ne␣
lk001:004	6	@	-	asiat␣
lk001:004	-	(@)	-	ovat
lk001:004	-	(,)	-	,␣
lk001:004	4	@	-	jotka␣
lk001:004	3	%case	NOM	
lk001:004	5	(@)	-	sinulle␣
lk001:004	5	(@)	-	on␣
lk001:004	5	@	-	opetettu
lk001:004	8b	.	-	.␣
lk001:005	lk001:005	lk001:005	VERSE	Lk␣1:5␣
lk001:005	5	@	-	Herodeksen
lk001:005	-	(,)	-	,␣
lk001:005	(7) 8	@	-	Juudean␣
lk001:005	6	@	-	kuninkaan
lk001:005	-	(,)	-	,␣
lk001:005	(3) 4	@	-	aikana␣
lk001:005	2	%case	ESS	
lk001:005	1	@	-	oli␣
lk001:005	9	@	-	pappi
lk001:005	(10)	-	UNTRANSLATED	
lk001:005	-	(,)	-	,␣
lk001:005	11	@	-	nimeltä␣
lk001:005	12	@	-	Sakarias
lk001:005	-	(,)	-	,␣
lk001:005	15a	@	-	Abian␣
lk001:005	14	@	-	osastoa
lk001:005	13	%case	PTV	
lk001:005	15b	.	-	.␣
lk001:005	16	@	-	Ja␣
lk001:005	18	@	-	hänen␣
lk001:005	17	@	-	vaimonsa␣
lk001:005	-	(@)	-	oli␣
lk001:005	22	@	-	Aaronin␣
lk001:005	(20) 21	@	-	tyttäriä
lk001:005	19	%case	PTV	
lk001:005	-	(,)	-	,␣
lk001:005	23	@	-	ja␣
lk001:005	26	@	-	tämän␣
lk001:005	(24) 25	@	-	nimi␣
lk001:005	-	(@)	-	oli␣
lk001:005	27a	@	-	Elisabet
lk001:005	27b	.	-	.␣
lk001:006	lk001:006	lk001:006	VERSE	Lk␣1:6␣
lk001:006	1	(@)	-	He␣
lk001:006	1	@	-	olivat␣
lk001:006	(2)	-	UNTRANSLATED	
lk001:006	4	@	-	molemmat␣
lk001:006	3	@	-	hurskaita␣
lk001:006	(6) 7a	@	-	Jumalan␣
lk001:006	5	@	-	edessä
lk001:006	7b	,	-	,␣
lk001:006	8	@	-	vaeltaen␣
lk001:006	10	@	-	kaikissa␣
lk001:006	(15) 16	@	-	Herran␣
lk001:006	(11) 12	@	-	käskyissä␣
lk001:006	9	%case	LOC	
lk001:006	13	@	-	ja␣
lk001:006	14	@	-	säädöksissä␣
lk001:006	17a	@	-	nuhteettomina
lk001:006	17b	.	-	.␣
lk001:007	lk001:007	lk001:007	VERSE	Lk␣1:7␣
lk001:007	1	@	-	Mutta␣
lk001:007	4	@	-	heillä␣
lk001:007	2	@	-	ei␣
lk001:007	3	@	-	ollut␣
lk001:007	5a	@	-	lasta
lk001:007	5b	,	-	,␣
lk001:007	6	@	-	sillä␣
lk001:007	(8) 9	@	-	Elisabet␣
lk001:007	7	@	-	oli␣
lk001:007	10a	@	-	hedelmätön
lk001:007	10b	;	-	;␣
lk001:007	11	@	-	ja␣
lk001:007	18a	(@)	-	he␣
lk001:007	18a	@	-	olivat␣
lk001:007	12	@	-	molemmat␣
lk001:007	13	@	-	tulleet␣
lk001:007	(15) 16	@	-	iällisiksi
lk001:007	14	%case	TRA	
lk001:007	(17)	-	UNTRANSLATED	
lk001:007	18b	.	-	.␣
lk001:008	lk001:008	lk001:008	VERSE	Lk␣1:8␣
lk001:008	2	@	-	Niin␣
lk001:008	1	@	-	tapahtui
lk001:008	-	(,)	-	,␣
lk001:008	-	(@)	-	kun␣
lk001:008	12	@	-	hänen␣
lk001:008	(10) 11	@	-	osastonsa␣
lk001:008	(8) 9	@	-	palvelusvuoro␣
lk001:008	7	%case	NOM	
lk001:008	-	(@)	-	tuli␣
lk001:008	-	(@)	-	ja␣
lk001:008	6	@	-	hän␣
lk001:008	(4) 5	@	-	toimitti␣
lk001:008	(4) 5	@	-	papillisia␣
lk001:008	(4) 5	@	-	tehtäviä␣
lk001:008	3	%case	PTV	
lk001:008	(14) 15a	@	-	Jumalan␣
lk001:008	13	@	-	edessä
lk001:008	15b	,	-	,␣
lk001:009	lk001:009	lk001:009	VERSE	Lk␣1:9␣
lk001:009	-	(@)	-	että␣
lk001:009	-	(@)	-	hän␣
lk001:009	(2) 3	@	-	tavanmukaisessa␣
lk001:009	1	%case	LOC	
lk001:009	(4) 5	@	-	pappistehtävien␣
lk001:009	6	@	-	arpomisessa␣
lk001:009	6	@	-	sai␣
lk001:009	6	@	-	osaksensa␣
lk001:009	9	@	-	mennä␣
lk001:009	(13) 14a	@	-	Herran␣
lk001:009	(11) 12	@	-	temppeliin␣
lk001:009	10	%case	LOC	
lk001:009	(7) 8	@	-	suitsuttamaan
lk001:009	14b	.	-	.␣
lk001:010	lk001:010	lk001:010	VERSE	Lk␣1:10␣
lk001:010	1	@	-	Ja␣
lk001:010	2	@	-	kaikki␣
lk001:010	(3) (4)	-	UNTRANSLATED	
lk001:010	(6) 7	@	-	kansa␣
lk001:010	5	@	-	oli␣
lk001:010	(12) 13a	@	-	suitsuttamisen␣
lk001:010	(10) 11	@	-	aikana␣
lk001:010	9	@	-	ulkopuolella␣
lk001:010	8	@	-	rukoilemassa
lk001:010	13b	.	-	.␣
lk001:011	lk001:011	lk001:011	VERSE	Lk␣1:11␣
lk001:011	2	@	-	Silloin␣
lk001:011	1	@	-	ilmestyi␣
lk001:011	3	@	-	hänelle␣
lk001:011	5	@	-	Herran␣
lk001:011	4	@	-	enkeli␣
lk001:011	6	@	-	seisoen␣
lk001:011	10 (11) 12a (9)	@	-	suitsutusalttarin␣
lk001:011	8	@	-	oikealla␣
lk001:011	8	@	-	puolella
lk001:011	7	%case	LOC	
lk001:011	12b	.	-	.␣
lk001:012	lk001:012	lk001:012	VERSE	Lk␣1:12␣
lk001:012	1	@	-	Ja␣
lk001:012	-	(@)	-	hänet␣
lk001:012	4	@	-	nähdessään␣
lk001:012	3	@	-	Sakarias␣
lk001:012	2	@	-	hämmästyi
lk001:012	-	(,)	-	,␣
lk001:012	5	@	-	ja␣
lk001:012	9a	@	-	hänet␣
lk001:012	8	%case	ACC	
lk001:012	7	@	-	valtasi␣
lk001:012	6	@	-	pelko
lk001:012	9b	.	-	.␣
lk001:013	lk001:013	lk001:013	VERSE	Lk␣1:13␣
lk001:013	2	@	-	Mutta␣
lk001:013	(5) 6a	@	-	enkeli␣
lk001:013	1	@	-	sanoi␣
lk001:013	4	@	-	hänelle
lk001:013	3	%case	LOC	
lk001:013	6b	:	-	:␣
lk001:013	6b	@	-	"
lk001:013	7	@	-	Älä␣
lk001:013	8a	@	-	pelkää
lk001:013	8b	,	-	,␣
lk001:013	9a	@	-	Sakarias
lk001:013	9b	;	-	;␣
lk001:013	10	@	-	sillä␣
lk001:013	14a	@	-	sinun␣
lk001:013	(12) 13	@	-	rukouksesi␣
lk001:013	11	(@)	-	on␣
lk001:013	11	@	-	kuultu
lk001:013	14b	,	-	,␣
lk001:013	15	@	-	ja␣
lk001:013	(16) 17	@	-	vaimosi␣
lk001:013	18	%pers	?	
lk001:013	19	@	-	Elisabet␣
lk001:013	20	(@)	-	on␣
lk001:013	20	@	-	synnyttävä␣
lk001:013	22	@	-	sinulle␣
lk001:013	21	@	-	pojan
lk001:013	-	(,)	-	,␣
lk001:013	23	@	-	ja␣
lk001:013	24	(@)	-	sinun␣
lk001:013	24	(@)	-	on␣
lk001:013	24	@	-	annettava␣
lk001:013	27	@	-	hänelle␣
lk001:013	(25) 26	@	-	nimi␣
lk001:013	28a	@	-	Johannes
lk001:013	28b	.	-	.␣
lk001:014	lk001:014	lk001:014	VERSE	Lk␣1:14␣
lk001:014	1	@	-	Ja␣
lk001:014	2	(@)	-	hän␣
lk001:014	2	(@)	-	on␣
lk001:014	2	@	-	oleva␣
lk001:014	4	@	-	sinulle␣
lk001:014	3	@	-	iloksi␣
lk001:014	5	@	-	ja␣
lk001:014	6	@	-	riemuksi
lk001:014	-	(,)	-	,␣
lk001:014	7	@	-	ja␣
lk001:014	8	@	-	monet␣
lk001:014	13a	@	-	iloitsevat␣
lk001:014	12	@	-	hänen␣
lk001:014	(10) 11	@	-	syntymisestään
lk001:014	9	%case	LOC	
lk001:014	13b	.	-	.␣
lk001:015	lk001:015	lk001:015	VERSE	Lk␣1:15␣
lk001:015	2	@	-	Sillä␣
lk001:015	1	(@)	-	hän␣
lk001:015	1	(@)	-	on␣
lk001:015	1	@	-	oleva␣
lk001:015	3	@	-	suuri␣
lk001:015	(5a) 6a	@	-	Herran␣
lk001:015	4a	@	-	edessä
lk001:015	-	(;)	-	;␣
lk001:015	(7)	-	UNTRANSLATED	
lk001:015	8	@	-	viiniä␣
lk001:015	9	@	-	ja␣
lk001:015	10	@	-	väkijuomaa␣
lk001:015	13a	(@)	-	hän␣
lk001:015	11 12	@	-	ei␣
lk001:015	13a	@	-	juo
lk001:015	13b	,	-	,␣
lk001:015	14	@	-	ja␣
lk001:015	17	(@)	-	hän␣
lk001:015	17	(@)	-	on␣
lk001:015	17	(@)	-	oleva␣
lk001:015	17	@	-	täytetty␣
lk001:015	16	@	-	Pyhällä␣
lk001:015	15	@	-	Hengellä␣
lk001:015	18	@	-	hamasta␣
lk001:015	21	@	-	äitinsä␣
lk001:015	22a	%pers	3	
lk001:015	20	@	-	kohdusta
lk001:015	19	%case	LOC	
lk001:015	22b	.	-	.␣
lk001:016	lk001:016	lk001:016	VERSE	Lk␣1:16␣
lk001:016	1	@	-	Ja␣
lk001:016	6	(@)	-	hän␣
lk001:016	6	@	-	kääntää␣
lk001:016	2	@	-	monta␣
lk001:016	5	@	-	Israelin␣
lk001:016	(3) 4	@	-	lapsista␣
lk001:016	8	@	-	Herran
lk001:016	-	(,)	-	,␣
lk001:016	11a	@	-	heidän␣
lk001:016	10 (9)	@	-	Jumalansa
lk001:016	-	(,)	-	,␣
lk001:016	7	@	-	tykö
lk001:016	11b	.	-	.␣
lk001:017	lk001:017	lk001:017	VERSE	Lk␣1:17␣
lk001:017	1	@	-	Ja␣
lk001:017	2	@	-	hän␣
lk001:017	3	@	-	käy␣
lk001:017	5	@	-	hänen␣
lk001:017	4	@	-	edellään␣
lk001:017	10a	@	-	Eliaan␣
lk001:017	7	@	-	hengessä␣
lk001:017	6	%case	LOC	
lk001:017	8	@	-	ja␣
lk001:017	9	@	-	voimassa
lk001:017	10b	,	-	,␣
lk001:017	11	@	-	kääntääksensä␣
lk001:017	13	@	-	isien␣
lk001:017	12	@	-	sydämet␣
lk001:017	15	@	-	lasten␣
lk001:017	14	@	-	puoleen␣
lk001:017	16	@	-	ja␣
lk001:017	17	@	-	tottelemattomat␣
lk001:017	20a	@	-	vanhurskasten␣
lk001:017	19	@	-	mielenlaatuun
lk001:017	18	%case	LOC	
lk001:017	-	(,)	-	,␣
lk001:017	-	(@)	-	näin␣
lk001:017	22	@	-	Herralle␣
lk001:017	21	@	-	toimittaaksensa␣
lk001:017	24a	@	-	valmistetun␣
lk001:017	23	@	-	kansan
lk001:017	24b	.	-	.
lk001:017	24b	@	-	"␣
lk001:018	lk001:018	lk001:018	VERSE	Lk␣1:18␣
lk001:018	1	@	-	Niin␣
lk001:018	3	@	-	Sakarias␣
lk001:018	2	@	-	sanoi␣
lk001:018	(5) 6a	@	-	enkelille
lk001:018	4	%case	LOC	
lk001:018	6b	:	-	:␣
lk001:018	6b	@	-	"
lk001:018	8	@	-	Kuinka␣
lk001:018	7	%case	?	
lk001:018	9	(@)	-	minä␣
lk001:018	10a	@	-	tämän␣
lk001:018	9	@	-	käsittäisin
lk001:018	-	(?)	-	?␣
lk001:018	12	@	-	Sillä␣
lk001:018	11	@	-	minä␣
lk001:018	13	@	-	olen␣
lk001:018	14	@	-	vanha
lk001:018	-	(,)	-	,␣
lk001:018	15	@	-	ja␣
lk001:018	18	@	-	minun␣
lk001:018	(16) 17	@	-	vaimoni␣
lk001:018	19	(@)	-	on␣
lk001:018	(21) 22	@	-	iälliseksi␣
lk001:018	20	%case	TRA	
lk001:018	19	@	-	tullut
lk001:018	(23a)	-	UNTRANSLATED	
lk001:018	23b	.	-	.
lk001:018	23b	@	-	"␣
lk001:019	lk001:019	lk001:019	VERSE	Lk␣1:19␣
lk001:019	(3) 4	@	-	Enkeli␣
lk001:019	(1)	-	UNTRANSLATED	
lk001:019	2	@	-	vastasi␣
lk001:019	-	(@)	-	ja␣
lk001:019	5	@	-	sanoi␣
lk001:019	6a	@	-	hänelle
lk001:019	6b	:	-	:␣
lk001:019	6b	@	-	"
lk001:019	7	@	-	Minä␣
lk001:019	8	@	-	olen␣
lk001:019	9	@	-	Gabriel
lk001:019	-	(,)	-	,␣
lk001:019	10	@	-	joka␣
lk001:019	11	@	-	seison␣
lk001:019	(13) 14	@	-	Jumalan␣
lk001:019	12	@	-	edessä
lk001:019	-	(,)	-	,␣
lk001:019	15	@	-	ja␣
lk001:019	16	(@)	-	minä␣
lk001:019	16	(@)	-	olen␣
lk001:019	16	@	-	lähetetty␣
lk001:019	17	@	-	puhumaan␣
lk001:019	19	@	-	sinulle␣
lk001:019	18	%case	LOC	
lk001:019	20	@	-	ja␣
lk001:019	21	@	-	julistamaan␣
lk001:019	22	@	-	sinulle␣
lk001:019	23a	@	-	tämän␣
lk001:019	21	@	-	ilosanoman
lk001:019	23b	.	-	.␣
lk001:020	lk001:020	lk001:020	VERSE	Lk␣1:20␣
lk001:020	1	@	-	Ja␣
lk001:020	2	@	-	katso
lk001:020	-	(,)	-	,␣
lk001:020	3	(@)	-	sinä␣
lk001:020	3	@	-	tulet␣
lk001:020	4	@	-	mykäksi␣
lk001:020	6	@	-	etkä␣
lk001:020	5	%clitic	kA	
lk001:020	7	@	-	kykene␣
lk001:020	-	(@)	-	mitään␣
lk001:020	8	@	-	puhumaan␣
lk001:020	10	@	-	siihen␣
lk001:020	11	@	-	päivään␣
lk001:020	9	@	-	saakka
lk001:020	-	(,)	-	,␣
lk001:020	-	(@)	-	jona␣
lk001:020	13a	@	-	tämä␣
lk001:020	12	@	-	tapahtuu
lk001:020	13b	,	-	,␣
lk001:020	14 15	@	-	sentähden␣
lk001:020	16	@	-	ettet␣
lk001:020	17	@	-	uskonut␣
lk001:020	20a	@	-	minun␣
lk001:020	(18) 19	@	-	sanojani
lk001:020	20b	,	-	,␣
lk001:020	21	@	-	jotka␣
lk001:020	22	@	-	käyvät␣
lk001:020	(24) 25	@	-	aikanansa␣
lk001:020	26a	%pers	3	
lk001:020	23	%case	ESS	
lk001:020	22	@	-	toteen
lk001:020	26b	.	-	.
lk001:020	26b	@	-	"␣
lk001:021	lk001:021	lk001:021	VERSE	Lk␣1:21␣
lk001:021	1	@	-	Ja␣
lk001:021	(3) 4	@	-	kansa␣
lk001:021	2	@	-	oli␣
lk001:021	5	@	-	odottamassa␣
lk001:021	(6) 7	@	-	Sakariasta
lk001:021	-	(,)	-	,␣
lk001:021	8	@	-	ja␣
lk001:021	9	(@)	-	he␣
lk001:021	9	@	-	ihmettelivät
lk001:021	-	(,)	-	,␣
lk001:021	-	(@)	-	että␣
lk001:021	16a	@	-	hän␣
lk001:021	-	(@)	-	niin␣
lk001:021	-	(@)	-	kauan␣
lk001:021	(11) 12	@	-	viipyi␣
lk001:021	10	%case	?	
lk001:021	(14) 15	@	-	temppelissä
lk001:021	13	%case	LOC	
lk001:021	16b	.	-	.␣
lk001:022	lk001:022	lk001:022	VERSE	Lk␣1:22␣
lk001:022	2	@	-	Mutta␣
lk001:022	1	@	-	ulos␣
lk001:022	1	@	-	tullessaan␣
lk001:022	4	(@)	-	hän␣
lk001:022	3	@	-	ei␣
lk001:022	4	@	-	kyennyt␣
lk001:022	5	@	-	puhumaan␣
lk001:022	6a	@	-	heille
lk001:022	-	(;)	-	;␣
lk001:022	7	@	-	silloin␣
lk001:022	8	(@)	-	he␣
lk001:022	8	@	-	ymmärsivät
lk001:022	-	(,)	-	,␣
lk001:022	9	@	-	että␣
lk001:022	11	(@)	-	hän␣
lk001:022	11	(@)	-	oli␣
lk001:022	11	@	-	nähnyt␣
lk001:022	10	@	-	näyn␣
lk001:022	(13) 14a	@	-	temppelissä
lk001:022	12	%case	LOC	
lk001:022	-	(.)	-	.␣
lk001:022	15	@	-	Ja␣
lk001:022	16	@	-	hän␣
lk001:022	18	@	-	viittoi␣
lk001:022	17	%tasp	PAST	
lk001:022	19	@	-	heille␣
lk001:022	20	@	-	ja␣
lk001:022	21	@	-	jäi␣
lk001:022	22a	@	-	mykäksi
lk001:022	22b	.	-	.␣
lk001:023	lk001:023	lk001:023	VERSE	Lk␣1:23␣
lk001:023	1	@	-	Ja␣
lk001:023	(2)	-	UNTRANSLATED	
lk001:023	3	@	-	kun␣
lk001:023	9a	@	-	hänen␣
lk001:023	(7) 8	@	-	virkatoimensa␣
lk001:023	(5) 6	@	-	päivät␣
lk001:023	4	(@)	-	olivat␣
lk001:023	4	@	-	päättyneet
lk001:023	9b	,	-	,␣
lk001:023	10	@	-	meni␣
lk001:023	10	(@)	-	hän␣
lk001:023	(12) 13	@	-	kotiinsa
lk001:023	11	%case	LOC	
lk001:023	14a	%pers	3	
lk001:023	14b	.	-	.␣
lk001:024	lk001:024	lk001:024	VERSE	Lk␣1:24␣
lk001:024	2	@	-	Ja␣
lk001:024	3	@	-	niiden␣
lk001:024	(4) 5	@	-	päiväin␣
lk001:024	1	@	-	perästä␣
lk001:024	7	@	-	Elisabet
lk001:024	-	(,)	-	,␣
lk001:024	10	@	-	hänen␣
lk001:024	(8) 9	@	-	vaimonsa
lk001:024	-	(,)	-	,␣
lk001:024	6	@	-	tuli␣
lk001:024	6	@	-	raskaaksi␣
lk001:024	11	@	-	ja␣
lk001:024	12	@	-	pysytteli␣
lk001:024	12	@	-	salassa␣
lk001:024	13	%case	LOC	
lk001:024	15	@	-	viisi␣
lk001:024	14	@	-	kuukautta
lk001:024	-	(,)	-	,␣
lk001:024	16	@	-	sanoen
lk001:024	1/025	:	-	:␣
lk001:025	lk001:025	lk001:025	VERSE	Lk␣1:25␣
lk001:025	-	(@)	-	"
lk001:025	2	@	-	Näin␣
lk001:025	4	(@)	-	on␣
lk001:025	5	@	-	Herra␣
lk001:025	4	@	-	tehnyt␣
lk001:025	3	@	-	minulle␣
lk001:025	8	@	-	niinä␣
lk001:025	7	@	-	päivinä
lk001:025	6	%case	ESS	
lk001:025	-	(,)	-	,␣
lk001:025	8	@	-	jolloin␣
lk001:025	9	(@)	-	hän␣
lk001:025	9	@	-	katsoi␣
lk001:025	9	(@)	-	minun␣
lk001:025	9	@	-	puoleeni␣
lk001:025	10	@	-	poistaaksensa␣
lk001:025	12	@	-	minusta␣
lk001:025	14a	@	-	ihmisten␣
lk001:025	13	%case	GEN	
lk001:025	11	@	-	ylenkatseen
lk001:025	14b	@	-	"
lk001:025	14b	.	-	.␣
lk001:026	lk001:026	lk001:026	VERSE	Lk␣1:26␣
lk001:026	(5) 6	@	-	Kuudentena␣
lk001:026	(2)	-	UNTRANSLATED	
lk001:026	(3) 4	@	-	kuukautena␣
lk001:026	1	%case	ESS	
lk001:026	-	(@)	-	sen␣
lk001:026	-	(@)	-	jälkeen␣
lk001:026	(12) 13	@	-	Jumala␣
lk001:026	11	%case	NOM	
lk001:026	7	@	-	lähetti␣
lk001:026	(8) 9	@	-	enkeli␣
lk001:026	10	@	-	Gabrielin␣
lk001:026	(16) 17	@	-	Galilean␣
lk001:026	15	@	-	kaupunkiin
lk001:026	14	%case	LOC	
lk001:026	-	(,)	-	,␣
lk001:026	18	@	-	jonka␣
lk001:026	19	@	-	nimi␣
lk001:026	-	(@)	-	on␣
lk001:026	20	@	-	Nasaret
lk001:026	-	(,)	-	,␣
lk001:027	lk001:027	lk001:027	VERSE	Lk␣1:27␣
lk001:027	2	@	-	neitsyen␣
lk001:027	1	@	-	tykö
lk001:027	-	(,)	-	,␣
lk001:027	3	(@)	-	joka␣
lk001:027	3	(@)	-	oli␣
lk001:027	3	@	-	kihlattu␣
lk001:027	7	@	-	Joosef␣
lk001:027	(5)	-	UNTRANSLATED	
lk001:027	6	@	-	nimiselle␣
lk001:027	4	@	-	miehelle␣
lk001:027	10	@	-	Daavidin␣
lk001:027	9	@	-	suvusta
lk001:027	8	%case	LOC	
lk001:027	-	(;)	-	;␣
lk001:027	11	@	-	ja␣
lk001:027	(14) 15	@	-	neitsyen␣
lk001:027	(12) 13	@	-	nimi␣
lk001:027	-	(@)	-	oli␣
lk001:027	16a	@	-	Maria
lk001:027	16b	.	-	.␣
lk001:028	lk001:028	lk001:028	VERSE	Lk␣1:28␣
lk001:028	1	@	-	Ja␣
lk001:028	2	@	-	tullessaan␣
lk001:028	2	@	-	sisälle␣
lk001:028	4	@	-	hänen␣
lk001:028	3	@	-	tykönsä␣
lk001:028	-	(@)	-	enkeli␣
lk001:028	5a	@	-	sanoi
lk001:028	5b	:	-	:␣
lk001:028	5b	@	-	"
lk001:028	6a	@	-	Terve
lk001:028	6b	,	-	,␣
lk001:028	7a	@	-	armoitettu
lk001:028	-	(!)	-	!␣
lk001:028	(8) 9	@	-	Herra␣
lk001:028	-	(@)	-	olkoon␣
lk001:028	11a	@	-	sinun␣
lk001:028	10	@	-	kanssasi
lk001:028	11b	.	-	.
lk001:028	11b	@	-	"␣
lk001:029	lk001:029	lk001:029	VERSE	Lk␣1:29␣
lk001:029	2	@	-	Mutta␣
lk001:029	1	@	-	hän␣
lk001:029	6	@	-	hämmästyi␣
lk001:029	6	@	-	suuresti␣
lk001:029	4	@	-	siitä␣
lk001:029	5	@	-	puheesta␣
lk001:029	3	%case	LOC	
lk001:029	7	@	-	ja␣
lk001:029	8	@	-	mietti
lk001:029	-	(,)	-	,␣
lk001:029	9	@	-	mitä␣
lk001:029	13a	@	-	tämä␣
lk001:029	(11) 12	@	-	tervehdys␣
lk001:029	10	@	-	mahtoi␣
lk001:029	10	@	-	tarkoittaa
lk001:029	13b	.	-	.␣
lk001:030	lk001:030	lk001:030	VERSE	Lk␣1:30␣
lk001:030	1	@	-	Niin␣
lk001:030	(3) 4	@	-	enkeli␣
lk001:030	2	@	-	sanoi␣
lk001:030	5a	@	-	hänelle
lk001:030	5b	:	-	:␣
lk001:030	5b	@	-	"
lk001:030	6	@	-	Älä␣
lk001:030	7a	@	-	pelkää
lk001:030	7b	,	-	,␣
lk001:030	8a	@	-	Maria
lk001:030	8b	;	-	;␣
lk001:030	10	@	-	sillä␣
lk001:030	9	(@)	-	sinä␣
lk001:030	9	(@)	-	olet␣
lk001:030	9	@	-	saanut␣
lk001:030	11	@	-	armon␣
lk001:030	(13) 14a	@	-	Jumalan␣
lk001:030	12	@	-	edessä
lk001:030	14b	.	-	.␣
lk001:031	lk001:031	lk001:031	VERSE	Lk␣1:31␣
lk001:031	1	@	-	Ja␣
lk001:031	2	@	-	katso
lk001:031	-	(,)	-	,␣
lk001:031	3	(@)	-	sinä␣
lk001:031	3	@	-	tulet␣
lk001:031	5	@	-	raskaaksi␣
lk001:031	4	%case	TRA	
lk001:031	6	@	-	ja␣
lk001:031	7	@	-	synnytät␣
lk001:031	8	@	-	pojan
lk001:031	-	(,)	-	,␣
lk001:031	9	@	-	ja␣
lk001:031	10	(@)	-	sinun␣
lk001:031	10	(@)	-	on␣
lk001:031	10	@	-	annettava␣
lk001:031	13	@	-	hänelle␣
lk001:031	(11) 12	@	-	nimi␣
lk001:031	14a	@	-	Jeesus
lk001:031	14b	.	-	.␣
lk001:032	lk001:032	lk001:032	VERSE	Lk␣1:32␣
lk001:032	1	@	-	Hän␣
lk001:032	2	(@)	-	on␣
lk001:032	2	@	-	oleva␣
lk001:032	3	@	-	suuri
lk001:032	-	(,)	-	,␣
lk001:032	4	@	-	ja␣
lk001:032	7	(@)	-	hänet␣
lk001:032	7	(@)	-	pitää␣
lk001:032	7	@	-	kutsuttaman␣
lk001:032	6	@	-	Korkeimman␣
lk001:032	5	@	-	Pojaksi
lk001:032	-	(,)	-	,␣
lk001:032	8	@	-	ja␣
lk001:032	11	@	-	Herra␣
lk001:032	(12) 13	@	-	Jumala␣
lk001:032	9	@	-	antaa␣
lk001:032	10	@	-	hänelle␣
lk001:032	16	@	-	Daavidin
lk001:032	-	(,)	-	,␣
lk001:032	19a	@	-	hänen␣
lk001:032	(17) 18	@	-	isänsä
lk001:032	-	(,)	-	,␣
lk001:032	(14) 15	@	-	valtaistuimen
lk001:032	19b	,	-	,␣
lk001:033	lk001:033	lk001:033	VERSE	Lk␣1:33␣
lk001:033	1	@	-	ja␣
lk001:033	2	(@)	-	hän␣
lk001:033	2	(@)	-	on␣
lk001:033	2	@	-	oleva␣
lk001:033	6	@	-	Jaakobin␣
lk001:033	(4) 5	@	-	huoneen␣
lk001:033	3	%case	GEN	
lk001:033	2	@	-	kuningas␣
lk001:033	(8) 9	@	-	iankaikkisesti
lk001:033	7	%case	MAN	
lk001:033	-	(,)	-	,␣
lk001:033	10	@	-	ja␣
lk001:033	13	@	-	hänen␣
lk001:033	(11) 12	@	-	valtakunnallansa␣
lk001:033	14	@	-	ei␣
lk001:033	15	(@)	-	pidä␣
lk001:033	16a	@	-	loppua␣
lk001:033	15	@	-	oleman
lk001:033	16b	.	-	.
lk001:033	16b	@	-	"␣
lk001:034	lk001:034	lk001:034	VERSE	Lk␣1:34␣
lk001:034	2	@	-	Niin␣
lk001:034	3	@	-	Maria␣
lk001:034	1	@	-	sanoi␣
