2p001:001	2p001:001	2p001:001	VERSE	2Pt␣1:1␣
2p001:011	3	@	-	määrin␣
2p001:011	4	@	-	tarjotaan␣
2p001:011	(6) 7	@	-	pääsy␣
2p001:011	14	@	-	meidän␣
2p001:011	(12) 13	@	-	Herramme␣
2p001:011	15	@	-	ja␣
2p001:011	16	@	-	Vapahtajamme␣
2p001:011	17	@	-	Jeesuksen␣
2p001:011	18a	@	-	Kristuksen␣
2p001:011	10	@	-	iankaikkiseen␣
2p001:011	11 (9)	@	-	valtakuntaan
2p001:011	8	%case	LOC	
2p001:011	18b	.	-	.␣
2p001:012	2p001:012	2p001:012	VERSE	2Pt␣1:12␣
2p001:012	1	@	-	Sentähden␣
2p001:012	2	(@)	-	minä␣
2p001:012	3	@	-	aina␣
2p001:012	2	@	-	aion␣
2p001:012	5	@	-	muistuttaa␣
2p001:012	4	@	-	teitä␣
2p001:012	7	@	-	tästä
2p001:012	6	%case	LOC	
2p001:012	-	(,)	-	,␣
2p001:012	8	@	-	vaikka␣
2p001:012	-	(@)	-	sen␣
2p001:012	9	@	-	tiedättekin␣
2p001:012	10	@	-	ja␣
2p001:012	11	(@)	-	olette␣
2p001:012	11	@	-	vahvistetut␣
2p001:012	13	@	-	siinä␣
2p001:012	15a	@	-	totuudessa
2p001:012	12	%case	LOC	
2p001:012	-	(,)	-	,␣
2p001:012	13	@	-	joka␣
2p001:012	-	(@)	-	teillä␣
2p001:012	14	@	-	on
2p001:012	15b	.	-	.␣
2p001:013	2p001:013	2p001:013	VERSE	2Pt␣1:13␣
2p001:013	2	@	-	Ja␣
2p001:013	3a	(@)	-	minä␣
2p001:013	3a	@	-	katson␣
2p001:013	1	@	-	oikeaksi
2p001:013	3b	,	-	,␣
2p001:013	5	@	-	niin␣
2p001:013	5	@	-	kauan␣
2p001:013	5	@	-	kuin␣
2p001:013	4	%case	?	
2p001:013	8	@	-	tässä␣
2p001:013	10a (9)	@	-	majassa␣
2p001:013	7	%case	LOC	
2p001:013	6	@	-	olen
2p001:013	-	(,)	-	,␣
2p001:013	-	(@)	-	näin␣
2p001:013	14a	@	-	muistuttamalla␣
2p001:013	13	%case	LOC	
2p001:013	11	@	-	herättää␣
2p001:013	12	@	-	teitä
2p001:013	14b	.	-	.␣
2p001:014	2p001:014	2p001:014	VERSE	2Pt␣1:14␣
2p001:014	1	@	-	Sillä␣
2p001:014	1	(@)	-	minä␣
2p001:014	1	@	-	tiedän
2p001:014	-	(,)	-	,␣
2p001:014	2	@	-	että␣
2p001:014	-	(@)	-	tämän␣
2p001:014	(7) 8	@	-	majani␣
2p001:014	9	%pers	?	
2p001:014	(5) 6	@	-	poispaneminen␣
2p001:014	4	@	-	tapahtuu␣
2p001:014	3	@	-	äkisti
2p001:014	-	(,)	-	,␣
2p001:014	10	@	-	niinkuin␣
2p001:014	11	@	-	myös␣
2p001:014	14	@	-	meidän␣
2p001:014	(12) 13	@	-	Herramme␣
2p001:014	15	@	-	Jeesus␣
2p001:014	16	@	-	Kristus␣
2p001:014	18a	@	-	minulle␣
2p001:014	17	@	-	ilmoitti
2p001:014	18b	.	-	.␣
2p001:015	2p001:015	2p001:015	VERSE	2Pt␣1:15␣
2p001:015	2	@	-	Mutta␣
2p001:015	1	(@)	-	minä␣
2p001:015	1	(@)	-	olen␣
2p001:015	1	@	-	huolehtiva␣
2p001:015	-	(@)	-	siitä
2p001:015	-	(,)	-	,␣
2p001:015	-	(@)	-	että␣
2p001:015	6	@	-	te␣
2p001:015	9	@	-	minun␣
2p001:015	10 (8)	@	-	lähtöni␣
2p001:015	7	@	-	jälkeenkin␣
2p001:015	3	%clitic	kin	
2p001:015	4	@	-	aina␣
2p001:015	5	@	-	voisitte␣
2p001:015	12	@	-	tämän␣
2p001:015	(11) 13 14a	@	-	muistaa
2p001:015	14b	.	-	.␣
2p001:016	2p001:016	2p001:016	VERSE	2Pt␣1:16␣
2p001:016	2	@	-	Sillä␣
2p001:016	5	(@)	-	me␣
2p001:016	1	@	-	emme␣
2p001:016	5	@	-	seuranneet␣
2p001:016	3	@	-	viekkaasti␣
2p001:016	3	@	-	sommiteltuja␣
2p001:016	4	@	-	taruja␣
2p001:016	6	@	-	tehdessämme␣
2p001:016	7	@	-	teille␣
2p001:016	6	@	-	tiettäväksi␣
2p001:016	10 (9)	@	-	Herramme␣
2p001:016	11	%pers	?	
2p001:016	12	@	-	Jeesuksen␣
2p001:016	13	@	-	Kristuksen␣
2p001:016	14 (8)	@	-	voimaa␣
2p001:016	15	@	-	ja␣
2p001:016	16	@	-	tulemusta
2p001:016	-	(,)	-	,␣
2p001:016	17	@	-	vaan␣
2p001:016	19	(@)	-	me␣
2p001:016	19	(@)	-	olimme␣
2p001:016	18	@	-	omin␣
2p001:016	18	@	-	silmin␣
2p001:016	19	@	-	nähneet␣
2p001:016	21	@	-	hänen␣
2p001:016	(20) 22a	@	-	valtasuuruutensa
2p001:016	22b	.	-	.␣
2p001:017	2p001:017	2p001:017	VERSE	2Pt␣1:17␣
2p001:017	2	@	-	Sillä␣
2p001:017	1	(@)	-	hän␣
2p001:017	1	@	-	sai␣
2p001:017	5	@	-	Isältä␣
2p001:017	4	@	-	Jumalalta␣
2p001:017	3	%case	LOC	
2p001:017	6	@	-	kunnian␣
2p001:017	7	@	-	ja␣
2p001:017	8	@	-	kirkkauden
2p001:017	-	(,)	-	,␣
2p001:017	10	(@)	-	kun␣
2p001:017	14	@	-	tältä␣
2p001:017	15	@	-	ylhäisimmältä␣
2p001:017	16a	@	-	kirkkaudelta␣
2p001:017	13	%case	LOC	
2p001:017	10	@	-	tuli␣
2p001:017	11	@	-	hänelle␣
2p001:017	12	@	-	tämä␣
2p001:017	9	@	-	ääni
2p001:017	-	(:)	-	:␣
2p001:017	-	(@)	-	"
2p001:017	23	@	-	Tämä␣
2p001:017	24	@	-	on␣
2p001:017	22	@	-	minun␣
2p001:017	(20) 21	@	-	rakas␣
2p001:017	(17) 18	@	-	Poikani
2p001:017	19	%pers	?	
2p001:017	-	(,)	-	,␣
2p001:017	26	@	-	johon␣
2p001:017	25	%case	LOC	
2p001:017	27	@	-	minä␣
2p001:017	28a	(@)	-	olen␣
2p001:017	28a	@	-	mielistynyt
2p001:017	28b	@	-	"
2p001:017	28b	.	-	.␣
2p001:018	2p001:018	2p001:018	VERSE	2Pt␣1:18␣
2p001:018	1	@	-	Ja␣
2p001:018	2	@	-	tämän␣
2p001:018	(3) 4	@	-	äänen␣
2p001:018	5	@	-	me␣
2p001:018	6	@	-	kuulimme␣
2p001:018	9	@	-	tulevan␣
2p001:018	8	@	-	taivaasta
2p001:018	7	%case	LOC	
2p001:018	-	(,)	-	,␣
2p001:018	12	(@)	-	kun␣
2p001:018	12	@	-	olimme␣
2p001:018	11	@	-	hänen␣
2p001:018	10	@	-	kanssaan␣
2p001:018	15	@	-	pyhällä␣
2p001:018	(14) 16a	@	-	vuorella
2p001:018	13	%case	LOC	
2p001:018	16b	.	-	.␣
2p001:019	2p001:019	2p001:019	VERSE	2Pt␣1:19␣
2p001:019	1	@	-	Ja␣
2p001:019	3	@	-	sitä␣
2p001:019	3	@	-	lujempi␣
2p001:019	2	@	-	on␣
2p001:019	2	(@)	-	meille␣
2p001:019	-	(@)	-	nyt␣
2p001:019	5	@	-	profeetallinen␣
2p001:019	(4) 6a	@	-	sana
2p001:019	-	(,)	-	,␣
2p001:019	-	(@)	-	ja␣
2p001:019	9	(@)	-	te␣
2p001:019	9	@	-	teette␣
2p001:019	8	@	-	hyvin
2p001:019	-	(,)	-	,␣
2p001:019	10	(@)	-	jos␣
2p001:019	10	@	-	otatte␣
2p001:019	7	@	-	siitä␣
2p001:019	10	@	-	vaarin
2p001:019	-	(,)	-	,␣
2p001:019	11	@	-	niinkuin␣
2p001:019	15	@	-	pimeässä␣
2p001:019	16a	@	-	paikassa␣
2p001:019	14	%case	LOC	
2p001:019	13	@	-	loistavasta␣
2p001:019	12	@	-	lampusta
2p001:019	16b	,	-	,␣
2p001:019	17 18	@	-	kunnes␣
2p001:019	19	@	-	päivä␣
2p001:019	20	@	-	valkenee␣
2p001:019	21	@	-	ja␣
2p001:019	22	@	-	kointähti␣
2p001:019	23	@	-	koittaa␣
2p001:019	27a	@	-	teidän␣
2p001:019	(25) 26	@	-	sydämissänne
2p001:019	24	%case	LOC	
2p001:019	27b	.	-	.␣
2p001:020	2p001:020	2p001:020	VERSE	2Pt␣1:20␣
2p001:020	-	(@)	-	Ja␣
2p001:020	3	@	-	tietäkää␣
2p001:020	2	@	-	ennen␣
2p001:020	2	@	-	kaikkea␣
2p001:020	1	@	-	se
2p001:020	-	(,)	-	,␣
2p001:020	10 4	@	-	ettei␣
2p001:020	5	@	-	yksikään␣
2p001:020	7	@	-	Raamatun␣
2p001:020	6	@	-	profetia␣
2p001:020	11a	@	-	ole␣
2p001:020	8	@	-	kenenkään␣
2p001:020	8	@	-	omin␣
2p001:020	8	@	-	neuvoin␣
2p001:020	9	@	-	selitettävissä
2p001:020	11b	;	-	;␣
2p001:021	2p001:021	2p001:021	VERSE	2Pt␣1:21␣
2p001:021	2	@	-	sillä␣
2p001:021	1	@	-	ei␣
2p001:021	7a	@	-	koskaan␣
2p001:021	5	(@)	-	ole␣
2p001:021	case%6	@	-	mitään␣
2p001:021	6	@	-	profetiaa␣
2p001:021	5	@	-	tuotu␣
2p001:021	5	@	-	esiin␣
2p001:021	4	@	-	ihmisen␣
2p001:021	3	@	-	tahdosta
2p001:021	7b	,	-	,␣
2p001:021	8	@	-	vaan␣
2p001:021	11	@	-	Pyhän␣
2p001:021	10	@	-	Hengen␣
2p001:021	9	%case	GEN	
2p001:021	12	@	-	johtamina␣
2p001:021	16a	@	-	ihmiset␣
2p001:021	13	(@)	-	ovat␣
2p001:021	13	@	-	puhuneet␣
2p001:021	-	(@)	-	sen
2p001:021	-	(,)	-	,␣
2p001:021	-	(@)	-	minkä␣
2p001:021	-	(@)	-	saivat␣
2p001:021	15	@	-	Jumalalta
2p001:021	14	%case	LOC	
2p001:021	16b	.	-	.␣
2p002:001	2p002:001	2p002:001	VERSE	2Pt␣2:1␣
2p002:001	2	@	-	Mutta␣
2p002:001	3	@	-	myös␣
2p002:001	4	@	-	valheprofeettoja␣
2p002:001	1	@	-	oli␣
2p002:001	(6) 7a	@	-	kansan␣
2p002:001	5	@	-	seassa
2p002:001	7b	,	-	,␣
2p002:001	8	@	-	niinkuin␣
2p002:001	11	@	-	teidänkin␣
2p002:001	9	%clitic	kin	
2p002:001	10	@	-	keskuudessanne␣
2p002:001	12	(@)	-	on␣
2p002:001	12	@	-	oleva␣
2p002:001	13a	@	-	valheenopettajia
2p002:001	13b	,	-	,␣
2p002:001	14	@	-	jotka␣
2p002:001	15	@	-	salaa␣
2p002:001	15	@	-	kuljettavat␣
2p002:001	15	@	-	sisään␣
2p002:001	17	@	-	turmiollisia␣
2p002:001	16	@	-	harhaoppeja
2p002:001	-	(,)	-	,␣
2p002:001	23a	@	-	kieltävätpä␣
2p002:001	18	%clitic	pA	
2p002:001	22	@	-	Herrankin
2p002:001	-	(,)	-	,␣
2p002:001	19	@	-	joka␣
2p002:001	20	(@)	-	on␣
2p002:001	21	@	-	heidät␣
2p002:001	20	@	-	ostanut
2p002:001	-	(,)	-	,␣
2p002:001	-	(@)	-	ja␣
2p002:001	24	@	-	tuottavat␣
2p002:001	25	@	-	itselleen␣
2p002:001	26	@	-	äkillisen␣
2p002:001	27a	@	-	perikadon
2p002:001	27b	.	-	.␣
2p002:002	2p002:002	2p002:002	VERSE	2Pt␣2:2␣
2p002:002	1	@	-	Ja␣
2p002:002	2	@	-	moni␣
2p002:002	3	(@)	-	on␣
2p002:002	3	@	-	seuraava␣
2p002:002	4	@	-	heidän␣
2p002:002	(5) 6	@	-	irstauksiaan
2p002:002	-	(,)	-	,␣
2p002:002	-	(@)	-	ja␣
2p002:002	8	@	-	heidän␣
2p002:002	7	@	-	tähtensä␣
2p002:002	(11) 12	@	-	totuuden␣
2p002:002	10 (9)	@	-	tie␣
2p002:002	13a	(@)	-	tulee␣
2p002:002	13a	@	-	häväistyksi
2p002:002	13b	;	-	;␣
2p002:003	2p002:003	2p002:003	VERSE	2Pt␣2:3␣
2p002:003	1	@	-	ja␣
2p002:003	3	@	-	ahneudessaan␣
2p002:003	2	%case	LOC	
2p002:003	7a	(@)	-	he␣
2p002:003	4	@	-	valheellisilla␣
2p002:003	5	@	-	sanoilla␣
2p002:003	7a	@	-	kiskovat␣
2p002:003	6	@	-	teistä␣
2p002:003	7a	@	-	hyötyä
2p002:003	-	(;)	-	;␣
2p002:003	-	(@)	-	mutta␣
2p002:003	11	@	-	jo␣
2p002:003	11	@	-	ammoisista␣
2p002:003	11	@	-	ajoista␣
2p002:003	8	@	-	heidän␣
2p002:003	10 (9)	@	-	tuomionsa␣
2p002:003	13	@	-	valvoo
2p002:003	12	%case	?	
2p002:003	-	(,)	-	,␣
2p002:003	18	@	-	eikä␣
2p002:003	14	%clitic	kA	
2p002:003	17	@	-	heidän␣
2p002:003	(15) 16	@	-	perikatonsa␣
2p002:003	19a	@	-	torku
2p002:003	19b	.	-	.␣
2p002:004	2p002:004	2p002:004	VERSE	2Pt␣2:4␣
2p002:004	2	@	-	Sillä␣
2p002:004	(1)	-	UNTRANSLATED	
2p002:004	7	@	-	ei␣
2p002:004	(3) 4	@	-	Jumala␣
2p002:004	8	@	-	säästänyt␣
2p002:004	5	@	-	enkeleitä
2p002:004	-	(,)	-	,␣
2p002:004	6	(@)	-	jotka␣
2p002:004	6	@	-	syntiä␣
2p002:004	6	@	-	tekivät
2p002:004	-	(,)	-	,␣
2p002:004	9	@	-	vaan␣
2p002:004	12	@	-	syöksi␣
2p002:004	-	(@)	-	heidät␣
2p002:004	12	@	-	syvyyteen
2p002:004	-	(,)	-	,␣
2p002:004	11	@	-	pimeyden␣
2p002:004	10b	@	-	kuiluihin
2p002:004	-	(,)	-	,␣
2p002:004	-	(@)	-	ja␣
2p002:004	13	@	-	hylkäsi␣
2p002:004	-	(@)	-	heidät␣
2p002:004	15	@	-	tuomiota␣
2p002:004	14	@	-	varten␣
2p002:004	16a	@	-	säilytettäviksi
2p002:004	16b	.	-	.␣
2p002:005	2p002:005	2p002:005	VERSE	2Pt␣2:5␣
2p002:005	4	@	-	Eikä␣
2p002:005	1	%clitic	kA	
2p002:005	5	(@)	-	hän␣
2p002:005	5	@	-	säästänyt␣
2p002:005	2	@	-	muinaista␣
2p002:005	3	@	-	maailmaa
2p002:005	-	(,)	-	,␣
2p002:005	6	@	-	vaikka␣
2p002:005	11	@	-	varjelikin␣
2p002:005	8	@	-	Nooan
2p002:005	-	(,)	-	,␣
2p002:005	9	@	-	vanhurskauden␣
2p002:005	10	@	-	saarnaajan
2p002:005	-	(,)	-	,␣
2p002:005	7	@	-	ynnä␣
2p002:005	7	@	-	seitsemän␣
2p002:005	7	@	-	muuta
2p002:005	-	(,)	-	,␣
2p002:005	-	(@)	-	vaan␣
2p002:005	15a	(@)	-	antoi␣
2p002:005	12	@	-	vedenpaisumuksen␣
2p002:005	15a	@	-	tulla␣
2p002:005	14	@	-	jumalattomain␣
2p002:005	13	@	-	maailman␣
2p002:005	15a	@	-	päälle
2p002:005	15b	.	-	.␣
2p002:006	2p002:006	2p002:006	VERSE	2Pt␣2:6␣
2p002:006	1	@	-	Ja␣
2p002:006	6a	(@)	-	hän␣
2p002:006	6a	@	-	poltti␣
2p002:006	6a	@	-	poroksi␣
2p002:006	3	@	-	Sodoman␣
2p002:006	4	@	-	ja␣
2p002:006	5	@	-	Gomorran␣
2p002:006	2	@	-	kaupungit␣
2p002:006	-	(@)	-	ja␣
2p002:006	8	@	-	tuomitsi␣
2p002:006	-	(@)	-	ne␣
2p002:006	7a	@	-	häviöön
2p002:006	-	(,)	-	,␣
2p002:006	13a	@	-	asettaen␣
2p002:006	-	(@)	-	ne␣
2p002:006	9	@	-	varoitukseksi␣
2p002:006	10	(@)	-	niille
2p002:006	-	(,)	-	,␣
2p002:006	10	(@)	-	jotka␣
2p002:006	10	@	-	vastedes␣
2p002:006	12	@	-	jumalattomasti␣
2p002:006	12	@	-	elävät
2p002:006	13b	.	-	.␣
2p002:007	2p002:007	2p002:007	VERSE	2Pt␣2:7␣
2p002:007	1	@	-	Kuitenkin␣
2p002:007	12a	(@)	-	hän␣
2p002:007	12a	@	-	pelasti␣
2p002:007	2	@	-	hurskaan␣
2p002:007	3	@	-	Lootin
2p002:007	-	(,)	-	,␣
2p002:007	4	(@)	-	jota␣
2p002:007	(7) 8	@	-	rietasten␣
2p002:007	5	%case	GEN	
2p002:007	11 (6)	@	-	vaellus␣
2p002:007	10	@	-	irstaudessa␣
2p002:007	9	%case	LOC	
2p002:007	4	@	-	vaivasi
2p002:007	12b	;	-	;␣
2p002:008	2p002:008	2p002:008	VERSE	2Pt␣2:8␣
2p002:008	2	@	-	sillä␣
2p002:008	7	@	-	asuessaan␣
2p002:008	9	@	-	heidän␣
2p002:008	8	@	-	keskuudessansa␣
2p002:008	5	@	-	tuo␣
2p002:008	6	@	-	hurskas␣
2p002:008	6	(@)	-	mies␣
2p002:008	17a	@	-	kiusaantui␣
2p002:008	14	@	-	hurskaassa␣
2p002:008	13	@	-	sielussaan␣
2p002:008	-	(@)	-	joka␣
2p002:008	10	@	-	päivä␣
2p002:008	11 12	%case	NOM	
2p002:008	-	(@)	-	heidän␣
2p002:008	15	@	-	pahain␣
2p002:008	16	@	-	tekojensa␣
2p002:008	case%16	@	-	tähden
2p002:008	-	(,)	-	,␣
2p002:008	-	(@)	-	joita␣
2p002:008	-	(@)	-	hänen␣
2p002:008	-	(@)	-	täytyi␣
2p002:008	1	@	-	nähdä␣
2p002:008	3	@	-	ja␣
2p002:008	4	@	-	kuulla
2p002:008	17b	.	-	.␣
2p002:009	2p002:009	2p002:009	VERSE	2Pt␣2:9␣
2p002:009	-	(@)	-	Näin␣
2p002:009	2	@	-	Herra␣
2p002:009	1	@	-	tietää␣
2p002:009	6a	@	-	pelastaa␣
2p002:009	3	@	-	jumaliset␣
2p002:009	5	@	-	kiusauksesta
2p002:009	4	%case	LOC	
2p002:009	6b	,	-	,␣
2p002:009	8	@	-	mutta␣
2p002:009	11	@	-	tuomion␣
2p002:009	10	@	-	päivään␣
2p002:009	9	%case	LOC	
2p002:009	13a	@	-	säilyttää␣
2p002:009	12	@	-	rangaistuksen␣
2p002:009	12	@	-	alaisina␣
