1p001:001	1p001:001	1p001:001	VERSE	1Pt␣1:1␣
1p001:007	(18)	-	UNTRANSLATED	
1p001:007	-	(,)	-	,␣
1p001:007	19	@	-	ylistykseksi␣
1p001:007	20	@	-	ja␣
1p001:007	21	@	-	kunniaksi␣
1p001:007	24	@	-	Jeesuksen␣
1p001:007	25a	@	-	Kristuksen␣
1p001:007	23	@	-	ilmestyessä
1p001:007	22	%case	LOC	
1p001:007	25b	.	-	.␣
1p001:008	1p001:008	1p001:008	VERSE	1Pt␣1:8␣
1p001:008	1	@	-	Häntä␣
1p001:008	4a	(@)	-	te␣
1p001:008	4a	@	-	rakastatte
1p001:008	-	(,)	-	,␣
1p001:008	3	(@)	-	vaikka␣
1p001:008	2	@	-	ette␣
1p001:008	3	(@)	-	ole␣
1p001:008	-	(@)	-	häntä␣
1p001:008	3	@	-	nähneet
1p001:008	4b	,	-	,␣
1p001:008	6	@	-	häneen␣
1p001:008	5	%case	LOC	
1p001:008	10	(@)	-	te␣
1p001:008	10	@	-	uskotte
1p001:008	-	(,)	-	,␣
1p001:008	9	(@)	-	vaikka␣
1p001:008	8	@	-	ette␣
1p001:008	7	@	-	nyt␣
1p001:008	-	(@)	-	häntä␣
1p001:008	9	@	-	näe
1p001:008	-	(,)	-	,␣
1p001:008	11	@	-	ja␣
1p001:008	12	@	-	riemuitsette␣
1p001:008	14	@	-	sanomattomalla␣
1p001:008	15	@	-	ja␣
1p001:008	16	@	-	kirkastuneella␣
1p001:008	13	@	-	ilolla
1p001:008	-	(,)	-	,␣
1p001:009	1p001:009	1p001:009	VERSE	1Pt␣1:9␣
1p001:009	-	(@)	-	sillä␣
1p001:009	1	(@)	-	te␣
1p001:009	1	@	-	saavutatte␣
1p001:009	(4) 5a	@	-	uskon␣
1p001:009	(2) 3	@	-	päämäärän
1p001:009	(6a)	-	UNTRANSLATED	
1p001:009	6b	,	-	,␣
1p001:009	8a	@	-	sielujen␣
1p001:009	7	@	-	pelastuksen
1p001:009	8b	.	-	.␣
1p001:010	1p001:010	1p001:010	VERSE	1Pt␣1:10␣
1p001:010	2	@	-	Sitä␣
1p001:010	3	@	-	pelastusta␣
1p001:010	1	%case	PTV	
1p001:010	4	(@)	-	ovat␣
1p001:010	4	@	-	etsineet␣
1p001:010	5	@	-	ja␣
1p001:010	6	@	-	tutkineet␣
1p001:010	7	@	-	profeetat
1p001:010	-	(,)	-	,␣
1p001:010	8	@	-	jotka␣
1p001:010	14a	(@)	-	ovat␣
1p001:010	14a	@	-	ennustaneet␣
1p001:010	12	@	-	teidän␣
1p001:010	11	@	-	osaksenne␣
1p001:010	11	@	-	tulevasta␣
1p001:010	(10) 13	@	-	armosta
1p001:010	9	%case	LOC	
1p001:010	14b	,	-	,␣
1p001:011	1p001:011	1p001:011	VERSE	1Pt␣1:11␣
1p001:011	1	(@)	-	ovat␣
1p001:011	1	@	-	tutkineet
1p001:011	-	(,)	-	,␣
1p001:011	3	@	-	mihin␣
1p001:011	4	@	-	tai␣
1p001:011	5	@	-	millaiseen␣
1p001:011	6	@	-	aikaan␣
1p001:011	2	%case	LOC	
1p001:011	10	@	-	heissä␣
1p001:011	9	%case	LOC	
1p001:011	-	(@)	-	oleva␣
1p001:011	12	@	-	Kristuksen␣
1p001:011	11 (8)	@	-	Henki␣
1p001:011	7	@	-	viittasi
1p001:011	-	(,)	-	,␣
1p001:011	13	@	-	edeltäpäin␣
1p001:011	13	@	-	todistaessaan␣
1p001:011	16	@	-	Kristusta␣
1p001:011	pro%15	@	-	kohtaavista␣
1p001:011	(14) 17	@	-	kärsimyksistä␣
1p001:011	18	@	-	ja␣
1p001:011	21	@	-	niiden␣
1p001:011	20	@	-	jälkeen␣
1p001:011	20	@	-	tulevasta␣
1p001:011	(19) 22a	@	-	kunniasta
1p001:011	22b	.	-	.␣
1p001:012	1p001:012	1p001:012	VERSE	1Pt␣1:12␣
1p001:012	-	(@)	-	Ja␣
1p001:012	1	@	-	heille
1p001:012	-	(,)	-	,␣
1p001:012	3	@	-	koska␣
1p001:012	8	(@)	-	he␣
1p001:012	4	@	-	eivät␣
1p001:012	8	@	-	palvelleet␣
1p001:012	5	@	-	itseänsä
1p001:012	-	(,)	-	,␣
1p001:012	7	@	-	vaan␣
1p001:012	6	@	-	teitä
1p001:012	-	(,)	-	,␣
1p001:012	2	@	-	ilmoitettiin␣
1p001:012	9a	@	-	se
1p001:012	9b	,	-	,␣
1p001:012	10	@	-	mikä␣
1p001:012	11	@	-	nyt␣
1p001:012	12	(@)	-	on␣
1p001:012	13	@	-	teille␣
1p001:012	12	@	-	julistettu␣
1p001:012	15	@	-	niiden␣
1p001:012	14	@	-	kautta
1p001:012	-	(,)	-	,␣
1p001:012	15	@	-	jotka␣
1p001:012	23a	@	-	taivaasta␣
1p001:012	22	%case	LOC	
1p001:012	21	@	-	lähetetyssä␣
1p001:012	20	@	-	Pyhässä␣
1p001:012	19	@	-	Hengessä␣
1p001:012	18a	%case	LOC	
1p001:012	16	(@)	-	ovat␣
1p001:012	17a	@	-	teille␣
1p001:012	16	@	-	evankeliumia␣
1p001:012	16	@	-	julistaneet
1p001:012	-	(;)	-	;␣
1p001:012	-	(@)	-	ja␣
1p001:012	25	@	-	siihen␣
1p001:012	24	%case	LOC	
1p001:012	27	@	-	enkelitkin␣
1p001:012	26	@	-	halajavat␣
1p001:012	28a	@	-	katsahtaa
1p001:012	28b	.	-	.␣
1p001:013	1p001:013	1p001:013	VERSE	1Pt␣1:13␣
1p001:013	2	@	-	Vyöttäkää␣
1p001:013	1	@	-	sentähden␣
1p001:013	(5) 6	@	-	mielenne␣
1p001:013	7	%pers	?	
1p001:013	(3) 4	@	-	kupeet␣
1p001:013	-	(@)	-	ja␣
1p001:013	8	@	-	olkaa␣
1p001:013	8	@	-	raittiit
1p001:013	-	(;)	-	;␣
1p001:013	-	(@)	-	ja␣
1p001:013	10	@	-	pankaa␣
1p001:013	9	@	-	täysi␣
1p001:013	10	@	-	toivonne␣
1p001:013	12	@	-	siihen␣
1p001:013	15	@	-	armoon
1p001:013	11	%case	LOC	
1p001:013	-	(,)	-	,␣
1p001:013	12	@	-	joka␣
1p001:013	14	@	-	teille␣
1p001:013	13	@	-	tarjotaan␣
1p001:013	18	@	-	Jeesuksen␣
1p001:013	19a	@	-	Kristuksen␣
1p001:013	17	@	-	ilmestymisessä
1p001:013	16	%case	LOC	
1p001:013	19b	.	-	.␣
1p001:014	1p001:014	1p001:014	VERSE	1Pt␣1:14␣
1p001:014	1	@	-	Niinkuin␣
1p001:014	3	@	-	kuuliaisten␣
1p001:014	2	@	-	lasten␣
1p001:014	-	(@)	-	tulee
1p001:014	-	(,)	-	,␣
1p001:014	4	@	-	älkää␣
1p001:014	5	@	-	mukautuko␣
1p001:014	6	@	-	niiden␣
1p001:014	12	@	-	himojen␣
1p001:014	case%12	@	-	mukaan
1p001:014	-	(,)	-	,␣
1p001:014	-	(@)	-	joissa␣
1p001:014	-	(@)	-	te␣
1p001:014	7	@	-	ennen
1p001:014	-	(,)	-	,␣
1p001:014	10 (9)	@	-	tietämättömyytenne␣
1p001:014	11	%pers	?	
1p001:014	8	@	-	aikana
1p001:014	-	(,)	-	,␣
1p001:014	-	(@)	-	elitte
1p001:014	-	(,)	-	,␣
1p001:015	1p001:015	1p001:015	VERSE	1Pt␣1:15␣
1p001:015	1	@	-	vaan␣
1p001:015	3	@	-	sen␣
1p001:015	6	@	-	Pyhän␣
1p001:015	2	@	-	mukaan
1p001:015	-	(,)	-	,␣
1p001:015	3	@	-	joka␣
1p001:015	4	(@)	-	on␣
1p001:015	5	@	-	teidät␣
1p001:015	4	@	-	kutsunut
1p001:015	-	(,)	-	,␣
1p001:015	13a	@	-	tulkaa␣
1p001:015	8	@	-	tekin␣
1p001:015	7	%clitic	kin	
1p001:015	11	@	-	kaikessa␣
1p001:015	12	@	-	vaelluksessanne␣
1p001:015	10	%case	LOC	
1p001:015	9	@	-	pyhiksi
1p001:015	13b	.	-	.␣
1p001:016	1p001:016	1p001:016	VERSE	1Pt␣1:16␣
1p001:016	1	@	-	Sillä␣
1p001:016	2a	@	-	kirjoitettu␣
1p001:016	2a	(@)	-	on
1p001:016	3a	:	-	:␣
1p001:016	-	(@)	-	"
1p001:016	5a	@	-	Olkaa␣
1p001:016	4	@	-	pyhät
1p001:016	5b	,	-	,␣
1p001:016	6	@	-	sillä␣
1p001:016	7	@	-	minä␣
1p001:016	9a	@	-	olen␣
1p001:016	8a	@	-	pyhä
1p001:016	9b 9c	@	-	"
1p001:016	9b 9c	.	-	.␣
1p001:017	1p001:017	1p001:017	VERSE	1Pt␣1:17␣
1p001:017	1	@	-	Ja␣
1p001:017	2	@	-	jos␣
1p001:017	4	(@)	-	te␣
1p001:017	3	@	-	Isänänne␣
1p001:017	4	@	-	huudatte␣
1p001:017	4	@	-	avuksi␣
1p001:017	5	@	-	häntä
1p001:017	-	(,)	-	,␣
1p001:017	5	@	-	joka␣
1p001:017	6	@	-	henkilöön␣
1p001:017	6	@	-	katsomatta␣
1p001:017	7	@	-	tuomitsee␣
1p001:017	10	@	-	kunkin␣
1p001:017	-	(@)	-	hänen␣
1p001:017	11a (9)	@	-	tekojensa␣
1p001:017	8	@	-	mukaan
1p001:017	-	(,)	-	,␣
1p001:017	-	(@)	-	niin␣
1p001:017	19a	@	-	vaeltakaa␣
1p001:017	13	@	-	pelossa␣
1p001:017	12	%case	LOC	
1p001:017	14	@	-	tämä␣
1p001:017	(15) 16	@	-	muukalaisuutenne␣
1p001:017	17	%pers	?	
1p001:017	18	@	-	aika
1p001:017	19b	,	-	,␣
1p001:018	1p001:018	1p001:018	VERSE	1Pt␣1:18␣
1p001:018	1	@	-	tietäen
1p001:018	-	(,)	-	,␣
1p001:018	2 3	@	-	ettette␣
1p001:018	8	(@)	-	ole␣
1p001:018	-	(@)	-	millään␣
1p001:018	4a	@	-	katoavaisella
1p001:018	-	(,)	-	,␣
1p001:018	-	(@)	-	ette␣
1p001:018	5	@	-	hopealla␣
1p001:018	6	@	-	ettekä␣
1p001:018	7a	@	-	kullalla
1p001:018	-	(,)	-	,␣
1p001:018	8	@	-	lunastetut␣
1p001:018	(10) 11	@	-	turhasta
1p001:018	-	(,)	-	,␣
1p001:018	14	@	-	isiltä␣
1p001:018	14	@	-	peritystä␣
1p001:018	13	@	-	vaelluksestanne
1p001:018	12	%pers	?	
1p001:018	9	%case	LOC	
1p001:018	-	(,)	-	,␣
1p001:019	1p001:019	1p001:019	VERSE	1Pt␣1:19␣
1p001:019	1	@	-	vaan␣
1p001:019	9a	@	-	Kristuksen␣
1p001:019	2	@	-	kalliilla␣
1p001:019	3	@	-	verellä
1p001:019	-	(,)	-	,␣
1p001:019	4	@	-	niinkuin␣
1p001:019	6	@	-	virheettömän␣
1p001:019	7	@	-	ja␣
1p001:019	8	@	-	tahrattoman␣
1p001:019	5	@	-	karitsan
1p001:019	9b	,	-	,␣
1p001:020	1p001:020	1p001:020	VERSE	1Pt␣1:20␣
1p001:020	1	(@)	-	hänen
1p001:020	-	(,)	-	,␣
1p001:020	1	(@)	-	joka␣
1p001:020	2	@	-	tosin␣
1p001:020	1	(@)	-	oli␣
1p001:020	1	@	-	edeltätiedetty␣
1p001:020	-	(@)	-	jo␣
1p001:020	3	@	-	ennen␣
1p001:020	5	@	-	maailman␣
1p001:020	4	@	-	perustamista
1p001:020	-	(,)	-	,␣
1p001:020	7	@	-	mutta␣
1p001:020	-	(@)	-	vasta␣
1p001:020	9	@	-	viimeisinä␣
1p001:020	8	%case	ESS	
1p001:020	(10) 11	@	-	aikoina␣
1p001:020	6	(@)	-	on␣
1p001:020	6	@	-	ilmoitettu␣
1p001:020	13	@	-	teitä␣
1p001:020	12	@	-	varten
1p001:020	-	(,)	-	,␣
1p001:021	1p001:021	1p001:021	VERSE	1Pt␣1:21␣
1p001:021	1	@	-	jotka␣
1p001:021	3	@	-	hänen␣
1p001:021	2	@	-	kauttansa␣
1p001:021	4	@	-	uskotte␣
1p001:021	6	@	-	Jumalaan
1p001:021	5	%case	LOC	
1p001:021	-	(,)	-	,␣
1p001:021	7	@	-	joka␣
1p001:021	8	@	-	herätti␣
1p001:021	9	@	-	hänet␣
1p001:021	11	@	-	kuolleista␣
1p001:021	10	%case	LOC	
1p001:021	12	@	-	ja␣
1p001:021	15a	@	-	antoi␣
1p001:021	14	@	-	hänelle␣
1p001:021	13	@	-	kirkkauden
1p001:021	15b	,	-	,␣
1p001:021	16	@	-	niin␣
1p001:021	16	@	-	että␣
1p001:021	19	@	-	teidän␣
1p001:021	(17) 18	@	-	uskonne␣
1p001:021	22	@	-	on␣
1p001:021	20	@	-	myös␣
1p001:021	21	@	-	toivo␣
1p001:021	24a	@	-	Jumalaan
1p001:021	23	%case	LOC	
1p001:021	24b	.	-	.␣
1p001:022	1p001:022	1p001:022	VERSE	1Pt␣1:22␣
1p001:022	4	@	-	Puhdistakaa␣
1p001:022	(1) 2	@	-	sielunne␣
1p001:022	3	%pers	?	
1p001:022	(8) 9	@	-	totuuden␣
1p001:022	(6) 7	@	-	kuuliaisuudessa␣
1p001:022	5	%case	LOC	
1p001:022	12a	@	-	vilpittömään␣
1p001:022	11	@	-	veljenrakkauteen␣
1p001:022	10	%case	LOC	
1p001:022	-	(@)	-	ja␣
1p001:022	17	@	-	rakastakaa␣
1p001:022	16	@	-	toisianne␣
1p001:022	18	@	-	hartaasti␣
1p001:022	14a	@	-	puhtaasta␣
1p001:022	15	@	-	sydämestä
1p001:022	13a	%case	LOC	
1p001:022	-	(,)	-	,␣
1p001:023	1p001:023	1p001:023	VERSE	1Pt␣1:23␣
1p001:023	1	(@)	-	te
1p001:023	-	(,)	-	,␣
1p001:023	1	(@)	-	jotka␣
1p001:023	1	(@)	-	olette␣
1p001:023	1	@	-	uudestisyntyneet
1p001:023	-	(,)	-	,␣
1p001:023	2	@	-	ette␣
1p001:023	5	@	-	katoavasta
1p001:023	-	(,)	-	,␣
1p001:023	6	@	-	vaan␣
1p001:023	7	@	-	katoamattomasta␣
1p001:023	4	@	-	siemenestä
1p001:023	3	%case	LOC	
1p001:023	-	(,)	-	,␣
1p001:023	11	@	-	Jumalan␣
1p001:023	10	@	-	elävän␣
1p001:023	12	@	-	ja␣
1p001:023	13a	@	-	pysyvän␣
1p001:023	9	@	-	sanan␣
1p001:023	8	@	-	kautta
1p001:023	13b	.	-	.␣
1p001:024	1p001:024	1p001:024	VERSE	1Pt␣1:24␣
1p001:024	1	@	-	Sillä
1p001:024	-	(:)	-	:␣
1p001:024	-	(@)	-	"
1p001:024	2	@	-	kaikki␣
1p001:024	3	@	-	liha␣
1p001:024	-	(@)	-	on␣
1p001:024	4	@	-	kuin␣
1p001:024	5	@	-	ruoho
1p001:024	-	(,)	-	,␣
1p001:024	6	@	-	ja␣
1p001:024	7	@	-	kaikki␣
1p001:024	9	@	-	sen␣
1p001:024	8	@	-	kauneus␣
1p001:024	10	@	-	kuin␣
1p001:024	12a	@	-	ruohon␣
1p001:024	11	@	-	kukkanen
1p001:024	12b	;	-	;␣
1p001:024	(14) 15	@	-	ruoho␣
1p001:024	13	@	-	kuivuu
1p001:024	-	(,)	-	,␣
1p001:024	16	@	-	ja␣
1p001:024	(17) 18	@	-	kukkanen␣
1p001:024	19a	@	-	varisee
1p001:024	19b	,	-	,␣
1p001:025	1p001:025	1p001:025	VERSE	1Pt␣1:25␣
1p001:025	2	@	-	mutta␣
1p001:025	4	@	-	Herran␣
1p001:025	(1) 3	@	-	sana␣
1p001:025	5	@	-	pysyy␣
1p001:025	(7) 8a	@	-	iankaikkisesti
1p001:025	6	%case	MAN	
1p001:025	8b	@	-	"
1p001:025	8b	.	-	.␣
1p001:025	10	@	-	Ja␣
1p001:025	9	@	-	tämä␣
1p001:025	11	@	-	on␣
1p001:025	12	@	-	se␣
1p001:025	13	@	-	sana
1p001:025	-	(,)	-	,␣
1p001:025	14	@	-	joka␣
1p001:025	15	(@)	-	on␣
1p001:025	17a	@	-	teille␣
1p001:025	16	%case	LOC	
1p001:025	15	@	-	ilosanomana␣
1p001:025	15	@	-	julistettu
1p001:025	17b	.	-	.␣
1p002:001	1p002:001	1p002:001	VERSE	1Pt␣2:1␣
1p002:001	1	@	-	Pankaa␣
1p002:001	2	@	-	siis␣
1p002:001	1	@	-	pois␣
1p002:001	3	@	-	kaikki␣
1p002:001	4	@	-	pahuus␣
1p002:001	5	@	-	ja␣
1p002:001	6	@	-	kaikki␣
1p002:001	7	@	-	vilppi␣
1p002:001	8	@	-	ja␣
1p002:001	9	@	-	ulkokultaisuus␣
1p002:001	10	@	-	ja␣
1p002:001	11	@	-	kateus␣
1p002:001	12	@	-	ja␣
1p002:001	13	@	-	kaikki␣
1p002:001	14a	@	-	panettelu
1p002:001	14b	,	-	,␣
1p002:002	1p002:002	1p002:002	VERSE	1Pt␣2:2␣
1p002:002	-	(@)	-	ja␣
1p002:002	8a	@	-	halatkaa␣
1p002:002	1	@	-	niinkuin␣
1p002:002	2	@	-	vastasyntyneet␣
1p002:002	3	@	-	lapset␣
1p002:002	5	@	-	sanan␣
1p002:002	6	@	-	väärentämätöntä␣
1p002:002	(4) 7	@	-	maitoa
1p002:002	8b	,	-	,␣
1p002:002	9	@	-	että␣
1p002:002	12	(@)	-	te␣
1p002:002	11	@	-	sen␣
1p002:002	10	@	-	kautta␣
1p002:002	12	@	-	kasvaisitte␣
1p002:002	14a	@	-	pelastukseen
1p002:002	13	%case	LOC	
1p002:002	14b	,	-	,␣
1p002:003	1p002:003	1p002:003	VERSE	1Pt␣2:3␣
1p002:003	1	@	-	jos␣
1p002:003	-	(@)	-	"
1p002:003	2	(@)	-	olette␣
1p002:003	2	@	-	maistaneet
1p002:003	-	(,)	-	,␣
1p002:003	3	@	-	että␣
1p002:003	(5) 6a	@	-	Herra␣
1p002:003	-	(@)	-	on␣
1p002:003	4	@	-	hyvä
1p002:003	6b	@	-	"
1p002:003	6b	.	-	.␣
1p002:004	1p002:004	1p002:004	VERSE	1Pt␣2:4␣
1p002:004	-	(@)	-	Ja␣
1p002:004	3	@	-	tulkaa␣
1p002:004	2	@	-	hänen␣
1p002:004	1	@	-	tykönsä
1p002:004	-	(,)	-	,␣
1p002:004	5	@	-	elävän␣
1p002:004	4	@	-	kiven␣
1p002:004	case%4	@	-	tykö
1p002:004	-	(,)	-	,␣
1p002:004	9	(@)	-	jonka␣
1p002:004	7	@	-	ihmiset␣
1p002:004	6	%case	NOM	
1p002:004	8	@	-	tosin␣
1p002:004	9	(@)	-	ovat␣
1p002:004	9	@	-	hyljänneet
1p002:004	-	(,)	-	,␣
1p002:004	11	@	-	mutta␣
1p002:004	-	(@)	-	joka␣
1p002:004	12	@	-	Jumalan␣
1p002:004	10	@	-	edessä␣
1p002:004	-	(@)	-	on␣
1p002:004	13	@	-	valittu
1p002:004	-	(,)	-	,␣
1p002:004	14a	@	-	kallis
1p002:004	14b	,	-	,␣
1p002:005	1p002:005	1p002:005	VERSE	1Pt␣2:5␣
1p002:005	1	@	-	ja␣
1p002:005	6	@	-	rakentukaa␣
1p002:005	2	@	-	itsekin␣
1p002:005	5	@	-	elävinä␣
1p002:005	4	@	-	kivinä␣
1p002:005	3	%case	ESS	
1p002:005	8	@	-	hengelliseksi␣
1p002:005	7	@	-	huoneeksi
1p002:005	-	(,)	-	,␣
1p002:005	11	@	-	pyhäksi␣
1p002:005	10	@	-	papistoksi
1p002:005	9	%case	TRA	
1p002:005	-	(,)	-	,␣
1p002:005	12	@	-	uhraamaan␣
1p002:005	13	@	-	hengellisiä␣
1p002:005	14	@	-	uhreja
1p002:005	-	(,)	-	,␣
1p002:005	-	(@)	-	jotka␣
1p002:005	19	@	-	Jeesuksen␣
1p002:005	20a	@	-	Kristuksen␣
1p002:005	18	@	-	kautta␣
1p002:005	-	(@)	-	ovat␣
1p002:005	(16a) 17	@	-	Jumalalle␣
1p002:005	15a	@	-	mieluisia
1p002:005	20b	.	-	.␣
1p002:006	1p002:006	1p002:006	VERSE	1Pt␣2:6␣
1p002:006	1	@	-	Sillä␣
1p002:006	4a	@	-	Raamatussa␣
1p002:006	3	%case	LOC	
1p002:006	2	@	-	sanotaan
1p002:006	4b	:	-	:␣
1p002:006	4b	@	-	"
1p002:006	5	@	-	Katso
1p002:006	-	(,)	-	,␣
1p002:006	6	(@)	-	minä␣
1p002:006	6	@	-	lasken␣
1p002:006	8	@	-	Siioniin␣
1p002:006	7	%case	LOC	
1p002:006	11	@	-	valitun␣
1p002:006	9	@	-	kiven
1p002:006	-	(,)	-	,␣
1p002:006	12	@	-	kalliin␣
1p002:006	10	@	-	kulmakiven
1p002:006	-	(;)	-	;␣
1p002:006	13	@	-	ja␣
1p002:006	14	@	-	joka␣
1p002:006	17	@	-	häneen␣
1p002:006	16	%case	LOC	
1p002:006	15	@	-	uskoo
1p002:006	-	(,)	-	,␣
1p002:006	18 19	@	-	ei␣
1p002:006	20a	(@)	-	ole␣
1p002:006	20a	@	-	häpeään␣
1p002:006	20a	@	-	joutuva
1p002:006	20b	@	-	"
1p002:006	20b	.	-	.␣
1p002:007	1p002:007	1p002:007	VERSE	1Pt␣2:7␣
1p002:007	1	@	-	Teille␣
1p002:007	2	@	-	siis
1p002:007	-	(,)	-	,␣
1p002:007	5	@	-	jotka␣
1p002:007	6a	@	-	uskotte
1p002:007	-	(,)	-	,␣
1p002:007	-	(@)	-	se␣
