jm001:001	jm001:001	jm001:001	VERSE	Jaak␣1:1␣
jm001:013	-	(@)	-	"
jm001:013	6	@	-	Jumala␣
jm001:013	5	%case	NOM	
jm001:013	7a	(@)	-	minua␣
jm001:013	7a	@	-	kiusaa
jm001:013	-	(@)	-	"
jm001:013	7b	;	-	;␣
jm001:013	9	@	-	sillä␣
jm001:013	10 (8)	@	-	Jumala␣
jm001:013	11	@	-	ei␣
jm001:013	12	@	-	ole␣
jm001:013	13a	@	-	pahan␣
jm001:013	11	@	-	kiusattavissa
jm001:013	13b	,	-	,␣
jm001:013	17a	@	-	eikä␣
jm001:013	15	%clitic	kA	
jm001:013	16	@	-	hän␣
jm001:013	17a	@	-	ketään␣
jm001:013	14	@	-	kiusaa
jm001:013	17b	.	-	.␣
jm001:014	jm001:014	jm001:014	VERSE	Jaak␣1:14␣
jm001:014	2	@	-	Vaan␣
jm001:014	1	@	-	jokaista␣
jm001:014	3	@	-	kiusaa␣
jm001:014	6	@	-	hänen␣
jm001:014	6	@	-	oma␣
jm001:014	(5) 7	@	-	himonsa
jm001:014	4	%case	NOM.GEN	
jm001:014	-	(,)	-	,␣
jm001:014	8	(@)	-	joka␣
jm001:014	-	(@)	-	häntä␣
jm001:014	8	@	-	vetää␣
jm001:014	9	@	-	ja␣
jm001:014	10a	@	-	houkuttelee
jm001:014	10b	;	-	;␣
jm001:015	jm001:015	jm001:015	VERSE	Jaak␣1:15␣
jm001:015	4	(@)	-	kun␣
jm001:015	1	@	-	sitten␣
jm001:015	(2) 3	@	-	himo␣
jm001:015	4	(@)	-	on␣
jm001:015	4	@	-	tullut␣
jm001:015	4	@	-	raskaaksi
jm001:015	-	(,)	-	,␣
jm001:015	5	@	-	synnyttää␣
jm001:015	5	(@)	-	se␣
jm001:015	6a	@	-	synnin
jm001:015	-	(,)	-	,␣
jm001:015	8	@	-	mutta␣
jm001:015	10	(@)	-	kun␣
jm001:015	(7) 9	@	-	synti␣
jm001:015	10	(@)	-	on␣
jm001:015	10	@	-	täytetty
jm001:015	-	(,)	-	,␣
jm001:015	11	@	-	synnyttää␣
jm001:015	11	(@)	-	se␣
jm001:015	12a	@	-	kuoleman
jm001:015	12b	.	-	.␣
jm001:016	jm001:016	jm001:016	VERSE	Jaak␣1:16␣
jm001:016	1	@	-	Älkää␣
jm001:016	2a	@	-	eksykö
jm001:016	2b	,	-	,␣
jm001:016	5a	@	-	rakkaat␣
jm001:016	3	@	-	veljeni
jm001:016	4	%pers	?	
jm001:016	5b	.	-	.␣
jm001:017	jm001:017	jm001:017	VERSE	Jaak␣1:17␣
jm001:017	1	@	-	Jokainen␣
jm001:017	3	@	-	hyvä␣
jm001:017	2	@	-	anti␣
jm001:017	4	@	-	ja␣
jm001:017	5	@	-	jokainen␣
jm001:017	7	@	-	täydellinen␣
jm001:017	6	@	-	lahja␣
jm001:017	10	@	-	tulee␣
jm001:017	9	%tasp	PRES	
jm001:017	8	@	-	ylhäältä
jm001:017	-	(,)	-	,␣
jm001:017	(14) 15a	@	-	valkeuksien␣
jm001:017	(12) 13	@	-	Isältä
jm001:017	11	%case	LOC	
jm001:017	15b	,	-	,␣
jm001:017	17	@	-	jonka␣
jm001:017	16	@	-	tykönä␣
jm001:017	18	@	-	ei␣
jm001:017	19	@	-	ole␣
jm001:017	20	@	-	muutosta
jm001:017	-	(,)	-	,␣
jm001:017	pro%21	@	-	ei␣
jm001:017	22	@	-	vaihteen␣
jm001:017	23a	@	-	varjoa
jm001:017	23b	.	-	.␣
jm001:018	jm001:018	jm001:018	VERSE	Jaak␣1:18␣
jm001:018	1	@	-	Tahtonsa␣
jm001:018	1	@	-	mukaan␣
jm001:018	2	(@)	-	hän␣
jm001:018	2	@	-	synnytti␣
jm001:018	3	@	-	meidät␣
jm001:018	5	@	-	totuuden␣
jm001:018	4	@	-	sanalla
jm001:018	-	(,)	-	,␣
jm001:018	(7) 8	@	-	ollaksemme␣
jm001:018	9	%pers	?	
jm001:018	6	%case	TRA	
jm001:018	13	@	-	hänen␣
jm001:018	(12) 14a	@	-	luotujensa␣
jm001:018	10	@	-	esikoiset
jm001:018	(11)	-	UNTRANSLATED	
jm001:018	14b	.	-	.␣
jm001:019	jm001:019	jm001:019	VERSE	Jaak␣1:19␣
jm001:019	1a	(@)	-	Te␣
jm001:019	1a	@	-	tiedätte␣
jm001:019	-	(@)	-	sen
jm001:019	1b	,	-	,␣
jm001:019	4a	@	-	rakkaat␣
jm001:019	2	@	-	veljeni
jm001:019	3	%pers	?	
jm001:019	4b	.	-	.␣
jm001:019	6	@	-	Mutta␣
jm001:019	5	@	-	olkoon␣
jm001:019	7	@	-	jokainen␣
jm001:019	8	@	-	ihminen␣
jm001:019	9	@	-	nopea␣
jm001:019	(11) 12a	@	-	kuulemaan
jm001:019	10	%case	LOC	
jm001:019	12b	,	-	,␣
jm001:019	13	@	-	hidas␣
jm001:019	(15) 16a	@	-	puhumaan
jm001:019	14	%case	LOC	
jm001:019	16b	,	-	,␣
jm001:019	17	@	-	hidas␣
jm001:019	19a	@	-	vihaan
jm001:019	18	%case	LOC	
jm001:019	19b	;	-	;␣
jm001:020	jm001:020	jm001:020	VERSE	Jaak␣1:20␣
jm001:020	2	@	-	sillä␣
jm001:020	3	@	-	miehen␣
jm001:020	1	@	-	viha␣
jm001:020	6	@	-	ei␣
jm001:020	7a	@	-	tee␣
jm001:020	4	@	-	sitä
jm001:020	-	(,)	-	,␣
jm001:020	4	@	-	mikä␣
jm001:020	4	(@)	-	on␣
jm001:020	4	@	-	oikein␣
jm001:020	5	@	-	Jumalan␣
jm001:020	case%5	@	-	edessä
jm001:020	7b	.	-	.␣
jm001:021	jm001:021	jm001:021	VERSE	Jaak␣1:21␣
jm001:021	1	@	-	Sentähden␣
jm001:021	2	@	-	pankaa␣
jm001:021	2	@	-	pois␣
jm001:021	3	@	-	kaikki␣
jm001:021	4	@	-	saastaisuus␣
jm001:021	5	@	-	ja␣
jm001:021	6	@	-	kaikkinainen␣
jm001:021	7	@	-	pahuus␣
jm001:021	-	(@)	-	ja␣
jm001:021	10	@	-	ottakaa␣
jm001:021	9a	@	-	hiljaisuudella␣
jm001:021	8	%case	LOC	
jm001:021	10	@	-	vastaan␣
jm001:021	13	@	-	sana
jm001:021	-	(,)	-	,␣
jm001:021	11	@	-	joka␣
jm001:021	12	(@)	-	on␣
jm001:021	-	(@)	-	teihin␣
jm001:021	12	@	-	istutettu␣
jm001:021	-	(@)	-	ja␣
jm001:021	14	@	-	joka␣
jm001:021	15	@	-	voi␣
jm001:021	19a	@	-	teidän␣
jm001:021	(17) 18	@	-	sielunne␣
jm001:021	16	@	-	pelastaa
jm001:021	19b	.	-	.␣
jm001:022	jm001:022	jm001:022	VERSE	Jaak␣1:22␣
jm001:022	2	@	-	Mutta␣
jm001:022	1	@	-	olkaa␣
jm001:022	4	@	-	sanan␣
jm001:022	3	@	-	tekijöitä
jm001:022	-	(,)	-	,␣
jm001:022	6	@	-	eikä␣
jm001:022	5	%clitic	kA	
jm001:022	7	@	-	vain␣
jm001:022	-	(@)	-	sen␣
jm001:022	8	@	-	kuulijoita
jm001:022	-	(,)	-	,␣
jm001:022	9	@	-	pettäen␣
jm001:022	10a	@	-	itsenne
jm001:022	10b	.	-	.␣
jm001:023	jm001:023	jm001:023	VERSE	Jaak␣1:23␣
jm001:023	1	@	-	Sillä␣
jm001:023	2	@	-	jos␣
jm001:023	3	@	-	joku␣
jm001:023	6	@	-	on␣
jm001:023	5	@	-	sanan␣
jm001:023	4	@	-	kuulija␣
jm001:023	8	@	-	eikä␣
jm001:023	7	%clitic	kA	
jm001:023	-	(@)	-	sen␣
jm001:023	9a	@	-	tekijä
jm001:023	-	(,)	-	,␣
jm001:023	-	(@)	-	niin␣
jm001:023	10	@	-	hän␣
jm001:023	11	@	-	on␣
jm001:023	12	@	-	miehen␣
jm001:023	11	@	-	kaltainen
jm001:023	-	(,)	-	,␣
jm001:023	13	(@)	-	joka␣
jm001:023	13	@	-	katselee␣
jm001:023	20a	@	-	kuvastimessa␣
jm001:023	19	%case	LOC	
jm001:023	(16) 17	@	-	luonnollisia␣
jm001:023	18	%pers	?	
jm001:023	(14) 15	@	-	kasvojaan
jm001:023	20b	;	-	;␣
jm001:024	jm001:024	jm001:024	VERSE	Jaak␣1:24␣
jm001:024	1	(@)	-	hän␣
jm001:024	1	@	-	katselee␣
jm001:024	(2)	-	UNTRANSLATED	
jm001:024	3	@	-	itseään
jm001:024	(4)	-	UNTRANSLATED	
jm001:024	-	(,)	-	,␣
jm001:024	5	@	-	lähtee␣
jm001:024	5	@	-	pois␣
jm001:024	6	@	-	ja␣
jm001:024	8	@	-	unhottaa␣
jm001:024	7	@	-	heti
jm001:024	-	(,)	-	,␣
jm001:024	9	@	-	millainen␣
jm001:024	10a	(@)	-	hän␣
jm001:024	10a	@	-	oli
jm001:024	10b	.	-	.␣
jm001:025	jm001:025	jm001:025	VERSE	Jaak␣1:25␣
jm001:025	2	@	-	Mutta␣
jm001:025	1	@	-	joka␣
jm001:025	3	@	-	katsoo␣
jm001:025	6	@	-	täydelliseen␣
jm001:025	5	@	-	lakiin
jm001:025	4	%case	LOC	
jm001:025	-	(,)	-	,␣
jm001:025	(8) 9	@	-	vapauden␣
jm001:025	pro%7	@	-	lakiin
jm001:025	-	(,)	-	,␣
jm001:025	10	@	-	ja␣
jm001:025	11a	@	-	pysyy␣
jm001:025	11a	@	-	siinä
jm001:025	11b	,	-	,␣
jm001:025	12	@	-	eikä␣
jm001:025	15	@	-	ole␣
jm001:025	14	@	-	muistamaton␣
jm001:025	13	@	-	kuulija
jm001:025	-	(,)	-	,␣
jm001:025	16	@	-	vaan␣
jm001:025	pro%18a	@	-	todellinen␣
jm001:025	17	@	-	tekijä
jm001:025	18b	,	-	,␣
jm001:025	19	@	-	hän␣
jm001:025	25a	(@)	-	on␣
jm001:025	25a	@	-	oleva␣
jm001:025	20	@	-	autuas␣
jm001:025	(22) 23	@	-	tekemisessään
jm001:025	24	%pers	3	
jm001:025	21	%case	LOC	
jm001:025	25b	.	-	.␣
jm001:026	jm001:026	jm001:026	VERSE	Jaak␣1:26␣
jm001:026	1	@	-	Jos␣
jm001:026	2	@	-	joku␣
jm001:026	3	@	-	luulee␣
jm001:026	5	@	-	olevansa␣
jm001:026	4	@	-	jumalanpalvelija
jm001:026	-	(,)	-	,␣
jm001:026	-	(@)	-	mutta␣
jm001:026	6	@	-	ei␣
jm001:026	7	@	-	hillitse␣
jm001:026	8	@	-	kieltään
jm001:026	9	%pers	3	
jm001:026	-	(,)	-	,␣
jm001:026	10	@	-	vaan␣
jm001:026	11	@	-	pettää␣
jm001:026	12	@	-	sydämensä
jm001:026	13a	%pers	3	
jm001:026	-	(,)	-	,␣
jm001:026	-	(@)	-	niin␣
jm001:026	14	@	-	hänen␣
jm001:026	(16) 17a	@	-	jumalanpalveluksensa␣
jm001:026	-	(@)	-	on␣
jm001:026	15	@	-	turha
jm001:026	17b	.	-	.␣
jm001:027	jm001:027	jm001:027	VERSE	Jaak␣1:27␣
jm001:027	2	@	-	Puhdas␣
jm001:027	3	@	-	ja␣
jm001:027	4	@	-	tahraton␣
jm001:027	1	@	-	jumalanpalvelus␣
jm001:027	(6) 7	@	-	Jumalan␣
jm001:027	8	@	-	ja␣
jm001:027	9	@	-	Isän␣
jm001:027	pro%5	@	-	silmissä␣
jm001:027	(10)	-	UNTRANSLATED	
jm001:027	11a	@	-	on␣
jm001:027	12	@	-	käydä␣
jm001:027	12	@	-	katsomassa␣
jm001:027	13	@	-	orpoja␣
jm001:027	14	@	-	ja␣
jm001:027	15	@	-	leskiä␣
jm001:027	19a	@	-	heidän␣
jm001:027	(17) 18	@	-	ahdistuksessaan␣
jm001:027	16	%case	LOC	
jm001:027	-	(@)	-	ja␣
jm001:027	22	@	-	varjella␣
jm001:027	21	@	-	itsensä␣
jm001:027	-	(@)	-	niin
jm001:027	-	(,)	-	,␣
jm001:027	-	(@)	-	ettei␣
jm001:027	(24) 25a	@	-	maailma␣
jm001:027	23	%case	NOM	
jm001:027	20	@	-	saastuta
jm001:027	25b	.	-	.␣
jm002:001	jm002:001	jm002:001	VERSE	Jaak␣2:1␣
jm002:001	1	@	-	Veljeni
jm002:001	2a	%pers	?	
jm002:001	2b	,	-	,␣
jm002:001	3	@	-	älköön␣
jm002:001	-	(@)	-	teidän␣
jm002:001	(7) 8	@	-	uskonne␣
jm002:001	11	@	-	meidän␣
jm002:001	(14) 15a	@	-	kirkastettuun␣
jm002:001	10 (9)	@	-	Herraamme
jm002:001	-	(,)	-	,␣
jm002:001	12	@	-	Jeesukseen␣
jm002:001	13	@	-	Kristukseen
jm002:001	-	(,)	-	,␣
jm002:001	6	@	-	olko␣
jm002:001	-	(@)	-	sellainen
jm002:001	-	(,)	-	,␣
jm002:001	-	(@)	-	joka␣
jm002:001	5	@	-	katsoo␣
jm002:001	5	@	-	henkilöön
jm002:001	4	%case	LOC	
jm002:001	15b	.	-	.␣
jm002:002	jm002:002	jm002:002	VERSE	Jaak␣2:2␣
jm002:002	2	@	-	Sillä␣
jm002:002	1	@	-	jos␣
jm002:002	5	@	-	kokoukseenne␣
jm002:002	6	%pers	?	
jm002:002	4	%case	LOC	
jm002:002	3	@	-	tulee␣
jm002:002	7	@	-	mies
jm002:002	-	(,)	-	,␣
jm002:002	8	@	-	kultasormus␣
jm002:002	8	@	-	sormessa␣
jm002:002	-	(@)	-	ja␣
jm002:002	11a	@	-	loistavassa␣
jm002:002	10	@	-	puvussa
jm002:002	9	%case	LOC	
jm002:002	11b	,	-	,␣
jm002:002	13	@	-	ja␣
jm002:002	12	@	-	tulee␣
jm002:002	14	@	-	myös␣
jm002:002	15	@	-	köyhä␣
jm002:002	17 18a	@	-	ryysyissä
jm002:002	16	%case	LOC	
jm002:002	18b	,	-	,␣
jm002:003	jm002:003	jm002:003	VERSE	Jaak␣2:3␣
jm002:003	2	@	-	ja␣
jm002:003	1	(@)	-	te␣
jm002:003	1	@	-	katsotte␣
jm002:003	(6) 7 (8) 9	@	-	loistavapukuisen␣
jm002:003	4 5	%case	GEN	
jm002:003	3	@	-	puoleen␣
jm002:003	10	@	-	ja␣
jm002:003	11a	@	-	sanotte
jm002:003	11b	:	-	:␣
jm002:003	11b	@	-	"
jm002:003	13	@	-	Istu␣
jm002:003	12	@	-	sinä␣
jm002:003	14	@	-	tähän␣
jm002:003	15a	@	-	mukavasti
jm002:003	15b	@	-	"
jm002:003	15b	,	-	,␣
jm002:003	16	@	-	ja␣
jm002:003	(17) 18	@	-	köyhälle␣
jm002:003	19a	@	-	sanotte
jm002:003	19b	:	-	:␣
jm002:003	19b	@	-	"
jm002:003	21	@	-	Seiso␣
jm002:003	20	@	-	sinä␣
jm002:003	22	@	-	tuossa
jm002:003	-	(@)	-	"
jm002:003	-	(,)	-	,␣
jm002:003	23	@	-	tahi
jm002:003	-	(:)	-	:␣
jm002:003	-	(@)	-	"
jm002:003	24	@	-	Istu␣
jm002:003	-	(@)	-	tähän␣
jm002:003	(26) 27	@	-	jalkajakkarani␣
jm002:003	28a	%pers	?	
jm002:003	25	@	-	viereen
jm002:003	28b	@	-	"
jm002:003	28b	,	-	,␣
jm002:004	jm002:004	jm002:004	VERSE	Jaak␣2:4␣
jm002:004	-	(@)	-	niin␣
jm002:004	1	@	-	ettekö␣
jm002:004	2	(@)	-	ole␣
jm002:004	2	@	-	joutuneet␣
jm002:004	2	@	-	ristiriitaan␣
jm002:004	4	@	-	itsenne␣
jm002:004	3	@	-	kanssa
jm002:004	-	(,)	-	,␣
jm002:004	5	@	-	ja␣
jm002:004	-	(@)	-	eikö␣
jm002:004	6	(@)	-	teistä␣
jm002:004	6	(@)	-	ole␣
jm002:004	6	@	-	tullut␣
jm002:004	8 9a	@	-	väärämielisiä␣
jm002:004	7	@	-	tuomareita
jm002:004	-	(?)	-	?␣
jm002:005	jm002:005	jm002:005	VERSE	Jaak␣2:5␣
jm002:005	1a	@	-	Kuulkaa
jm002:005	1b	,	-	,␣
jm002:005	4a	@	-	rakkaat␣
jm002:005	2	@	-	veljeni
jm002:005	3	%pers	?	
jm002:005	4b	.	-	.␣
jm002:005	5	@	-	Eikö␣
jm002:005	(6) 7	@	-	Jumala␣
jm002:005	8	(@)	-	ole␣
jm002:005	8	@	-	valinnut␣
jm002:005	9	@	-	niitä
jm002:005	-	(,)	-	,␣
jm002:005	9	@	-	jotka␣
jm002:005	(11) 12	@	-	maailman␣
jm002:005	case%12	@	-	silmissä␣
jm002:005	-	(@)	-	ovat␣
jm002:005	10	@	-	köyhiä
jm002:005	-	(,)	-	,␣
jm002:005	-	(@)	-	olemaan␣
jm002:005	13	@	-	rikkaita␣
jm002:005	15	@	-	uskossa␣
jm002:005	14	%case	LOC	
jm002:005	16	@	-	ja␣
jm002:005	-	(@)	-	sen␣
jm002:005	(18) 19	@	-	valtakunnan␣
jm002:005	17	@	-	perillisiä
jm002:005	-	(,)	-	,␣
jm002:005	20	@	-	jonka␣
jm002:005	21	(@)	-	hän␣
jm002:005	21	(@)	-	on␣
jm002:005	21	@	-	luvannut␣
jm002:005	22	@	-	niille
jm002:005	-	(,)	-	,␣
jm002:005	22	@	-	jotka␣
jm002:005	24a	@	-	häntä␣
jm002:005	23	@	-	rakastavat
jm002:005	-	(?)	-	?␣
jm002:006	jm002:006	jm002:006	VERSE	Jaak␣2:6␣
jm002:006	2	@	-	Mutta␣
jm002:006	1	@	-	te␣
jm002:006	3	(@)	-	olette␣
jm002:006	3	@	-	häväisseet␣
jm002:006	(4) 5a	@	-	köyhän
jm002:006	5b	.	-	.␣
jm002:006	6	@	-	Eivätkö␣
jm002:006	-	(@)	-	juuri␣
jm002:006	(7) 8	@	-	rikkaat␣
jm002:006	10	@	-	teitä␣
jm002:006	9	@	-	sorra
jm002:006	-	(,)	-	,␣
jm002:006	11	@	-	ja␣
jm002:006	-	(@)	-	eivätkö␣
jm002:006	-	(@)	-	juuri␣
jm002:006	12	@	-	he␣
jm002:006	13	@	-	vedä␣
jm002:006	14	@	-	teitä␣
jm002:006	16a	@	-	tuomioistuimien␣
jm002:006	15	@	-	eteen
jm002:006	-	(?)	-	?␣
jm002:007	jm002:007	jm002:007	VERSE	Jaak␣2:7␣
jm002:007	1	@	-	Eivätkö␣
jm002:007	-	(@)	-	juuri␣
jm002:007	2	@	-	he␣
jm002:007	3	@	-	pilkkaa␣
jm002:007	4	@	-	sitä␣
jm002:007	5	@	-	jaloa␣
jm002:007	6	@	-	nimeä
jm002:007	-	(,)	-	,␣
jm002:007	7	@	-	joka␣
jm002:007	8	(@)	-	on␣
jm002:007	8	@	-	lausuttu␣
jm002:007	10a	@	-	teidän␣
jm002:007	9	@	-	ylitsenne
