lm001:001	lm001:001	lm001:001	VERSE	Val␣1:1␣
lm001:002	-	(,)	-	,␣
lm001:002	16	(@)	-	ovat␣
lm001:002	17	@	-	sille␣
lm001:002	18b	@	-	vihamiehiksi␣
lm001:002	18a	%case	TRA	
lm001:002	16	@	-	tulleet
lm001:002	-	(.)	-	.␣
lm001:003	lm001:003	lm001:003	VERSE	Val␣1:3␣
lm001:003	2	@	-	Juuda␣
lm001:003	1	(@)	-	on␣
lm001:003	1	@	-	siirtynyt␣
lm001:003	1	@	-	maastansa␣
lm001:003	3b	@	-	kurjuutta␣
lm001:003	3a	%case	PTV	
lm001:003	4a	@	-	ja␣
lm001:003	5	@	-	työn␣
lm001:003	4c	@	-	kovuutta␣
lm001:003	4b	%case	PTV	
lm001:003	1	@	-	pakoon
lm001:003	-	(.)	-	.␣
lm001:003	6	@	-	Se␣
lm001:003	7	@	-	istuu␣
lm001:003	8b	@	-	pakanakansain␣
lm001:003	8a	@	-	seassa␣
lm001:003	9	@	-	eikä␣
lm001:003	11	@	-	lepoa␣
lm001:003	10	@	-	löydä
lm001:003	-	(.)	-	.␣
lm001:003	12	@	-	Kaikki␣
lm001:003	pers%13	@	-	sen␣
lm001:003	13	@	-	vainoojat␣
lm001:003	14	@	-	saavuttivat␣
lm001:003	pers%14	@	-	sen
lm001:003	-	(,)	-	,␣
lm001:003	-	(@)	-	kun␣
lm001:003	-	(@)	-	se␣
lm001:003	-	(@)	-	oli␣
lm001:003	(16a) 16b	@	-	ahdistuksien␣
lm001:003	15	@	-	keskellä
lm001:003	-	(.)	-	.␣
lm001:004	lm001:004	lm001:004	VERSE	Val␣1:4␣
lm001:004	2	@	-	Siionin␣
lm001:004	1	@	-	tiet␣
lm001:004	3	@	-	surevat
lm001:004	-	(,)	-	,␣
lm001:004	-	(@)	-	sillä␣
lm001:004	5 6	@	-	juhlilletulijoita␣
lm001:004	4a 4b	@	-	ei␣
lm001:004	4a 4b	@	-	ole
lm001:004	-	(.)	-	.␣
lm001:004	7	@	-	Kaikki␣
lm001:004	pers%8	@	-	sen␣
lm001:004	8	@	-	portit␣
lm001:004	9	(@)	-	ovat␣
lm001:004	9	@	-	autioina
lm001:004	-	(,)	-	,␣
lm001:004	pers%10	@	-	sen␣
lm001:004	10	@	-	papit␣
lm001:004	11	@	-	huokailevat
lm001:004	-	(,)	-	,␣
lm001:004	pers%12	@	-	sen␣
lm001:004	12	@	-	neitsyet␣
lm001:004	13	@	-	ovat␣
lm001:004	13	@	-	murheissaan
lm001:004	-	(,)	-	,␣
lm001:004	14a	@	-	ja␣
lm001:004	16	@	-	sillä␣
lm001:004	14b	@	-	itsellään␣
lm001:004	-	(@)	-	on␣
lm001:004	15	@	-	katkera␣
lm001:004	15	(@)	-	mieli
lm001:004	-	(.)	-	.␣
lm001:005	lm001:005	lm001:005	VERSE	Val␣1:5␣
lm001:005	pers%2	@	-	Sen␣
lm001:005	2	@	-	viholliset␣
lm001:005	1	(@)	-	ovat␣
lm001:005	3b	@	-	voitolle␣
lm001:005	3a	%case	LOC	
lm001:005	1	@	-	päässeet
lm001:005	-	(,)	-	,␣
lm001:005	pers%4	@	-	sen␣
lm001:005	4	@	-	vihamiehet␣
lm001:005	5	@	-	menestyvät
lm001:005	-	(.)	-	.␣
lm001:005	6	@	-	Sillä␣
lm001:005	7	@	-	Herra␣
lm001:005	8	(@)	-	on␣
lm001:005	8	(@)	-	saattanut␣
lm001:005	pers%8	@	-	sen␣
lm001:005	8	@	-	murheelliseksi␣
lm001:005	pers%11	@	-	sen␣
lm001:005	11	@	-	rikkomusten␣
lm001:005	10	@	-	paljouden␣
lm001:005	9	@	-	tähden
lm001:005	-	(.)	-	.␣
lm001:005	pers%12	@	-	Sen␣
lm001:005	12	@	-	pienet␣
lm001:005	12	@	-	lapset␣
lm001:005	13	(@)	-	ovat␣
lm001:005	13	@	-	menneet␣
lm001:005	14	@	-	vankeuteen␣
lm001:005	16	@	-	vihollisen␣
lm001:005	15a 15b	@	-	vieminä
lm001:005	-	(.)	-	.␣
lm001:006	lm001:006	lm001:006	VERSE	Val␣1:6␣
lm001:006	(1a)	-	UNTRANSLATED	
lm001:006	1b	@	-	Mennyt␣
lm001:006	1b	(@)	-	on␣
lm001:006	3b	@	-	tytär␣
lm001:006	3a	%case	NOM	
lm001:006	4	@	-	Siionilta␣
lm001:006	5	@	-	kaikki␣
lm001:006	pers%6	@	-	hänen␣
lm001:006	6	@	-	kauneutensa
lm001:006	-	(.)	-	.␣
lm001:006	pers%8	@	-	Hänen␣
lm001:006	8	@	-	ruhtinaansa␣
lm001:006	7	@	-	ovat␣
lm001:006	9a	@	-	kuin␣
lm001:006	9b	@	-	peurat
lm001:006	-	(,)	-	,␣
lm001:006	-	(@)	-	jotka␣
lm001:006	10	@	-	eivät␣
lm001:006	12	@	-	laidunta␣
lm001:006	11	@	-	löydä
lm001:006	(13a)	-	UNTRANSLATED	
lm001:006	-	(;)	-	;␣
lm001:006	13b	(@)	-	he␣
lm001:006	13b	@	-	kulkivat␣
lm001:006	15	@	-	voimattomina␣
lm001:006	14a 14b	%case	ESS	
lm001:006	17	@	-	vainoojan␣
lm001:006	16a 16b	@	-	edessä
lm001:006	-	(.)	-	.␣
lm001:007	lm001:007	lm001:007	VERSE	Val␣1:7␣
lm001:007	2	@	-	Jerusalem␣
lm001:007	1	@	-	muistelee␣
lm001:007	4	@	-	kurjuutensa␣
lm001:007	3	@	-	päivinä␣
lm001:007	5a	@	-	ja␣
lm001:007	5b	@	-	kodittomuudessaan␣
lm001:007	6	@	-	kaikkea␣
lm001:007	7	@	-	kallisarvoista
lm001:007	-	(,)	-	,␣
lm001:007	8	@	-	mitä␣
lm001:007	-	(@)	-	sillä␣
lm001:007	9	@	-	oli␣
lm001:007	11	@	-	muinaisista␣
lm001:007	10b	@	-	päivistä␣
lm001:007	10a	@	-	asti
lm001:007	-	(.)	-	.␣
lm001:007	12a	@	-	Kun␣
lm001:007	pers%13	@	-	sen␣
lm001:007	13	@	-	kansa␣
lm001:007	12b	@	-	sortui␣
lm001:007	15	@	-	vihollisen␣
lm001:007	14b	@	-	käsiin␣
lm001:007	14a	%case	LOC	
lm001:007	16b	@	-	eikä␣
lm001:007	16a	%clitic	kA	
lm001:007	18	@	-	sillä␣
lm001:007	-	(@)	-	ollut␣
lm001:007	17	@	-	auttajaa
lm001:007	-	(,)	-	,␣
lm001:007	19	@	-	katsoivat␣
lm001:007	20	@	-	viholliset␣
lm001:007	pers%19	@	-	sitä␣
lm001:007	-	(@)	-	ja␣
lm001:007	21	@	-	nauroivat␣
lm001:007	pers%23	@	-	sen␣
lm001:007	23	@	-	turmiota
lm001:007	22	%case	PTV	
lm001:007	-	(.)	-	.␣
lm001:008	lm001:008	lm001:008	VERSE	Val␣1:8␣
lm001:008	3	@	-	Jerusalem␣
lm001:008	2	@	-	on␣
lm001:008	-	(@)	-	raskaasti␣
lm001:008	2	@	-	syntiä␣
lm001:008	2	@	-	tehnyt
lm001:008	1	%case	NOM	
lm001:008	-	(,)	-	,␣
lm001:008	4 5	@	-	sentähden␣
lm001:008	-	(@)	-	se␣
lm001:008	7	(@)	-	on␣
lm001:008	6b	@	-	saastaksi␣
lm001:008	6a	%case	TRA	
lm001:008	7	@	-	tullut
lm001:008	-	(.)	-	.␣
lm001:008	8	@	-	Kaikki
lm001:008	-	(,)	-	,␣
lm001:008	-	(@)	-	jotka␣
lm001:008	pers%9	@	-	sitä␣
lm001:008	9	@	-	kunnioittivat
lm001:008	-	(,)	-	,␣
lm001:008	10	@	-	halveksivat␣
lm001:008	pers%10	@	-	sitä␣
lm001:008	11	@	-	nyt
lm001:008	-	(,)	-	,␣
lm001:008	11	@	-	kun␣
lm001:008	12	(@)	-	ovat␣
lm001:008	12	@	-	nähneet␣
lm001:008	pers%13	@	-	sen␣
lm001:008	13	@	-	alastomuuden
lm001:008	-	(.)	-	.␣
lm001:008	15	@	-	Itsekin␣
lm001:008	14	%clitic	kin	
lm001:008	16	(@)	-	se␣
lm001:008	16	@	-	huokaa␣
lm001:008	17a	@	-	ja␣
lm001:008	17b	@	-	kääntyy␣
lm001:008	18	@	-	poispäin
lm001:008	-	(.)	-	.␣
lm001:009	lm001:009	lm001:009	VERSE	Val␣1:9␣
lm001:009	pers%1	@	-	Sen␣
lm001:009	1	@	-	tahrat␣
lm001:009	-	(@)	-	ovat␣
lm001:009	pers%2b	@	-	sen␣
lm001:009	2b	@	-	liepeissä
lm001:009	2a	%case	LOC	
lm001:009	-	(.)	-	.␣
lm001:009	-	(@)	-	Se␣
lm001:009	3	@	-	ei␣
lm001:009	4	@	-	ajatellut
lm001:009	-	(,)	-	,␣
lm001:009	5	(@)	-	mikä␣
lm001:009	pers%5	@	-	sille␣
lm001:009	5	@	-	tuleva␣
lm001:009	5	(@)	-	oli
lm001:009	-	(,)	-	,␣
lm001:009	6a	@	-	ja␣
lm001:009	6a	@	-	niin␣
lm001:009	6b	(@)	-	se␣
lm001:009	6b	@	-	sortui␣
lm001:009	7	@	-	hämmästyttävästi
lm001:009	-	(.)	-	.␣
lm001:009	8	@	-	Ei␣
lm001:009	8	@	-	ole␣
lm001:009	10	@	-	sillä␣
lm001:009	9	@	-	lohduttajaa
lm001:009	-	(.)	-	.␣
lm001:009	11	@	-	Katso
lm001:009	-	(,)	-	,␣
lm001:009	12	@	-	Herra
lm001:009	-	(,)	-	,␣
lm001:009	pers%14	@	-	minun␣
lm001:009	14	@	-	kurjuuttani
lm001:009	13	%case	PTV	
lm001:009	-	(,)	-	,␣
lm001:009	15	@	-	sillä␣
lm001:009	17	@	-	vihamies␣
lm001:009	16	@	-	ylvästelee
lm001:009	-	(.)	-	.␣
lm001:010	lm001:010	lm001:010	VERSE	Val␣1:10␣
lm001:010	3	@	-	Vihollinen␣
lm001:010	2	@	-	levitti␣
lm001:010	1	@	-	kätensä␣
lm001:010	5	@	-	kaikkia␣
lm001:010	pers%6	@	-	sen␣
lm001:010	6	@	-	kalleuksia␣
lm001:010	4	@	-	kohti
lm001:010	-	(.)	-	.␣
lm001:010	7	@	-	Niin
lm001:010	-	(,)	-	,␣
lm001:010	8	(@)	-	sen␣
lm001:010	8	(@)	-	täytyi␣
lm001:010	8	@	-	nähdä
lm001:010	-	(,)	-	,␣
lm001:010	-	(@)	-	kuinka␣
lm001:010	9	@	-	pakanat␣
lm001:010	10	@	-	tunkeutuivat␣
lm001:010	pers%11	@	-	sen␣
lm001:010	11	@	-	pyhäkköön
lm001:010	-	(,)	-	,␣
lm001:010	12	@	-	ne
lm001:010	-	(,)	-	,␣
lm001:010	12	@	-	jotka␣
lm001:010	13	(@)	-	sinä␣
lm001:010	13	(@)	-	olit␣
lm001:010	13	@	-	kieltänyt␣
lm001:010	15	@	-	tulemasta␣
lm001:010	14	%inflection	INF3.ELA	
lm001:010	17	@	-	sinun␣
lm001:010	16b	@	-	seurakuntaasi
lm001:010	16a	%case	LOC	
lm001:010	-	(.)	-	.␣
lm001:011	lm001:011	lm001:011	VERSE	Val␣1:11␣
lm001:011	1	@	-	Kaikki␣
lm001:011	pers%2	@	-	sen␣
lm001:011	2	@	-	kansa␣
lm001:011	3	@	-	huokaa␣
lm001:011	4	@	-	etsiessänsä␣
lm001:011	5	@	-	leipää
lm001:011	-	(:)	-	:␣
lm001:011	6	(@)	-	he␣
lm001:011	6	@	-	antavat
lm001:011	-	(,)	-	,␣
lm001:011	8	(@)	-	mitä␣
lm001:011	pers%8	@	-	heillä␣
lm001:011	8	@	-	kallista␣
lm001:011	8	(@)	-	on
lm001:011	-	(,)	-	,␣
lm001:011	9b	@	-	ruuasta
lm001:011	9a	%case	LOC	
lm001:011	-	(,)	-	,␣
lm001:011	10b	(@)	-	saadakseen␣
lm001:011	10a	%case	TRA	
lm001:011	11	@	-	nälkänsä␣
lm001:011	10b	@	-	tyydytetyksi
lm001:011	-	(.)	-	.␣
lm001:011	12	@	-	Katso
lm001:011	-	(,)	-	,␣
lm001:011	13	@	-	Herra
lm001:011	-	(,)	-	,␣
lm001:011	14a	@	-	ja␣
lm001:011	14b	@	-	näe
lm001:011	-	(,)	-	,␣
lm001:011	15	@	-	kuinka␣
lm001:011	17	@	-	halveksittu␣
lm001:011	16	(@)	-	minä␣
lm001:011	16	@	-	olen
lm001:011	-	(.)	-	.␣
lm001:012	lm001:012	lm001:012	VERSE	Val␣1:12␣
lm001:012	1	@	-	Eikö␣
lm001:012	-	(@)	-	tämä␣
lm001:012	-	(@)	-	koske␣
lm001:012	2	@	-	teihin
lm001:012	-	(,)	-	,␣
lm001:012	3	@	-	kaikki␣
lm001:012	4 5	@	-	ohikulkijat
lm001:012	-	(?)	-	?␣
lm001:012	6	@	-	Katsokaa␣
lm001:012	7a	@	-	ja␣
lm001:012	7b	@	-	nähkää
lm001:012	-	(:)	-	:␣
lm001:012	9	@	-	onko␣
lm001:012	8	%case	?	
lm001:012	10	@	-	kipua
lm001:012	-	(,)	-	,␣
lm001:012	pers%11b	@	-	minun␣
lm001:012	11b	@	-	kipuni␣
lm001:012	11a	@	-	vertaista
lm001:012	-	(,)	-	,␣
lm001:012	12	@	-	joka␣
lm001:012	13	(@)	-	on␣
lm001:012	14	@	-	minun␣
lm001:012	13	@	-	kannettavakseni␣
lm001:012	tasp%13	@	-	pantu
lm001:012	-	(,)	-	,␣
lm001:012	15	@	-	jolla␣
lm001:012	17	@	-	Herra␣
lm001:012	16	(@)	-	on␣
lm001:012	16	@	-	murehduttanut␣
lm001:012	-	(@)	-	minut␣
lm001:012	20	@	-	vihansa␣
lm001:012	19	@	-	hehkun␣
lm001:012	18b	@	-	päivänä
lm001:012	18a	%case	ESS	
lm001:012	-	(?)	-	?␣
lm001:013	lm001:013	lm001:013	VERSE	Val␣1:13␣
lm001:013	2	(@)	-	Hän␣
lm001:013	2	@	-	lähetti␣
lm001:013	3	@	-	tulen␣
lm001:013	1b	@	-	korkeudesta␣
lm001:013	1a	%case	LOC	
lm001:013	pers%4b	@	-	minun␣
lm001:013	4b	@	-	luihini␣
lm001:013	4a	%case	LOC	
lm001:013	5a	@	-	ja␣
lm001:013	5b	@	-	kuritti␣
lm001:013	pers%5b	@	-	niitä
lm001:013	-	(.)	-	.␣
lm001:013	6	(@)	-	Hän␣
lm001:013	6	@	-	viritti␣
lm001:013	7	@	-	verkon␣
lm001:013	pers%8b	@	-	minun␣
lm001:013	8b	@	-	jalkaini␣
lm001:013	8a	@	-	varalle
lm001:013	-	(,)	-	,␣
lm001:013	10 9	(@)	-	hän␣
lm001:013	10 9	(@)	-	pani␣
lm001:013	pers%9	@	-	minut␣
lm001:013	10 9	@	-	peräytymään
lm001:013	-	(,)	-	,␣
lm001:013	11	(@)	-	hän␣
lm001:013	11	@	-	teki␣
lm001:013	pers%11	@	-	minut␣
lm001:013	12	@	-	autioksi
lm001:013	-	(,)	-	,␣
lm001:013	13 (14a) 14b	@	-	ainiaan␣
lm001:013	15	@	-	sairaaksi
lm001:013	-	(.)	-	.␣
lm001:014	lm001:014	lm001:014	VERSE	Val␣1:14␣
lm001:014	pers%4b	@	-	Hänen␣
lm001:014	4b	@	-	kätensä␣
lm001:014	4a	%case	NOM.GEN	
lm001:014	1	@	-	sitoi␣
lm001:014	pers%3	@	-	minun␣
lm001:014	3	@	-	rikosteni␣
lm001:014	2	@	-	ikeen
lm001:014	-	(:)	-	:␣
lm001:014	5	(@)	-	ne␣
lm001:014	5	@	-	kiedottiin␣
lm001:014	5	@	-	yhteen
lm001:014	-	(,)	-	,␣
lm001:014	6	@	-	tulivat␣
lm001:014	pers%8	@	-	minun␣
lm001:014	8	@	-	niskalleni
lm001:014	7	%case	LOC	
lm001:014	-	(;)	-	;␣
lm001:014	9	(@)	-	hän␣
lm001:014	9	(@)	-	saattoi␣
lm001:014	9	@	-	horjumaan␣
lm001:014	pers%10	@	-	minun␣
lm001:014	10	@	-	voimani
lm001:014	-	(.)	-	.␣
lm001:014	12	@	-	Herra␣
lm001:014	11	@	-	antoi␣
lm001:014	pers%11	@	-	minut␣
lm001:014	-	(@)	-	niiden␣
lm001:014	13b	@	-	käsiin
lm001:014	13a	%case	LOC	
lm001:014	-	(,)	-	,␣
lm001:014	-	(@)	-	joita␣
lm001:014	15	(@)	-	minä␣
lm001:014	14	@	-	en␣
lm001:014	15	@	-	voi␣
lm001:014	16	@	-	vastustaa
lm001:014	-	(.)	-	.␣
lm001:015	lm001:015	lm001:015	VERSE	Val␣1:15␣
lm001:015	4	@	-	Herra␣
lm001:015	1	@	-	hylkäsi␣
lm001:015	2	@	-	kaikki␣
lm001:015	pers%3	@	-	minun␣
lm001:015	3	@	-	urhoni
lm001:015	-	(,)	-	,␣
lm001:015	-	(@)	-	joita␣
lm001:015	pers%5b	@	-	minun␣
lm001:015	5b	@	-	keskuudessani␣
lm001:015	5a	%case	LOC	
lm001:015	-	(@)	-	oli
lm001:015	-	(;)	-	;␣
lm001:015	6	(@)	-	hän␣
lm001:015	6	@	-	kutsui␣
lm001:015	6	@	-	kokoon␣
lm001:015	8	@	-	juhlan␣
lm001:015	pers%7	@	-	minua␣
lm001:015	7	@	-	vastaan␣
lm001:015	9b	@	-	murskatakseen␣
lm001:015	9a	%case	TRA	
lm001:015	pers%10	@	-	minun␣
lm001:015	10	@	-	nuorukaiseni
lm001:015	-	(.)	-	.␣
lm001:015	13	@	-	Herra␣
lm001:015	12	@	-	polki␣
lm001:015	11	@	-	viinikuurnan␣
lm001:015	14b	@	-	neitsyelle
lm001:015	14a	%case	LOC	
lm001:015	-	(,)	-	,␣
lm001:015	15	@	-	tytär␣
lm001:015	16	@	-	Juudalle
lm001:015	-	(.)	-	.␣
lm001:016	lm001:016	lm001:016	VERSE	Val␣1:16␣
lm001:016	2	@	-	Näitä␣
lm001:016	1	%case	PTV	
lm001:016	3	@	-	minä␣
lm001:016	4	@	-	itken
lm001:016	-	(,)	-	,␣
lm001:016	pers%5	@	-	minun␣
lm001:016	5	@	-	silmäni
lm001:016	-	(,)	-	,␣
lm001:016	6	@	-	silmäni␣
lm001:016	7	@	-	vuotaa␣
lm001:016	8	@	-	vettä
lm001:016	-	(;)	-	;␣
lm001:016	9	@	-	sillä␣
lm001:016	10	@	-	kaukana␣
lm001:016	10	@	-	on␣
lm001:016	11	@	-	minusta␣
lm001:016	12	@	-	lohduttaja
lm001:016	-	(,)	-	,␣
lm001:016	-	(@)	-	joka␣
lm001:016	13	@	-	virvoittaisi␣
lm001:016	pers%14	@	-	minun␣
lm001:016	14	@	-	sieluani
lm001:016	-	(.)	-	.␣
lm001:016	17	@	-	Hävitetyt␣
lm001:016	15	@	-	ovat␣
lm001:016	pers%16	@	-	minun␣
lm001:016	16	@	-	lapseni
lm001:016	-	(,)	-	,␣
lm001:016	18	@	-	sillä␣
lm001:016	20	@	-	vihamies␣
lm001:016	19	(@)	-	on␣
lm001:016	19	@	-	väkevä
lm001:016	-	(.)	-	.␣
lm001:017	lm001:017	lm001:017	VERSE	Val␣1:17␣
lm001:017	2	@	-	Siion␣
lm001:017	1	@	-	levittää␣
lm001:017	3b	@	-	käsiänsä
lm001:017	3a	%case	PTV	
lm001:017	-	(:)	-	:␣
lm001:017	4	@	-	ei␣
lm001:017	4	@	-	ole␣
lm001:017	6	@	-	hänellä␣
lm001:017	5	@	-	lohduttajaa
lm001:017	-	(.)	-	.␣
lm001:017	8	@	-	Herra␣
lm001:017	7	(@)	-	on␣
lm001:017	7	@	-	nostattanut␣
lm001:017	9b	@	-	Jaakobia␣
lm001:017	9a	@	-	vastaan␣
lm001:017	pers%11	@	-	sen␣
lm001:017	11	@	-	viholliset␣
lm001:017	10	@	-	joka␣
lm001:017	10	@	-	taholta
lm001:017	-	(;)	-	;␣
lm001:017	13	@	-	Jerusalem␣
lm001:017	12	(@)	-	on␣
lm001:017	12	@	-	tullut␣
lm001:017	14b	@	-	saastaksi␣
lm001:017	14a	%case	TRA	
lm001:017	pers%15	@	-	heidän␣
lm001:017	15	@	-	keskellänsä
lm001:017	-	(.)	-	.␣
lm001:018	lm001:018	lm001:018	VERSE	Val␣1:18␣
lm001:018	1	@	-	Vanhurskas␣
lm001:018	-	(@)	-	on␣
lm001:018	2	@	-	hän
lm001:018	-	(,)	-	,␣
lm001:018	3	@	-	Herra
lm001:018	-	(;)	-	;␣
lm001:018	4	@	-	sillä␣
lm001:018	pers%5	@	-	hänen␣
lm001:018	5	@	-	käskyänsä␣
lm001:018	6	@	-	vastaan␣
lm001:018	6	(@)	-	minä␣
lm001:018	6	(@)	-	olen␣
lm001:018	6	@	-	niskoitellut
lm001:018	-	(.)	-	.␣
lm001:018	7	@	-	Kuulkaa
lm001:018	8	%inflection	ACT.IMP.2P	
lm001:018	-	(,)	-	,␣
lm001:018	-	(@)	-	te␣
lm001:018	(11a) 11b	@	-	kansat␣
lm001:018	9	@	-	kaikki
lm001:018	-	(,)	-	,␣
lm001:018	12a	@	-	ja␣
lm001:018	12b	@	-	katsokaa␣
lm001:018	pers%13	@	-	minun␣
lm001:018	13	@	-	kipuani
lm001:018	-	(:)	-	:␣
lm001:018	pers%14	@	-	minun␣
lm001:018	14	@	-	neitsyeni␣
lm001:018	15a	@	-	ja␣
lm001:018	15b	@	-	nuorukaiseni␣
lm001:018	16	(@)	-	ovat␣
lm001:018	17b	@	-	vankeuteen␣
lm001:018	17a	%case	LOC	
lm001:018	16	@	-	menneet
lm001:018	-	(.)	-	.␣
lm001:019	lm001:019	lm001:019	VERSE	Val␣1:19␣
lm001:019	1	(@)	-	Minä␣
lm001:019	1	@	-	kutsuin␣
lm001:019	2b	@	-	rakastajiani
lm001:019	2a	%case	PTV	
lm001:019	-	(:)	-	:␣
lm001:019	3	@	-	ne␣
lm001:019	4	@	-	pettivät␣
lm001:019	pers%4	@	-	minut
lm001:019	-	(.)	-	.␣
lm001:019	pers%5	@	-	Minun␣
lm001:019	5	@	-	pappini␣
lm001:019	6a	@	-	ja␣
lm001:019	6b	@	-	vanhimpani␣
lm001:019	8	(@)	-	ovat␣
lm001:019	8	@	-	kuolleet␣
lm001:019	7b	@	-	kaupungissa
lm001:019	7a	%case	LOC	
lm001:019	-	(,)	-	,␣
lm001:019	9	@	-	kun␣
lm001:019	10	(@)	-	he␣
lm001:019	10	@	-	etsivät␣
lm001:019	11	@	-	ruokaa␣
lm001:019	(12) (13a)	-	UNTRANSLATED	
lm001:019	13b	@	-	tyydyttääkseen␣
lm001:019	15	@	-	nälkäänsä
lm001:019	14	%case	PTV	
lm001:019	-	(.)	-	.␣
lm001:020	lm001:020	lm001:020	VERSE	Val␣1:20␣
lm001:020	1	@	-	Katso
lm001:020	-	(,)	-	,␣
lm001:020	2	@	-	Herra
lm001:020	-	(,)	-	,␣
lm001:020	3	@	-	kuinka␣
lm001:020	4	@	-	ahdistettu␣
lm001:020	5	@	-	minä␣
lm001:020	4	(@)	-	olen
lm001:020	-	(,)	-	,␣
lm001:020	pers%6	@	-	minun␣
lm001:020	6	@	-	sisukseni␣
lm001:020	7	@	-	kuohuvat
lm001:020	-	(,)	-	,␣
lm001:020	9	@	-	sydämeni␣
lm001:020	8	@	-	vääntyy␣
lm001:020	10b	@	-	rinnassani
lm001:020	10a	%case	LOC	
lm001:020	-	(,)	-	,␣
lm001:020	11	@	-	sillä␣
lm001:020	13	(@)	-	minä␣
lm001:020	12	%case	NOM	
lm001:020	13	(@)	-	olen␣
lm001:020	13	@	-	ollut␣
lm001:020	-	(@)	-	ylen␣
lm001:020	13	@	-	uppiniskainen
lm001:020	-	(.)	-	.␣
lm001:020	14b	@	-	Ulkona␣
lm001:020	14a	%case	?	
lm001:020	15	(@)	-	on␣
lm001:020	16	@	-	miekka␣
lm001:020	-	(@)	-	minulta␣
lm001:020	15	@	-	riistänyt␣
lm001:020	15	@	-	lapset
lm001:020	-	(,)	-	,␣
lm001:020	17b	@	-	sisällä␣
lm001:020	17a	%case	LOC	
lm001:020	18b	@	-	rutto
lm001:020	18a	%case	NOM	
lm001:020	-	(.)	-	.␣
lm001:021	lm001:021	lm001:021	VERSE	Val␣1:21␣
lm001:021	1	(@)	-	He␣
lm001:021	1	(@)	-	ovat␣
lm001:021	1	@	-	kuulleet
lm001:021	-	(,)	-	,␣
lm001:021	2	@	-	kuinka␣
lm001:021	4	@	-	minä␣
lm001:021	3	@	-	huokailen
lm001:021	-	(.)	-	.␣
lm001:021	5	@	-	Ei␣
lm001:021	5	@	-	ole␣
lm001:021	7	@	-	minulla␣
lm001:021	6	@	-	lohduttajaa
lm001:021	-	(.)	-	.␣
lm001:021	8	@	-	Kaikki␣
lm001:021	pers%9	@	-	minun␣
lm001:021	9	@	-	vihamieheni␣
lm001:021	10	(@)	-	ovat␣
lm001:021	10	@	-	kuulleet␣
lm001:021	pers%11	@	-	minun␣
lm001:021	11	@	-	onnettomuuteni
lm001:021	-	(;)	-	;␣
lm001:021	12	(@)	-	he␣
lm001:021	12	@	-	iloitsevat
lm001:021	-	(,)	-	,␣
lm001:021	13	@	-	kun␣
lm001:021	14	@	-	sinä␣
lm001:021	15	(@)	-	olet␣
lm001:021	-	(@)	-	tämän␣
lm001:021	15	@	-	tehnyt
lm001:021	-	(:)	-	:␣
lm001:021	16	(@)	-	sinä␣
lm001:021	16	(@)	-	olet␣
lm001:021	16	(@)	-	antanut␣
lm001:021	16	@	-	tulla␣
lm001:021	-	(@)	-	sen␣
