cl001:001	cl001:001	cl001:001	VERSE	Kol␣1:1␣
cl001:006	cl001:006	cl001:006	VERSE	Kol␣1:6␣
cl001:006	1	@	-	joka␣
cl001:006	2	(@)	-	on␣
cl001:006	2	@	-	tullut␣
cl001:006	4a	@	-	teidän␣
cl001:006	3	@	-	tykönne
cl001:006	4b	,	-	,␣
cl001:006	5	@	-	niinkuin␣
cl001:006	11	(@)	-	se␣
cl001:006	11	@	-	on␣
cl001:006	6	@	-	myös␣
cl001:006	8	@	-	kaikessa␣
cl001:006	10 (9)	@	-	maailmassa
cl001:006	7	%case	LOC	
cl001:006	-	(,)	-	,␣
cl001:006	-	(@)	-	missä␣
cl001:006	-	(@)	-	se␣
cl001:006	12	@	-	kantaa␣
cl001:006	12	@	-	hedelmää␣
cl001:006	13	@	-	ja␣
cl001:006	14	@	-	kasvaa
cl001:006	-	(,)	-	,␣
cl001:006	15	@	-	samoin~kuin␣
cl001:006	18a	@	-	teidänkin␣
cl001:006	16	%clitic	kin	
cl001:006	17	@	-	keskuudessanne␣
cl001:006	20	@	-	siitä␣
cl001:006	21	@	-	päivästä␣
cl001:006	19	@	-	alkaen
cl001:006	-	(,)	-	,␣
cl001:006	20	@	-	jona␣
cl001:006	22	(@)	-	te␣
cl001:006	22	@	-	kuulitte␣
cl001:006	23	@	-	ja␣
cl001:006	24	@	-	opitte␣
cl001:006	24	@	-	tuntemaan␣
cl001:006	(27) 28	@	-	Jumalan␣
cl001:006	(25) 26	@	-	armon␣
cl001:006	30a	@	-	totuudessa
cl001:006	29	%case	LOC	
cl001:006	30b	,	-	,␣
cl001:007	cl001:007	cl001:007	VERSE	Kol␣1:7␣
cl001:007	1	@	-	niinkuin␣
cl001:007	2	(@)	-	te␣
cl001:007	-	(@)	-	sen␣
cl001:007	2	@	-	opitte␣
cl001:007	4	@	-	Epafraalta
cl001:007	3	%case	LOC	
cl001:007	-	(,)	-	,␣
cl001:007	8a	@	-	meidän␣
cl001:007	6	@	-	rakkaalta␣
cl001:007	(5) 7	@	-	kanssapalvelijaltamme
cl001:007	8b	,	-	,␣
cl001:007	9	@	-	joka␣
cl001:007	10	@	-	on␣
cl001:007	11	@	-	uskollinen␣
cl001:007	(15) 16a	@	-	Kristuksen␣
cl001:007	14	@	-	palvelija␣
cl001:007	13	@	-	teidän␣
cl001:007	12	@	-	hyväksenne␣
cl001:008	cl001:008	cl001:008	VERSE	Kol␣1:8␣
cl001:008	2	@	-	ja␣
cl001:008	1	@	-	joka␣
cl001:008	2	@	-	myös␣
cl001:008	3	(@)	-	on␣
cl001:008	3	@	-	kertonut␣
cl001:008	4	@	-	meille␣
cl001:008	6	@	-	teidän␣
cl001:008	(5) 7	@	-	rakkaudestanne␣
cl001:008	9a	@	-	Hengessä
cl001:008	8	%case	LOC	
cl001:008	9b	.	-	.␣
cl001:009	cl001:009	cl001:009	VERSE	Kol␣1:9␣
cl001:009	1 2	@	-	Sentähden␣
cl001:009	9	@	-	emme␣
cl001:009	4a	@	-	mekään
cl001:009	3	%clitic	kAAn	
cl001:009	-	(,)	-	,␣
cl001:009	6	@	-	siitä␣
cl001:009	7	@	-	päivästä␣
cl001:009	5	@	-	alkaen
cl001:009	-	(,)	-	,␣
cl001:009	6	@	-	jona␣
cl001:009	-	(@)	-	sen␣
cl001:009	8a	@	-	kuulimme
cl001:009	-	(,)	-	,␣
cl001:009	10	(@)	-	ole␣
cl001:009	10	@	-	lakanneet␣
cl001:009	12	@	-	teidän␣
cl001:009	11	@	-	edestänne␣
cl001:009	13	@	-	rukoilemasta␣
cl001:009	14	@	-	ja␣
cl001:009	15a	@	-	anomasta
cl001:009	15b	,	-	,␣
cl001:009	16	@	-	että␣
cl001:009	17	@	-	tulisitte␣
cl001:009	17	@	-	täyteen␣
cl001:009	22	@	-	hänen␣
cl001:009	(20) 21	@	-	tahtonsa␣
cl001:009	(18) 19	@	-	tuntemista␣
cl001:009	24	@	-	kaikessa␣
cl001:009	28a	@	-	hengellisessä␣
cl001:009	25	@	-	viisaudessa␣
cl001:009	26	@	-	ja␣
cl001:009	27	@	-	ymmärtämisessä
cl001:009	23	%case	LOC	
cl001:009	28b	,	-	,␣
cl001:010	cl001:010	cl001:010	VERSE	Kol␣1:10␣
cl001:010	1	@	-	vaeltaaksenne␣
cl001:010	(3) 4	@	-	Herran␣
cl001:010	case%4	@	-	edessä␣
cl001:010	2	@	-	arvollisesti
cl001:010	-	(,)	-	,␣
cl001:010	-	(@)	-	hänelle␣
cl001:010	6	@	-	kaikessa␣
cl001:010	7a	@	-	otollisesti
cl001:010	5	%case	MAN	
cl001:010	7b	,	-	,␣
cl001:010	9	@	-	kaikessa␣
cl001:010	11	@	-	hyvässä␣
cl001:010	10	@	-	työssä␣
cl001:010	8	%case	LOC	
cl001:010	12	@	-	hedelmää␣
cl001:010	12	@	-	kantaen␣
cl001:010	13	@	-	ja␣
cl001:010	14	@	-	kasvaen␣
cl001:010	(17) 18a	@	-	Jumalan␣
cl001:010	(15) 16	@	-	tuntemisen␣
cl001:010	case%16	@	-	kautta
cl001:010	18b	,	-	,␣
cl001:011	cl001:011	cl001:011	VERSE	Kol␣1:11␣
cl001:011	-	(@)	-	ja␣
cl001:011	10	@	-	hänen␣
cl001:011	(8) 9	@	-	kirkkautensa␣
cl001:011	(6) 7	@	-	väkevyyden␣
cl001:011	5	@	-	mukaan␣
cl001:011	2	@	-	kaikella␣
cl001:011	3	@	-	voimalla␣
cl001:011	1	%case	LOC	
cl001:011	4	@	-	vahvistettuina␣
cl001:011	-	(@)	-	olemaan␣
cl001:011	12	@	-	kaikessa␣
cl001:011	13	@	-	kestäviä␣
cl001:011	11	%case	PTV	
cl001:011	14	@	-	ja␣
cl001:011	15a	@	-	pitkämielisiä
cl001:011	15b	,	-	,␣
cl001:011	17	@	-	ilolla␣
cl001:011	16	%case	LOC	
cl001:012	cl001:012	cl001:012	VERSE	Kol␣1:12␣
cl001:012	1	@	-	kiittäen␣
cl001:012	(2) 3	@	-	Isää
cl001:012	-	(,)	-	,␣
cl001:012	4	@	-	joka␣
cl001:012	5	(@)	-	on␣
cl001:012	5	@	-	tehnyt␣
cl001:012	6	@	-	teidät␣
cl001:012	5	@	-	soveliaiksi␣
cl001:012	-	(@)	-	olemaan␣
cl001:012	(8) 9	@	-	osalliset␣
cl001:012	7	%case	NOM	
cl001:012	-	(@)	-	siitä␣
cl001:012	(10) 11	@	-	perinnöstä
cl001:012	-	(,)	-	,␣
cl001:012	-	(@)	-	mikä␣
cl001:012	(12) 13	@	-	pyhillä␣
cl001:012	-	(@)	-	on␣
cl001:012	(15) 16a	@	-	valkeudessa
cl001:012	14	%case	LOC	
cl001:012	16b	,	-	,␣
cl001:013	cl001:013	cl001:013	VERSE	Kol␣1:13␣
cl001:013	1	@	-	häntä
cl001:013	-	(,)	-	,␣
cl001:013	1	@	-	joka␣
cl001:013	2	(@)	-	on␣
cl001:013	2	@	-	pelastanut␣
cl001:013	3	@	-	meidät␣
cl001:013	(7) 8	@	-	pimeyden␣
cl001:013	(5) 6	@	-	vallasta␣
cl001:013	4	%case	LOC	
cl001:013	9	@	-	ja␣
cl001:013	10	@	-	siirtänyt␣
cl001:013	-	(@)	-	meidät␣
cl001:013	(16) 17	@	-	rakkaan␣
cl001:013	(14) 15	@	-	Poikansa␣
cl001:013	18a	%pers	3	
cl001:013	(12) 13	@	-	valtakuntaan
cl001:013	11	%case	LOC	
cl001:013	18b	.	-	.␣
cl001:014	cl001:014	cl001:014	VERSE	Kol␣1:14␣
cl001:014	2	@	-	Hänessä␣
cl001:014	1	%case	LOC	
cl001:014	3	(@)	-	meillä␣
cl001:014	3	@	-	on␣
cl001:014	(4) 5a	@	-	lunastus
cl001:014	-	(,)	-	,␣
cl001:014	(8) 9a	@	-	syntien␣
cl001:014	(6) 7	@	-	anteeksisaaminen
cl001:014	9b	,	-	,␣
cl001:015	cl001:015	cl001:015	VERSE	Kol␣1:15␣
cl001:015	-	(@)	-	ja␣
cl001:015	pro%1	@	-	hän␣
cl001:015	2	@	-	on␣
cl001:015	(6) 7a	@	-	näkymättömän␣
cl001:015	(4) 5	@	-	Jumalan␣
cl001:015	3	@	-	kuva
cl001:015	7b	,	-	,␣
cl001:015	8	@	-	esikoinen␣
cl001:015	-	(@)	-	ennen␣
cl001:015	9	@	-	kaikkea␣
cl001:015	10a	@	-	luomakuntaa
cl001:015	10b	.	-	.␣
cl001:016	cl001:016	cl001:016	VERSE	Kol␣1:16␣
cl001:016	1	@	-	Sillä␣
cl001:016	3	@	-	hänessä␣
cl001:016	2	%case	LOC	
cl001:016	4	@	-	luotiin␣
cl001:016	(5) 6	@	-	kaikki
cl001:016	-	(,)	-	,␣
cl001:016	-	(@)	-	mikä␣
cl001:016	(8) 9	@	-	taivaissa␣
cl001:016	7	%case	LOC	
cl001:016	10	@	-	ja␣
cl001:016	-	(@)	-	mikä␣
cl001:016	(12) 13a	@	-	maan␣
cl001:016	11	@	-	päällä␣
cl001:016	-	(@)	-	on
cl001:016	-	(,)	-	,␣
cl001:016	(14) 15	@	-	näkyväiset␣
cl001:016	16	@	-	ja␣
cl001:016	(17) 18a	@	-	näkymättömät
cl001:016	18b	,	-	,␣
cl001:016	19	@	-	olkoot␣
cl001:016	-	(@)	-	ne␣
cl001:016	20	@	-	valtaistuimia␣
cl001:016	21	@	-	tai␣
cl001:016	22	@	-	herrauksia
cl001:016	(23)	-	UNTRANSLATED	
cl001:016	-	(,)	-	,␣
cl001:016	24	@	-	hallituksia␣
cl001:016	25	@	-	tai␣
cl001:016	26a	@	-	valtoja
cl001:016	-	(,)	-	,␣
cl001:016	(27) 28	@	-	kaikki␣
cl001:016	34a	(@)	-	on␣
cl001:016	34a	@	-	luotu␣
cl001:016	30	@	-	hänen␣
cl001:016	29	@	-	kauttansa␣
cl001:016	31	@	-	ja␣
cl001:016	33	@	-	häneen
cl001:016	32	%case	LOC	
cl001:016	34b	,	-	,␣
cl001:017	cl001:017	cl001:017	VERSE	Kol␣1:17␣
cl001:017	1	@	-	ja␣
cl001:017	2	@	-	hän␣
cl001:017	3	@	-	on␣
cl001:017	4	@	-	ennen␣
cl001:017	5	@	-	kaikkia
cl001:017	-	(,)	-	,␣
cl001:017	6	@	-	ja␣
cl001:017	10	@	-	hänessä␣
cl001:017	9	%case	LOC	
cl001:017	11a	@	-	pysyy␣
cl001:017	(7) 8	@	-	kaikki␣
cl001:017	11a	@	-	voimassa
cl001:017	11b	.	-	.␣
cl001:018	cl001:018	cl001:018	VERSE	Kol␣1:18␣
cl001:018	1	@	-	Ja␣
cl001:018	2	@	-	hän␣
cl001:018	3	@	-	on␣
cl001:018	(6) 7	@	-	ruumiin
cl001:018	-	(,)	-	,␣
cl001:018	-	(@)	-	se␣
cl001:018	-	(@)	-	on
cl001:018	-	(:)	-	:␣
cl001:018	(8) 9a	@	-	seurakunnan
cl001:018	-	(,)	-	,␣
cl001:018	(4) 5	@	-	pää
cl001:018	9b	;	-	;␣
cl001:018	10	@	-	hän
cl001:018	-	(,)	-	,␣
cl001:018	10	@	-	joka␣
cl001:018	11	@	-	on␣
cl001:018	12a	@	-	alku
cl001:018	12b	,	-	,␣
cl001:018	13	@	-	esikoinen␣
cl001:018	(15) 16a	@	-	kuolleista␣
cl001:018	(15) 16a	(@)	-	nousseitten␣
cl001:018	14	@	-	joukossa
cl001:018	16b	,	-	,␣
cl001:018	17	@	-	että␣
cl001:018	21	@	-	hän␣
cl001:018	18	@	-	olisi␣
cl001:018	20	@	-	kaikessa␣
cl001:018	19	%case	LOC	
cl001:018	22a	@	-	ensimmäinen
cl001:018	22b	.	-	.␣
cl001:019	cl001:019	cl001:019	VERSE	Kol␣1:19␣
cl001:019	1	@	-	Sillä␣
cl001:019	-	(@)	-	Jumala␣
cl001:019	4	@	-	näki␣
cl001:019	4	@	-	hyväksi
cl001:019	-	(,)	-	,␣
cl001:019	8	(@)	-	että␣
cl001:019	5	@	-	kaikki␣
cl001:019	(6) 7	@	-	täyteys␣
cl001:019	3	@	-	hänessä␣
cl001:019	2	%case	LOC	
cl001:019	8	@	-	asuisi␣
cl001:020	cl001:020	cl001:020	VERSE	Kol␣1:20␣
cl001:020	1	@	-	ja␣
cl001:020	-	(@)	-	että␣
cl001:020	-	(@)	-	hän
cl001:020	-	(,)	-	,␣
cl001:020	10	@	-	tehden␣
cl001:020	10	@	-	rauhan␣
cl001:020	16a	@	-	hänen␣
cl001:020	(14) 15	@	-	ristinsä␣
cl001:020	(12) 13	@	-	veren␣
cl001:020	11	@	-	kautta
cl001:020	-	(,)	-	,␣
cl001:020	3	@	-	hänen␣
cl001:020	2	@	-	kauttaan␣
cl001:020	4	@	-	sovittaisi␣
cl001:020	8	@	-	itsensä␣
cl001:020	7	@	-	kanssa␣
cl001:020	(5) 6	@	-	kaikki
cl001:020	16b 16c	,	-	,␣
cl001:020	18a	@	-	hänen␣
cl001:020	17	@	-	kauttaan␣
cl001:020	pro%20	@	-	kaikki␣
cl001:020	19	@	-	sekä␣
cl001:020	(22) 23	@	-	maan␣
cl001:020	21	@	-	päällä␣
cl001:020	24	@	-	että␣
cl001:020	(25)	-	UNTRANSLATED	
cl001:020	(27) 28a	@	-	taivaissa
cl001:020	26	%case	LOC	
cl001:020	28b	.	-	.␣
cl001:021	cl001:021	cl001:021	VERSE	Kol␣1:21␣
cl001:021	2	@	-	Teidätkin
cl001:021	1	%clitic	kin	
cl001:021	-	(,)	-	,␣
cl001:021	4	(@)	-	jotka␣
cl001:021	3	@	-	ennen␣
cl001:021	4	@	-	olitte␣
cl001:021	5	@	-	vieraantuneet␣
cl001:021	6	@	-	ja␣
cl001:021	(8) 9	@	-	mieleltänne␣
cl001:021	-	(@)	-	hänen␣
cl001:021	7	@	-	vihamiehiänsä␣
cl001:021	(13) 14a	@	-	pahoissa␣
cl001:021	(11) 12	@	-	teoissanne
cl001:021	10	%case	LOC	
cl001:021	-	(,)	-	,␣
cl001:021	3/22	(@)	-	hän␣
cl001:021	1/22	@	-	nyt␣
cl001:021	(2/22)	-	UNTRANSLATED	
cl001:021	3/22	(@)	-	on␣
cl001:021	3/22	@	-	sovittanut␣
cl001:022	cl001:022	cl001:022	VERSE	Kol␣1:22␣
cl001:022	pro%9	@	-	Poikansa␣
cl001:022	(7) 8	@	-	lihan␣
cl001:022	(5) 6	@	-	ruumiissa␣
cl001:022	4	%case	LOC	
cl001:022	(11) 12	@	-	kuoleman␣
cl001:022	10	@	-	kautta
cl001:022	-	(,)	-	,␣
cl001:022	13	@	-	asettaakseen␣
cl001:022	14	@	-	teidät␣
cl001:022	15	@	-	pyhinä␣
cl001:022	16	@	-	ja␣
cl001:022	17	@	-	nuhteettomina␣
cl001:022	18	@	-	ja␣
cl001:022	19	@	-	moitteettomina␣
cl001:022	21a	@	-	eteensä
cl001:022	20	%case	LOC	
cl001:022	21b	,	-	,␣
cl001:023	cl001:023	cl001:023	VERSE	Kol␣1:23␣
cl001:023	1	@	-	jos␣
cl001:023	3	(@)	-	te␣
cl001:023	2	@	-	vain␣
cl001:023	3	@	-	pysytte␣
cl001:023	(4) 5	@	-	uskossa
cl001:023	-	(,)	-	,␣
cl001:023	-	(@)	-	siihen␣
cl001:023	6	@	-	perustuneina␣
cl001:023	7	@	-	ja␣
cl001:023	-	(@)	-	siinä␣
cl001:023	8	@	-	lujina
cl001:023	-	(,)	-	,␣
cl001:023	(9)	-	UNTRANSLATED	
cl001:023	11	@	-	horjahtamatta␣
cl001:023	10	%inflection	INF3.ABE	
cl001:023	12	@	-	pois␣
cl001:023	-	(@)	-	sen␣
cl001:023	(15) 16	@	-	evankeliumin␣
cl001:023	(13) 14	@	-	toivosta
cl001:023	-	(,)	-	,␣
cl001:023	17	@	-	jonka␣
cl001:023	18a	(@)	-	olette␣
cl001:023	18a	@	-	kuulleet
cl001:023	18b	,	-	,␣
cl001:023	19	@	-	jota␣
cl001:023	20	(@)	-	on␣
cl001:023	20	@	-	julistettu␣
cl001:023	22	@	-	kaikessa␣
cl001:023	23	@	-	luomakunnassa␣
cl001:023	21	%case	LOC	
cl001:023	(24)	-	UNTRANSLATED	
cl001:023	(26) 27a	@	-	taivaan␣
cl001:023	25	@	-	alla␣
cl001:023	-	(@)	-	ja␣
cl001:023	28	@	-	jonka␣
cl001:023	32a	@	-	palvelijaksi␣
cl001:023	30	@	-	minä
cl001:023	-	(,)	-	,␣
cl001:023	31	@	-	Paavali
cl001:023	-	(,)	-	,␣
cl001:023	29	(@)	-	olen␣
cl001:023	29	@	-	tullut
cl001:023	32b	.	-	.␣
cl001:024	cl001:024	cl001:024	VERSE	Kol␣1:24␣
cl001:024	1	@	-	Nyt␣
cl001:024	2	(@)	-	minä␣
cl001:024	2	@	-	iloitsen␣
cl001:024	(4) 5	@	-	kärsiessäni␣
cl001:024	3	%case	LOC	
cl001:024	7	@	-	teidän␣
cl001:024	6	@	-	tähtenne
cl001:024	-	(,)	-	,␣
cl001:024	8	@	-	ja␣
cl001:024	-	(@)	-	mikä␣
cl001:024	-	(@)	-	vielä␣
cl001:024	(10) 11	@	-	puuttuu␣
cl001:024	(14) 15	@	-	Kristuksen␣
cl001:024	(12) 13	@	-	ahdistuksista
cl001:024	-	(,)	-	,␣
cl001:024	-	(@)	-	sen␣
cl001:024	9	(@)	-	minä␣
cl001:024	9	@	-	täytän␣
cl001:024	(17) 18	@	-	lihassani␣
cl001:024	19	%pers	?	
cl001:024	16	%case	LOC	
cl001:024	23a	@	-	hänen␣
cl001:024	(21) 22	@	-	ruumiinsa␣
cl001:024	20	@	-	hyväksi
cl001:024	23b	,	-	,␣
cl001:024	24	@	-	joka␣
cl001:024	25	@	-	on␣
cl001:024	(26) 27a	@	-	seurakunta
cl001:024	27b	,	-	,␣
cl001:025	cl001:025	cl001:025	VERSE	Kol␣1:25␣
cl001:025	1	@	-	jonka␣
cl001:025	4	@	-	palvelijaksi␣
cl001:025	3	@	-	minä␣
cl001:025	2	(@)	-	olen␣
cl001:025	2	@	-	tullut␣
cl001:025	(8) 9	@	-	Jumalan␣
cl001:025	(6) 7	@	-	armotalouden␣
cl001:025	5	@	-	mukaan
cl001:025	-	(,)	-	,␣
cl001:025	10	@	-	joka␣
cl001:025	12	@	-	minulle␣
cl001:025	11	(@)	-	on␣
cl001:025	11	@	-	annettu␣
cl001:025	14	@	-	teitä␣
cl001:025	13	@	-	varten
cl001:025	-	(,)	-	,␣
cl001:025	15	@	-	täydellisesti␣
cl001:025	15	@	-	julistaakseni␣
cl001:025	(18) 19a	@	-	Jumalan␣
cl001:025	(16) 17	@	-	sanan
cl001:025	19b	,	-	,␣
cl001:026	cl001:026	cl001:026	VERSE	Kol␣1:26␣
cl001:026	1	@	-	sen␣
cl001:026	2	@	-	salaisuuden
cl001:026	-	(,)	-	,␣
cl001:026	3	@	-	joka␣
cl001:026	4	(@)	-	on␣
cl001:026	4	(@)	-	ollut␣
cl001:026	4	@	-	kätkettynä␣
cl001:026	(6) 7	@	-	ikuisista␣
cl001:026	(6) 7	@	-	ajoista␣
cl001:026	5	%case	LOC	
cl001:026	8	@	-	ja␣
cl001:026	(10) 11a	@	-	polvesta␣
cl001:026	(10) 11a	@	-	polveen
cl001:026	9	%case	LOC	
cl001:026	11b	,	-	,␣
cl001:026	13	@	-	mutta␣
cl001:026	-	(@)	-	joka␣
cl001:026	12	@	-	nyt␣
cl001:026	14	(@)	-	on␣
cl001:026	14	@	-	ilmoitettu␣
cl001:026	17a	@	-	hänen␣
cl001:026	(15) 16	@	-	pyhillensä
cl001:026	17b	,	-	,␣
cl001:027	cl001:027	cl001:027	VERSE	Kol␣1:27␣
cl001:027	1	@	-	joille␣
cl001:027	(3) 4	@	-	Jumala␣
cl001:027	2	@	-	tahtoi␣
cl001:027	5	@	-	tehdä␣
cl001:027	5	@	-	tiettäväksi
cl001:027	-	(,)	-	,␣
cl001:027	6	@	-	kuinka␣
cl001:027	(7) 8	@	-	suuri␣
cl001:027	(15) 16a	@	-	pakanain␣
cl001:027	14	@	-	keskuudessa␣
cl001:027	-	(@)	-	on␣
cl001:027	13	@	-	tämän␣
cl001:027	(11) 12	@	-	salaisuuden␣
cl001:027	10 (9)	@	-	kirkkaus
cl001:027	-	(:)	-	:␣
cl001:027	19	@	-	Kristus␣
cl001:027	(17) (18)	-	UNTRANSLATED	
cl001:027	21a	@	-	teissä
cl001:027	20	%case	LOC	
cl001:027	-	(,)	-	,␣
cl001:027	(24) 25a	@	-	kirkkauden␣
cl001:027	(22) 23	@	-	toivo
cl001:027	25b	.	-	.␣
cl001:028	cl001:028	cl001:028	VERSE	Kol␣1:28␣
cl001:028	-	(@)	-	Ja␣
cl001:028	1	@	-	häntä␣
cl001:028	2	@	-	me␣
cl001:028	3	@	-	julistamme
cl001:028	-	(,)	-	,␣
cl001:028	4	@	-	neuvoen␣
cl001:028	5	@	-	jokaista␣
cl001:028	6	@	-	ihmistä␣
cl001:028	7	@	-	ja␣
cl001:028	8	@	-	opettaen␣
cl001:028	9	@	-	jokaista␣
cl001:028	10	@	-	ihmistä␣
cl001:028	12	@	-	kaikella␣
cl001:028	13a	@	-	viisaudella
cl001:028	11	%case	LOC	
cl001:028	13b	,	-	,␣
cl001:028	15	@	-	asettaaksemme␣
cl001:028	14	%case	TRA	
cl001:028	15	@	-	esiin␣
cl001:028	16	@	-	jokaisen␣
cl001:028	17	@	-	ihmisen␣
cl001:028	18	@	-	täydellisenä␣
cl001:028	20a	@	-	Kristuksessa
cl001:028	19	%case	LOC	
cl001:028	20b	.	-	.␣
cl001:029	cl001:029	cl001:029	VERSE	Kol␣1:29␣
cl001:029	2	@	-	Sitä␣
cl001:029	1	@	-	varten␣
cl001:029	4	(@)	-	minä␣
cl001:029	4	@	-	vaivaa␣
cl001:029	4	@	-	näenkin
cl001:029	3	%clitic	kin	
cl001:029	-	(,)	-	,␣
cl001:029	5	@	-	taistellen␣
cl001:029	9	@	-	hänen␣
cl001:029	(7) 8	@	-	vaikutuksensa␣
cl001:029	6	@	-	mukaan
cl001:029	-	(,)	-	,␣
cl001:029	10	@	-	joka␣
cl001:029	13	@	-	minussa␣
cl001:029	12	%case	LOC	
cl001:029	15a	@	-	voimallisesti␣
cl001:029	14	%case	MAN	
cl001:029	11	@	-	vaikuttaa
cl001:029	15b	.	-	.␣
cl002:001	cl002:001	cl002:001	VERSE	Kol␣2:1␣
cl002:001	2	@	-	Sillä␣
cl002:001	1	(@)	-	minä␣
cl002:001	1	@	-	tahdon
cl002:001	-	(,)	-	,␣
cl002:001	-	(@)	-	että␣
cl002:001	3	@	-	te␣
cl002:001	4	@	-	tiedätte
cl002:001	-	(,)	-	,␣
cl002:001	5	@	-	kuinka␣
cl002:001	5	@	-	suuri␣
cl002:001	6	@	-	kilvoittelu␣
cl002:001	7	(@)	-	minulla␣
cl002:001	7	@	-	on␣
cl002:001	9	@	-	teidän␣
cl002:001	8	@	-	tähtenne␣
cl002:001	10	@	-	ja␣
cl002:001	(11) 13	@	-	laodikealaisten␣
cl002:001	12	%case	GEN	
cl002:001	14	@	-	ja␣
cl002:001	15	@	-	kaikkien␣
cl002:001	-	(@)	-	tähden
cl002:001	-	(;)	-	;␣
cl002:001	15	@	-	jotka␣
cl002:001	16	@	-	eivät␣
cl002:001	17	(@)	-	ole␣
cl002:001	20	@	-	minun␣
cl002:001	22a	@	-	ruumiillisia␣
cl002:001	21	%case	PTV	
cl002:001	(18) 19	@	-	kasvojani␣
cl002:001	17	@	-	nähneet
cl002:001	22b	,	-	,␣
cl002:002	cl002:002	cl002:002	VERSE	Kol␣2:2␣
cl002:002	1	@	-	että␣
cl002:002	5	@	-	heidän␣
cl002:002	(3) 4	@	-	sydämensä
cl002:002	-	(,)	-	,␣
cl002:002	6	@	-	yhteenliittyneinä␣
cl002:002	8	@	-	rakkaudessa
cl002:002	7	%case	LOC	
