pr001:001	pr001:001	pr001:001	VERSE	Snl␣1:1␣
pr001:010	-	(.)	-	.␣
pr001:011	pr001:011	pr001:011	VERSE	Snl␣1:11␣
pr001:011	1	@	-	Jos␣
pr001:011	2	(@)	-	he␣
pr001:011	2	@	-	sanovat
pr001:011	-	(:)	-	:␣
pr001:011	-	(@)	-	"
pr001:011	3	@	-	Lähde␣
pr001:011	4	@	-	mukaamme
pr001:011	-	(!)	-	!␣
pr001:011	5	@	-	Väijykäämme␣
pr001:011	6b	@	-	verta
pr001:011	6a	%case	PTV	
pr001:011	-	(,)	-	,␣
pr001:011	7	@	-	vaanikaamme␣
pr001:011	8b	@	-	viatonta␣
pr001:011	8a	%case	PTV	
pr001:011	9	@	-	syyttömästi
pr001:011	-	(;)	-	;␣
pr001:012	pr001:012	pr001:012	VERSE	Snl␣1:12␣
pr001:012	1	@	-	nielaiskaamme␣
pr001:012	2a	@	-	niinkuin␣
pr001:012	2b	@	-	tuonela␣
pr001:012	pers%1	@	-	heidät␣
pr001:012	3	@	-	elävältä
pr001:012	(4a)	-	UNTRANSLATED	
pr001:012	-	(,)	-	,␣
pr001:012	4b	@	-	ehyeltään
pr001:012	-	(,)	-	,␣
pr001:012	5a	@	-	niinkuin␣
pr001:012	6	@	-	hautaan␣
pr001:012	5b	@	-	vaipuvaiset
pr001:012	-	(;)	-	;␣
pr001:013	pr001:013	pr001:013	VERSE	Snl␣1:13␣
pr001:013	4	(@)	-	me␣
pr001:013	4	@	-	saamme␣
pr001:013	1	@	-	kaikenlaista␣
pr001:013	3	@	-	kallista␣
pr001:013	2	@	-	tavaraa
pr001:013	-	(,)	-	,␣
pr001:013	5	@	-	täytämme␣
pr001:013	6	@	-	talomme␣
pr001:013	7	@	-	saaliilla
pr001:013	-	(;)	-	;␣
pr001:014	pr001:014	pr001:014	VERSE	Snl␣1:14␣
pr001:014	2	@	-	heitä␣
pr001:014	1	@	-	arpasi␣
pr001:014	pers%3b	@	-	meidän␣
pr001:014	3b	@	-	kanssamme
pr001:014	3a	%case	?	
pr001:014	-	(,)	-	,␣
pr001:014	5	@	-	yhteinen␣
pr001:014	4	@	-	kukkaro␣
pr001:014	6	@	-	olkoon␣
pr001:014	pers%7b	@	-	meillä␣
pr001:014	7b	@	-	kaikilla
pr001:014	7a	%case	LOC	
pr001:014	-	(@)	-	"␣
pr001:014	-	(-)	-	-␣
pr001:015	pr001:015	pr001:015	VERSE	Snl␣1:15␣
pr001:015	2	@	-	älä␣
pr001:015	3	@	-	lähde
pr001:015	-	(,)	-	,␣
pr001:015	1	@	-	poikani
pr001:015	-	(,)	-	,␣
pr001:015	-	(@)	-	samalle␣
pr001:015	4b	@	-	tielle␣
pr001:015	4a	%case	LOC	
pr001:015	5	@	-	kuin␣
pr001:015	pers%5	@	-	he
pr001:015	-	(,)	-	,␣
pr001:015	6	@	-	pidätä␣
pr001:015	7	@	-	jalkasi␣
pr001:015	pers%8b	@	-	heidän␣
pr001:015	8b	@	-	poluiltansa
pr001:015	8a	%case	LOC	
pr001:015	-	(.)	-	.␣
pr001:016	pr001:016	pr001:016	VERSE	Snl␣1:16␣
pr001:016	1	@	-	Sillä␣
pr001:016	pers%2	@	-	heidän␣
pr001:016	2	@	-	jalkansa␣
pr001:016	4	@	-	juoksevat␣
pr001:016	3b	@	-	pahuuteen
pr001:016	3a	%case	LOC	
pr001:016	(5a)	-	UNTRANSLATED	
pr001:016	-	(,)	-	,␣
pr001:016	5b	@	-	kiiruhtavat␣
pr001:016	6b	@	-	vuodattamaan␣
pr001:016	6a	%case	LOC	
pr001:016	7	@	-	verta
pr001:016	-	(.)	-	.␣
pr001:017	pr001:017	pr001:017	VERSE	Snl␣1:17␣
pr001:017	1	@	-	Sillä␣
pr001:017	(4a) 4b	@	-	verkko␣
pr001:017	3	(@)	-	on␣
pr001:017	3	@	-	viritetty␣
pr001:017	6	@	-	kaikille␣
pr001:017	7 8	@	-	siivekkäille
pr001:017	-	(,)	-	,␣
pr001:017	-	(@)	-	niin␣
pr001:017	-	(@)	-	että␣
pr001:017	-	(@)	-	ne␣
pr001:017	-	(@)	-	sen␣
pr001:017	5b	@	-	näkevät
pr001:017	5a	%case	?	
pr001:017	-	(.)	-	.␣
pr001:017	-	(-)	-	-␣
pr001:017	-	(@)	-	Mutta␣
pr001:017	2	@	-	turhaan
pr001:017	-	(:)	-	:␣
pr001:018	pr001:018	pr001:018	VERSE	Snl␣1:18␣
pr001:018	(1a)	-	UNTRANSLATED	
pr001:018	pers%2b	@	-	omaa␣
pr001:018	2b	@	-	vertansa␣
pr001:018	2a	%case	PTV	
pr001:018	1b	@	-	he␣
pr001:018	3	@	-	väijyvät
pr001:018	-	(,)	-	,␣
pr001:018	4	@	-	vaanivat␣
pr001:018	pers%5b	@	-	omaa␣
pr001:018	5b	@	-	henkeänsä
pr001:018	5a	%case	PTV	
pr001:018	-	(.)	-	.␣
pr001:019	pr001:019	pr001:019	VERSE	Snl␣1:19␣
pr001:019	1	@	-	Näin␣
pr001:019	2	@	-	käy␣
pr001:019	3	@	-	jokaiselle␣
pr001:019	5	@	-	väärän␣
pr001:019	5	@	-	voiton␣
pr001:019	4	@	-	pyytäjälle
pr001:019	-	(:)	-	:␣
pr001:019	9	(@)	-	se␣
pr001:019	9	@	-	ottaa␣
pr001:019	8	@	-	haltijaltaan␣
pr001:019	7	@	-	hengen
pr001:019	6	%case	GEN	
pr001:019	-	(.)	-	.␣
pr001:020	pr001:020	pr001:020	VERSE	Snl␣1:20␣
pr001:020	1	@	-	Viisaus␣
pr001:020	3	@	-	huutaa␣
pr001:020	2b	@	-	kadulla
pr001:020	2a	%case	LOC	
pr001:020	-	(,)	-	,␣
pr001:020	5	@	-	antaa␣
pr001:020	6	@	-	äänensä␣
pr001:020	5	(@)	-	kuulua␣
pr001:020	4b	@	-	toreilla
pr001:020	4a	%case	LOC	
pr001:020	-	(;)	-	;␣
pr001:021	pr001:021	pr001:021	VERSE	Snl␣1:21␣
pr001:021	2	@	-	meluisten␣
pr001:021	2	(@)	-	katujen␣
pr001:021	1b	@	-	kulmissa␣
pr001:021	1a	%case	LOC	
pr001:021	3	(@)	-	se␣
pr001:021	3	@	-	kutsuu
pr001:021	-	(,)	-	,␣
pr001:021	5	@	-	porttien␣
pr001:021	4b	@	-	ovilta␣
pr001:021	4a	%case	LOC	
pr001:021	6b	@	-	kaupungissa␣
pr001:021	6a	%case	LOC	
pr001:021	7	@	-	sanansa␣
pr001:021	8	@	-	sanoo
pr001:021	-	(:)	-	:␣
pr001:022	pr001:022	pr001:022	VERSE	Snl␣1:22␣
pr001:022	1 2	@	-	Kuinka␣
pr001:022	1 2	@	-	kauan␣
pr001:022	4	(@)	-	te
pr001:022	-	(,)	-	,␣
pr001:022	3	@	-	yksinkertaiset
pr001:022	-	(,)	-	,␣
pr001:022	4	@	-	rakastatte␣
pr001:022	5	@	-	yksinkertaisuutta
pr001:022	-	(,)	-	,␣
pr001:022	6a	@	-	kuinka␣
pr001:022	6a	@	-	kauan␣
pr001:022	6b	@	-	pilkkaajilla␣
pr001:022	8	@	-	on␣
pr001:022	8	@	-	halu␣
pr001:022	7	@	-	pilkkaan␣
pr001:022	(9)	-	UNTRANSLATED	
pr001:022	10a	@	-	ja␣
pr001:022	10b	@	-	tyhmät␣
pr001:022	11	@	-	vihaavat␣
pr001:022	12	@	-	tietoa
pr001:022	-	(?)	-	?␣
pr001:023	pr001:023	pr001:023	VERSE	Snl␣1:23␣
pr001:023	1	@	-	Kääntykää␣
pr001:023	pers%2b	@	-	minun␣
pr001:023	2b	@	-	nuhdeltavikseni
pr001:023	2a	%case	TRA	
pr001:023	-	(.)	-	.␣
pr001:023	3	@	-	Katso
pr001:023	-	(,)	-	,␣
pr001:023	4	(@)	-	minä␣
pr001:023	4	@	-	vuodatan␣
pr001:023	5	@	-	teille␣
pr001:023	6	@	-	henkeäni
pr001:023	-	(,)	-	,␣
pr001:023	7	@	-	saatan␣
pr001:023	8	@	-	sanani␣
pr001:023	7	@	-	tiedoksenne
pr001:023	9	%inflection	SG.TRA.-2	
pr001:023	-	(.)	-	.␣
pr001:024	pr001:024	pr001:024	VERSE	Snl␣1:24␣
pr001:024	1	@	-	Kun␣
pr001:024	2	(@)	-	minä␣
pr001:024	2	@	-	kutsuin␣
pr001:024	3a	@	-	ja␣
pr001:024	3b	(@)	-	te␣
pr001:024	3b	@	-	estelitte
pr001:024	-	(,)	-	,␣
pr001:024	-	(@)	-	kun␣
pr001:024	4	@	-	ojensin␣
pr001:024	5	@	-	kättäni␣
pr001:024	6b	@	-	eikä␣
pr001:024	6a	%clitic	kA	
pr001:024	-	(@)	-	kenkään␣
pr001:024	7	@	-	kuunnellut
pr001:024	-	(,)	-	,␣
pr001:025	pr001:025	pr001:025	VERSE	Snl␣1:25␣
pr001:025	1a	@	-	vaan␣
pr001:025	1b	(@)	-	te␣
pr001:025	1b	@	-	vieroksuitte␣
pr001:025	2	@	-	kaikkia␣
pr001:025	pers%3	@	-	minun␣
pr001:025	3	@	-	neuvojani
pr001:025	-	(,)	-	,␣
pr001:025	5	@	-	ette␣
pr001:025	4a	%inflection	NEGV.2P	
pr001:025	6	@	-	suostuneet␣
pr001:025	pers%4b	@	-	minun␣
pr001:025	4b	@	-	nuhteisiini
pr001:025	-	(,)	-	,␣
pr001:026	pr001:026	pr001:026	VERSE	Snl␣1:26␣
pr001:026	-	(@)	-	niin␣
pr001:026	2	@	-	minäkin␣
pr001:026	1	%clitic	kin	
pr001:026	4	@	-	nauran␣
pr001:026	pers%3b	@	-	teidän␣
pr001:026	3b	@	-	hädällenne
pr001:026	3a	%case	LOC	
pr001:026	-	(,)	-	,␣
pr001:026	5	@	-	pilkkaan
pr001:026	-	(,)	-	,␣
pr001:026	6a	@	-	kun␣
pr001:026	6b	@	-	tulee␣
pr001:026	-	(@)	-	se
pr001:026	-	(,)	-	,␣
pr001:026	-	(@)	-	mitä␣
pr001:026	pers%7	@	-	te␣
pr001:026	7	@	-	kauhistutte
pr001:026	-	(;)	-	;␣
pr001:027	pr001:027	pr001:027	VERSE	Snl␣1:27␣
pr001:027	1a	@	-	kun␣
pr001:027	3b	@	-	myrskynä␣
pr001:027	3a	%case	ESS	
pr001:027	1b	@	-	tulee␣
pr001:027	-	(@)	-	se
pr001:027	-	(,)	-	,␣
pr001:027	-	(@)	-	mitä␣
pr001:027	pers%4	@	-	te␣
pr001:027	4	@	-	kauhistutte
pr001:027	-	(,)	-	,␣
pr001:027	5a	@	-	kun␣
pr001:027	5b	@	-	hätänne␣
pr001:027	7	@	-	saapuu␣
pr001:027	6b	@	-	tuulispäänä
pr001:027	6a	%case	ESS	
pr001:027	-	(,)	-	,␣
pr001:027	8a	@	-	kun␣
pr001:027	9	@	-	päällenne␣
pr001:027	8b	@	-	tulee␣
pr001:027	10	@	-	vaiva␣
pr001:027	11a	@	-	ja␣
pr001:027	11b	@	-	ahdistus
pr001:027	-	(.)	-	.␣
pr001:028	pr001:028	pr001:028	VERSE	Snl␣1:28␣
pr001:028	1	@	-	Silloin␣
pr001:028	2	(@)	-	he␣
pr001:028	pers%2	@	-	minua␣
pr001:028	2	@	-	kutsuvat
pr001:028	-	(,)	-	,␣
pr001:028	3a	@	-	mutta␣
pr001:028	4	(@)	-	minä␣
pr001:028	3b	@	-	en␣
pr001:028	4	@	-	vastaa
pr001:028	-	(,)	-	,␣
pr001:028	5	@	-	etsivät␣
pr001:028	pers%5	@	-	minua
pr001:028	-	(,)	-	,␣
pr001:028	6a	@	-	mutta␣
pr001:028	6b	@	-	eivät␣
pr001:028	7	@	-	löydä
pr001:028	-	(.)	-	.␣
pr001:029	pr001:029	pr001:029	VERSE	Snl␣1:29␣
pr001:029	1 2	@	-	Koska␣
pr001:029	3	(@)	-	he␣
pr001:029	3	@	-	vihasivat␣
pr001:029	4	@	-	tietoa
pr001:029	-	(,)	-	,␣
pr001:029	7	@	-	eivät␣
pr001:029	5a	%inflection	NEGV.3P	
pr001:029	8	@	-	valinneet␣
pr001:029	-	(@)	-	osaksensa␣
pr001:029	6	@	-	Herran␣
pr001:029	5b	@	-	pelkoa␣
pr001:030	pr001:030	pr001:030	VERSE	Snl␣1:30␣
pr001:030	1	@	-	eivätkä␣
pr001:030	2	@	-	suostuneet␣
pr001:030	pers%3b	@	-	minun␣
pr001:030	3b	@	-	neuvooni
pr001:030	3a	%case	LOC	
pr001:030	-	(,)	-	,␣
pr001:030	-	(@)	-	vaan␣
pr001:030	4	@	-	katsoivat␣
pr001:030	5	@	-	kaiken␣
pr001:030	pers%6	@	-	minun␣
pr001:030	6	@	-	nuhteluni␣
pr001:030	4	@	-	halvaksi
pr001:030	-	(,)	-	,␣
pr001:031	pr001:031	pr001:031	VERSE	Snl␣1:31␣
pr001:031	(1a)	-	UNTRANSLATED	
pr001:031	1b	(@)	-	saavat␣
pr001:031	1b	(@)	-	he␣
pr001:031	1b	@	-	syödä␣
pr001:031	pers%3	@	-	oman␣
pr001:031	3	@	-	vaelluksensa␣
pr001:031	2b	@	-	hedelmiä␣
pr001:031	2a	%case	PTV	
pr001:031	4a	@	-	ja␣
pr001:031	5	@	-	saavat␣
pr001:031	5	@	-	kyllänsä␣
pr001:031	pers%4c	@	-	omista␣
pr001:031	4c	@	-	hankkeistaan
pr001:031	4b	%case	LOC	
pr001:031	-	(.)	-	.␣
pr001:032	pr001:032	pr001:032	VERSE	Snl␣1:32␣
pr001:032	1	@	-	Sillä␣
pr001:032	3	@	-	yksinkertaiset␣
pr001:032	4	@	-	tappaa␣
pr001:032	pers%4	@	-	heidän␣
pr001:032	-	(@)	-	oma␣
pr001:032	2	@	-	luopumuksensa
pr001:032	-	(,)	-	,␣
pr001:032	5a	@	-	ja␣
pr001:032	6	@	-	tyhmät␣
pr001:032	7	@	-	tuhoaa␣
pr001:032	pers%7	@	-	heidän␣
pr001:032	-	(@)	-	oma␣
pr001:032	5b	@	-	suruttomuutensa
pr001:032	-	(.)	-	.␣
pr001:033	pr001:033	pr001:033	VERSE	Snl␣1:33␣
pr001:033	1a	@	-	Mutta␣
pr001:033	-	(@)	-	joka␣
pr001:033	2	@	-	minua␣
pr001:033	1b	@	-	kuulee
pr001:033	-	(,)	-	,␣
pr001:033	3	(@)	-	saa␣
pr001:033	3	@	-	asua␣
pr001:033	4	@	-	turvassa␣
pr001:033	5a	@	-	ja␣
pr001:033	5b	@	-	olla␣
pr001:033	5b	@	-	rauhassa␣
pr001:033	7	@	-	onnettomuuden␣
pr001:033	6b	@	-	kauhuilta
pr001:033	6a	%case	LOC	
pr001:033	-	(.)	-	.␣
pr002:001	pr002:001	pr002:001	VERSE	Snl␣2:1␣
pr002:001	1	@	-	Poikani
pr002:001	-	(,)	-	,␣
pr002:001	2	@	-	jos␣
pr002:001	3	(@)	-	sinä␣
pr002:001	3	@	-	otat␣
pr002:001	pers%4	@	-	minun␣
pr002:001	4	@	-	sanani␣
pr002:001	3	(@)	-	varteen␣
pr002:001	5a	@	-	ja␣
pr002:001	6	@	-	kätket␣
pr002:001	7	@	-	mieleesi␣
pr002:001	pers%5b	@	-	minun␣
pr002:001	5b	@	-	käskyni
pr002:001	-	(,)	-	,␣
pr002:002	pr002:002	pr002:002	VERSE	Snl␣2:2␣
pr002:002	1a	@	-	niin␣
pr002:002	1a	@	-	että␣
pr002:002	1b	@	-	herkistät␣
pr002:002	3	@	-	korvasi␣
pr002:002	2b	@	-	viisaudelle␣
pr002:002	2a	%case	LOC	
pr002:002	-	(@)	-	ja␣
pr002:002	4	@	-	taivutat␣
pr002:002	5	@	-	sydämesi␣
pr002:002	6b	@	-	taitoon␣
pr002:002	6a	%case	LOC	
pr002:002	-	(-)	-	-␣
pr002:003	pr002:003	pr002:003	VERSE	Snl␣2:3␣
pr002:003	1	@	-	niin
pr002:003	-	(,)	-	,␣
pr002:003	2	@	-	jos␣
pr002:003	4	@	-	kutsut␣
pr002:003	3b	@	-	ymmärrystä␣
pr002:003	3a	%case	PTV	
pr002:003	-	(@)	-	ja␣
pr002:003	7	@	-	ääneesi␣
pr002:003	6	@	-	huudat␣
pr002:003	5b	@	-	taitoa
pr002:003	5a	%case	PTV	
pr002:003	-	(,)	-	,␣
pr002:004	pr002:004	pr002:004	VERSE	Snl␣2:4␣
pr002:004	1	@	-	jos␣
pr002:004	2	@	-	haet␣
pr002:004	pers%2	@	-	sitä␣
pr002:004	3a	@	-	kuin␣
pr002:004	3b	@	-	hopeata␣
pr002:004	4a	@	-	ja␣
pr002:004	5	@	-	etsit␣
pr002:004	pers%5	@	-	sitä␣
pr002:004	4b	@	-	kuin␣
pr002:004	4c	@	-	aarretta
pr002:004	-	(,)	-	,␣
pr002:005	pr002:005	pr002:005	VERSE	Snl␣2:5␣
pr002:005	1	@	-	silloin␣
pr002:005	2	(@)	-	pääset␣
pr002:005	2	@	-	ymmärtämään␣
pr002:005	4	@	-	Herran␣
pr002:005	3	@	-	pelon␣
pr002:005	5a	@	-	ja␣
pr002:005	7	@	-	löydät␣
pr002:005	6	@	-	Jumalan␣
pr002:005	5b	@	-	tuntemisen
pr002:005	-	(.)	-	.␣
pr002:006	pr002:006	pr002:006	VERSE	Snl␣2:6␣
pr002:006	1	@	-	Sillä␣
pr002:006	2	@	-	Herra␣
pr002:006	3	@	-	antaa␣
pr002:006	4	@	-	viisautta
pr002:006	-	(,)	-	,␣
pr002:006	pers%5b	@	-	hänen␣
pr002:006	5b	@	-	suustansa␣
pr002:006	5a	%case	LOC	
pr002:006	-	(@)	-	lähtee␣
pr002:006	6	@	-	tieto␣
pr002:006	7a	@	-	ja␣
pr002:006	7b	@	-	taito
pr002:006	-	(.)	-	.␣
pr002:007	pr002:007	pr002:007	VERSE	Snl␣2:7␣
pr002:007	3b	@	-	Oikeamielisille␣
pr002:007	3a	%case	LOC	
pr002:007	2	(@)	-	hänellä␣
pr002:007	2	@	-	on␣
pr002:007	2	@	-	tallella␣
pr002:007	4	@	-	pelastus
pr002:007	-	(,)	-	,␣
pr002:007	5	@	-	kilpi␣
pr002:007	7	@	-	nuhteettomasti␣
pr002:007	6b	@	-	vaeltaville
pr002:007	6a	%case	LOC	
pr002:007	-	(,)	-	,␣
pr002:008	pr002:008	pr002:008	VERSE	Snl␣2:8␣
pr002:008	1a	@	-	niin␣
pr002:008	1a	@	-	että␣
pr002:008	1b	(@)	-	hän␣
pr002:008	1b	@	-	suojaa␣
pr002:008	3	@	-	oikeuden␣
pr002:008	2	@	-	polut␣
pr002:008	4a	@	-	ja␣
pr002:008	7	@	-	varjelee␣
pr002:008	6	@	-	hurskaittensa␣
pr002:008	4b	@	-	tien
pr002:008	-	(.)	-	.␣
pr002:009	pr002:009	pr002:009	VERSE	Snl␣2:9␣
pr002:009	1	@	-	Silloin␣
pr002:009	2	@	-	ymmärrät␣
pr002:009	3	@	-	vanhurskauden␣
pr002:009	4a	@	-	ja␣
pr002:009	4b	@	-	oikeuden␣
pr002:009	5a	@	-	ja␣
pr002:009	5b	@	-	vilpittömyyden␣
pr002:009	-	(-)	-	-␣
pr002:009	8	@	-	hyvyyden␣
pr002:009	7	@	-	tien␣
pr002:009	6	@	-	kaiken
pr002:009	-	(;)	-	;␣
pr002:010	pr002:010	pr002:010	VERSE	Snl␣2:10␣
pr002:010	1	@	-	sillä␣
pr002:010	3	@	-	viisaus␣
pr002:010	2	@	-	tulee␣
pr002:010	4b	@	-	sydämeesi
pr002:010	4a	%case	LOC	
pr002:010	-	(,)	-	,␣
pr002:010	5a	@	-	ja␣
pr002:010	5b	@	-	tieto␣
pr002:010	7	@	-	tulee␣
pr002:010	6b	@	-	sielullesi␣
pr002:010	6a	%case	LOC	
pr002:010	7	@	-	suloiseksi
pr002:010	-	(,)	-	,␣
pr002:011	pr002:011	pr002:011	VERSE	Snl␣2:11␣
pr002:011	1	@	-	taidollisuus␣
pr002:011	2	(@)	-	on␣
pr002:011	3	@	-	sinua␣
pr002:011	2	@	-	varjeleva␣
pr002:011	-	(@)	-	ja␣
pr002:011	4	@	-	ymmärrys␣
pr002:011	5	@	-	suojeleva␣
pr002:011	pers%5	@	-	sinut
pr002:011	-	(.)	-	.␣
pr002:012	pr002:012	pr002:012	VERSE	Snl␣2:12␣
pr002:012	1b	(@)	-	Se␣
pr002:012	1b	@	-	pelastaa␣
pr002:012	1a	%case	?	
pr002:012	pers%1b	@	-	sinut␣
pr002:012	3	@	-	pahojen␣
pr002:012	2b	@	-	tiestä
pr002:012	2a	%case	LOC	
pr002:012	-	(,)	-	,␣
pr002:012	4b	@	-	miehestä
pr002:012	4a	%case	LOC	
pr002:012	-	(,)	-	,␣
pr002:012	-	(@)	-	joka␣
pr002:012	6	@	-	kavalasti␣
pr002:012	5	@	-	puhuu
pr002:012	-	(;)	-	;␣
pr002:013	pr002:013	pr002:013	VERSE	Snl␣2:13␣
pr002:013	-	(@)	-	niistä
pr002:013	-	(,)	-	,␣
pr002:013	1a	@	-	jotka␣
pr002:013	1b	(@)	-	ovat␣
pr002:013	1b	@	-	hyljänneet␣
pr002:013	3	@	-	oikeat␣
pr002:013	2	@	-	polut␣
pr002:013	4b	@	-	vaeltaaksensa␣
pr002:013	4a	%case	TRA	
pr002:013	6	@	-	pimeyden␣
pr002:013	5b	@	-	teitä
pr002:013	5a	%case	PTV	
pr002:013	-	(;)	-	;␣
pr002:014	pr002:014	pr002:014	VERSE	Snl␣2:14␣
pr002:014	-	(@)	-	niistä
pr002:014	-	(,)	-	,␣
pr002:014	1a	@	-	jotka␣
pr002:014	1b	@	-	iloitsevat␣
pr002:014	2b 3	@	-	pahanteosta
pr002:014	2a	%case	LOC	
pr002:014	-	(,)	-	,␣
pr002:014	4	@	-	riemuitsevat␣
pr002:014	6	@	-	häijystä␣
pr002:014	5b	@	-	kavaluudesta
pr002:014	5a	%case	LOC	
pr002:014	-	(,)	-	,␣
pr002:015	pr002:015	pr002:015	VERSE	Snl␣2:15␣
pr002:015	1	@	-	joiden␣
pr002:015	2	@	-	polut␣
pr002:015	-	(@)	-	ovat␣
pr002:015	3	@	-	mutkaiset␣
pr002:015	4a	@	-	ja␣
pr002:015	-	(@)	-	jotka␣
pr002:015	4b	@	-	joutuvat␣
pr002:015	4b	@	-	väärään␣
pr002:015	5b	@	-	teillänsä
pr002:015	5a	%case	LOC	
pr002:015	-	(.)	-	.␣
pr002:015	-	(-)	-	-␣
pr002:016	pr002:016	pr002:016	VERSE	Snl␣2:16␣
pr002:016	1b	(@)	-	Se␣
pr002:016	1b	@	-	pelastaa␣
pr002:016	1a	%case	?	
pr002:016	pers%1b	@	-	sinut␣
pr002:016	3	@	-	irstaasta␣
pr002:016	2b	@	-	naisesta
