ac001:001	ac001:001	ac001:001	VERSE	Apt␣1:1␣
ac001:004	-	(@)	-	"
ac001:004	7	@	-	Älkää␣
ac001:004	8	@	-	lähtekö␣
ac001:004	6	@	-	Jerusalemista
ac001:004	5	%case	LOC	
ac001:004	-	(,)	-	,␣
ac001:004	9	@	-	vaan␣
ac001:004	10	@	-	odottakaa␣
ac001:004	(13) 14	@	-	Isältä␣
ac001:004	-	(@)	-	sen␣
ac001:004	(11) 12	@	-	lupauksen␣
ac001:004	-	(@)	-	täyttymistä
ac001:004	-	(,)	-	,␣
ac001:004	15	@	-	jonka␣
ac001:004	-	(@)	-	te␣
ac001:004	16	(@)	-	olette␣
ac001:004	17a	@	-	minulta␣
ac001:004	16	@	-	kuulleet
ac001:004	17b	.	-	.␣
ac001:005	ac001:005	ac001:005	VERSE	Apt␣1:5␣
ac001:005	1	@	-	Sillä␣
ac001:005	2	@	-	Johannes␣
ac001:005	(3)	-	UNTRANSLATED	
ac001:005	4	@	-	kastoi␣
ac001:005	5a	@	-	vedellä
ac001:005	5b	,	-	,␣
ac001:005	7	@	-	mutta␣
ac001:005	6	@	-	teidät␣
ac001:005	10	@	-	kastetaan␣
ac001:005	11	@	-	Pyhällä␣
ac001:005	9	@	-	Hengellä
ac001:005	8	%case	LOC	
ac001:005	-	(,)	-	,␣
ac001:005	12	@	-	ei␣
ac001:005	14	@	-	kauan␣
ac001:005	15	@	-	näitten␣
ac001:005	16a	@	-	päivien␣
ac001:005	13	@	-	jälkeen
ac001:005	16b	.	-	.
ac001:005	16b	@	-	"␣
ac001:006	ac001:006	ac001:006	VERSE	Apt␣1:6␣
ac001:006	2 3	@	-	Niin␣
ac001:006	1	@	-	he␣
ac001:006	4	@	-	ollessansa␣
ac001:006	4	@	-	koolla␣
ac001:006	5	@	-	kysyivät␣
ac001:006	6	@	-	häneltä␣
ac001:006	7a	@	-	sanoen
ac001:006	7b	:	-	:␣
ac001:006	7b	@	-	"
ac001:006	8a	@	-	Herra
ac001:006	8b	,	-	,␣
ac001:006	13	@	-	tälläkö␣
ac001:006	9	%clitic	kO	
ac001:006	(11) 12	@	-	ajalla␣
ac001:006	10	%case	LOC	
ac001:006	14	(@)	-	sinä␣
ac001:006	14	@	-	jälleen␣
ac001:006	14	@	-	rakennat␣
ac001:006	(17) 18a	@	-	Israelille␣
ac001:006	(15) 16	@	-	valtakunnan
ac001:006	-	(?)	-	?
ac001:006	18b	@	-	"␣
ac001:007	ac001:007	ac001:007	VERSE	Apt␣1:7␣
ac001:007	1	(@)	-	Hän␣
ac001:007	1	@	-	sanoi␣
ac001:007	(2)	-	UNTRANSLATED	
ac001:007	4a	@	-	heille
ac001:007	3	%case	LOC	
ac001:007	4b	:	-	:␣
ac001:007	4b	@	-	"
ac001:007	5	@	-	Ei␣
ac001:007	7	@	-	ole␣
ac001:007	6	@	-	teidän␣
ac001:007	-	(@)	-	asianne␣
ac001:007	8	@	-	tietää␣
ac001:007	9	@	-	aikoja␣
ac001:007	10	@	-	eikä␣
ac001:007	11	@	-	hetkiä
ac001:007	-	(,)	-	,␣
ac001:007	12	@	-	jotka␣
ac001:007	(13) 14	@	-	Isä␣
ac001:007	18	@	-	oman␣
ac001:007	(17) 19a	@	-	valtansa␣
ac001:007	pro%16	@	-	voimalla␣
ac001:007	15	(@)	-	on␣
ac001:007	15	@	-	asettanut
ac001:007	19b	,	-	,␣
ac001:008	ac001:008	ac001:008	VERSE	Apt␣1:8␣
ac001:008	1	@	-	vaan
ac001:008	-	(,)	-	,␣
ac001:008	-	(@)	-	kun␣
ac001:008	6	@	-	Pyhä␣
ac001:008	(5) 7	@	-	Henki␣
ac001:008	4	@	-	tulee␣
ac001:008	9	@	-	teihin
ac001:008	8	%case	LOC	
ac001:008	-	(,)	-	,␣
ac001:008	-	(@)	-	niin␣
ac001:008	2	(@)	-	te␣
ac001:008	2	@	-	saatte␣
ac001:008	3	@	-	voiman
ac001:008	-	(,)	-	,␣
ac001:008	10	@	-	ja␣
ac001:008	11	(@)	-	te␣
ac001:008	tasp%11	@	-	tulette␣
ac001:008	11	@	-	olemaan␣
ac001:008	12	@	-	minun␣
ac001:008	13	@	-	todistajani␣
ac001:008	15	@	-	sekä␣
ac001:008	16	@	-	Jerusalemissa␣
ac001:008	14	%case	LOC	
ac001:008	17a	@	-	että␣
ac001:008	19	@	-	koko␣
ac001:008	(20) 21	@	-	Juudeassa␣
ac001:008	18a	%case	LOC	
ac001:008	22	@	-	ja␣
ac001:008	23	@	-	Samariassa␣
ac001:008	24	@	-	ja␣
ac001:008	-	(@)	-	aina␣
ac001:008	(27) 28a	@	-	maan␣
ac001:008	26	@	-	ääriin␣
ac001:008	25	@	-	saakka
ac001:008	28b	@	-	"
ac001:008	28b	.	-	.␣
ac001:009	ac001:009	ac001:009	VERSE	Apt␣1:9␣
ac001:009	3	(@)	-	Kun␣
ac001:009	(1)	-	UNTRANSLATED	
ac001:009	3	(@)	-	hän␣
ac001:009	3	(@)	-	oli␣
ac001:009	2	@	-	tämän␣
ac001:009	3	@	-	sanonut
ac001:009	-	(,)	-	,␣
ac001:009	6	@	-	kohotettiin␣
ac001:009	6	(@)	-	hänet␣
ac001:009	6	@	-	ylös␣
ac001:009	5	@	-	heidän␣
ac001:009	4	@	-	nähtensä
ac001:009	-	(,)	-	,␣
ac001:009	7	@	-	ja␣
ac001:009	8	@	-	pilvi␣
ac001:009	9	@	-	vei␣
ac001:009	10	@	-	hänet␣
ac001:009	9	@	-	pois␣
ac001:009	14a	@	-	heidän␣
ac001:009	(12) 13	@	-	näkyvistään
ac001:009	11	%case	LOC	
ac001:009	14b	.	-	.␣
ac001:010	ac001:010	ac001:010	VERSE	Apt␣1:10␣
ac001:010	1	@	-	Ja␣
ac001:010	2	@	-	kun␣
ac001:010	3	(@)	-	he␣
ac001:010	3	@	-	katselivat␣
ac001:010	4	%tasp	PAST	
ac001:010	(6) 7	@	-	taivaalle␣
ac001:010	5	%case	LOC	
ac001:010	9a	@	-	hänen␣
ac001:010	8	@	-	mennessään
ac001:010	9b	,	-	,␣
ac001:010	10	@	-	niin␣
ac001:010	11	@	-	katso
ac001:010	-	(,)	-	,␣
ac001:010	15	@	-	heidän␣
ac001:010	14	@	-	tykönänsä␣
ac001:010	14	@	-	seisoi␣
ac001:010	13	@	-	kaksi␣
ac001:010	12	@	-	miestä␣
ac001:010	18a	@	-	valkeissa␣
ac001:010	17	@	-	vaatteissa
ac001:010	16	%case	LOC	
ac001:010	18b	;	-	;␣
ac001:011	ac001:011	ac001:011	VERSE	Apt␣1:11␣
ac001:011	2	@	-	ja␣
ac001:011	1	@	-	nämä␣
ac001:011	3a	@	-	sanoivat
ac001:011	3b	:	-	:␣
ac001:011	3b	@	-	"
ac001:011	5a	@	-	Galilean␣
ac001:011	4	@	-	miehet
ac001:011	5b	,	-	,␣
ac001:011	6	@	-	mitä␣
ac001:011	7	(@)	-	te␣
ac001:011	7	@	-	seisotte␣
ac001:011	-	(@)	-	ja␣
ac001:011	9	@	-	katsotte␣
ac001:011	(11) 12a	@	-	taivaalle
ac001:011	10	%case	LOC	
ac001:011	-	(?)	-	?␣
ac001:011	13	@	-	Tämä␣
ac001:011	(14) 15	@	-	Jeesus
ac001:011	-	(,)	-	,␣
ac001:011	16	@	-	joka␣
ac001:011	17	@	-	otettiin␣
ac001:011	19	@	-	teiltä␣
ac001:011	18	%case	LOC	
ac001:011	17	@	-	ylös␣
ac001:011	(21) 22	@	-	taivaaseen
ac001:011	20	%case	LOC	
ac001:011	-	(,)	-	,␣
ac001:011	24	(@)	-	on␣
ac001:011	24	@	-	tuleva␣
ac001:011	pro%25	@	-	samalla␣
ac001:011	26	@	-	tavalla
ac001:011	-	(,)	-	,␣
ac001:011	23	@	-	kuin␣
ac001:011	27	(@)	-	te␣
ac001:011	27	@	-	näitte␣
ac001:011	28	@	-	hänen␣
ac001:011	(31) 32a	@	-	taivaaseen␣
ac001:011	30	%case	LOC	
ac001:011	29	@	-	menevän
ac001:011	32b	.	-	.
ac001:011	32b	@	-	"␣
ac001:012	ac001:012	ac001:012	VERSE	Apt␣1:12␣
ac001:012	1	@	-	Silloin␣
ac001:012	2	(@)	-	he␣
ac001:012	2	@	-	palasivat␣
ac001:012	4	@	-	Jerusalemiin␣
ac001:012	3	%case	LOC	
ac001:012	6	@	-	vuorelta
ac001:012	5	%case	LOC	
ac001:012	-	(,)	-	,␣
ac001:012	7	@	-	jota␣
ac001:012	8	@	-	kutsutaan␣
ac001:012	9a	@	-	Öljymäeksi␣
ac001:012	-	(@)	-	ja␣
ac001:012	10	@	-	joka␣
ac001:012	11	@	-	on␣
ac001:012	12	@	-	lähellä␣
ac001:012	13	@	-	Jerusalemia
ac001:012	-	(,)	-	,␣
ac001:012	14 16a	@	-	sapatinmatkan␣
ac001:012	pro%15	@	-	päässä
ac001:012	16b	.	-	.␣
ac001:013	ac001:013	ac001:013	VERSE	Apt␣1:13␣
ac001:013	1	@	-	Ja␣
ac001:013	2	@	-	kun␣
ac001:013	3a	(@)	-	he␣
ac001:013	3a	(@)	-	olivat␣
ac001:013	3a	@	-	tulleet␣
ac001:013	-	(@)	-	kaupunkiin
ac001:013	3b	,	-	,␣
ac001:013	7	@	-	menivät␣
ac001:013	7	(@)	-	he␣
ac001:013	5	@	-	siihen␣
ac001:013	6	@	-	yläsaliin
ac001:013	4	%case	LOC	
ac001:013	-	(,)	-	,␣
ac001:013	8	@	-	jossa␣
ac001:013	10a	(@)	-	he␣
ac001:013	pro%9	@	-	tavallisesti␣
ac001:013	10a	@	-	oleskelivat
ac001:013	-	(:)	-	:␣
ac001:013	(12)	-	UNTRANSLATED	
ac001:013	(11) 13	@	-	Pietari␣
ac001:013	14	@	-	ja␣
ac001:013	15	@	-	Johannes␣
ac001:013	16	@	-	ja␣
ac001:013	17	@	-	Jaakob␣
ac001:013	18	@	-	ja␣
ac001:013	19a	@	-	Andreas
ac001:013	19b	,	-	,␣
ac001:013	20	@	-	Filippus␣
ac001:013	21	@	-	ja␣
ac001:013	22a	@	-	Tuomas
ac001:013	22b	,	-	,␣
ac001:013	23	@	-	Bartolomeus␣
ac001:013	24	@	-	ja␣
ac001:013	25a	@	-	Matteus
ac001:013	25b	,	-	,␣
ac001:013	26	@	-	Jaakob␣
ac001:013	27	@	-	Alfeuksen␣
ac001:013	-	(@)	-	poika␣
ac001:013	28	@	-	ja␣
ac001:013	29	@	-	Simon
ac001:013	-	(,)	-	,␣
ac001:013	(30) 31	@	-	kiivailija
ac001:013	-	(,)	-	,␣
ac001:013	32	@	-	ja␣
ac001:013	33	@	-	Juudas␣
ac001:013	34a	@	-	Jaakobin␣
ac001:013	-	(@)	-	poika
ac001:013	34b	.	-	.␣
ac001:014	ac001:014	ac001:014	VERSE	Apt␣1:14␣
ac001:014	1	@	-	Nämä␣
ac001:014	2	@	-	kaikki␣
ac001:014	4	@	-	pysyivät␣
ac001:014	3	%tasp	PAST	
ac001:014	5	@	-	yksimielisesti␣
ac001:014	(6) 7	@	-	rukouksessa␣
ac001:014	9	@	-	vaimojen␣
ac001:014	8	@	-	kanssa␣
ac001:014	10	@	-	ja␣
ac001:014	11	@	-	Marian
ac001:014	-	(,)	-	,␣
ac001:014	(14) 15	@	-	Jeesuksen␣
ac001:014	(12) 13	@	-	äidin
ac001:014	-	(,)	-	,␣
ac001:014	-	(@)	-	kanssa␣
ac001:014	16	@	-	ja␣
ac001:014	pro%19a	@	-	Jeesuksen␣
ac001:014	19a	%pers	?	
ac001:014	(17) 18	@	-	veljien␣
ac001:014	-	(@)	-	kanssa
ac001:014	19b	.	-	.␣
ac001:015	ac001:015	ac001:015	VERSE	Apt␣1:15␣
ac001:015	1	@	-	Ja␣
ac001:015	5	@	-	niinä␣
ac001:015	(3) 4	@	-	päivinä␣
ac001:015	2	%case	ESS	
ac001:015	7	@	-	Pietari␣
ac001:015	6	@	-	nousi␣
ac001:015	(10) 11	@	-	veljien␣
ac001:015	9	@	-	keskellä
ac001:015	8	%case	LOC	
ac001:015	-	(,)	-	,␣
ac001:015	pro%14	@	-	kun␣
ac001:015	13	@	-	oli␣
ac001:015	15	@	-	väkeä␣
ac001:015	(18) 19	@	-	koolla␣
ac001:015	17	%case	LOC	
ac001:015	20	@	-	noin␣
ac001:015	21 22a	@	-	sata␣
ac001:015	21 22a	@	-	kaksikymmentä␣
ac001:015	16	@	-	henkeä
ac001:015	-	(,)	-	,␣
ac001:015	-	(@)	-	ja␣
ac001:015	12a	@	-	sanoi
ac001:015	22b	:	-	:␣
ac001:016	ac001:016	ac001:016	VERSE	Apt␣1:16␣
ac001:016	-	(@)	-	"
ac001:016	1	@	-	Miehet
ac001:016	-	(,)	-	,␣
ac001:016	2a	@	-	veljet
ac001:016	2b	,	-	,␣
ac001:016	5	@	-	sen␣
ac001:016	6	@	-	raamatunsanan␣
ac001:016	3	@	-	piti␣
ac001:016	4	@	-	käymän␣
ac001:016	4	@	-	toteen
ac001:016	-	(,)	-	,␣
ac001:016	7	@	-	jonka␣
ac001:016	(11) 12	@	-	Pyhä␣
ac001:016	10 (9)	@	-	Henki␣
ac001:016	8	(@)	-	on␣
ac001:016	15	@	-	Daavidin␣
ac001:016	14	@	-	suun␣
ac001:016	13	@	-	kautta␣
ac001:016	8	@	-	edeltä␣
ac001:016	8	@	-	puhunut␣
ac001:016	17	@	-	Juudaasta
ac001:016	16	%case	LOC	
ac001:016	-	(,)	-	,␣
ac001:016	18	@	-	joka␣
ac001:016	19	@	-	rupesi␣
ac001:016	21	@	-	niiden␣
ac001:016	20	@	-	oppaaksi
ac001:016	-	(,)	-	,␣
ac001:016	21	@	-	jotka␣
ac001:016	22	@	-	ottivat␣
ac001:016	22	@	-	kiinni␣
ac001:016	23a	@	-	Jeesuksen
ac001:016	23b	.	-	.␣
ac001:017	ac001:017	ac001:017	VERSE	Apt␣1:17␣
ac001:017	1	@	-	Sillä␣
ac001:017	4	(@)	-	hän␣
ac001:017	4	@	-	oli␣
ac001:017	6	@	-	meidän␣
ac001:017	5	@	-	joukkoomme␣
ac001:017	3	@	-	luettu␣
ac001:017	7	@	-	ja␣
ac001:017	8	(@)	-	oli␣
ac001:017	8	@	-	saanut␣
ac001:017	10 (9)	@	-	osalleen␣
ac001:017	13a	@	-	tämän␣
ac001:017	(11) 12	@	-	viran
ac001:017	13b	.	-	.␣
ac001:018	ac001:018	ac001:018	VERSE	Apt␣1:18␣
ac001:018	1	@	-	Hän␣
ac001:018	(2) (3)	-	UNTRANSLATED	
ac001:018	4	@	-	hankki␣
ac001:018	4	@	-	itsellensä␣
ac001:018	5	@	-	pellon␣
ac001:018	(8) 9	@	-	väärintekonsa␣
ac001:018	7	@	-	palkalla
ac001:018	6	%case	LOC	
ac001:018	-	(,)	-	,␣
ac001:018	10	@	-	ja␣
ac001:018	13	(@)	-	hän␣
ac001:018	11 12	@	-	suistui␣
ac001:018	11 12	@	-	alas␣
ac001:018	-	(@)	-	ja␣
ac001:018	13	@	-	pakahtui␣
ac001:018	14	@	-	keskeltä
ac001:018	-	(,)	-	,␣
ac001:018	15	@	-	niin␣
ac001:018	-	(@)	-	että␣
ac001:018	17	@	-	kaikki␣
ac001:018	20a	@	-	hänen␣
ac001:018	(18) 19	@	-	sisälmyksensä␣
ac001:018	16	@	-	valuivat␣
ac001:018	16	@	-	ulos
ac001:018	20b	.	-	.␣
ac001:019	ac001:019	ac001:019	VERSE	Apt␣1:19␣
ac001:019	1	@	-	Ja␣
ac001:019	3	(@)	-	se␣
ac001:019	3	@	-	tuli␣
ac001:019	4	@	-	kaikkien␣
ac001:019	7a	@	-	Jerusalemin␣
ac001:019	(5) 6	@	-	asukasten␣
ac001:019	2	@	-	tietoon
ac001:019	7b	;	-	;␣
ac001:019	8	@	-	ja␣
ac001:019	8	@	-	niin␣
ac001:019	12	@	-	sitä␣
ac001:019	(10) 11	@	-	peltoa␣
ac001:019	9	@	-	kutsutaan␣
ac001:019	16	@	-	heidän␣
ac001:019	(13) 15	@	-	kielellään␣
ac001:019	14	%case	LOC	
ac001:019	17a	@	-	Akeldamaksi
ac001:019	17b	,	-	,␣
ac001:019	18	@	-	se␣
ac001:019	19	@	-	on
ac001:019	-	(:)	-	:␣
ac001:019	20 21a	@	-	Veripelloksi
ac001:019	21b	.	-	.␣
ac001:020	ac001:020	ac001:020	VERSE	Apt␣1:20␣
ac001:020	2	@	-	Sillä␣
ac001:020	5a	@	-	psalmien␣
ac001:020	(3) 4	@	-	kirjassa␣
ac001:020	1	(@)	-	on␣
ac001:020	1	@	-	kirjoitettuna
ac001:020	5b	:	-	:␣
ac001:020	5b	@	-	'
ac001:020	6	@	-	Tulkoon␣
ac001:020	9	@	-	hänen␣
ac001:020	(7) 8	@	-	talonsa␣
ac001:020	10	@	-	autioksi
ac001:020	-	(,)	-	,␣
ac001:020	12	@	-	älköönkä␣
ac001:020	11	%clitic	kA	
ac001:020	17a	@	-	siinä␣
ac001:020	16	%case	LOC	
ac001:020	(14) 15	@	-	asukasta␣
ac001:020	13	@	-	olko
ac001:020	17b	@	-	'
ac001:020	17b	,	-	,␣
ac001:020	18a	@	-	ja
ac001:020	18b	:	-	:␣
ac001:020	18b	@	-	'
ac001:020	22	@	-	Ottakoon␣
ac001:020	23a	@	-	toinen␣
ac001:020	21	@	-	hänen␣
ac001:020	(19) 20	@	-	kaitsijatoimensa
ac001:020	23b	@	-	'
ac001:020	23b	.	-	.␣
ac001:021	ac001:021	ac001:021	VERSE	Apt␣1:21␣
ac001:021	2	@	-	Niin␣
ac001:021	1	@	-	pitää␣
ac001:021	2	@	-	siis␣
ac001:021	20/22	@	-	yhden␣
ac001:021	21a/22	@	-	niistä␣
ac001:021	6	@	-	miehistä
ac001:021	-	(,)	-	,␣
ac001:021	3	@	-	jotka␣
ac001:021	4	(@)	-	ovat␣
ac001:021	4	@	-	vaeltaneet␣
ac001:021	5	@	-	meidän␣
ac001:021	4	@	-	kanssamme␣
ac001:021	8	@	-	kaiken␣
ac001:021	-	(@)	-	sen␣
ac001:021	9	@	-	ajan
ac001:021	7	%case	GEN	
ac001:021	-	(,)	-	,␣
ac001:021	10	@	-	jona␣
ac001:021	(16) 17	@	-	Herra␣
ac001:021	18a	@	-	Jeesus␣
ac001:021	11	@	-	kävi␣
ac001:021	11	@	-	sisälle␣
ac001:021	12	@	-	ja␣
ac001:021	13	@	-	ulos␣
ac001:021	15	@	-	meidän␣
ac001:021	14	@	-	tykönämme
ac001:021	-	(,)	-	,␣
ac001:022	ac001:022	ac001:022	VERSE	Apt␣1:22␣
ac001:022	5	@	-	Johanneksen␣
ac001:022	(3) 4	@	-	kasteesta␣
ac001:022	2	%case	LOC	
ac001:022	1	@	-	alkaen␣
ac001:022	6	@	-	hamaan␣
ac001:022	7	@	-	siihen␣
ac001:022	8	@	-	päivään
ac001:022	-	(,)	-	,␣
ac001:022	9	@	-	jona␣
ac001:022	10	(@)	-	hänet␣
ac001:022	12a	@	-	meiltä␣
ac001:022	11	%case	LOC	
ac001:022	10	@	-	otettiin␣
ac001:022	10	@	-	ylös
ac001:022	-	(,)	-	,␣
ac001:022	19	@	-	tuleman␣
ac001:022	16	@	-	hänen␣
ac001:022	(14) 15	@	-	ylösnousemisensa␣
ac001:022	13	@	-	todistajaksi␣
ac001:022	18	@	-	meidän␣
ac001:022	17	@	-	kanssamme
ac001:022	21b	.	-	.
ac001:022	21b	@	-	"␣
ac001:023	ac001:023	ac001:023	VERSE	Apt␣1:23␣
ac001:023	1	@	-	Ja␣
ac001:023	2	(@)	-	he␣
ac001:023	2	@	-	asettivat␣
ac001:023	2	@	-	ehdolle␣
ac001:023	3a	@	-	kaksi
ac001:023	3b	,	-	,␣
ac001:023	4	@	-	Joosefin
ac001:023	-	(,)	-	,␣
ac001:023	5	@	-	jota␣
ac001:023	6	@	-	kutsuttiin␣
ac001:023	7	@	-	Barsabbaaksi
ac001:023	-	(,)	-	,␣
ac001:023	(8)	-	UNTRANSLATED	
ac001:023	9	@	-	lisänimeltä␣
ac001:023	10a	@	-	Justukseksi
ac001:023	10b	,	-	,␣
ac001:023	11	@	-	ja␣
ac001:023	12a	@	-	Mattiaan
ac001:023	12b	.	-	.␣
ac001:024	ac001:024	ac001:024	VERSE	Apt␣1:24␣
ac001:024	1	@	-	Ja␣
ac001:024	2	(@)	-	he␣
ac001:024	2	@	-	rukoilivat␣
ac001:024	-	(@)	-	ja␣
ac001:024	3a	@	-	sanoivat
ac001:024	3b	:	-	:␣
ac001:024	3b	@	-	"
ac001:024	5	@	-	Herra
ac001:024	-	(,)	-	,␣
ac001:024	4	@	-	sinä
ac001:024	-	(,)	-	,␣
ac001:024	6	(@)	-	joka␣
ac001:024	7a	@	-	kaikkien␣
ac001:024	6	@	-	sydämet␣
ac001:024	6	@	-	tunnet
ac001:024	7b	,	-	,␣
ac001:024	8	@	-	osoita
ac001:024	-	(,)	-	,␣
ac001:024	15	@	-	kummanko␣
ac001:024	9	%case	GEN	
ac001:024	12	@	-	näistä␣
ac001:024	11	%case	LOC	
ac001:024	(13) 14	@	-	kahdesta␣
ac001:024	10	(@)	-	sinä␣
ac001:024	10	(@)	-	olet␣
ac001:024	10	@	-	valinnut␣
ac001:025	ac001:025	ac001:025	VERSE	Apt␣1:25␣
ac001:025	1	@	-	ottamaan␣
ac001:025	2	@	-	sen␣
ac001:025	3	@	-	paikan␣
ac001:025	6	@	-	tässä␣
ac001:025	(4) 5	@	-	palveluksessa␣
ac001:025	7	@	-	ja␣
ac001:025	8	@	-	apostolinvirassa
ac001:025	-	(,)	-	,␣
ac001:025	10	@	-	josta␣
ac001:025	9	%case	LOC	
ac001:025	12	@	-	Juudas␣
ac001:025	11	@	-	vilpistyi␣
ac001:025	11	@	-	pois
ac001:025	-	(,)	-	,␣
ac001:025	13	@	-	mennäkseen␣
ac001:025	(17) 18a	@	-	omaan␣
ac001:025	(15) 16	@	-	paikkaansa
ac001:025	14	%case	LOC	
ac001:025	18b	@	-	"
ac001:025	18b	.	-	.␣
ac001:026	ac001:026	ac001:026	VERSE	Apt␣1:26␣
ac001:026	1	@	-	Ja␣
ac001:026	2	(@)	-	he␣
ac001:026	2	@	-	heittivät␣
ac001:026	4	@	-	heistä␣
ac001:026	3	@	-	arpaa
ac001:026	-	(,)	-	,␣
ac001:026	5	@	-	ja␣
ac001:026	(7) 8	@	-	arpa␣
ac001:026	6	@	-	lankesi␣
ac001:026	10	@	-	Mattiaalle
ac001:026	9	%case	LOC	
ac001:026	-	(,)	-	,␣
ac001:026	11	@	-	ja␣
ac001:026	12	(@)	-	hänet␣
ac001:026	12	@	-	luettiin␣
ac001:026	14	@	-	niiden␣
ac001:026	15	@	-	yhdentoista␣
ac001:026	13	@	-	kanssa␣
ac001:026	16a	@	-	apostolien␣
ac001:026	12	@	-	joukkoon
ac001:026	16b	.	-	.␣
ac002:001	ac002:001	ac002:001	VERSE	Apt␣2:1␣
ac002:001	1	@	-	Ja␣
ac002:001	2	@	-	kun␣
ac002:001	(5) 6 (7) 8	@	-	helluntaipäivä␣
ac002:001	(3) 4	@	-	oli␣
ac002:001	(3) 4	@	-	tullut
ac002:001	-	(,)	-	,␣
ac002:001	9	@	-	olivat␣
ac002:001	9	(@)	-	he␣
ac002:001	10	@	-	kaikki␣
ac002:001	11	@	-	yhdessä␣
ac002:001	(13) 14a	@	-	koolla
ac002:001	12	%case	LOC	
ac002:001	14b	.	-	.␣
ac002:002	ac002:002	ac002:002	VERSE	Apt␣2:2␣
ac002:002	1	@	-	Ja␣
ac002:002	2	@	-	tuli␣
ac002:002	3	@	-	yhtäkkiä␣
ac002:002	7	@	-	humaus␣
ac002:002	(5) 6	@	-	taivaasta
ac002:002	4	%case	LOC	
ac002:002	-	(,)	-	,␣
ac002:002	8	@	-	niinkuin␣
ac002:002	9	(@)	-	olisi␣
ac002:002	9	@	-	käynyt␣
ac002:002	11	@	-	väkevä␣
ac002:002	10	@	-	tuulispää
ac002:002	-	(,)	-	,␣
ac002:002	12	@	-	ja␣
ac002:002	13	@	-	täytti␣
ac002:002	14	@	-	koko␣
ac002:002	(15) 16	@	-	huoneen
ac002:002	-	(,)	-	,␣
ac002:002	17	@	-	jossa␣
ac002:002	19	(@)	-	he␣
ac002:002	19	@	-	istuivat
