mt001:001	1	βίβλος/976/0974	NOM.FEM.SG	Βίβλος	biblos
mt001:008	6	Ἰωσαφάτ/2498/2480	PR	Ἰωσαφὰτ	iōsafat
mt001:008	7	δέ/1161/1160	CNJ	δὲ	de
mt001:008	8	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:008	9	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:008	10a	Ἰωράμ/2496/2478	PR	Ἰωράμ	iōram
mt001:008	10b	-/-/-	-	,	,
mt001:008	11	Ἰωράμ/2496/2478	PR	Ἰωρὰμ	iōram
mt001:008	12	δέ/1161/1160	CNJ	δὲ	de
mt001:008	13	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:008	14	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:008	15a	Ὀζίας/3604/3470	ACC.MASC.SG	Ὀζείαν	odzeian
mt001:008	15b	-/-/-	-	,	,
mt001:009	1	Ὀζίας/3604/3470	NOM.MASC.SG	Ὀζείας	odzeias
mt001:009	2	δέ/1161/1160	CNJ	δὲ	de
mt001:009	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:009	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:009	5a	Ἰωαθάμ/2488/2468	PR	Ἰωαθάμ	iōatham
mt001:009	5b	-/-/-	-	,	,
mt001:009	6	Ἰωαθάμ/2488/2468	PR	Ἰωαθὰμ	iōatham
mt001:009	7	δέ/1161/1160	CNJ	δὲ	de
mt001:009	8	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:009	9	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:009	10a	Ἀχάζ/881/0879	PR	Ἄχαζ	akhadz
mt001:009	10b	-/-/-	-	,	,
mt001:009	11	Ἀχάζ/881/0879	PR	Ἄχαζ	akhadz
mt001:009	12	δέ/1161/1160	CNJ	δὲ	de
mt001:009	13	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:009	14	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:009	15a	Ἑζεκίας/1478/1481	ACC.MASC.SG	Ἐζεκίαν	edzekian
mt001:009	15b	-/-/-	-	,	,
mt001:010	1	Ἑζεκίας/1478/1481	NOM.MASC.SG	Ἐζεκίας	edzekias
mt001:010	2	δέ/1161/1160	CNJ	δὲ	de
mt001:010	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:010	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:010	5a	Μανασσῆ/3128/-	ACC.MASC.SG	Μανασσῆ	manassē
mt001:010	5b	-/-/-	-	,	,
mt001:010	6	Μανασσῆ/3128/-	NOM.MASC.SG	Μανασσῆς	manassēs
mt001:010	7	δέ/1161/1160	CNJ	δὲ	de
mt001:010	8	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:010	9	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:010	10a	Ἀμώς/301/0303	PR	Ἀμώς	amōs
mt001:010	10b	-/-/-	-	,	,
mt001:010	11	Ἀμώς/301/0303	PR	Ἀμὼς	amōs
mt001:010	12	δέ/1161/1160	CNJ	δὲ	de
mt001:010	13	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:010	14	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:010	15a	Ἰωσίας/2502/2484	ACC.MASC.SG	Ἰωσείαν	iōseian
mt001:010	15b	-/-/-	-	,	,
mt001:011	1	Ἰωσίας/2502/2484	NOM.MASC.SG	Ἰωσείας	iōseias
mt001:011	2	δέ/1161/1160	CNJ	δὲ	de
mt001:011	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:011	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:011	5	Ἰεχονίας/2423/2405	ACC.MASC.SG	Ἰεχονίαν	iekhonian
mt001:011	6	καί/2532/2515	CNJ	καὶ	kai
mt001:011	7	ὁ/3588/3455	ART.ACC.MASC.PL	τοὺς	tūs
mt001:011	8	ἀδελφός/80/0081	ACC.MASC.PL	ἀδελφοὺς	adelfūs
mt001:011	9	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
mt001:011	10	ἐπί/1909/1903	PREP	ἐπὶ	epi
mt001:011	11	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
mt001:011	12	μετοικεσία/3350/3232	GEN.FEM.SG	μετοικεσίας	metoikesias
mt001:011	13a	Βαβυλών/897/0895	GEN.FEM.SG	Βαβυλῶνος	babylōnos
mt001:011	13b	-/-/-	-	.	.
mt001:012	1	μετά/3326/3207	PREP	Μετὰ	meta
mt001:012	2	δέ/1161/1160	CNJ	δὲ	de
mt001:012	3	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
mt001:012	4	μετοικεσία/3350/3232	ACC.FEM.SG	μετοικεσίαν	metoikesian
mt001:012	5	Βαβυλών/897/0895	GEN.FEM.SG	Βαβυλῶνος	babylōnos
mt001:012	6	Ἰεχονίας/2423/2405	NOM.MASC.SG	Ἰεχονίας	iekhonias
mt001:012	7	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:012	8	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:012	9a	Σαλαθιήλ/4528/4388	PR	Σαλαθιήλ	salathiēl
mt001:012	9b	-/-/-	-	,	,
mt001:012	10	Σαλαθιήλ/4528/4388	PR	Σαλαθιὴλ	salathiēl
mt001:012	11	δέ/1161/1160	CNJ	δὲ	de
mt001:012	12	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:012	13	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:012	14a	Ζοροβαβέλ/2216/2206	PR	Ζοροβαβέλ	dzorobabel
mt001:012	14b	-/-/-	-	,	,
mt001:013	1	Ζοροβαβέλ/2216/2206	PR	Ζοροβαβὲλ	dzorobabel
mt001:013	2	δέ/1161/1160	CNJ	δὲ	de
mt001:013	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:013	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:013	5a	Ἀβιούδ/10/0010	PR	Ἀβιούδ	abiūd
mt001:013	5b	-/-/-	-	,	,
mt001:013	6	Ἀβιούδ/10/0010	PR	Ἀβιοὺδ	abiūd
mt001:013	7	δέ/1161/1160	CNJ	δὲ	de
mt001:013	8	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:013	9	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:013	10a	Ἐλιακίμ/1662/1656	PR	Ἐλιακείμ	eliakeim
mt001:013	10b	-/-/-	-	,	,
mt001:013	11	Ἐλιακίμ/1662/1656	PR	Ἐλιακεὶμ	eliakeim
mt001:013	12	δέ/1161/1160	CNJ	δὲ	de
mt001:013	13	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:013	14	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:013	15a	Ἀζώρ/107/0108	PR	Ἀζώρ	adzōr
mt001:013	15b	-/-/-	-	,	,
mt001:014	1	Ἀζώρ/107/0108	PR	Ἀζὼρ	adzōr
mt001:014	2	δέ/1161/1160	CNJ	δὲ	de
mt001:014	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:014	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:014	5a	Σαδώκ/4524/4384	PR	Σαδώκ	sadōk
mt001:014	5b	-/-/-	-	,	,
mt001:014	6	Σαδώκ/4524/4384	PR	Σαδὼκ	sadōk
mt001:014	7	δέ/1161/1160	CNJ	δὲ	de
mt001:014	8	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:014	9	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:014	10a	Ἀχίμ/885/0884	PR	Ἀχείμ	akheim
mt001:014	10b	-/-/-	-	,	,
mt001:014	11	Ἀχίμ/885/0884	PR	Ἀχεὶμ	akheim
mt001:014	12	δέ/1161/1160	CNJ	δὲ	de
mt001:014	13	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:014	14	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:014	15a	Ἐλιούδ/1664/1658	PR	Ἐλιούδ	eliūd
mt001:014	15b	-/-/-	-	,	,
mt001:015	1	Ἐλιούδ/1664/1658	PR	Ἐλιοὺδ	eliūd
mt001:015	2	δέ/1161/1160	CNJ	δὲ	de
mt001:015	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:015	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:015	5a	Ἐλεάζαρ/1648/1640	PR	Ἐλεάζαρ	eleadzar
mt001:015	5b	-/-/-	-	,	,
mt001:015	6	Ἐλεάζαρ/1648/1640	PR	Ἐλεάζαρ	eleadzar
mt001:015	7	δέ/1161/1160	CNJ	δὲ	de
mt001:015	8	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:015	9	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:015	10a	Ματθάν/3157/3146	PR	Μαθθάν	maththan
mt001:015	10b	-/-/-	-	,	,
mt001:015	11	Ματθάν/3157/3146	PR	Μαθθὰν	maththan
mt001:015	12	δέ/1161/1160	CNJ	δὲ	de
mt001:015	13	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:015	14	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:015	15a	Ἰακώβ/2384/2366	PR	Ἰακώβ	iakōb
mt001:015	15b	-/-/-	-	,	,
mt001:016	1	Ἰακώβ/2384/2366	PR	Ἰακὼβ	iakōb
mt001:016	2	δέ/1161/1160	CNJ	δὲ	de
mt001:016	3	γεννάω/1080&5656/1080	AOR.ACT.IND.3sg	ἐγέννησεν	egennēsen
mt001:016	4	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:016	5	Ἰωσήφ/2501/2482	PR	Ἰωσὴφ	iōsēf
mt001:016	6	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mt001:016	7	ἀνήρ/435/0441	ACC.MASC.SG	ἄνδρα	andra
mt001:016	8a	Μαρία/3137/3127	GEN.FEM.SG	Μαρίας	marias
mt001:016	8b	-/-/-	-	,	,
mt001:016	9	ἐκ/1537/1529	PREP	ἐξ	eks
mt001:016	10	ὅς/3739/3607	REL.GEN.SG.FEM	ἧς	hēs
mt001:016	11	γεννάω/1080&5681/1080	AOR.PASS.IND.3sg	ἐγεννήθη	egennēthē
mt001:016	12	Ἰησοῦς/2424/2406	NOM.MASC.SG	Ἰησοῦς	iēsūs
mt001:016	13	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
mt001:016	14	λέγω/3004&5746/2992	PRES.PASS.PART.NOM.MASC.SG	λεγόμενος	legomenos
mt001:016	15a	Χριστός/5547/5383	NOM.MASC.SG	Χριστός	khristos
mt001:016	15b	-/-/-	-	.	.
mt001:017	1	πᾶς/3956/3821	ADJ.NOM.FEM.PL	Πᾶσαι	pasai
mt001:017	2	οὖν/3767/3635	CNJ	οὖν	ūn
mt001:017	3	ὁ/3588/3455	ART.NOM.FEM.PL	αἱ	hai
mt001:017	4	γενεά/1074/1073	NOM.FEM.PL	γενεαὶ	geneai
mt001:017	5	ἀπό/575/0575	PREP	ἀπὸ	apo
mt001:017	6	Ἀβραάμ/11/0011	PR	Ἀβραὰμ	abraam
mt001:017	7	ἕως/2193/2183	ADV	ἕως	heōs
mt001:017	8	Δαυίδ/1138/1159	PR	Δαυεὶδ	daueid
mt001:017	9	γενεά/1074/1073	NOM.FEM.PL	γενεαὶ	geneai
mt001:017	10a	δεκατέσσαρες/1180/1179	ADJ.NOM.FEM.PL	δεκατέσσαρες	dekatessares
mt001:017	10b	-/-/-	-	,	,
mt001:017	11	καί/2532/2515	CNJ	καὶ	kai
mt001:017	12	ἀπό/575/0575	PREP	ἀπὸ	apo
mt001:017	13	Δαυίδ/1138/1159	PR	Δαυεὶδ	daueid
mt001:017	14	ἕως/2193/2183	ADV	ἕως	heōs
mt001:017	15	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
mt001:017	16	μετοικεσία/3350/3232	GEN.FEM.SG	μετοικεσίας	metoikesias
mt001:017	17	Βαβυλών/897/0895	GEN.FEM.SG	Βαβυλῶνος	babylōnos
mt001:017	18	γενεά/1074/1073	NOM.FEM.PL	γενεαὶ	geneai
mt001:017	19a	δεκατέσσαρες/1180/1179	ADJ.NOM.FEM.PL	δεκατέσσαρες	dekatessares
mt001:017	19b	-/-/-	-	,	,
mt001:017	20	καί/2532/2515	CNJ	καὶ	kai
mt001:017	21	ἀπό/575/0575	PREP	ἀπὸ	apo
mt001:017	22	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
mt001:017	23	μετοικεσία/3350/3232	GEN.FEM.SG	μετοικεσίας	metoikesias
mt001:017	24	Βαβυλών/897/0895	GEN.FEM.SG	Βαβυλῶνος	babylōnos
mt001:017	25	ἕως/2193/2183	ADV	ἕως	heōs
mt001:017	26	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
mt001:017	27	Χριστός/5547/5383	GEN.MASC.SG	Χριστοῦ	khristū
mt001:017	28	γενεά/1074/1073	NOM.FEM.PL	γενεαὶ	geneai
mt001:017	29a	δεκατέσσαρες/1180/1179	ADJ.NOM.FEM.PL	δεκατέσσαρες	dekatessares
mt001:017	29b	-/-/-	-	.	.
mt001:018	1	ὁ/3588/3455	ART.GEN.MASC.SG	Τοῦ	tū
mt001:018	2	δέ/1161/1160	CNJ	δὲ	de
mt001:018	3	Ἰησοῦς/2424/2406	GEN.MASC.SG	Ἰησοῦ	iēsū
mt001:018	4	Χριστός/5547/5383	GEN.MASC.SG	Χριστοῦ	khristū
mt001:018	5	ὁ/3588/3455	ART.NOM.FEM.SG	ἡ	hē
mt001:018	6	γένεσις/1078/1077	NOM.FEM.SG	γένεσις	genesis
mt001:018	7	οὕτω/3779/-	ADV	οὕτως	ohotōs
mt001:018	8a	εἰμί/1510&5707/1504	IMPF.ACT.IND.3sg	ἦν	ēn
mt001:018	8b	-/-/-	-	.	.
mt001:018	9	μνηστεύω/3423&5685/3295	AOR.PASS.PART.GEN.FEM.SG	μνηστευθείσης	mnēsteutheisēs
mt001:018	10	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
mt001:018	11	μήτηρ/3384/3261	GEN.FEM.SG	μητρὸς	mētros
mt001:018	12	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
mt001:018	13	Μαρία/3137/3127	GEN.FEM.SG	Μαρίας	marias
mt001:018	14	ὁ/3588/3455	ART.DAT.MASC.SG	τῷ	tō
mt001:018	15a	Ἰωσήφ/2501/2482	PR	Ἰωσήφ	iōsēf
mt001:018	15b	-/-/-	-	,	,
mt001:018	16	πρίν/4250/4111	ADV	πρὶν	prin
mt001:018	17	ἤ/2228/2218	PRT	ἢ	ē
mt001:018	18	συνέρχομαι/4905&5629/4759	2AOR.ACT.INF	συνελθεῖν	synelthein
mt001:018	19	αὐτός/846/0841	PRON.ACC.MASC.PL	αὐτοὺς	autūs
mt001:018	20	εὑρίσκω/2147&5681/2138	AOR.PASS.IND.3sg	εὑρέθη	heurethē
mt001:018	21	ἐν/1722/1714	PREP	ἐν	en
mt001:018	22	γαστήρ/1064/1063	DAT.FEM.SG	γαστρὶ	gastri
mt001:018	23	ἔχω/2192&5723/2182	PRES.ACT.PART.NOM.FEM.SG	ἔχουσα	ekhūsa
mt001:018	24	ἐκ/1537/1529	PREP	ἐκ	ek
mt001:018	25	πνεῦμα/4151/4015	GEN.NEUT.SG	Πνεύματος	pneumatos
mt001:018	26a	ἅγιος/40/0041	ADJ.GEN.NEUT.SG	Ἁγίου	hagiū
mt001:018	26b	-/-/-	-	.	.
mt001:019	1	Ἰωσήφ/2501/2482	PR	Ἰωσὴφ	iōsēf
mt001:019	2	δέ/1161/1160	CNJ	δὲ	de
mt001:019	3	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
mt001:019	4	ἀνήρ/435/0441	NOM.MASC.SG	ἀνὴρ	anēr
mt001:019	5a	αὐτός/846/0841	PRON.GEN.FEM.SG	αὐτῆς	autēs
mt001:019	5b	-/-/-	-	,	,
mt001:019	6	δίκαιος/1342/1341	ADJ.NOM.MASC.SG	δίκαιος	dikaios
