1x001:001	1x001:001	1x001:001	VERSE	1Ak␣1:1␣
1x001:009	8b	poika	PL.NOM	pojat␣
1x001:009	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:009	10	Saba	PR.SG.NOM	Saba␣
1x001:009	11a	ja	CNJ	ja␣
1x001:009	11b	Dedan	PR.SG.NOM	Dedan
1x001:009	-	(.)	PUNC	.␣
1x001:010	1x001:010	1x001:010	VERSE	1Ak␣1:10␣
1x001:010	1a	ja	CNJ	Ja␣
1x001:010	1b	Kuus	PR.PL.ALL	Kuusille␣
1x001:010	2	syntyä	ACT.PAST.3S	syntyi␣
1x001:010	4	Nimrod	PR.SG.NOM	Nimrod
1x001:010	3	%case	NOM	
1x001:010	-	(;)	PUNC	;␣
1x001:010	5	hän	PERS.SG.NOM	hän␣
1x001:010	7b	olla	COP.ACT.PAST.3S	oli␣
1x001:010	7a	%case	?	
1x001:010	6		ORD.SG.NOM	ensimmäinen␣
1x001:010	8	valtias	SG.NOM	valtias␣
1x001:010	9b	maa	SG.GEN	maan␣
1x001:010	9a	päällä	PREP	päällä
1x001:010	-	(.)	PUNC	.␣
1x001:011	1x001:011	1x001:011	VERSE	1Ak␣1:11␣
1x001:011	1a	ja	CNJ	Ja␣
1x001:011	1b	Misraim	PR.SG.ALL	Misraimille␣
1x001:011	2	syntyä	ACT.PAST.3P	syntyivät␣
1x001:011	5	luudilainen	DER.ADJ.PL.NOM	luudilaiset
1x001:011	3	%case	NOM	
1x001:011	(6a)	-	UNTRANSLATED	
1x001:011	-	(,)	PUNC	,␣
1x001:011	7	anamilainen	DER.ADJ.PL.NOM	anamilaiset
1x001:011	6b	%case	NOM	
1x001:011	(8a)	-	UNTRANSLATED	
1x001:011	-	(,)	PUNC	,␣
1x001:011	9	lehabilainen	DER.ADJ.PL.NOM	lehabilaiset
1x001:011	8b	%case	NOM	
1x001:011	(10a)	-	UNTRANSLATED	
1x001:011	-	(,)	PUNC	,␣
1x001:011	11	naftuhilainen	DER.ADJ.PL.NOM	naftuhilaiset
1x001:011	10b	%case	NOM	
1x001:011	-	(,)	PUNC	,␣
1x001:012	1x001:012	1x001:012	VERSE	1Ak␣1:12␣
1x001:012	(1a)	-	UNTRANSLATED	
1x001:012	2	patrokselainen	DER.ADJ.PL.NOM	patrokselaiset␣
1x001:012	1b	%case	NOM	
1x001:012	3a	ja	CNJ	ja␣
1x001:012	4	kasluhilainen	DER.ADJ.PL.NOM	kasluhilaiset
1x001:012	3b	%case	NOM	
1x001:012	-	(,)	PUNC	,␣
1x001:012	5	joka	REL.PL.ELA	joista␣
1x001:012	7a 7b	%case	LOC	
1x001:012	8	filistealainen	DER.ADJ.PL.NOM	filistealaiset␣
1x001:012	6	(olla)	COP.ACT.PRES.3P	ovat␣
1x001:012	6	lähteä	ACT.PCP2.PERF	lähteneet
1x001:012	-	(,)	PUNC	,␣
1x001:012	9a	sekä	CNJ	sekä␣
1x001:012	10	kaftorilainen	DER.ADJ.PL.NOM	kaftorilaiset
1x001:012	9b	%case	NOM	
1x001:012	-	(.)	PUNC	.␣
1x001:013	1x001:013	1x001:013	VERSE	1Ak␣1:13␣
1x001:013	1a	ja	CNJ	Ja␣
1x001:013	1b	Kanaan	PR.SG.ALL	Kanaanille␣
1x001:013	2	syntyä	ACT.PAST.3P	syntyivät␣
1x001:013	4	Siidon	PR.SG.NOM	Siidon
1x001:013	3	%case	NOM	
1x001:013	-	(,)	PUNC	,␣
1x001:013	pers%5	hän	PERS.SG.GEN	hänen␣
1x001:013	5	esikoinen	NOM&SGGEN.-3	esikoisensa
1x001:013	-	(,)	PUNC	,␣
1x001:013	6a	ja	CNJ	ja␣
1x001:013	7	Heet	PR.SG.NOM	Heet
1x001:013	6b	%case	NOM	
1x001:013	-	(,)	PUNC	,␣
1x001:014	1x001:014	1x001:014	VERSE	1Ak␣1:14␣
1x001:014	1a	sekä	CNJ	sekä␣
1x001:014	(2a) 2b	jebusilainen	DER.ADJ.PL.NOM	jebusilaiset
1x001:014	1b	%case	NOM	
1x001:014	(3a)	-	UNTRANSLATED	
1x001:014	-	(,)	PUNC	,␣
1x001:014	(4a) 4b	amorilainen	DER.ADJ.PL.NOM	amorilaiset
1x001:014	3b	%case	NOM	
1x001:014	(5a)	-	UNTRANSLATED	
1x001:014	-	(,)	PUNC	,␣
1x001:014	(6a) 6b	girgasilainen	DER.ADJ.PL.NOM	girgasilaiset
1x001:014	5b	%case	NOM	
1x001:014	-	(,)	PUNC	,␣
1x001:015	1x001:015	1x001:015	VERSE	1Ak␣1:15␣
1x001:015	(1a)	-	UNTRANSLATED	
1x001:015	(2a) 2b	hivviläinen	DER.ADJ.PL.NOM	hivviläiset
1x001:015	1b	%case	NOM	
1x001:015	(3a)	-	UNTRANSLATED	
1x001:015	-	(,)	PUNC	,␣
1x001:015	(4a) 4b	arkilainen	DER.ADJ.PL.NOM	arkilaiset
1x001:015	3b	%case	NOM	
1x001:015	(5a)	-	UNTRANSLATED	
1x001:015	-	(,)	PUNC	,␣
1x001:015	(6a) 6b	siiniläinen	DER.ADJ.PL.NOM	siiniläiset
1x001:015	5b	%case	NOM	
1x001:015	-	(,)	PUNC	,␣
1x001:016	1x001:016	1x001:016	VERSE	1Ak␣1:16␣
1x001:016	(1a)	-	UNTRANSLATED	
1x001:016	(2a) 2b	arvadilainen	DER.ADJ.PL.NOM	arvadilaiset
1x001:016	1b	%case	NOM	
1x001:016	(3a)	-	UNTRANSLATED	
1x001:016	-	(,)	PUNC	,␣
1x001:016	(4a) 4b	semarilainen	DER.ADJ.PL.NOM	semarilaiset␣
1x001:016	3b	%case	NOM	
1x001:016	5a	ja	CNJ	ja␣
1x001:016	(6a) 6b	hamatilainen	DER.ADJ.PL.NOM	hamatilaiset
1x001:016	5b	%case	NOM	
1x001:016	-	(.)	PUNC	.␣
1x001:017	1x001:017	1x001:017	VERSE	1Ak␣1:17␣
1x001:017	2	Seem	PR.SG.GEN	Seemin␣
1x001:017	1	poika	PL.NOM	pojat␣
1x001:017	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:017	3	Eelam	PR.SG.NOM	Eelam
1x001:017	(4a)	-	UNTRANSLATED	
1x001:017	-	(,)	PUNC	,␣
1x001:017	4b	Assur	PR.SG.NOM	Assur
1x001:017	(5a)	-	UNTRANSLATED	
1x001:017	-	(,)	PUNC	,␣
1x001:017	5b	Arpaksad	PR.SG.NOM	Arpaksad
1x001:017	(6a)	-	UNTRANSLATED	
1x001:017	-	(,)	PUNC	,␣
1x001:017	6b	Luud	PR.SG.NOM	Luud
1x001:017	(7a)	-	UNTRANSLATED	
1x001:017	-	(,)	PUNC	,␣
1x001:017	7b	Aram	PR.SG.NOM	Aram
1x001:017	(8a)	-	UNTRANSLATED	
1x001:017	-	(,)	PUNC	,␣
1x001:017	8b	Uus	PR.SG.NOM	Uus
1x001:017	(9a)	-	UNTRANSLATED	
1x001:017	-	(,)	PUNC	,␣
1x001:017	9b	Huul	PR.SG.NOM	Huul
1x001:017	(10a)	-	UNTRANSLATED	
1x001:017	-	(,)	PUNC	,␣
1x001:017	10b	Geter	PR.SG.NOM	Geter␣
1x001:017	11a	ja	CNJ	ja␣
1x001:017	11b	Mesek	PR.SG.NOM	Mesek
1x001:017	-	(.)	PUNC	.␣
1x001:018	1x001:018	1x001:018	VERSE	1Ak␣1:18␣
1x001:018	1a	ja	CNJ	Ja␣
1x001:018	1b	Arpaksad	PR.SG.ALL	Arpaksadille␣
1x001:018	2	syntyä	ACT.PAST.3S	syntyi␣
1x001:018	4	Selah	PR.SG.NOM	Selah
1x001:018	3	%case	NOM	
1x001:018	-	(,)	PUNC	,␣
1x001:018	5a	ja	CNJ	ja␣
1x001:018	5b	Selah	PR.SG.ALL	Selahille␣
1x001:018	6	syntyä	ACT.PAST.3S	syntyi␣
1x001:018	8	Eeber	PR.SG.NOM	Eeber
1x001:018	7	%case	NOM	
1x001:018	-	(.)	PUNC	.␣
1x001:019	1x001:019	1x001:019	VERSE	1Ak␣1:19␣
1x001:019	1a	ja	CNJ	Ja␣
1x001:019	1c	Eeber	PR.SG.ALL	Eeberille␣
1x001:019	1b	%case	LOC	
1x001:019	2	syntyä	ACT.PAST.3S	syntyi␣
1x001:019	3	2	NUM.SG.NOM	kaksi␣
1x001:019	4	poika	SG.PTV	poikaa
1x001:019	-	(;)	PUNC	;␣
1x001:019	(6a) 6b	toinen	INDEF.SG.GEN	toisen␣
1x001:019	5	nimi	SG.NOM	nimi␣
1x001:019	-	(olla)	COP.ACT.PAST.3S	oli␣
1x001:019	7	Peleg	PR.SG.NOM	Peleg
1x001:019	-	(,)	PUNC	,␣
1x001:019	8	sillä	SUBORD	sillä␣
1x001:019	pers%9b	hän	PERS.SG.GEN	hänen␣
1x001:019	9b	aika	SG.ESS.-3	aikanansa␣
1x001:019	9a	%case	ESS	
1x001:019	10	jakaantua	ACT.PAST.3P	jakaantuivat␣
1x001:019	(11a) 11b	maa	SG.GEN	maan␣
1x001:019	-	(asukas)	PL.NOM	asukkaat
1x001:019	-	(,)	PUNC	,␣
1x001:019	12a	ja	CNJ	ja␣
1x001:019	pers%13	hän	PERS.SG.GEN	hänen␣
1x001:019	13	veli	NOM&SGGEN.-3	veljensä␣
1x001:019	12b	nimi	SG.NOM	nimi␣
1x001:019	-	(olla)	COP.ACT.PAST.3S	oli␣
1x001:019	14	Joktan	PR.SG.NOM	Joktan
1x001:019	-	(.)	PUNC	.␣
1x001:020	1x001:020	1x001:020	VERSE	1Ak␣1:20␣
1x001:020	1a	ja	CNJ	Ja␣
1x001:020	1b	Joktan	PR.SG.ALL	Joktanille␣
1x001:020	2	syntyä	ACT.PAST.3P	syntyivät␣
1x001:020	4	Almodad	PR.SG.NOM	Almodad
1x001:020	3	%case	NOM	
1x001:020	(5a)	-	UNTRANSLATED	
1x001:020	-	(,)	PUNC	,␣
1x001:020	6	Selef	PR.SG.NOM	Selef
1x001:020	5b	%case	NOM	
1x001:020	(7a)	-	UNTRANSLATED	
1x001:020	-	(,)	PUNC	,␣
1x001:020	8	Hasarmavet	PR.SG.NOM	Hasarmavet
1x001:020	7b	%case	NOM	
1x001:020	(9a)	-	UNTRANSLATED	
1x001:020	-	(,)	PUNC	,␣
1x001:020	10	Jerah	PR.SG.NOM	Jerah
1x001:020	9b	%case	NOM	
1x001:020	-	(,)	PUNC	,␣
1x001:021	1x001:021	1x001:021	VERSE	1Ak␣1:21␣
1x001:021	(1a)	-	UNTRANSLATED	
1x001:021	2	Hadoram	PR.SG.NOM	Hadoram
1x001:021	1b	%case	NOM	
1x001:021	(3a)	-	UNTRANSLATED	
1x001:021	-	(,)	PUNC	,␣
1x001:021	4	Uusal	PR.SG.NOM	Uusal
1x001:021	3b	%case	NOM	
1x001:021	(5a)	-	UNTRANSLATED	
1x001:021	-	(,)	PUNC	,␣
1x001:021	6	Dikla	PR.SG.NOM	Dikla
1x001:021	5b	%case	NOM	
1x001:021	-	(,)	PUNC	,␣
1x001:022	1x001:022	1x001:022	VERSE	1Ak␣1:22␣
1x001:022	(1a)	-	UNTRANSLATED	
1x001:022	2	Eebal	PR.SG.NOM	Eebal
1x001:022	1b	%case	NOM	
1x001:022	(3a)	-	UNTRANSLATED	
1x001:022	-	(,)	PUNC	,␣
1x001:022	4	Abimael	PR.SG.NOM	Abimael
1x001:022	3b	%case	NOM	
1x001:022	(5a)	-	UNTRANSLATED	
1x001:022	-	(,)	PUNC	,␣
1x001:022	6	Saba	PR.SG.NOM	Saba
1x001:022	5b	%case	NOM	
1x001:022	-	(,)	PUNC	,␣
1x001:023	1x001:023	1x001:023	VERSE	1Ak␣1:23␣
1x001:023	(1a)	-	UNTRANSLATED	
1x001:023	2	Oofir	PR.SG.NOM	Oofir
1x001:023	1b	%case	NOM	
1x001:023	(3a)	-	UNTRANSLATED	
1x001:023	-	(,)	PUNC	,␣
1x001:023	4	Havila	PR.SG.NOM	Havila␣
1x001:023	3b	%case	NOM	
1x001:023	5a	ja	CNJ	ja␣
1x001:023	6	Joobab	PR.SG.NOM	Joobab
1x001:023	5b	%case	NOM	
1x001:023	-	(.)	PUNC	.␣
1x001:023	7	kaikki	INDEF.SG.NOM	Kaikki␣
1x001:023	8	nämä	DEM.PL.NOM	nämä␣
1x001:023	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:023	10	Joktan	PR.SG.GEN	Joktanin␣
1x001:023	9	poika	PL.PTV	poikia
1x001:023	-	(.)	PUNC	.␣
1x001:024	1x001:024	1x001:024	VERSE	1Ak␣1:24␣
1x001:024	1	Seem	PR.SG.NOM	Seem
1x001:024	-	(,)	PUNC	,␣
1x001:024	2	Arpaksad	PR.SG.NOM	Arpaksad
1x001:024	-	(,)	PUNC	,␣
1x001:024	3	Selah	PR.SG.NOM	Selah
1x001:024	-	(,)	PUNC	,␣
1x001:025	1x001:025	1x001:025	VERSE	1Ak␣1:25␣
1x001:025	1	Eeber	PR.SG.NOM	Eeber
1x001:025	-	(,)	PUNC	,␣
1x001:025	2	Peleg	PR.SG.NOM	Peleg
1x001:025	-	(,)	PUNC	,␣
1x001:025	3	Regu	PR.SG.NOM	Regu
1x001:025	-	(,)	PUNC	,␣
1x001:026	1x001:026	1x001:026	VERSE	1Ak␣1:26␣
1x001:026	1	Serug	PR.SG.NOM	Serug
1x001:026	-	(,)	PUNC	,␣
1x001:026	2	Naahor	PR.SG.NOM	Naahor
1x001:026	-	(,)	PUNC	,␣
1x001:026	3	Terah	PR.SG.NOM	Terah
1x001:026	-	(,)	PUNC	,␣
1x001:027	1x001:027	1x001:027	VERSE	1Ak␣1:27␣
1x001:027	1	Abram	PR.SG.NOM	Abram
1x001:027	-	(,)	PUNC	,␣
1x001:027	2	se	DEM.SG.NOM	se␣
1x001:027	-	(olla)	COP.ACT.PRES.3S	on␣
1x001:027	3	Aabraham	PR.SG.NOM	Aabraham
1x001:027	-	(.)	PUNC	.␣
1x001:028	1x001:028	1x001:028	VERSE	1Ak␣1:28␣
1x001:028	2	Aabraham	PR.SG.GEN	Aabrahamin␣
1x001:028	1	poika	PL.NOM	pojat␣
1x001:028	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:028	3	Iisak	PR.SG.NOM	Iisak␣
1x001:028	4a	ja	CNJ	ja␣
1x001:028	4b	Ismael	PR.SG.NOM	Ismael
1x001:028	-	(.)	PUNC	.␣
1x001:029	1x001:029	1x001:029	VERSE	1Ak␣1:29␣
1x001:029	1	tämä	DEM.SG.NOM	Tämä␣
1x001:029	-	(olla)	COP.ACT.PRES.3S	on␣
1x001:029	pers%2	he	PERS.PL.GEN	heidän␣
1x001:029	2	suku_luettelo	NOM&SGGEN.-3	sukuluettelonsa
1x001:029	-	(:)	PUNC	:␣
1x001:029	5	Nebajot	PR.SG.NOM	Nebajot
1x001:029	-	(,)	PUNC	,␣
1x001:029	4	Ismael	PR.SG.GEN	Ismaelin␣
1x001:029	3	esikoinen	SG.NOM	esikoinen
1x001:029	(6a)	-	UNTRANSLATED	
1x001:029	-	(,)	PUNC	,␣
1x001:029	6b	Keedar	PR.SG.NOM	Keedar
1x001:029	(7a)	-	UNTRANSLATED	
1x001:029	-	(,)	PUNC	,␣
1x001:029	7b	Adbeel	PR.SG.NOM	Adbeel
1x001:029	(8a)	-	UNTRANSLATED	
1x001:029	-	(,)	PUNC	,␣
1x001:029	8b	Mibsam	PR.SG.NOM	Mibsam
1x001:029	-	(,)	PUNC	,␣
1x001:030	1x001:030	1x001:030	VERSE	1Ak␣1:30␣
1x001:030	1	Misma	PR.SG.NOM	Misma
1x001:030	(2a)	-	UNTRANSLATED	
1x001:030	-	(,)	PUNC	,␣
1x001:030	2b	Duuma	PR.SG.NOM	Duuma
1x001:030	-	(,)	PUNC	,␣
1x001:030	3	Massa	PR.SG.NOM	Massa
1x001:030	-	(,)	PUNC	,␣
1x001:030	4	Hadad	PR.SG.NOM	Hadad
1x001:030	(5a)	-	UNTRANSLATED	
1x001:030	-	(,)	PUNC	,␣
1x001:030	5b	Teema	PR.SG.NOM	Teema
1x001:030	-	(,)	PUNC	,␣
1x001:031	1x001:031	1x001:031	VERSE	1Ak␣1:31␣
1x001:031	1	Jetur	PR.SG.NOM	Jetur
1x001:031	-	(,)	PUNC	,␣
1x001:031	2	Naafis	PR.SG.NOM	Naafis␣
1x001:031	3a	ja	CNJ	ja␣
1x001:031	3b	Keedma	PR.SG.NOM	Keedma
1x001:031	-	(.)	PUNC	.␣
1x001:031	4	nämä	DEM.PL.NOM	Nämä␣
1x001:031	5	olla	COP.ACT.PAST.3P	olivat␣
1x001:031	7	Ismael	PR.SG.GEN	Ismaelin␣
1x001:031	6	poika	PL.NOM	pojat
1x001:031	-	(.)	PUNC	.␣
1x001:032	1x001:032	1x001:032	VERSE	1Ak␣1:32␣
1x001:032	1a	ja	CNJ	Ja␣
1x001:032	2	Ketura	PR.SG.GEN	Keturan
1x001:032	-	(,)	PUNC	,␣
1x001:032	4	Aabraham	PR.SG.GEN	Aabrahamin␣
1x001:032	3	sivu_vaimo	SG.GEN	sivuvaimon
1x001:032	-	(,)	PUNC	,␣
1x001:032	1b	poika	PL.NOM	pojat
1x001:032	-	(,)	PUNC	,␣
1x001:032	-	(joka)	REL.PL.NOM	jotka␣
1x001:032	5	(tämä)	DEM.SG.NOM	tämä␣
1x001:032	5	synnyttää	DER.ACT.PAST.3S	synnytti
1x001:032	-	(,)	PUNC	,␣
1x001:032	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:032	7	Simran	PR.SG.NOM	Simran
1x001:032	6	%case	NOM	
1x001:032	(8a)	-	UNTRANSLATED	
1x001:032	-	(,)	PUNC	,␣
1x001:032	8b	Joksan	PR.SG.NOM	Joksan
1x001:032	(9a)	-	UNTRANSLATED	
1x001:032	-	(,)	PUNC	,␣
1x001:032	9b	Medan	PR.SG.NOM	Medan
1x001:032	(10a)	-	UNTRANSLATED	
1x001:032	-	(,)	PUNC	,␣
1x001:032	10b	Midian	PR.SG.NOM	Midian
1x001:032	(11a)	-	UNTRANSLATED	
1x001:032	-	(,)	PUNC	,␣
1x001:032	11b	Jisbak	PR.SG.NOM	Jisbak␣
1x001:032	12a	ja	CNJ	ja␣
1x001:032	12b	Suuah	PR.SG.NOM	Suuah
1x001:032	(13a)	-	UNTRANSLATED	
1x001:032	-	(.)	PUNC	.␣
1x001:032	14	Joksan	PR.SG.GEN	Joksanin␣
1x001:032	13b	poika	PL.NOM	pojat␣
1x001:032	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:032	15	Saba	PR.SG.NOM	Saba␣
1x001:032	16a	ja	CNJ	ja␣
1x001:032	16b	Dedan	PR.SG.NOM	Dedan
1x001:032	-	(.)	PUNC	.␣
1x001:033	1x001:033	1x001:033	VERSE	1Ak␣1:33␣
1x001:033	1a	ja	CNJ	Ja␣
1x001:033	2	Midian	PR.SG.GEN	Midianin␣
1x001:033	1b	poika	PL.NOM	pojat␣
1x001:033	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:033	3	Eefa	PR.SG.NOM	Eefa
1x001:033	(4a)	-	UNTRANSLATED	
1x001:033	-	(,)	PUNC	,␣
1x001:033	4b	Eefer	PR.SG.NOM	Eefer
1x001:033	(5a)	-	UNTRANSLATED	
1x001:033	-	(,)	PUNC	,␣
1x001:033	5b	Hanok	PR.SG.NOM	Hanok
1x001:033	(6a)	-	UNTRANSLATED	
1x001:033	-	(,)	PUNC	,␣
1x001:033	6b	Abida	PR.SG.NOM	Abida␣
1x001:033	7a	ja	CNJ	ja␣
1x001:033	7b	Eldaa	PR.SG.NOM	Eldaa
1x001:033	-	(.)	PUNC	.␣
1x001:033	8	kaikki	INDEF.SG.NOM	Kaikki␣
1x001:033	9	nämä	DEM.PL.NOM	nämä␣
1x001:033	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:033	11	Ketura	PR.SG.GEN	Keturan␣
1x001:033	10	jälkeläinen	PL.PTV	jälkeläisiä
1x001:033	-	(.)	PUNC	.␣
1x001:034	1x001:034	1x001:034	VERSE	1Ak␣1:34␣
1x001:034	1a	ja	CNJ	Ja␣
1x001:034	2	Aabraham	PR.SG.ALL	Aabrahamille␣
1x001:034	1b	syntyä	ACT.PAST.3S	syntyi␣
1x001:034	4	Iisak	PR.SG.NOM	Iisak
1x001:034	3	%case	NOM	
1x001:034	-	(.)	PUNC	.␣
1x001:034	7	Iisak	PR.SG.GEN	Iisakin␣
1x001:034	6	poika	PL.NOM	pojat␣
1x001:034	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:034	8	Eesau	PR.SG.NOM	Eesau␣
1x001:034	9a	ja	CNJ	ja␣
1x001:034	9b	Israel	PR.SG.NOM	Israel
1x001:034	-	(.)	PUNC	.␣
1x001:035	1x001:035	1x001:035	VERSE	1Ak␣1:35␣
1x001:035	2	Eesau	PR.SG.GEN	Eesaun␣
1x001:035	1	poika	PL.NOM	pojat␣
1x001:035	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:035	3	Elifas	PR.SG.NOM	Elifas
1x001:035	-	(,)	PUNC	,␣
1x001:035	4	Reguel	PR.SG.NOM	Reguel
1x001:035	(5a)	-	UNTRANSLATED	
1x001:035	-	(,)	PUNC	,␣
1x001:035	5b	Jeus	PR.SG.NOM	Jeus
1x001:035	(6a)	-	UNTRANSLATED	
1x001:035	-	(,)	PUNC	,␣
1x001:035	6b	Jaelam	PR.SG.NOM	Jaelam␣
1x001:035	7a	ja	CNJ	ja␣
1x001:035	7b	Koorah	PR.SG.NOM	Koorah
1x001:035	-	(.)	PUNC	.␣
1x001:036	1x001:036	1x001:036	VERSE	1Ak␣1:36␣
1x001:036	2	Elifas	PR.SG.GEN	Elifaan␣
1x001:036	1	poika	PL.NOM	pojat␣
1x001:036	-	(olla)	COP.ACT.PAST.3P	olivat␣
1x001:036	3	Teeman	PR.SG.NOM	Teeman
