jn001:001	jn001:001	jn001:001	VERSE	Jh␣1:1␣
jn001:012	3	vastaan	POST	vastaan
jn001:012	-	(,)	PUNC	,␣
jn001:012	5	(hän)	PERS.SG.NOM	hän␣
jn001:012	5	antaa	ACT.PAST.3S	antoi␣
jn001:012	(6)	-	UNTRANSLATED	
jn001:012	7	voima	DER.SG.GEN	voiman␣
jn001:012	10a	tulla	INF1.LAT	tulla␣
jn001:012	9	Jumala	SG.GEN	Jumalan␣
jn001:012	8	lapsi	PL.TRA	lapsiksi
jn001:012	-	(,)	PUNC	,␣
jn001:012	11	ne	DEM.PL.ALL	niille
jn001:012	-	(,)	PUNC	,␣
jn001:012	11	joka	REL.PL.NOM	jotka␣
jn001:012	12	uskoa	ACT.PRES.3P	uskovat␣
jn001:012	16a	hän	PERS.SG.GEN	hänen␣
jn001:012	(14) 15	nimi	SG.ILL.-3	nimeensä
jn001:012	13	%case	LOC	
jn001:012	-	(,)	PUNC	,␣
jn001:013	jn001:013	jn001:013	VERSE	Jh␣1:13␣
jn001:013	1	joka	REL.PL.NOM	jotka␣
jn001:013	2	ei	NEGV.3P	eivät␣
jn001:013	16a	(olla)	COP.ACT.PRES.NEG	ole␣
jn001:013	16a	syntyä	ACT.PAST.PL	syntyneet␣
jn001:013	4	veri	SG.ELA	verestä␣
jn001:013	3	%case	LOC	
jn001:013	5	ei	NEGV.3S.-CLITIC	eikä␣
jn001:013	8	liha	SG.GEN	lihan␣
jn001:013	7	tahto	SG.ELA	tahdosta␣
jn001:013	6	%case	LOC	
jn001:013	9	ei	NEGV.3S.-CLITIC	eikä␣
jn001:013	12	mies	SG.GEN	miehen␣
jn001:013	11	tahto	SG.ELA	tahdosta
jn001:013	10	%case	LOC	
jn001:013	-	(,)	PUNC	,␣
jn001:013	13	vaan	SUBORD	vaan␣
jn001:013	15	Jumala	SG.ELA	Jumalasta
jn001:013	14	%case	LOC	
jn001:013	-	(.)	PUNC	.␣
jn001:014	jn001:014	jn001:014	VERSE	Jh␣1:14␣
jn001:014	1	ja	CNJ	Ja␣
jn001:014	(2) 3	Sana	SG.NOM	Sana␣
jn001:014	5	tulla	ACT.PAST.3S	tuli␣
jn001:014	4	liha	SG.TRA	lihaksi␣
jn001:014	6	ja	CNJ	ja␣
jn001:014	7	asua	ACT.PAST.3S	asui␣
jn001:014	9a	me	PERS.PL.GEN	meidän␣
jn001:014	8	keskellä	PREP.-1	keskellämme
jn001:014	-	(,)	PUNC	,␣
jn001:014	10	ja	CNJ	ja␣
jn001:014	11	(me)	PERS.PL.NOM	me␣
jn001:014	11	katsella	ACT.PAST.1P	katselimme␣
jn001:014	14a	hän	PERS.SG.GEN	hänen␣
jn001:014	(12) 13	kirkkaus	DER.SG.PTV.-3	kirkkauttansa
jn001:014	-	(,)	PUNC	,␣
jn001:014	16	sen_kaltainen	ADJ.SG.PTV	senkaltaista␣
jn001:014	15	kirkkaus	DER.SG.PTV	kirkkautta
jn001:014	-	(,)	PUNC	,␣
jn001:014	16	kuin	SUBORD	kuin␣
jn001:014	17	ainokainen	ADJ.SG.ADE	ainokaisella␣
jn001:014	17	(Poika)	SG.ADE	Pojalla␣
jn001:014	-	(olla)	COP.ACT.PRES.3S	on␣
jn001:014	19a	Isä	SG.ABL	Isältä
jn001:014	18	%case	LOC	
jn001:014	-	(;)	PUNC	;␣
jn001:014	-	(ja)	CNJ	ja␣
jn001:014	-	(hän)	PERS.SG.NOM	hän␣
jn001:014	-	(olla)	COP.ACT.PAST.3S	oli␣
jn001:014	20	täynnä	ADV	täynnä␣
jn001:014	22	armo	SG.PTV	armoa␣
jn001:014	23	ja	CNJ	ja␣
jn001:014	24a	totuus	SG.PTV	totuutta
jn001:014	-	(.)	PUNC	.␣
jn001:015	jn001:015	jn001:015	VERSE	Jh␣1:15␣
jn001:015	1	Johannes	PR.SG.NOM	Johannes␣
jn001:015	2	todistaa	ACT.PAST.3S	todisti␣
jn001:015	4	hän	PERS.SG.ELA	hänestä␣
jn001:015	3	%case	LOC	
jn001:015	5	ja	CNJ	ja␣
jn001:015	6	huutaa	ACT.PAST.3S	huusi␣
jn001:015	7a	sanoa	ACT.INF2.MAN	sanoen
jn001:015	-	(:)	PUNC	:␣
jn001:015	-	(")	PUNC.LEFT	"
jn001:015	8	tämä	DEM.SG.NOM	Tämä␣
jn001:015	9	olla	COP.ACT.PRES.3S	on␣
jn001:015	10	se	DEM.SG.NOM	se
jn001:015	-	(,)	PUNC	,␣
jn001:015	10	joka	REL.SG.ELA	josta␣
jn001:015	11a	(minä)	PERS.SG.NOM	minä␣
jn001:015	11a	sanoa	ACT.PAST.1S	sanoin
jn001:015	-	(:)	PUNC	:␣
jn001:015	12	se	DEM.SG.NOM	se
jn001:015	-	(,)	PUNC	,␣
jn001:015	12	joka	REL.INDEF.SG.NOM	joka␣
jn001:015	14	minä	PERS.SG.GEN	minun␣
jn001:015	13	jälkeen	PREP	jälkeeni␣
jn001:015	15	tulla	ACT.PRES.3S	tulee
jn001:015	-	(,)	PUNC	,␣
jn001:015	18a	(olla)	COP.ACT.PRES.3S	on␣
jn001:015	18a	olla	COP.ACT.PCP2.PERF	ollut␣
jn001:015	17	minä	PERS.SG.GEN	minun␣
jn001:015	16	edellä	PREP.-1	edelläni
jn001:015	-	(,)	PUNC	,␣
jn001:015	19	sillä	SUBORD	sillä␣
jn001:015	22a	(hän)	PERS.SG.NOM	hän␣
jn001:015	22a	(olla)	COP.ACT.PRES.3S	on␣
jn001:015	22a	olla	COP.ACT.PCP2.PERF	ollut␣
jn001:015	20	ennen~kuin	SUBORD	ennen~kuin␣
jn001:015	21	minä	PERS.SG.NOM	minä
jn001:015	-	(.)	PUNC	.
jn001:015	-	(")	PUNC.RIGHT	"␣
jn001:016	jn001:016	jn001:016	VERSE	Jh␣1:16␣
jn001:016	1	ja	CNJ	Ja␣
jn001:016	5	hän	PERS.SG.GEN	hänen␣
jn001:016	(3) 4	täyteys	SG.ELA.-3	täyteydestään␣
jn001:016	2	%case	LOC	
jn001:016	6	me	PERS.PL.NOM	me␣
jn001:016	7	kaikki	INDEF.SG.NOM	kaikki␣
jn001:016	8	(olla)	COP.ACT.PRES.1P	olemme␣
jn001:016	8	saada	ACT.PCP2.PERF	saaneet
jn001:016	-	(,)	PUNC	,␣
jn001:016	9	ja	CNJ	ja␣
jn001:016	10	armo	SG.PTV	armoa␣
jn001:016	12a	armo	SG.GEN	armon␣
jn001:016	11	päälle	PREP	päälle
jn001:016	-	(.)	PUNC	.␣
jn001:017	jn001:017	jn001:017	VERSE	Jh␣1:17␣
jn001:017	1	sillä	SUBORD	Sillä␣
jn001:017	(2) 3	laki	SG.NOM	laki␣
jn001:017	6a	(olla)	COP.ACT.PRES.3S	on␣
jn001:017	6a	antaa	PSS.PCP2.PERF	annettu␣
jn001:017	5	Mooses	PR.SG.GEN	Mooseksen␣
jn001:017	4	kautta	PREP	kautta
jn001:017	-	(;)	PUNC	;␣
jn001:017	(7) 8	armo	SG.NOM	armo␣
jn001:017	9	ja	CNJ	ja␣
jn001:017	(10) 11	totuus	SG.NOM	totuus␣
jn001:017	15a	(olla)	COP.ACT.PRES.3S	on␣
jn001:017	15a	tulla	ACT.PCP2.PERF	tullut␣
jn001:017	13	Jeesus	PR.SG.GEN	Jeesuksen␣
jn001:017	14	Kristus	PR.SG.GEN	Kristuksen␣
jn001:017	12	kautta	PREP	kautta
jn001:017	-	(.)	PUNC	.␣
jn001:018	jn001:018	jn001:018	VERSE	Jh␣1:18␣
jn001:018	2	ei	NEGV.3S	Ei␣
jn001:018	2	kukaan	INDEF.SG.NOM	kukaan␣
jn001:018	3	(olla)	COP.ACT.PRES.NEG	ole␣
jn001:018	1	Jumala	SG.PTV	Jumalaa␣
jn001:018	4a	milloinkaan	ADV	milloinkaan␣
jn001:018	3	nähdä	ACT.PCP2.PERF	nähnyt
jn001:018	-	(;)	PUNC	;␣
jn001:018	5	ainokainen	ADJ.SG.NOM	ainokainen␣
jn001:018	6b	Poika	SG.NOM	Poika
jn001:018	-	(,)	PUNC	,␣
jn001:018	7	joka	REL.INDEF.SG.NOM	joka␣
jn001:018	8	olla	COP.ACT.PRES.3S	on␣
jn001:018	(12) 13	Isä	SG.GEN	Isän␣
jn001:018	(10) 11	helma	SG.INE	helmassa
jn001:018	9	%case	LOC	
jn001:018	-	(,)	PUNC	,␣
jn001:018	(14)	-	UNTRANSLATED	
jn001:018	15a	(olla)	COP.ACT.PRES.3S	on␣
jn001:018	-	(hän)	PERS.SG.ACC	hänet␣
jn001:018	15a	ilmoittaa	ACT.PCP2.PERF	ilmoittanut
jn001:018	-	(.)	PUNC	.␣
jn001:019	jn001:019	jn001:019	VERSE	Jh␣1:19␣
jn001:019	1	ja	CNJ	Ja␣
jn001:019	2	tämä	DEM.SG.NOM	tämä␣
jn001:019	3	olla	COP.ACT.PRES.3S	on␣
jn001:019	(6) 7a	Johannes	PR.SG.GEN	Johanneksen␣
jn001:019	(4) 5	todistus	DER.SG.NOM	todistus
jn001:019	-	(,)	PUNC	,␣
jn001:019	8	kun	SUBORD	kun␣
jn001:019	(12) 13	juutalainen	DER.ADJ.PL.NOM	juutalaiset␣
jn001:019	9a	lähettää	ACT.PAST.3P	lähettivät␣
jn001:019	11a	hän	PERS.SG.GEN	hänen␣
jn001:019	10	luokse	PREP.-3	luoksensa␣
jn001:019	15	Jerusalem	PR.SG.ELA	Jerusalemista␣
jn001:019	14	%case	LOC	
jn001:019	16	pappi	PL.PTV	pappeja␣
jn001:019	17	ja	CNJ	ja␣
jn001:019	18	leeviläinen	DER.ADJ.PL.PTV	leeviläisiä␣
jn001:019	20	kysyä	INF3.ILL	kysymään␣
jn001:019	19	%case	LOC	
jn001:019	21a	hän	PERS.SG.ABL	häneltä
jn001:019	-	(:)	PUNC	:␣
jn001:019	-	(")	PUNC.LEFT	"
jn001:019	23	kuka	INT.SG.NOM	Kuka␣
jn001:019	22	sinä	PERS.SG.NOM	sinä␣
jn001:019	24a	olla	COP.ACT.PRES.2S	olet
jn001:019	-	(?)	PUNC	?
jn001:019	-	(")	PUNC.RIGHT	"␣
jn001:020	jn001:020	jn001:020	VERSE	Jh␣1:20␣
jn001:020	1	ja	CNJ	Ja␣
jn001:020	2	(hän)	PERS.SG.NOM	hän␣
jn001:020	2	tunnustaa	ACT.PAST.3S	tunnusti␣
jn001:020	4	ei	NEGV.3S.-CLITIC	eikä␣
jn001:020	3	%clitic	kA	
jn001:020	5a	kieltää	ACT.PAST.SG	kieltänyt
jn001:020	-	(;)	PUNC	;␣
jn001:020	6	ja	CNJ	ja␣
jn001:020	7	(hän)	PERS.SG.NOM	hän␣
jn001:020	7	tunnustaa	ACT.PAST.3S	tunnusti
jn001:020	8	:	PUNC	:␣
jn001:020	-	(")	PUNC.LEFT	"
jn001:020	9	minä	PERS.SG.NOM	Minä␣
jn001:020	10	ei	NEGV.1S	en␣
jn001:020	11	olla	COP.ACT.PRES.NEG	ole␣
jn001:020	(12) 13a	Kristus	PR.SG.NOM	Kristus
jn001:020	-	(")	PUNC.RIGHT	"
jn001:020	-	(.)	PUNC	.␣
jn001:021	jn001:021	jn001:021	VERSE	Jh␣1:21␣
jn001:021	1	ja	CNJ	Ja␣
jn001:021	2	(he)	PERS.PL.NOM	he␣
jn001:021	2	kysyä	ACT.PAST.3P	kysyivät␣
jn001:021	3a	hän	PERS.SG.ABL	häneltä
jn001:021	-	(:)	PUNC	:␣
jn001:021	-	(")	PUNC.LEFT	"
jn001:021	4	mikä	INT.REL.INDEF.SG.NOM	Mikä␣
jn001:021	5a	sitten	ADV	sitten
jn001:021	-	(?)	PUNC	?␣
jn001:021	8a	olla	COP.ACT.PRES.2S.-CLITIC	Oletko␣
jn001:021	6	sinä	PERS.SG.NOM	sinä␣
jn001:021	7	Elias	PR.SG.NOM	Elias
jn001:021	-	(?)	PUNC	?
jn001:021	-	(")	PUNC.RIGHT	"␣
jn001:021	(9)	-	UNTRANSLATED	
jn001:021	10a	(hän)	PERS.SG.NOM	Hän␣
jn001:021	10a	sanoa	ACT.PAST.3S	sanoi
jn001:021	-	(:)	PUNC	:␣
jn001:021	-	(")	PUNC.LEFT	"
jn001:021	11	ei	NEGV.1S	En␣
jn001:021	12a	olla	COP.ACT.PRES.NEG	ole
jn001:021	-	(")	PUNC.RIGHT	"
jn001:021	-	(.)	PUNC	.␣
jn001:021	-	(")	PUNC.LEFT	"
jn001:021	13	se	DEM.SG.NOM	Se␣
jn001:021	14	profeetta	SG.NOM.-CLITIC	profeettako␣
jn001:021	15	olla	COP.ACT.PRES.2S	olet
jn001:021	(16a)	-	UNTRANSLATED	
jn001:021	-	(?)	PUNC	?
jn001:021	-	(")	PUNC.RIGHT	"␣
jn001:021	(17)	-	UNTRANSLATED	
jn001:021	18a	(hän)	PERS.SG.NOM	Hän␣
jn001:021	18a	vastata	ACT.PAST.3S	vastasi
jn001:021	-	(:)	PUNC	:␣
jn001:021	-	(")	PUNC.LEFT	"
jn001:021	19a	ei	NEGV.1S	En
jn001:021	-	(")	PUNC.RIGHT	"
jn001:021	-	(.)	PUNC	.␣
jn001:022	jn001:022	jn001:022	VERSE	Jh␣1:22␣
jn001:022	2	niin	ADV.AD-A	Niin␣
jn001:022	1	(he)	PERS.PL.NOM	he␣
jn001:022	1	sanoa	ACT.PAST.3P	sanoivat␣
jn001:022	3a	hän	PERS.SG.ALL	hänelle
jn001:022	-	(:)	PUNC	:␣
jn001:022	-	(")	PUNC.LEFT	"
jn001:022	4	kuka	INT.SG.NOM	Kuka␣
jn001:022	5a	olla	COP.ACT.PRES.2S	olet
jn001:022	-	(,)	PUNC	,␣
jn001:022	6	että	SUBORD	että␣
jn001:022	tasp%8	voida	ACT.COND.1P	voisimme␣
jn001:022	8	antaa	INF1.LAT	antaa␣
jn001:022	7	vastaus	DER.SG.GEN	vastauksen␣
jn001:022	9	ne	DEM.PL.ALL	niille
jn001:022	-	(,)	PUNC	,␣
jn001:022	9	joka	REL.PL.NOM	jotka␣
jn001:022	11a	me	PERS.PL.ACC	meidät␣
jn001:022	10	lähettää	ACT.PAST.3P	lähettivät
jn001:022	11b	?	PUNC	?␣
jn001:022	12	mikä	INT.REL.SG.PTV	Mitä␣
jn001:022	13	sanoa	ACT.PRES.2S	sanot␣
jn001:022	15a	itse	REFL.SG.ELA.-2	itsestäsi
jn001:022	14	%case	LOC	
jn001:022	15b	?	PUNC	?
jn001:022	-	(")	PUNC.RIGHT	"␣
jn001:023	jn001:023	jn001:023	VERSE	Jh␣1:23␣
jn001:023	1a	(hän)	PERS.SG.NOM	Hän␣
jn001:023	1a	sanoa	ACT.PAST.3S	sanoi
jn001:023	-	(:)	PUNC	:␣
jn001:023	-	(")	PUNC.LEFT	"
jn001:023	2	minä	PERS.SG.NOM	Minä␣
jn001:023	-	(olla)	COP.ACT.PRES.1S	olen␣
jn001:023	4	huutava	ADJ.SG.GEN	huutavan␣
jn001:023	3	ääni	SG.NOM	ääni␣
jn001:023	(6) 7a	erä_maa	SG.INE	erämaassa
jn001:023	5	%case	LOC	
jn001:023	-	(:)	PUNC	:␣
jn001:023	-	(')	PUNC.LEFT	'
jn001:023	8	tehdä	ACT.IMP.2P	Tehkää␣
jn001:023	10 (9)	tie	SG.NOM	tie␣
jn001:023	8	tasainen	ADJ.SG.TRA	tasaiseksi␣
jn001:023	11a	Herra	SG.ALL	Herralle
jn001:023	-	(')	PUNC.RIGHT	'
jn001:023	-	(,)	PUNC	,␣
jn001:023	12	niin_kuin	SUBORD	niinkuin␣
jn001:023	(15) 16a	profeetta	SG.NOM	profeetta␣
jn001:023	14	Esaias	PR.SG.NOM	Esaias␣
jn001:023	13	(olla)	COP.ACT.PRES.3S	on␣
jn001:023	13	sanoa	ACT.PCP2.PERF	sanonut
jn001:023	-	(.)	PUNC	.
jn001:023	-	(")	PUNC.RIGHT	"␣
jn001:024	jn001:024	jn001:024	VERSE	Jh␣1:24␣
jn001:024	1	ja	CNJ	Ja␣
jn001:024	2	lähettää:lähetetty	PSS.PCP2.PL.NOM	lähetetyt␣
jn001:024	3	olla	COP.ACT.PAST.3P	olivat␣
jn001:024	(5) 6a	fariseus	PL.PTV	fariseuksia
jn001:024	4	%case	PTV	
jn001:024	-	(;)	PUNC	;␣
jn001:025	jn001:025	jn001:025	VERSE	Jh␣1:25␣
jn001:025	1	ja	CNJ	ja␣
jn001:025	2	(he)	PERS.PL.NOM	he␣
jn001:025	2	kysyä	ACT.PAST.3P	kysyivät␣
jn001:025	3	hän	PERS.SG.ABL	häneltä␣
jn001:025	4	ja	CNJ	ja␣
jn001:025	5	sanoa	ACT.PAST.3P	sanoivat␣
jn001:025	6a	hän	PERS.SG.ALL	hänelle
jn001:025	-	(:)	PUNC	:␣
jn001:025	-	(")	PUNC.LEFT	"
jn001:025	7	miksi	ADV	Miksi␣
jn001:025	8	sitten	ADV	sitten␣
jn001:025	9	kastaa	ACT.PRES.2S	kastat
jn001:025	-	(,)	PUNC	,␣
jn001:025	10	jos	SUBORD	jos␣
jn001:025	(11)	-	UNTRANSLATED	
jn001:025	12	ei	NEGV.2S	et␣
jn001:025	13	olla	COP.ACT.PRES.NEG	ole␣
jn001:025	(14) 15	Kristus	PR.SG.NOM	Kristus␣
jn001:025	16	ei	NEGV.2S.-CLITIC	etkä␣
jn001:025	17	Elias	PR.SG.NOM	Elias␣
jn001:025	18	ei	NEGV.2S.-CLITIC	etkä␣
jn001:025	19	se	DEM.SG.NOM	se␣
jn001:025	20a	profeetta	SG.NOM	profeetta
jn001:025	-	(?)	PUNC	?
jn001:025	-	(")	PUNC.RIGHT	"␣
jn001:026	jn001:026	jn001:026	VERSE	Jh␣1:26␣
jn001:026	(3) 4	Johannes	PR.SG.NOM	Johannes␣
jn001:026	1	vastata	ACT.PAST.3S	vastasi␣
jn001:026	2	he	PERS.PL.ALL	heille␣
jn001:026	5a	sanoa	ACT.INF2.MAN	sanoen
jn001:026	-	(:)	PUNC	:␣
jn001:026	-	(")	PUNC.LEFT	"
jn001:026	6	minä	PERS.SG.NOM	Minä␣
jn001:026	7	kastaa	ACT.PRES.1S	kastan␣
jn001:026	9a	vesi	SG.ADE	vedellä
jn001:026	8	%case	LOC	
jn001:026	-	(;)	PUNC	;␣
jn001:026	-	(mutta)	CNJ	mutta␣
jn001:026	11	te	PERS.PL.GEN	teidän␣
jn001:026	10	keskellä	PREP.-2	keskellänne␣
jn001:026	12	seisoa	ACT.PRES.3S	seisoo␣
jn001:026	13	hän	PERS.SG.NOM	hän
jn001:026	-	(,)	PUNC	,␣
jn001:026	13	joka	REL.SG.PTV	jota␣
